"synonym"
"Dāūdpur"
"* Dorcadion graecum (Waltl, 1838)"
"*Perrotia teresina (Oberthür, 1923)"
"* Azeca (Azecastrum) (Bourguignat, 1859) (objective synonym)"
"Красногірка (Ukrainian)"
"*Acontiola acclivis (R. Felder & Rogenhofer, 1875)"
"Thiruvilluamala"
"Hypoxylon subluteum (Ellis & Everh., (1892)"
"* Ancyloxipha (Hewitson, 1868)"
"Kondupohju"
")"
"Eucosma solandriana f. rufana (Sheldon, 1935)"
"*Botys extenuatalis (Walker, 1865)"
"ramnagar"
"*Choreutis intermediana (Rebel, 1910)"
"*Besma textrinaria (Grote & Robinson, 1867)"
"*Promasiphya (Townsend, 1927)"
"*Salebria ceroprepiella (Hampson, 1901)"
"* Sasa aureostriata (Regel) E.G.Camus)"
"*Grifola fractipes (Berk. & M.A.Curtis)Murrill(1904)"
"* Pseudacanthocotylinae Yamaguti, 1963"
"Aeribaculum"
"* Pseudanaesthetis bicoloripes (Pic, 1944 nec 1926)"
"*Glaucopis saulcyi (Guérin-Méneville,[1844])"
"*Jochroa (Clara) monsalvei (Ruiz-Rodriguez, 1989)"
"*Gonopionea biconicalis (Hampson, 1918)"
"* Calopus blandus Fabricius, 1775"
"*Mytilidion (Sacc.(1875)"
"*Lophopalpia (Hampson, 1896)"
"Ghorwāra"
"Erebia parumgenerosa (Verity, 1953)"
"*Tinagma lithargyrellum (Zeller)"
"*Anycles salcedo (Dognin, 1898)"
"Assolneñ"
"*Plusia egenella (Herrich-Schäffer, 1868)"
"* Oliva nana Lamarck, 1811 (basionym)"
"Trawniki Commune"
"* Cercopis sanguinea (Geoffroy)"
"*Ophisma correctata (Walker, 1865)"
"*Stropharia alcis (Kytöv. (1999)"
"*Marginella pallida (Linnaeus, 1767)"
"*Phazaca oribates (West, 1932)"
"*Tithorea hippothous (Godman & Salvin,[1879])"
"Sunyi; Hsini"
"Dongar Parasia"
"*Argyrotoxa melanophyta (Meyrick, 1913)"
"*Trithyris pretiosalis (Schaus, 1912)"
"Motibar, Motiber"
"* Peripatus perrieri (Bouvier 1899)"
"Surahiya"
"Markskillebekken"
"* Tokatia (Hudec, 1972)"
"* Nerita arriaca (Röding, 1798)"
"*Liptena (Tetrarhanis) rougeoti (Stempffer, 1954)"
"* Laccophilus antecatus (Sharp, 1890)"
"Hormomyces (Bonord.(1851)"
"(San Pablo Balleza)"
"Murex axicornis (Lamarck, 1822)"
"* Cylindrataxia salicicola (Linsley, 1934)"
"* Radopholus similis apud. (Williams, 1959)"
"Arasanagari"
"* Sigaretus gualtierianus (Récluz, 1851)"
"* Cleopatra aurocincta (E. von Martens, 1879)"
"*Pentila lucayensis (Schultze, 1923)"
"*Agrotis pexa (Berg, 1877)"
"Zingaling Khamti"
"Tsaokiang"
"Dolgaon"
"*Atopothoures ovaliger (Blanchard, 1975)"
"* Neosciara (Pettey, 1918 )"
"* Vermetus gregarius f. solitarius (Monterosato, 1892 ) (junior primary homonym)"
"Myrmaecium insitivum (Tode) Lindau)"
"*Dysgonia tincta (Hampson, 1893)"
"Oyón"
"BTP"
"*Strombus truncatus (Lightfoot, 1786) (basionym)"
"*Peziza leporina (Batsch (1783)"
"* Nerita rufa (Born, 1778)"
"Sveta Lucija (until 1955)"
"*Monodes agrotina"
"* Nerita lineolata (Gray, 1858)"
"*Conogethes crocodora (Meyrick, 1934)"
"*Fishia instruta (Smith, 1910)"
"*Oodigaster (Macquart, 1854)"
"* Cymbiola tamariskae (Sutanto & Patamakanthin, 2004)"
"*Ctenusa carnicolor"
"* Calliostoma (Maurea) benthicola (Dell, 1950)"
"Judolia (Pachytodes) cerambyciformis ( (Schrank - Pic, 1891) )"
"* Columbella saint-pairiana Caillet, 1864"
"* Trigonochlamys pontica Simroth, 1912"
"* Glenea nympha (Kuntzen, 1914 nec Thomson, 1865)"
"Mailara"
"*Agrotis capularis (Guenée, 1852)"
"*Eulia punctiferana"
"*Xyleutes albogrisea (Dognin, 1916)"
"Polyporus rostafinskii (P. Karst., (1876)"
"Anaegires protectus Odhner, 1934"
"*Ilipa notata (Butler, 1876)"
"Bipolaris ravenelii (M.A. Curtis) Shoemaker, (1959)"
"*Sagalassa platysema (Meyrick, 1921)"
"Kaliska Commune"
"*Sporasterias rugispina( Perrier, 1896)"
"*Caryoborus arthriticus (Fabricius, 1801)"
"Urai"
"Favartia (Murexiella) striasquamosa (Ponder, 1972)"
"* Fulgoraria (Saotomea) delicata (Fulton, 1940)"
"*Androeuryops (Beneway, 1961)"
"*Omphisa brunnettalis (Dyar, 1912)"
"Tuburcinia agropyri (Preuss) Liro, (1922)"
"Aykendorf, Eichendorf"
"*Parasyndemis cedricola (Diakonoff, 1974)"
"Leeuwenhoekella accommodimaris"
"Chrzypsko Wielkie Commune"
"Najabat Naghar"
"*Mamestra crista (Walker, 1856)"
"*Pareuchontha wormsi (Miller, 1989)"
"* Planaxis nigra[sic](incorrect gender ending)"
"Ramri"
"*Aemene nilgirica (Hampson, 1891)"
"* Oliva propinqua (Marrat, 1870)"
"Bassinville, Norway"
"* Latirus recurvirostris[sic](incorrect spelling)"
""
"*Dinocrana (Turner, 1933)"
"*Tinea severella (Christoph, 1888)"
"*Endoxyla arachnophora"
"* Struthiolaria vermis wellmani Neef, 1970"
"*Phanaspa punctata (Bethune-Baker, 1906)"
"* Oberea tenasserimensis (Breuning, 1961)"
"* Dermomurex (Dermomurex) kaicherae (Petuch, 1987)"
"Yadgarpalle"
"பரனூர்"
"*Pompilus paganus( Dahlbom, 1843)"
"*Castnia buckleyi (Druce, 1883)"
"Yembal"
"*Erebia glacialis"
"* Candidula spadae (Calcara, 1845)"
"* Pterolophia (Ale) rufula (Breuning, 1938)"
"Priodontina"
"*Mucidula (Pat.(1887)"
"Iwanowice Commune"
"*Calluga gyroducta (D. S. Fletcher, 1957)"
"Nowy Kawęczyn Commune"
"*Eudorea octonella (Zeller, 1839)"
"* Turbonilla clessini Ihering, 1907"
"*Herminiella (Kaye & Lamont, 1927)"
"Dhubab District"
"Marssonia perforans (Ellis & Everh., (1896)"
"*Spatalia gemmifera (Moore, 1879)"
"Regione Centrale"
"* Cerithium pellucidum (Hombron & Jacquinot, 1852)"
"*Ambia marconalis (Schaus, 1924)"
"Jaito, Gangsar Jaito"
"*Nepticula mali (Hering, 1932)"
"Calliostoma (Calliostoma) altena (Knudsen, 1970)"
"*Alaena ackeryi (d’Abrera, 1980)"
"* Buccinulum squalidum (Powell, 1929)"
"Cayo Largo"
"* Scolopsis longulus (J. Richardson, 1842)"
"* Tomichia Bensoni A. Adams, 1861"
"* Pachycoris curculionoides Herrich-Schäffer, 1836"
"*Lepista semiochrea (Seitz, 1926)"
"*Babula nudilineata (Hampson, 1893)"
"*Orplema plagifera"
"*Ypthima sufferti (Aurivillius, 1899)"
"* Poecilogonalos thwaitesi thwaitesi (Weinstein and Austin, 1991)"
"* Yetus marocanus (Pallary, 1930)"
"Motrico"
"Völgyköz"
"*Helomyza fuscicornis (Zetterstedt, 1847)"
"*Papilio croesus (Fabricius, 1777)"
"* Corynella (DC. 1825)"
"*Liosoma Agassiz 1846"
"Vitularia asiaticus (Kuroda in Kira, 1962)"
"*Phycis plumbaginella (Eversmann, 1844)"
"* Silicoloculina profunda"
"*Agrotis coniotis (Hampson, 1903)"
"* Facastis (Beck, 1991)"
"Peys Cove"
"Malatipatapur"
"*Phorocera satanas (Boursin, 1962)"
"Botrytis uredinicola (Peck, (1909)"
"* Cerambyxelegans (Olivier, 1790)"
"*Noctua scrophulariae"
"Cerithium albovaricosum (E.A. Smith, 1884)"
"*Palembus dermestoides"
"Crosseola cookiana (Dell, 1952)"
"* Engina paulucciae (Tapparone Canefri, 1879)"
"*Orneodes dorcadius (M. Hering, 1917)"
"*Amphiperas semistriata (Pease, 1862)"
"*Bradyrrhoa demartinella (Turati & Zanon, 1922)"
"Acroloxus velkovrhi (Bole, 1965)"
"*Trichosporon hortae (Brumpt (1913)"
"Sunyi"
"Kacheguda"
"Algibacter aquaticus"
"*Syntomis leugalea (Holland, 1893)"
"* Amphidromus koonpoi (Thach & F. Huber, 2018) (junior synonym)"
"*Grandinia abrotani (Velen.(1922)"
"Ambāra Mathai"
"*Metopoceras pallidior (Rothschild, 1913)"
"Boletus ananaeceps (Berk. (1873)"
"*Aletia speciosa (Yoshimatsu, 1991)"
"* Taeniatherum crinitum (Schreb.) Nevski)"
"Vumpah (until 1982)"
"*Bufonaria pesleonis (Schumacher, 1817)"
"*Ausaris amaura (Warren, 1901)"
"*Argia quadrimaculata"
"*Phalaena (Noctua) viridana (Walch, 1779)"
"Monoxenus (Dityloderus) elongatus"
"Hsuchang"
"* Cerithium natalense (Kobelt, 1893)"
"*Carneades perturbata"
"Macháza"
"* Gonatomyrina lara"
"*Anerastria eurysticha (Turner, 1904)"
"* ""Pleomorphomonadaceae"" (Yarza et al. 2014)"
"Sternotomis pulchra tshuapana (Allard, 1993)"
"*Botrytis ricini (N.F.Buchw. (1949)"
"*Microgiton selene (Felder, 1874)"
"*Cyerina erycina"
"*Stenia fuscocilialis (Ragonot, 1881)"
"Xylodon pendulus (Alb. & Schwein.)Kuntze(1898)"
"Cephalocereus urbanianus (K.Schum.) Britton & Rose)"
"*Cassis glauca (Linnaeus, 1758)"
"* Pseudanaesthetis whiteheadi (Gressitt, 1940)"
"*Cabima dosia (Dyar, 1914)"
"*Stempfferia (Cercenia) jolyana"
"* Platyomopsis pulverulens (Boisduval, 1835)"
"*Euxoa marinensis (McDunnough, 1941)"
"*?Boletus siculus (Inzenga(1869)"
"*Ochropleura diana (Butler, 1882)"
"* Saperda amicta (Klug, 1825)"
"* Nacella strigatella (Rochebrune & Mabille, 1885)"
"Podgórzyn Commune"
"pannaimanagar"
" Күөнэликээн"
"*Drepana aestiva (Rebel, 1910)"
"*Noctua evingi"
"* Pteroloma (Desv. ex Benth.)"
"*Heterocrossa distincta (Walsingham, 1907)"
"Pakosławice Commune"
"بني بشير"
""
"Neezhoor"
"*Haltica malvae  (Illiger, 1807)"
"*Pteroteinon pruna reali (Berger, 1962)"
"* Webbia medius (Eggers, 1927)"
"*  Urecha annulicornis (Pic, 1934)"
"* Conger uropterus (Temminck & Schlegel, 1846)"
"*Seudyra noctuina (Butler, 1878)"
"Kweiping; Sunchow; Sünchow"
"* Epitonium pygmaeum Grabau & King, 1929"
"Sośno Commune"
"* Oliva finlayi (Petuch & Sargent, 1986)"
"* Mesosella bhutanensis (Breuning, 1968)"
"*Macrosiphon solanifolii( Ashmead)"
"*Asopia unimacula (Grote & Robinson, 1867)"
"*Epiblema denigratana (Kennel, 1901)"
"* Oliva jaspidea (Duclos, 1835)"
"Museum Quarter"
"*"
"Apamea characterea (Denis & Schiffermüller, 1775)"
"*Anticrates xanthomima (Meyrick, 1906)"
"* Patella vulgata var. albula (de Gregorio, 1884)"
"* Fissurella lata (Sowerby, 1835)"
"Islamabad"
"* Monodonta limbata (Philippi, 1844)"
"*Trirachopoda anulifera (Hampson, 1893)"
"* Harpa crassa (Krauss, 1848)"
"North Beveland"
"*Mellona blanda (van Eecke, 1927)"
"* Oliva esther (Duclos, 1835) (original combination)"
"* Strombus adustus (Reeve, 1851)"
"*Arbela acutistriata (Mell, 1923)"
"* Eulima bulbula (Murdoch & Suter, 1906) (original combination)"
"* Dorcadion andalusiacum (Breuning, 1962)"
"*Copiphana oliva (Staudinger, 1895)"
"*Phyprosopus nasutaria (Zeller, 1872)"
"*Cacoecia alloica (Diakonoff, 1948)"
"*Edebessa languciata (Schaus, 1905)"
"Boraj Tanwaran, Boraj Tavraan"
"Świdnica Commune"
"* Omphalotropis brenchleyi (Sykes, 1900) (junior synonym)"
"*Chromatosia tricolorana (Kiriakoff, 1954)"
"Madhaba  Bibhar"
"* Menesia yuasai (Gressitt)"
"*Idalus salmonaceus (Rothschild, 1909)"
"Phaeosphaeria sacchari"
"*Nemotois panaeola (Turner, 1913)"
"* Oecodoma aspersa (F. Smith, 1858)"
"Kharraba, Kherba"
"Tajaé"
"*Acleros pulverana (Strand, 1913)"
"* Onchidium granulosum Lesson, 1826"
"Streptomyces albus subsp. pathocidicus"
"*Bdellolarynx (Austen, 1909)"
"* Anchisomus multistriatus"
"Safe Harbor"
"* Cereopsius apicalis (Ritsema, 1881)"
"Gërçar"
"Shapiroana (K.Johnson, 1992)"
"San Lorenzo (Spanish)"
"* Murex maculatus (A. H. Verrill, 1950) (invalid: junior homonym of Murex maculatus Reeve, 1845)"
"*Geometra sororiata (Hubner, 1813)"
"*Pionea chanesalis (H. Druce, 1899)"
"* Turbonilla resticula Dall, 1889"
"*Desmodium sericatum (C.Presl )"
"Neudorf"
"* Cerithium alternatum (Hutton, 1873) (synonym & homonym)"
"*Alophoa kriechbaumeri (Schiner, 1869)"
"* Pterolophia bowringi (Pascoe) Aurivillius, 1922)"
"*Agylla aliena (Maassen, 1890)"
"*Depressaria preisseckeri (Rebel, 1937)"
"Specific"
"*Murex eurystomus (Swainson, 1833)"
"King William's Town"
"*Cossus multipunctata (H. Druce, 1887)"
"Glyphipteryx linneella (Clerck, 1759)"
"* Astathes discoidalis (Thomson, 1865)"
"देओनार"
"*Lithosia inducta (Walker,[1865])"
"*Aeschremon disparalis f. indistinctalis (Amsel, 1961)"
"*Langia zenzeroides kunmingensis (Zhao, 1984)"
"* Helicina epistilia Guppy, 1868"
"* Ligniperda Pallas, 1772"
"*Solieria fuscana (Robineau-Desvoidy, 1848)"
"Zanzur"
"Zanghariya"
"* Minica (Walker, 1858)"
"Valsaria insitiva f. lusitanica (Gonz. Frag.)"
"* Saperda decempunctata (Gebler, 1830)"
"*Ophisma resignans (Walker, 1858)"
"Kānta"
"Leucostoma leucostoma"
"دهولا"
"* Dorcadion subobesum (Pic, 1942)"
"Bori"
"*Pampa fusiformis (Walker, 1856)"
"* Pedestredorcadion equestre (Laxmann) Sama, 2002)"
"* Tiara catenata (Broderip, 1836)"
"*Pyramidella ventricosa (Guérin, 1831)"
"*Argyria sticticraspis (Hampson, 1919)"
"*Ypsolopha parallelus"
"*Hylaeora sphinx (R. Felder, 1874)"
"* Hypomelix decussatus (Chevrolat, 1856) (misspelling)"
"* Colubraria swifti (Tryon, 1881)"
"Species"
"Sairocarpus multiflorus"
"*Erycides lilea (Reakirt,[1867])"
"Twin Ports"
"Duluth, MN-WI MSA"
"Czerwonak Commune"
"Dammur"
"* Amphibiothecum (Feldman, Wimsatt & Green 2005)"
"Labiovolva (Cate, 1973)"
"*Cledeobia glaisalis (D. Lucas, 1933)"
"Murarpalayam,murarbad"
"*Gaurenopsis insularis (Houlbert, 1921)"
""
"Nová Huta"
"Trinidad"
"Белдеутас"
"Polyporus captiosus"
"*Caprilia specularia (Moore,[1868])"
"* Rissoina miranda (A. Adams, 1861) (basionym)"
"Al-Tell"
"Goszczyn Commune"
"*Ovulum corrugatum (Hinds, 1844)"
"Малтан"
"* Lamia (Sternotomis?) niveisparsa (Chevrolat, 1844)"
"*Xylorycta pentachroa (Lower, 1901)"
"Anapaikë"
"*Phlyctaenodes buckwelli (D. Lucas, 1954)"
"Tavastkyro"
"Corethrogyne viscidula (Greene)"
"*Peziza trib. Encoelia (Fr. (1822)"
"(Haug, 1905)"
"Stenothermobacter spongiae"
"Rakban"
"Punnai Vanam, Sankarankoil"
"Chikutō"
"* Pogonocherus scutellaris (Mulsant, 1846)"
"*Anthoica (Rondani, 1861)"
"Zygonopus whitei"
"Abu Ghazal"
"Savarde"
"*Thyatira pennata (Wileman, 1914)"
"Turakpurá"
"*Teras priscana (Walker, 1863)"
"Khandip"
"*Plagodis kempii (Hulst, 1900) (summer form)"
"* Prosoplus rugosicollis (Breuning, 1940)"
"Zsemlékes"
"Melania pagodula Gould, 1847"
"Awassa"
"Murex litteratus (Born, 1778)"
"*Acridopsis thysbe (Möschler, 1878)"
"*Trypanophora taprobanes (Moore, 1882)"
"*Hercyna rufocrinitalis (Zetterstedt, 1840)"
"*Metalepsis fueguensis (Hampson, 1907)"
"* Cochlostyla (Callicochlias) mirabilis trichroa (Pilsbry, 1892) (superseded combination)"
"Taeniotes insularis (Breuning, 1943)"
"Simyan"
"*Syntomodora (Meyrick, 1894)"
"1933 Omphalia rickii (Killerm.)"
"* Itamoplex (Förster, 1869)"
"of San Felipe y Santiago de Montevideo"
"*Laspeyresia sanctacruciana (Karpinski & Toll, in Toll & Karpinski, 1962)"
"* Pichia jadinii (Sartory, R. Sartory, Weill & J. Mey.) Kurtzman, 1984)"
"*Aseptis genetrix"
"*Cymothoe theobene f. nigrescens ( Poulton, 1922)"
"*Hyalitis (Guenée, 1854)"
"Sayla"
"*Euriphene (Euriphene) moloukou"
"Typhis yatesi (Crosse & Fischer, 1865)"
"*Kalotermes brevis"
"*Geometra haliaria (Walker, 1861)"
"''Recilia mica (Kramer, 1962)"
""
"Hygrophorus mavis (G.Stev)"
"Pseudomonas lemoignei (Delafield et al. 1965)"
"*Bombyx hepialica (Borkhausen, 1790)"
"* Lamia fimbriata (Olivier, 1792)"
"Juraynet al shawabkeh, Junaynah (Garden)"
"* Megalomphalus seguenzai Cossmann, 1918"
"*Ypthima itonia ab. subocellata (Strand, 1909)"
"*Corymbia cordigera (Füssli) Sama, 1988)"
"* Murex toupiollei Bernardi, 1860"
"Newchamcha (UR)"
"Old Name : Bara Pind Lohtian Jarpal"
"Aftābnagar"
"* Murex benedictinus (Lobbecke, 1879)"
"Tell Sikkin Qa'dah"
"*Hapsifera fetialis (Meyrick, 1917)"
"*Zygaenopsis immaculata (Rothschild & Jordan, 1901)"
"* Saperda cinerea (Guérin-Ménéville, 1841 nec Olivier, 1795)"
"*Nolasena ferrifervens (Walker,[1858]1857)"
"* •Prestoea acuminata (Willd.) H.E. Moore"
"*Paracudonia (Petr.(1927)"
"Bythinella poujolensis (Bernasconi, 2000)"
"* Melongena paradisiaca (Röding, 1798) ((previous combination))"
"Sternotomis variabilis ab. semicyanea (Breuning, 1935 (Unav.)"
""
"* Cyomesus chaunax  (Bayer, 1971)"
"* Neritina alata (Broderip&G. B. Sowerby I, 1829)"
"*Noctuelia achemonalis (Barnes & McDunnough, 1914)"
"Borkowice Commune"
"வெள்ளலூர்"
"* ""Lentisphaerae"" (Cho et al. 2004)"
"* Murex spectrum (Reeve, 1846)"
"*Stagmatophora alfieriella (Rebel, 1926)"
"* Peripatus balfouri (Sedgwick, 1885)"
"Setia turgida (Jeffreys, 1870)<"
"Darbashiya, al"
"*Euchromia guineensis var. jullieni (Debauche, 1936)"
"* Rapana suturalis (A. Adams, 1854)"
"*Lithocolletis superimposita (Braun, 1925)"
"*Planotortrix syntona laquaeorum (Dugdale, 1971)"
"*Leptaroa (Hampson, 1910)"
"*Sciota hostilis betuleti (Gozmány, 1953)"
"Lopharia vinosa (Berk.) G. Cunn., (1956)"
"Świecie nad Osą Commune"
"Cuddapah (colonial)"
"Leptocephalus longirostris"
"* Corrhenes pauxilla (Blackburn, 1901)"
"*Contheyla thoracica (Moore, 1879)"
"* Aelara arrogans (Pascoe, 1862)"
"*Hyssia anthradas"
"*Ptilaeola (Meyrick, 1886)"
"*Cheirurus exsul Schmidt, 1881,"
"* Callidium scutellare Olivier, 1790"
"*Platanthera viridis (L.) Lindl.)"
"*Lagyra bombycaria (Walker, 1866)"
"Craterellus taxophilus (Thom (1904)"
"*Psara perpentalis"
"Phalaena ochracea (Hübner, 1786)"
"Obrzycko Commune"
"Qilla Saifullah"
"تليليت"
"Chicoreus (Triplex) jessicae (Houart, 2008)"
"* Buccinum delalandii (Kiener, 1834)"
"Dinapore"
"Neoptychodes trilineatus var. insularis (Knull, 1948)"
"* Turbo olearius (Linnaeus, 1758)"
"*Melasina energa (Meyrick, 1905)"
"*Musca chalybeata (Gmelin, 1790)"
"* Cladoderris australica Berk., Sylloge Fungorum 6: 548 (1888)"
"Tachina reccumbo (Harris, 1776)"
"Musca aurata ( Fabricius, 1787 )"
"*Nardurus salzmannii (Boiss.)"
"* Odontotermes (Hypotermes) marshalli (Kemner 1926)"
"Northeast Florida"
"* Nerita cardinalis (Röding, 1798)"
"Chengala"
"* Euconulus (Euconulus) (Reinhardt, 1883)· accepted, alternate representation"
"Palur"
"* Citrifermentans bremense (Straub & Buchholz-Cleven 2001) Waite et al. 2020)"
"*Ozarba hemileuca (Wiltshire, 1982)"
"* Fissurella australis (Philippi, 1845)"
"Cerithiopsis crenistria (Suter, 1907)"
"Littorina borbonica (Barnard, 1951)"
"Itis"
"* Fusus fragosus (Reeve, 1848)"
"* Arsysia spilonota (Gestro, 1876)"
"*Macalla hyutanahana (Schauss, 1925)"
"*Bulla spelta (Linnaeus,1758)"
"*Stigmella tingitella"
"*Cetonia taenia (Palisot de Beauvois, 1805)"
"*Tineola  dissociata (Meyrick, 1922)"
"*Neodezia haberhaueri"
"* Phyllidia verrucosa (van Hasselt, 1824)"
"* Cratocentrus bicornutus Cameron, 1907"
"Villa Carlos Fonseca"
"*Phaegoptera cinnamomea (Boisduval, 1869)"
"*Lithosia caecina (H. Druce, 1897)"
"la perla escondida"
"* Chicoreus (Chicoreus) paini (Houart, 1983) (basionym)"
"* Haematobacter"
"* Hyphydrus (Apriophorus) renardi (Vazirani, 1977)"
"Phalangium diadema"
"*Meibomia triquetra (L.) Kuntze )"
"* Dactylispa kamarupa (Maulik, 1919)"
"*Pionea obvialis (Hampson, 1913)"
"* Epicauta haematocephala (Borchmann, 1917)"
"San Juan Bautista (Spanish)"
"Shenkang"
"*Echinus basteri( Maitland, 1851)"
"* Kerochariesthes variegata (Téocchi, 1990)"
"Norane"
"*Suma (Walker,[1866])"
"Dobrava (until 1953)"
"* Cleopatra kynganica (Bourguignat, 1879)"
"* Nirvana (Yakovlev, 2004)"
"*Antarctia fosteri (Rothschild, 1910) (Preocc.)"
"*Ophiopholis bellis( (Forbes, 1839)"
"*Nephopteryx ulmiarrosorella (Clemens, 1860)"
"* Tragocephala mniszechi m. bouyeri (Téocchi, Jiroux & Sudre, 2004)"
"*Amyloporia (Bondartsev & Singer (1941)"
"*Hemerophila rimulalis"
"*Vindusara rectifascia (Wileman, 1912)"
"Austurland"
"Diadegma petiolatum (Viereck, 1925)"
"*Percnia trivialis (Yazaki, 1987)"
"* Azalea linearifolia (Hook.f.)"
"* Nycteribia latreillii Westwood, 1835"
"* Gerydus leos florensis (Fruhstorfer, 1913)"
"*Asterias rugispina( Stimpson, 1862)"
"Loisingha"
"*Anageshna primordialis vividior (Munroe, 1956)"
"*Crocodilodes eryngiifolium (Less.) Kuntze)"
"Gërbac"
"Tenuipenna (Amsel, 1959)"
"* Coinonema punctatum Cobb, 1920"
"Sphingomonas alaskensis,"
"*Oligochroa oculiferella"
"Kamień Commune"
"*Rhosologia atomosa (Schaus, 1911)"
"*Collisella silvana (Ramírez, 1974)"
"Myersville"
"* Stenobothrus miniatus (Charpentier, 1825)"
"Little Colombia"
"*Tinea lunulella (Costa, 1836)"
"* Oliva (Miniaceoliva) pica Lamarck, 1811"
"* Lymnaea rubiginosa Michelin, 1831"
"Enyimba City"
"* Tyrinthia cyrinella (Pittier & Biolley, 1895)"
"*Neritos triangularis (Rothschild, 1909)"
"* Bulimus liebmanni Pfeiffer, 1846"
"*Scieropepla nettomorpha (Meyrick, 1930)"
"Helix Prophetarum Bourguignat, 1852"
"*Osmodes (Watson, 1893)"
"* Tricholoma terreum (Schaeff.)P. Kumm."
"Otmuchów Commune"
"*Adrapsa manifestalis"
"Setia tiberiana (Issel, 1869)<"
"* Heterandrus Guérin-Ménéville, 1858"
"Sternotomis pulchra ornata (Olivier, 1800)"
"*Altica albella (Dumeril, 1816)"
"Kabao, Cabao"
"*Endotricha symphonialis (Hampson, 1893)"
"*Nepticula mespilicola (Frey, 1856)"
"*Agaricus microsporus (Berk. (1850)"
"* Vexillum zythochroa (Melvill, 1888)"
"Kalyanikhani"
"*Anthophilodes plumbiferalis (Christoph, 1877)"
"*Cistogaster hirticollis (Wulp, 1892)"
"Choro De Oro"
"* Altererythrobacter xinjiangensis (Xue et al. 2012)"
"* Cryptopygus elegans (Rapoport & Izarra, 1962)"
"*Plusia ciliaris (Walker,[1858])"
"Lamprima sumptuosa Hope in Westwood, 1845"
"Larinus morio ( Gyllenhal, 1835 )"
"* Prosopocera jansseni (Hintz, 1909)"
"* Ichneumon coccinellae"
"Phytomonas stewarti (Smith 1898) Bergey et al. 1923)"
"* Dasychira mabilli (Rochenbrune, 1884)"
"Cyclotus amethystinus var. α Guppy, 1868 (in part)"
"* Mesosa hirtiventris (Gressitt) Breuning, 1938)"
"عبدل خیل"
"*Platybathra (Meyrick, 1911)"
"*Nagia monastica  (Hampson, 1926)"
"(Bleeker, 1862)"
"*Cystostereum subabruptum (Bourdot & Galzin)J.Erikss.&Ryvarden(1975)"
"* Xymene mortenseni (Odhner, 1924)"
"*Erruca lycopolis (H. Druce, 1883)"
"New Pindori"
"La Fe"
"*Antigonus trifasciatus"
"* Manganaroa subsericea (Speg. 1921[1923])"
"Dhanāpur"
"* Ocenebra wardiana F.C. Baker, 1891"
" Van"
"Тумат"
"* Chrysopophthorus chrysopimaginis (Goidanich, 1948)"
"Shinkō, Moalaulau"
"*Volva volva habei (Oyama, 1961)"
"The Village at Castle Pines"
"Komárom"
"Gohud"
"*Lomographa virginalis (Cassino & Swett, 1923)"
"*Lampruna perflua rosea"
"(Gaelic: Mèinnean Shidni)"
"*Cluaca rubricosta (Walker,[1865])"
"*Schacontia pfeifferi (Amsel, 1956)"
"*Macalla validalis"
"Myxedematous psychosis"
"*Mordella coronata (Costa, 1854)"
"*Synaptophleps (Hering, 1923)"
"* Hydrovatus (Vathydrus) fusculus (Sharp, 1882)"
"* Eodorcadion carinatum altaicum (Suvorov, 1909)"
"Nersa"
"* Gamoruna (Moore, 1888)"
"Serere Municipality"
"*Mycalesis auricruda ab. parvoocellata (Grünberg, 1911)"
"Nodilittorina subnodosa (Philippi, 1847)"
"* Panopaea (Meyrick, 1883)"
"*Struempella renatella (Amsel, 1978)"
"*Oligostigma praestabilis (Pagenstecher, 1886)"
"* Murex jousseaumei (Poirier, 1883)"
"*Nonagria brevilinea"
"*Oligochroa terrella (Ragonot, 1888)"
"Microporus ursinus (Link) Kuntze, (1898)"
"* Prosoplus iratus (Pascoe, 1862)"
"*Singhaliella simplicipalpis (Strand, 1920)"
"Pauli; Poli"
"*Rajacoa (Swinhoe, 1903)"
"Fusus sulcatus (Gray, 1839)"
"* Corus nigrociliatus (Breuning, 1940)"
"*Plaesiorrhina recurva v. plagiata (Kraatz, 1900)"
