<page title>,brand name,compatibility,drive interface,drive interface standard,drive type,drive width,hot swappable,manufacturer,manufacturer part number,manufacturer website address,maximum external data transfer rate,network rj45,package type,product name,product type,rotational speed,storage capacity,wireless lan,64bit processing,audio line in,audio line out,cache,chipset manufacturer,chipset model,color,controller type,depth,displayport,esata,ethernet technology,features,firewireilink,form factor,graphics controller manufacturer,graphics controller model,graphics memory accessibility,graphics memory technology,green compliance certificateauthority,green compliant,hdmi,height,hybrid hard drive capacity,hybrid hard drive interface,hyperthreading,keyboard,limited warranty,maximum memory,maximum power supply wattage,memory standard,memory technology,modem,modem rj11,number of mini pci express slots,number of processors installed,number of processors supported,number of total expansion slots,number of total memory slots,number of usb 30 ports,operating system,operating system architecture,optical drive type,optical media supported,package contents,pointing device type,processor core,processor manufacturer,processor model,processor speed,processor type,product line,product model,product series,software included,ssd cache capacity,standard memory,total number of usb ports,vga,vpro technology,weight approximate,width,wireless lan standard,aspect ratio,backlight technology,battery chemistry,battery energy,bluetooth,bluetooth standard,digitizer,direct media interface,display screen technology,display screen type,expansion slot type,finger print reader,focus modes,front camerawebcam,headphonemicrophone combo port,keyboard backlight,keyboard localization,keyboard type,maximum battery run time,maximum turbo speed,memory card reader,memory card supported,microphone,multitouch screen,number of cells,operating system platform,screen mode,screen resolution,screen size,security features,sensor type,solid state drive capacity,solid state drive interface,speakers,touchpad features,touchscreen,wimax,wireless lan manufacturer,wireless lan model,wwan supported,applicationusage,maximum screen size supported,minimum screen size supported,style,error checking,length,memory size,memory speed,number of pins,plating,signal processing,thickness,adjustable display angle,adjustable display height,brightness,certifications standards,contrast ratio,dvi,hdcp supported,horizontal viewing angle,maximum resolution,mount type,number of screens,operating power consumption,platform supported,response time,screen surface,standby power consumption,vertical viewing angle,vesa mount compatible,vesa mount standard,near field communication,webcam,battery capacity,battery rechargeable,battery size,output voltage,packaged quantity,carrying options,case features,durability,hard drive configuration,hard drive interface,hard drive rpm,number of external 525 bays,number of hard drives,number of pci express x16 slots,number of pci express x8 slots,number of pci slots,quickpath interconnect,raid levels,raid supported,remote management,total hard drive capacity,buffer,bus powered,host interface,system requirements,hard drive capacity,number of usb 20 ports,duallayer media supported,memory form factor,number of 35 bays,number of pci express x1 slots,number of total expansion bays,license pricing,license quantity,license type,operating system supported,software name,average seek time,accessibility,additional information,exterior material,clock speed,input voltage,l1 cache,l2 cache,l3 cache,overclocking speed,process technology,processor socket,processor technology,thermal design power,thermal specification,sim size supported,license details,licensing program,graphics controller interface,graphics memory capacity,number of pci express x4 slots,device supported,number of modules,number of msata interfaces,expansion bay type,switchable graphics,flash memory capacity,front camera resolutionwebcam resolution,maximum standby battery time,maximum web surfing battery time,rear camera,rear camera resolution,rear camera video resolution,total number of micro usb ports,cable length,cable type,conductor,connector on first end,connector on second end,analog signal,api supported,bus width,chipset line,digital signal,dual link dvi supported,number of monitors supported,number of stream processors,number of power supplies installed,rack height,keyboardkeypad connectivity technology,keyboardkeypad depth,keyboardkeypad features,keyboardkeypad height,keyboardkeypad host interface,keyboardkeypad width,localization,number of keys,battery size supported,ergonomic fit,movement detection,movement resolution,number of batteries supported,pointing device connectivity technology,pointing device host interface,pointing device wireless technology,scroller type,number of hard drives installed,number of hard drives supported,protocols,frequency,input voltage range,maximum output power,buttons keys,charging capability,connectivity technology,powered usb,card height,ethernet aui,media type supported,network technology,number of network rj45 ports,poe rj45 port,serial port,total number of ports,usb,xjack,headphone,sata pin,output power,number of 25 bays,printed designpatterntexture,gobi supported,number of 2535 bays,number of 525 bays,number of solid state drive installed,number of solid state drive supported,power source,burst frequency,micro hdmi,horizontal frequency,panel technology,standard refresh rate,tilt angle,number of optical drives,adjustable display pivot,builtin devices,color supported,height with stand,offmode power consumption,usb standard,width with stand,depth with stand,number of speakers,number of graphic controllers,number of internal 25 bays,display size supported,display type supported,widescreen,gps,maximum video battery time,media layer supported,sas connector details,total number of sas ports,number of solid state drives,solid state drive configuration,total solid state drive capacity,language supported,keyboardkeypad cable length,flash memory,drive height,mini displayport
Lenovo Thinkcentre M93p 10a8000wca Desktop Computer - Intel Core I5 I5-4570 3.20 Ghz - Small Form Factor - Business Black - 4 Gb Ram - 500 Gb Hdd - Intel - Windows 7 Professional 64-bit (french) - (10A8000WCA) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,10A8000WCA,http : //www.lenovo.com/ca/en,,Yes,,ThinkCenter M93p 10A8000WCA Desktop Computer,Desktop Computer,,,No,Yes,Yes,Yes,6 MB,Intel,Q87 Express,Business Black,Serial ATA/600,14.8 '' ( 374.9 mm ),Yes,No,Gigabit Ethernet,Security Slot,,Small Form Factor,Intel,HD Graphics 4600,Shared,DDR3 SDRAM,"ENERGY STAR 5.0 , GREENGUARD , RoHS , ULE Gold , EPEAT Gold",Yes,,4 '' ( 102.1 mm ),,,No,Yes,3 Year,32 GB,240 W,DDR3-1600/PC3-12800,DDR3 SDRAM,,,,1.0,1.0,4.0,4.0,6.0,Windows 7 Professional Upgradable to Windows 8 Pro ( French ),64-bit,DVD-Writer,DVD-RAM/Â±R/Â±RW,ThinkCenter M93p 10A8000WCA Desktop ComputerUSB KeyboardUSB MouseWindows 8 Pro License MediaFloor Stand,Mouse,Quad-core ( 4 Core ),Intel,i5-4570,3.20 GHz,Core i5,ThinkCentre,10A8000WCA,M93p,,,4 GB,8.0,Yes,Yes,7.80 kg,13.3 '' ( 338.1 mm ),,,,,,No,,,5 GT/s,,,,,,,,,French,Physical Keyboard,,3.60 GHz,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,Serial ATA/600,7200.0,1.0,,2.0,,1.0,,"0 , 1",Yes,,500 GB,,,,,,2.0,Yes,DIMM,2.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovoemc Storcenter Px4-300r Network Storage Array, Server Class Series - 1 X Intel Celeron E1500 2.20 Ghz - 4 X Total Bays - 8 Tb Hdd (4 X 2 Tb) - 2 Gb Ram - Raid Supported - 3 X Usb Ports - (70BJ9007WW) - SoftwareCity.ca - Canada",LenovoEMC,,,,,,,Lenovo Group Limited,70BJ9007WW,http : //www.lenovo.com/ca/en,,Yes,,"StorCenter px4-300r Network Storage Array , Server Class Series",NAS Server,,,,,,,,,,,,20 '' ( 508 mm ),,,,,,Rack-mountable,,,,,,,,1.7 '' ( 43.2 mm ),,,,,,,,,,,,,1.0,,1.0,,,EMC LifeLine,,,,,,Dual-core ( 2 Core ),Intel,E1500,2.20 GHz,Celeron,StorCenter,px4-300r,Server Class,,,2 GB,3.0,,,14.97 kg,17 '' ( 431.8 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 x 2 TB,Serial ATA,7200.0,,,,,,,"0 , 1 , 10 , 5 , 5+1 Hot Spare , JBOD , 51",Yes,,8 TB,,,,,,3.0,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1U,,,,,,,,,,,,,,,,,,4,,"iSCSI , DHCP , UPnP , IP , CIFS/SMB , NFS , AFP , Bonjour , FTP , TFTP , HTTP , HTTPS , WEBDAV , DFS , SNMP , RSync , PTP , LACP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Displayport To Dual-displayport Adapter - Displayport For Audio/video Device, Monitor - 1 X Displayport Male Digital Audio/video - 2 X Displayport Female Digital Audio/video - (0B47092) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,0B47092,http : //www.lenovo.com/ca/en,,,,DisplayPort to Dual-DisplayPort Adapter,A/V Cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.3 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Audio/Video Device , Monitor",,,,,,,,,,,,,,DisplayPort,Copper,1 x DisplayPort Male Digital Audio/Video,2 x DisplayPort Female Digital Audio/Video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Xeon E5-2640 V2 Octa-core (8 Core) 2 Ghz Processor Upgrade - Socket Fclga2011 - 2 Mb - 20 Mb Cache - 7.20 Gt/s Qpi - 5 Gt/s Dmi - Yes - 2.50 Ghz Overclocking Speed - 22 Nm - 95 W - 167Â°f (75Â°c) - (0C19555) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,0C19555,http : //www.lenovo.com/ca/en,,,,Xeon Octa-core E5-2640 v2 2GHz Server Processor Upgrade,Processor Upgrade,,,,Yes,,,,,,,,2 '' ( 51 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Octa-core ( 8 Core ),Intel,,,,Xeon,E5-2640 v2,E5-2600 v2,,,,,,,,2.1 '' ( 52.5 mm ),,,,,,,,,5 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,7.20 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,2 GHz,,512 KB,2 MB,20 MB,2.50 GHz,22 nm,Socket FCLGA2011,"Turbo Boost Technology 2.0 , vPro Technology , Hyper-Threading Technology , Extended Memory 64 Technology , Enhanced SpeedStep Technology , Thermal Monitoring Technology , Trusted Execution Technology , Virtualization Technology , Demand Based Switching",95 W,167Â°F ( 75Â°C ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkpad T540p 20be003gus 15.6"" Led Notebook - Intel Core I5 I5-4300m 2.60 Ghz - Black - 4 Gb Ram - 180 Gb Ssd - Dvd-writer - Intel Hd 4600 - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth - (20BE003GUS) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,20BE003GUS,http : //www.lenovo.com/ca/en,,Yes,,ThinkPad T540p 20BE003GUS Notebook,Notebook,,,Yes,Yes,,,3 MB,Intel,QM87 Express,Black,,9.8 '' ( 248.2 mm ),Yes,,Gigabit Ethernet,,,,Intel,HD 4600,Shared,DDR3L SDRAM,"EPEAT Gold , ENERGY STAR 5.0 , GREENGUARD , RoHS",Yes,,1.3 '' ( 33.8 mm ),,,Yes,Yes,3 Year,16 GB,65 W,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,,,,,2.0,2.0,Windows 7 Professional Upgradable to Windows 8 Pro,64-bit,DVD-Writer,DVDÂ±R/Â±RW,ThinkPad T540p 20BE003GUS Notebook Lithium Ion Battery AC Adapter Windows 8 Pro 64-bit License Media,"Trackpoint , TouchPad",Dual-core ( 2 Core ),Intel,i5-4300M,2.60 GHz,Core i5,ThinkPad,20BE003GUS,T540p,Lenovo Solution Center ThinkVantage Product Recovery Rescue and Recovery ThinkVantage System Update Lenovo Cloud Storage by SugarSync Intel AppUp PC Device Stage Adobe Reader Nitro Pro Evernote Skype Microsoft Office Preloaded ( purchase a product key to activate ) Norton Internet Security ( 30 days of virus definitions ) Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer,,4 GB,4.0,Yes,Yes,2.41 kg,14.8 '' ( 376.7 mm ),IEEE 802.11ac,16 : 9,LED,Lithium Ion ( Li-Ion ),56 Wh,Yes,Bluetooth 4.0,,5 GT/s,,Active Matrix TFT Color LCD,ExpressCard/34,Yes,,,Yes,No,,,7 Hour,3.30 GHz,Yes,"Secure Digital ( SD ) , Secure Digital Extended Capacity ( SDXC ) , Secure Digital High Capacity ( SDHC ) , MultiMediaCard ( MMC )",Yes,,6-cell,,HD,1366 x 768,15.6 '',"Power-on Password Hard Disk Password Supervisor Password Security Keyhole Trusted Platform Module , TCG 1.2-Compliant",,180 GB,Serial ATA/600,Yes,Multi-touch Gesture,,,Intel,Dual Band Wireless-AC 7260,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ultrabay Slim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Thinkcentre M73 10b60009us Desktop Computer - Intel Core I3 I3-4130 3.40 Ghz - Small Form Factor - Business Black - 4 Gb Ram - 500 Gb Hdd - Dvd-writer - Intel Hd 4400 - Windows 7 Professional 64-bit - (10B60009US) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,10B60009US,http : //www.lenovo.com/ca/en,,Yes,,ThinkCentre M73 10B60009US Desktop Computer,Desktop Computer,,,No,Yes,Yes,Yes,3 MB,Intel,H81 Express,Business Black,Serial ATA/600,15 '' ( 381 mm ),Yes,No,Gigabit Ethernet,Security Slot,No,Small Form Factor,Intel,HD 4400,Shared,DDR3 SDRAM,"GREENGUARD , RoHS",Yes,,3.9 '' ( 99.1 mm ),,,Yes,Yes,3 Year,16 GB,240 W,DDR3-1600/PC3-12800,DDR3 SDRAM,No,No,,1.0,1.0,3.0,2.0,2.0,Windows 7 Professional,64-bit,DVD-Writer,DVD-RAM/Â±R/Â±RW,ThinkCentre M73 10B60009US Desktop Computer Keyboard Moluse Floor Stand Windows 8 Pro License Media,Mouse,Dual-core ( 2 Core ),Intel,i3-4130,3.40 GHz,Core i3,ThinkCentre,10B60009US,M73,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility ThinkVantage Power Manager View Management Utility PC Device Stage Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Evernote Microsoft Office Preloaded ( Purchase Product Key to Activate ) Cyberlink Power2Go Cyberlink PowerProducer Nitro Pro,,4 GB,6.0,Yes,No,6.60 kg,13.2 '' ( 335.3 mm ),,,,,,No,,,5 GT/s,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serial ATA/600,7200.0,1.0,,1.0,,,,,,,500 GB,,,,,,4.0,Yes,DIMM,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Toshiba Canvio Slim 1 Tb External Hard Drive - Usb 3.0 - 5400 Rpm - 8 Mb Buffer - Portable - Black - (HDTD210XK3E1) - SoftwareCity.ca - Canada,Toshiba,,,,External,,,Toshiba,HDTD210XK3E1,http : //www.toshiba.ca,640 MBps ( 5 Gbps ),,,1TB Canvio Slim II Portable Hard Drive ( Black ),Hard Drive,5400 rpm,1 TB,,,,,,,,Black,,4.2 '' ( 106.9 mm ),,,,Password Protection,,Portable,,,,,,,,0.5 '' ( 12.4 mm ),,,,,3 Year,,,,,,,,,,,,,,,,,1TB Canvio Slim II Portable Hard Drive ( Black ) USB 3.0 Cable Quick Start Guide,,,,,,,Canvio Slim,,,NTI Backup Now EZ ( preloaded on drive ) NTFS driver for Mac ( preloaded on drive ) Pogoplug for PC Software ( preloaded on drive ) HDD Password Tool ( preloaded on drive ),,,,,,155.1 g,3 '' ( 74.9 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mac , PC",,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,8 MB,,USB 3.0,Available USB 3.0 or USB 2.0 port Operating System ( s ) : Windows XP Windows 7 Windows 8 Mac OS X Snow Leopard Mac OS X Lion Mac OS X Mountain Lion,,,,,,,,,,,,,12 ms,,,,,,,,,,,,,,,,,,,,,Notebook/Desktop PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Thinkserver 800w Hot Swap Redundant Power Supply - (0A89426) - SoftwareCity.ca - Canada,Lenovo,Lenovo ThinkServers : RD530 RD630 TD330,,,,,,Lenovo Group Limited,0A89426,http : //www.lenovo.com/ca/en,,,,ThinkServer 800W Hot Swap Redundant Power Supply,Power Module,,,,,,,,,,,,8.8 '' ( 224.4 mm ),,,,,,,,,,,,,,1.5 '' ( 38.5 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857.3 g,2.9 '' ( 73.3 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkpad T440s 20ar000uus 14"" Led (in-plane Switching (ips) Technology) Ultrabook - Intel Core I7 I7-4600m 2.90 Ghz - Graphite Black - 8 Gb Ram - 128 Gb Ssd - Intel Hd 4600 - Windows 8 Pro 64-bit - 1920 X 1080 Display - Bluetooth - (20AR000UUS) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,20AR000UUS,http : //www.lenovo.com/ca/en,,Yes,,ThinkPad T440s 20AR000UUS Ultrabook,Ultrabook,,,Yes,Yes,,,4 MB,Intel,QM87 Express,Graphite Black,,8.9 '' ( 226.1 mm ),Yes,,Gigabit Ethernet,,,,Intel,HD 4600,Shared,DDR3L SDRAM,"EPEAT Gold , ENERGY STAR 5.0 , GREENGUARD , RoHS",Yes,,0.8 '' ( 20.6 mm ),,,Yes,Yes,3 Year,12 GB,45 W,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,,,,,1.0,3.0,Windows 8 Pro,64-bit,No,,ThinkPad T440s 20AR000UUS Ultrabook2 x Standard BatteriesAC Adapter,"TouchPad , Trackpoint",Dual-core ( 2 Core ),Intel,i7-4600M,2.90 GHz,Core i7,ThinkPad,20AR000UUS,T440s,,,8 GB,3.0,Yes,Yes,1.59 kg,13 '' ( 330.2 mm ),IEEE 802.11a/b/g/n/ac,16 : 9,LED,Lithium Ion ( Li-Ion ),23.50 Wh,Yes,Bluetooth 4.0,,5 GT/s,In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,,Yes,,,Yes,Yes,,,8.40 Hour,3.60 GHz,Yes,"MultiMediaCard ( MMC ) , Secure Digital ( SD ) , Secure Digital High Capacity ( SDHC ) , Secure Digital Extended Capacity ( SDXC )",Yes,,3-cell,,Full HD,1920 x 1080,14 '',"Power-on Password Hard Disk Password Supervisor Password Security Keyhole Trusted Platform Module , TCG 1.2-Compliant",,128 GB,Serial ATA/600,Yes,Multi-touch Gesture,No,,Intel,Dual Band Wireless-AC 7260,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkpad T540p 20be004eca 15.6"" Led Notebook - Intel Core I5 I5-4300m 2.60 Ghz - Black - 4 Gb Ram - 500 Gb Hdd - Dvd-writer - Intel Hd 4600 - Windows 7 Professional 64-bit - 1920 X 1080 Display - Bluetooth - (20BE004ECA) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,20BE004ECA,http : //www.lenovo.com/ca/en,,Yes,,ThinkPad T540p ( 20BE-004ECA ),Notebook,,,Yes,Yes,,,3 MB,Intel,QM87 Express,Black,,9.8 '' ( 248.2 mm ),Yes,,Gigabit Ethernet,,,,Intel,HD 4600,Shared,DDR3L SDRAM,"GREENGUARD , RoHS , ENERGY STAR 5.0 , EPEAT Gold",Yes,,1.2 '' ( 29.5 mm ),,,Yes,Yes,3 Year,16 GB,65 W,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,,,,,2.0,2.0,Windows 7 Professional,64-bit,DVD-Writer,DVDÂ±R/Â±RW,ThinkPad T540p ( 20BE-004ECA ) Lithium Ion BatteryAC Adapter,"TouchPad , Trackpoint",Dual-core ( 2 Core ),Intel,i5-4300M,2.60 GHz,Core i5,ThinkPad,20BE004ECA,T540p,,,4 GB,4.0,Yes,,2.41 kg,14.8 '' ( 376.7 mm ),IEEE 802.11a/b/g/n,16 : 9,LED,Lithium Ion ( Li-Ion ),56 Wh,Yes,Bluetooth 4.0,,5 GT/s,,Active Matrix TFT Color LCD,ExpressCard/34,Yes,,,Yes,,,,7 Hour,3.30 GHz,Yes,"Secure Digital ( SD ) Card , Secure Digital Extended Capacity ( SDXC ) , Secure Digital High Capacity ( SDHC ) , MultiMediaCard ( MMC )",Yes,,6-cell,,Full HD,1920 x 1080,15.6 '',"Power-on Password Hard Disk Password Supervisor Password Security Keyhole Trusted Platform Module , TCG 1.2-compliant",,,,Yes,Multi-touch Gesture,,,Intel,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Serial ATA/600,7200.0,,,,,,,,,,,,,,,500 GB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ultrabay Slim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Thinkcentre M73 10ay0020us Desktop Computer - Intel Core I5 I5-4570t 2.90 Ghz - Tiny - Business Black - 4 Gb Ram - 128 Gb Ssd - Intel Hd 4600 - Windows 7 Professional 64-bit - Wireless Lan - Bluetooth - (10AY0020US) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,10AY0020US,http : //www.lenovo.com/ca/en,,Yes,,ThinkCentre M73 ( 10AY-0020US ),Desktop Computer,,,Yes,Yes,Yes,Yes,4 MB,Intel,H81 Express,Business Black,Serial ATA/600,7.2 '' ( 182.9 mm ),Yes,No,Gigabit Ethernet,Security Slot,,Tiny,Intel,HD 4600,Shared,DDR3 SDRAM,"GREENGUARD , RoHS , ENERGY STAR 5.2 , EPEAT Gold",Yes,,1.4 '' ( 35.6 mm ),,,Yes,Yes,3 Year,16 GB,65 W,DDR3-1600/PC3-12800,DDR3 SDRAM,,No,1.0,1.0,1.0,1.0,2.0,2.0,Windows 7 Professional,64-bit,,,ThinkCentre M73 ( 10AY-0020US ) Keyboard Mouse Power Adapter,Mouse,Dual-core ( 2 Core ),Intel,i5-4570T,2.90 GHz,Core i5,ThinkCentre,10AY0020US,M73,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility ThinkVantage Power Manager View Management Utility PC Device Stage Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Evernote Microsoft Office Preloaded ( Purchase Product Key to Activate ) Cyberlink Power2Go Cyberlink PowerProducer Nitro Pro,,4 GB,5.0,Yes,,1.30 kg,7 '' ( 177.8 mm ),IEEE 802.11b/g/n,,,,,Yes,Bluetooth 4.0,,,,,,,,,,,,,,3.60 GHz,No,,,,,,,,,,,,Serial ATA/600,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,SoDIMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,128 GB,,,,,
Lenovo Thinkcentre M73 10b6000aca Desktop Computer - Intel Pentium G3220 3 Ghz - Small Form Factor - Business Black - 2 Gb Ram - 500 Gb Hdd - Dvd-writer - Intel Hd Graphics - Windows 7 Professional 64-bit (french) - French Keyboard - (10B6000ACA) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,10B6000ACA,http : //www.lenovo.com/ca/en,,Yes,,ThinkCentre M73 10B6000ACA Desktop Computer,Desktop Computer,,,No,Yes,Yes,Yes,3 MB,Intel,H81 Express,Business Black,Serial ATA/600,15 '' ( 381 mm ),Yes,No,Gigabit Ethernet,Security Slot,No,Small Form Factor,Intel,HD Graphics,Shared,DDR3 SDRAM,"GREENGUARD , RoHS",Yes,,3.9 '' ( 99.1 mm ),,,No,Yes,3 Year,16 GB,240 W,DDR3-1600/PC3-12800,DDR3 SDRAM,No,No,,1.0,1.0,3.0,2.0,2.0,Windows 7 Professional Upgradable to Windows 8 Pro ( French ),64-bit,DVD-Writer,DVD-RAM/Â±R/Â±RW,ThinkCentre M73 10B6000ACA Desktop Computer Keyboard Mouse Floor Stand Windows 8 Pro License Media,Mouse,Dual-core ( 2 Core ),Intel,G3220,3 GHz,Pentium,ThinkCentre,10B6000ACA,M73,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility ThinkVantage Power Manager View Management Utility PC Device Stage Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Evernote Microsoft Office preloaded ; purchase a product key to activate Cyberlink Power2Go Cyberlink PowerProducer Nitro Pro,,2 GB,6.0,Yes,No,6.62 kg,13.2 '' ( 335.3 mm ),,,,,,No,,,5 GT/s,,,,,,,,,French,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serial ATA/600,7200.0,1.0,,1.0,,,,,,,500 GB,,,,,,4.0,Yes,DIMM,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
