<page title>,depth,display size,display type,green compliance,height,included devices,included network card,input devices,installed memory,interface connection,laptop type,memory technology,number of cells,processor class,processor speed,solid state drive capacity,url,warranty information,width,battery life,operating system,slots,video chipset,weight,color,hard drive capacity,included drives,maximum memory,aspect ratio,cache size,installed video memory,max resolution,number of hard drives included,number of processor cores,64bit processing,battery energy,brand name,bus speed,dimensions,drive controllers,duallayer media support,graphics memory technology,hard drive rpm,network rj45,normalizedcache size,normalizeddisplay size,normalizedhard drive capacity,normalizedheight,normalizedinstalled memory,normalizedinstalled video memory,normalizedprocessor speed,normalizedweight,number of total memory slots,number of usb 20 ports,product line,screen mode,software included,total number of usb ports,video bus,video integration,video memory,wifi manufacturer,wifi model,number of solid state drives included,parent retsku,direct media interface,headphonemicrophone combo port,hyperthreading,memory card reader,multitouch screen,number of usb 30 ports,processor model,product series,touchpad features,audio line out,frequency band,keyboard backlight,maximum power supply wattage,operating system architecture,product model,tv card,category,class,modem,modem rj11,front camera,keyboard type,operating system platform,solid state drive interface,audio codec,audio line in,near field communication,vpro technology,cd rewrite speed,cd write speed,cdrom read speed,dvdrom read speed,normalizedcd rewrite speed,normalizedcd write speed,normalizeddvdrom read speed,wwan support
"Acer Aspire P3-131-21294G06as Ultrabook/Tablet - 11.6"" - In-plane Switching IPS Technology - Wireless LAN - Intel Pentium 2129Y 1.10 GHz (4 GB RAM - 60 GB SSD - Windows 8 64-bit - 1366 X 768 Multi-touch Screen Display LED Backlight - Bluetooth) Price Comparison at Buy.net",11.6 in,11.6 in,In-plane Switching ( IPS ) Technology LED Backlight,,0.4 in,Built-In Microphone Yes|Built-In Fingerprint Reader No,IEEE 802.11a/b/g/n|Bluetooth 4.0 + HS,Touch Screen Yes,4 GB,1 x USB 3.0|HDMI Yes|Audio Line In Yes|Audio Line Out Yes,Ultrabook/Tablet,DDR3 SDRAM,4-cell,Intel Pentium,1.10 GHz,60 GB,http : //us.acer.com,,7.5 in,6 Hour,Windows 8,,Intel HD Graphics,1.74 lbs,,,,,,,,,,,Yes,40 Wh,Acer,,,,,DDR3 SDRAM,,,,,,,,,,,,,Aspire,HD,,1.0,,,,Atheros,MD222,,B00E3KSJJM,5 GT/s,,No,No,Yes,1.0,2129Y,P3-131,,Yes,Wireless LAN : Acer Nplify 802.11a/b/g/n,,65 W,64-bit,P3-131-21294G06as,No,,,,,Yes,Touchscreen Keyboard,Windows,Serial ATA/600,,Yes,,,,,,,,,,
"Lenovo X240 20AL009CUS 12.5"" LED In-plane Switching IPS Technology Ultrabook - Intel - Core I7 I7-4600U 2.1GHz - Black (8 GB RAM - 256 GB SSD - Intel HD 4400 - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",,12.5 in,In-plane Switching ( IPS ) Technology LED Backlight,EPEAT Gold|GREENGUARD|RoHS|ENERGY STAR 5.0,,Built-In Microphone Yes|Built-In Fingerprint Reader Yes|Built-In Webcam Yes|Keyboard Backlight Yes,Gigabit Ethernet|Bluetooth 4.0,TouchPad|Trackpoint,8 GB,2 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes,Ultrabook,DDR3L SDRAM,3-cell,Intel Core i7,2.10 GHz,256 GB,http : //www.lenovo.com/us/en/,3 Year,,8.70 Hour,Windows 7 Professional,Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ) |Secure Digital High Capacity ( SDHC ) |MultiMediaCard ( MMC ),Intel HD 4400,,Black,,,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MA254LLA White 13.3"" Notebook (1.83 GHz Intel Core Duo T2400, 1 GB DDR2, 60 GB HDD, CD-RW/DVD-ROM, Intel Graphics Media Accelerator 950, Mac OS X 10.4 Tiger) Price Comparison at Buy.net",8.92 in,13.3 in,Active Matrix LCD ( TFT ),WEEE,1.08 in,Built-In Webcam,Wireless Ethernet - IEEE802.11g|Gigabit Ethernet|Bluetooth,Touchpad|Keyboard,1 GB,USB - Universal Serial Bus 2.0|FireWire 400/IEEE 1394 - 4 pin|Ethernet - RJ45|DVI|Audio - Line Out ( 1/8 '' Mini ) |Audio - Line In ( 1/8 '' Mini ),,DDR2,,,1.83 GHz,,http : //store.apple.com/us,1 year ( s ),12.78 in,,Mac OS X 10.4 Tiger,,,5.2 lbs,White,60 GB,CD-RW/DVD-ROM,2 GB,16 : 10,2 MB,64 MB,1280 x 800,1,Dual-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung Chromebook 2 Luminous Titan 13"" Ultrabook (2 GHz Exynos 5 5800, 4 GB DDR3, 16 GB SSD, Chrome OS, LED Backlight) Price Comparison at Buy.net",8.8 in,13.3 in,LCD Display w/ LED Backlight,,0.65 in,Built-In Webcam,Wireless Ethernet - IEEE802.11n|Wireless Ethernet - IEEE802.11b|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11ac,Touchpad|Keyboard,4 GB,USB - Universal Serial Bus 3.0|USB - Universal Serial Bus 2.0|HDMI|Audio - Line Out ( 1/8 '' Mini ) |Audio - Line In ( 1/8 '' Mini ),Ultra Portable,DDR3,,,2 GHz,16 GB,http : //www.samsung.com/us/shop/,1 year ( s ),12.72 in,8.5 hour ( s ),Chrome OS,microSD Card,,3.09 lbs,,,,16 GB,16 : 9,2 MB,,1920 x 1080,,Octa-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire M5-481T-33226G52Mtss 14"" LED Ultrabook - Intel Core I3 I3-3227U 1.90 GHz (6 GB RAM - 500 GB HDD - 20 GB SSD - DVD-Writer - Intel HD 4000 - Windows 7 Home Premium 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",9.6 in,14 in,LED Backlight,,0.8 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0 + HS,TouchPad,6 GB,2 x USB 3.0|HDMI Yes|Ethernet RJ-45 Yes|Audio Line Out Yes,Ultrabook,DDR3 SDRAM,3-cell,Intel Core i3,1.90 GHz,20 GB,http : //us.acer.com,,13.4 in,8 Hour,Windows 7 Home Premium,Secure Digital ( SD ) Card,Intel HD 4000,4.30 lbs,,500 GB,DVD-RAM/R/RW,6 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) EliteBook 840 G1 14"" Touchscreen LED Notebook - Intel - Core I5 I5-4300U 1.9GHz (4 GB RAM - 500 GB HDD - Intel HD 4400 - Windows 7 Professional 64-bit English - 1366 X 768 Display - Bluetooth - English Keyboard) Price Comparison at Buy.net",9.3 in,14 in,LED Backlight,ENERGY STAR|EPEAT Gold|RoHS|WEEE|EU WEEE|IT Eco Declaration,0.8 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n/ac|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Pointstick|Touch Screen Yes,4 GB,4 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes,Notebook,DDR3L SDRAM,3-cell,Intel Core i5,1.90 GHz,,http : //www.hp.com,3 Year,13.3 in,,Windows 7 Professional Upgradable to Windows 8 Pro ( English ),SIM Card|Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ) |Secure Digital High Capacity ( SDHC ),Intel HD 4400,3.48 lbs,,500 GB,,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Edge E440 20C50052US 14"" LED Notebook - Intel - Core I3 I3-4000M 2.4GHz - Matte Black - Silver (4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4600 - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",9.4 in,14 in,LED Backlight,ENERGY STAR 5.2|RoHS|EPEAT Gold,1.2 in,Built-In Microphone Yes|Built-In Fingerprint Reader Yes|Built-In Webcam Yes,IEEE 802.11b/g/n|Gigabit Ethernet|Bluetooth 4.0,Trackpoint|TouchPad,4 GB,1 x USB 2.0|2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes,Notebook,DDR3L SDRAM,6-cell,Intel Core i3,2.40 GHz,,http : //www.lenovo.com/us/en/,1 Year,13.5 in,6.30 Hour,Windows 7 Professional Upgradable to Windows 8 Pro,Mini PCI Express|Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ) |MultiMediaCard ( MMC ),Intel HD 4600,4.70 lbs,Matte Black|Silver,500 GB,,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire E1-532-29574G50Mnrr 15.6"" LED Notebook - Intel Celeron 2957U 1.40 GHz - Red (4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD Graphics - Windows 7 Home Premium 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",10.1 in,15.6 in,LED Backlight,,1 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Built-In Webcam Yes,IEEE 802.11b/g/n|Gigabit Ethernet,TouchPad,4 GB,2 x USB 2.0|1 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line Out Yes,Notebook,DDR3L SDRAM,4-cell,Intel Celeron,1.40 GHz,,http : //us.acer.com,,15 in,4 Hour,Windows 7 Home Premium,Secure Digital ( SD ) Card,Intel HD Graphics,5.18 lbs,Red,500 GB,DVD-RAM/R/RW,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) ProBook 440 G1 14"" LED Notebook - Intel - Core I3 I3-4000M 2.4GHz (4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4600 - Windows 7 Home Premium 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",9.4 in,14 in,LED Backlight,WEEE|EU WEEE|RoHS|IT Eco Declaration|EPEAT Gold,0.9 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11b/g/n|Gigabit Ethernet|Bluetooth 4.0,TouchPad,4 GB,2 x USB 2.0|2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line In Yes|Audio Line Out Yes,Notebook,DDR3L SDRAM,6-cell,Intel Core i3,2.40 GHz,,http : //www.hp.com,1 Year,13.4 in,9.25 Hour,Windows 7 Home Premium,Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ) |Secure Digital High Capacity ( SDHC ) |Memory Stick|Memory Stick Extended Capacity ( MSXC ),Intel HD 4600,4.63 lbs,,500 GB,DVD-RAM/R/RW,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Panasonic Toughbook CF-C2CCBZXCM Tablet PC - 12.5"" - In-plane Switching IPS Technology - Intel Core I5 I5-4300U 1.90 GHz (8 GB RAM - 500 GB HDD - Windows 7 Professional - 1366 X 768 Multi-touch Screen Display LED Backlight - Bluetooth) Price Comparison at Buy.net",8.4 in,12.5 in,In-plane Switching ( IPS ) Technology LED Backlight,ENERGY STAR|RoHS,1.7 in,Built-In Microphone Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0 + EDR,TouchPad|Touch Screen Yes,8 GB,1 x USB 2.0|2 x USB 3.0|HDMI Yes|Ethernet RJ-45 Yes|Audio Line In Yes|Audio Line Out Yes,Tablet PC,DDR3L SDRAM,,Intel Core i5,1.90 GHz,,http : //www.panasonic.com,3 Year,11.8 in,14 Hour,Windows 7 Professional,ExpressCard/34|Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ),Intel HD 4400,3.72 lbs,,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple Macbook Pro With Retina Display Silver 13.3"" Notebook (2.6 GHz Intel Core I5, 8 GB DDR3, 512 GB SSD, Intel Iris Graphics, OS X Mavericks, LED Backlight) Price Comparison at Buy.net",8.6 in,13.3 in,Retina Display|In-plane Switching ( IPS ) Technology LED Backlight,EPEAT Gold|ENERGY STAR 6.0,0.7 in,Built-In Microphone Yes|Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11a/b/g/n/ac|Bluetooth 4.0,Track Pad,8 GB,2 x USB 3.0|HDMI Yes|Audio Line Out Yes|DisplayPort Yes|Thunderbolt Yes,Notebook,DDR3L SDRAM,,Intel Core i5,2.60 GHz,512 GB,http : //www.apple.com,1 Year,12.4 in,9 Hour,Mac OS X 10.9 Mavericks,Secure Digital Extended Capacity ( SDXC ),Intel Iris Graphics,3.46 lbs,Silver,,,16 GB,16 : 10,3 MB,,2560 x 1600,,Dual-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toshiba KIRAbook13-i5s-Touch Silver 13.3"" Ultrabook (1.6 GHz Intel Core I5-4200U, 8 GB DDR3, 256 GB SSD, Intel HD Graphics 4000, Windows 8.1, LED Backlight) Price Comparison at Buy.net",8.15 in,13.3 in,LCD Display w/ Glossy Screen & LED Backlight,RoHS|EPEAT Gold|Energy Star,0.7 in,Built-In Webcam,Wireless Ethernet - IEEE802.11n|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11ac|Wireless Ethernet - IEEE802.11b|Bluetooth,Touch Screen|Touchpad|Keyboard,8 GB,USB - Universal Serial Bus 3.0|HDMI|Audio - Line In ( 1/8 '' Mini ) |Audio - Line Out ( 1/8 '' Mini ),Ultra Portable,DDR3,4-cell,Intel Core i5,1.6 GHz,256 GB,http : //www.toshiba.com/us/computers/laptops/kira/kirabook13/KIRAbook13-i5s-touch,2 year ( s ),12.44 in,7.75 hour ( s ),Windows 8.1,SDXC Card|SDHC Card|SD Card|MultiMedia Card ( MMC ) |miniSD Card|microSD Card,Intel HD Graphics 4400,2.97 lbs,Silver,,,8 GB,16 : 9,3 MB,,2560 x 1440,,Dual-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Alienware 18 Grey 18.4"" Notebook (3.1 GHz Intel Core I7-4940MX, 32 GB DDR3, 1 TB SSD, AMD Radeon R9 M290X, Windows 7 Ultimate, LED Backlight) Price Comparison at Buy.net",12.91 in,18.1 in,LCD Display w/ Glossy Screen & LED Backlight,,2.26 in,Keyboard Backlight|Built-In Webcam,Wireless Ethernet - IEEE802.11n|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11b|Gigabit Ethernet|Bluetooth,Touchpad|Keyboard,32 GB,USB - Universal Serial Bus 3.0|HDMI|Ethernet - RJ45|DisplayPort|Audio - Line Out ( 1/8 '' Mini ) |Audio - Line In ( 1/8 '' Mini ),,DDR3,8-cell,Intel Core i7,3.1 GHz,1 TB,http : //www.dell.com/us/p/Alienware-18/pd ? oc=DKCWX04S,1 year ( s ),17.97 in,,Windows 7 Ultimate,xD-Picture Card|SDXC Card|SDHC Card|SD Card|MultiMedia Card ( MMC ) |Memory Stick PRO|Memory Stick,AMD Radeon R9 290X,12.06 lbs,Grey,,,32 GB,16 : 9,8 MB,8 GB,1920 x 1080,,Quad-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) EliteBook Revolve 810 G1 Tablet PC - 11.6"" - Wireless LAN - Intel Core I5 I5-3437U 1.90 GHz (4 GB RAM - 128 GB SSD - Windows 7 Professional 64-bit - Convertible - 1366 X 768 LED Backlight - Bluetooth) Price Comparison at Buy.net",8.3 in,11.6 in,LED Backlight,WEEE|IT Eco Declaration Yes,0.8 in,Built-In Microphone Yes|Keyboard Backlight Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet,ClickPad,4 GB,2 x USB 3.0|Ethernet RJ-45 Yes|Audio Line Out Yes|DisplayPort Yes,Tablet PC,DDR3 SDRAM,6-cell,Intel Core i5,1.90 GHz,128 GB,http : //www.hp.com,,11.2 in,8.50 Hour,Windows 7 Professional Upgradable to Windows 8 Pro,Micro SIM Card|microSD Card,Intel HD 4000,3.08 lbs,,,,12 GB,,,,,,,Yes,44 Wh,HP,,,,,DDR3 SDRAM,,Yes,,11.6,,20.32,4000.0,,1900.0,49.28,1.0,,EliteBook Revolve,HD,,2.0,,,,Intel,,,B00BNHOP9G,5 GT/s,,Yes,Yes,,2.0,i5-3437U,810 G1,,Yes,,Yes,45 W,64-bit,D3K48UT,,,,,,Yes,Physical Keyboard,Windows,mini-SATA,,,Yes,Yes,,,,,,,,
"Dell Latitude E6430 ATG Grey 14"" Notebook (2.7 GHz Intel Core I5-3340M, 2 GB DDR3, 500 GB HDD, DVD±RW, Intel HD Graphics 4000, Windows 7 Home Premium, LED Backlight) Price Comparison at Buy.net",9.7 in,14 in,LCD Display w/ Matte Screen & LED Backlight,Energy Star,1.37 in,Built-In Webcam,Wireless Ethernet - IEEE802.11n|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11b|Fast Ethernet|Bluetooth,Touchpad|Keyboard,2 GB,USB - Universal Serial Bus 2.0|VGA|USB - Universal Serial Bus 3.0|HDMI|Ethernet - RJ45|Audio - Line In ( 1/8 '' Mini ) |Audio - Line Out ( 1/8 '' Mini ),,DDR3,6-cell,Intel Core i5,2.7 GHz,,http : //www.dell.com/us/business/p/latitude-e6430-atg/pd,3 year ( s ),14.07 in,,Windows 7 Home Premium,SDXC Card|SDHC Card|SD Card|MultiMedia Card ( MMC ) |Memory Stick|Express Card 54,Intel HD Graphics 4000,5.25 lbs,Grey,500 GB,DVD+-RW,8 GB,16 : 9,3 MB,,1366 x 768 ( WXGA ),1,Dual-Core,,,,5 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad Flex Black/Grey 14"" Ultrabook (1.6 GHz Intel Core I5-4200U, 8 GB DDR3, 128 GB SSD, Intel HD Graphics 4400, Windows 8, LED Backlight) Price Comparison at Buy.net",9.5 in,14 in,LCD Display w/ LED Backlight,,0.85 in,Keyboard Backlight|Built-In Webcam,Wireless Ethernet - IEEE802.11n|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11b|Fast Ethernet|Bluetooth,Touchpad|Touch Screen|Keyboard,8 GB,Audio - Line Out ( 1/8 '' Mini ) |USB - Universal Serial Bus 3.0|USB - Universal Serial Bus 2.0|HDMI|Ethernet - RJ45|Audio - Line In ( 1/8 '' Mini ),Ultra Portable,DDR3,4-cell,Intel Core i5,1.6 GHz,128 GB,http : //shop.lenovo.com/us/en/laptops/ideapad/flex/flex-14,1 year ( s ),13.25 in,8 hour ( s ),Windows 8,SD Card|MultiMedia Card ( MMC ),Intel HD Graphics 4400,4.4 lbs,Grey|Black,,,8 GB,16 : 9,3 MB,,1366 x 768 ( WXGA ),,Dual-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire E1-522-45004G50Mnkk 15.6"" LED Notebook - AMD A-Series A4-5000 1.50 GHz - Black (4 GB RAM - 500 GB HDD - DVD-Writer - AMD Radeon HD 8330 - Windows 8.1 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",10.1 in,15.6 in,LED Backlight,,1 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Built-In Webcam Yes,IEEE 802.11b/g/n|Gigabit Ethernet,TouchPad,4 GB,2 x USB 2.0|1 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes,Notebook,DDR3L SDRAM,4-cell,AMD A-Series,1.50 GHz,,http : //us.acer.com,,15 in,4 Hour,Windows 8.1,Secure Digital ( SD ) Card,AMD Radeon HD 8330,5.29 lbs,Black,500 GB,DVD-RAM/R/RW,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell XPS15-8947SLV 15.6' I7 16GB 512GB Price Comparison at Buy.net,10 in,15.6 in,LCD Display w/ LED Backlight,,0.7 in,Built-In Webcam,Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11n|Wireless Ethernet - IEEE802.11b|Wireless Ethernet - IEEE802.11ac|Bluetooth,Touch Screen|Touchpad|Keyboard,16 GB,USB - Universal Serial Bus 3.0|USB - Universal Serial Bus 2.0|HDMI|DisplayPort|Audio - Line Out ( 1/8 '' Mini ),Ultra Portable,DDR3,6-cell,Intel Core i7,2.2 GHz,512 GB,http : //www.dell.com/us/p/xps-l502x/pd,1 year ( s ),14.6 in,11 hour ( s ),Windows 8.1,SDXC Card|SDHC Card|SD Card,NVIDIA GeForce GT 750M,4.44 lbs,Silver,,,16 GB,16 : 9,6 MB,2 GB,3200 x 1800,,Quad-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Microsoft Surface Pro 2 Dark Titanium 10.6"" Tablet (Intel Core I5, 8 GB DDR3, 256 GB HDD, Windows 8.1 Pro, LED Backlight) Price Comparison at Buy.net",0.2 in,10.6 in,LCD Display w/ LED Backlight,,6.8 in,,Wireless Ethernet - IEEE802.11n|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11b|Wireless Ethernet - IEEE802.11a|Bluetooth,Touch Screen,8 GB,USB - Universal Serial Bus 3.0|HDMI|Audio - Line In ( 1/8 '' Mini ) |Audio - Line Out ( 1/8 '' Mini ),Tablet,DDR3,,Intel Core i5,,,http : //www.microsoftstore.com/store/msusa/en_US/pdp/productID.286868700,1 year ( s ),10.8 in,,Windows 8 Pro,microSD Card,,2 lbs,Black,256 GB,,16 GB,16 : 9,,,1920 x 1080,1,Dual-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) ElitePad 900 G1 32GB Net-tablet PC - 10.1"" - Intel - Atom Z2760 1.8GHz (2 GB RAM - Windows 8.1 32-bit - Slate - 1280 X 800 Multi-touch Screen Display LED Backlight - Bluetooth) Price Comparison at Buy.net",7 in,10.1 in,LED Backlight,IT Eco Declaration|RoHS|WEEE|EU WEEE,0.4 in,Built-In Microphone Yes,IEEE 802.11a/b/g/n|Bluetooth 4.0 + HS,Touch Screen Yes,2 GB,,Net-tablet PC,,2-cell,Intel Atom,1.80 GHz,,http : //www.hp.com,1 Year,10.2 in,10.50 Hour,Windows 8.1,Micro SIM Card|microSD Card|microSD High Capacity ( microSDHC ),Intel Graphics Media Accelerator,1.38 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire E1-771-33116G50Mnii 17.3"" LED Notebook - Intel Core I3 I3-3110M 2.40 GHz (6 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4000 - Windows 7 Home Premium 64-bit - 1600 X 900 Display - Bluetooth) Price Comparison at Buy.net",10.8 in,17.3 in,LED Backlight,,1.4 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Built-In Webcam Yes,IEEE 802.11b/g/n|Gigabit Ethernet,TouchPad,6 GB,1 x USB 2.0|2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line In Yes|Audio Line Out Yes,Notebook,DDR3 SDRAM,6-cell,Intel Core i3,2.40 GHz,,http : //us.acer.com,,16.3 in,3 Hour,Windows 7 Home Premium,Secure Digital ( SD ) Card,Intel HD 4000,7.05 lbs,,500 GB,DVD-RAM/R/RW,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toshiba Satellite C55D-A5344 Black 15.6"" Notebook (1 GHz AMD E1-2100, 4 GB DDR3, 500 GB HDD, DVD±RW DL, AMD Radeon HD 8210, Windows 8) Price Comparison at Buy.net",9.5 in,15.6 in,TruBrite LED Backlight,RoHS|ENERGY STAR|EPEAT Gold,1.3 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11b/g/n|Fast Ethernet,TouchPad,4 GB,2 x USB 2.0|1 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line In Yes|Audio Line Out Yes,Notebook,DDR3 SDRAM,6-cell,AMD E-Series,1 GHz,,http : //www.toshiba.com,1 Year,15 in,5.30 Hour,Windows 8,Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ) |miniSD Card|microSD Card|MultiMediaCard ( MMC ),AMD Radeon HD 8210,5.30 lbs,Satin Black,500 GB,DVD-RAM/R/RW,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Panasonic Toughbook CF-53SJQZYLM 14"" LED Notebook - Intel Core I5 I5-3340M 2.70 GHz (4 GB RAM - 128 GB SSD - Intel HD 4000 - Windows 7 - 1366 X 768 Display) Price Comparison at Buy.net",11.1 in,14 in,LED Backlight,RoHS|ENERGY STAR|EPEAT Silver,2.2 in,,Gigabit Ethernet,TouchPad,4 GB,2 x USB 2.0|2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line In Yes|Audio Line Out Yes,Notebook,DDR3L SDRAM,,Intel Core i5,2.70 GHz,128 GB,http : //www.panasonic.com,3 Year,13.4 in,,Windows 7,PC Card Type II|ExpressCard/54|Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ),Intel HD 4000,5.80 lbs,,,,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
