<page title>,capacity,depth,dockable,height,ram,run time,speed,system type,technology,type,weight,widescreen,width,cache memory,device type,flash memory,form factor,interface,memory speed,monitor type,power provided,installed size,interface type,spindle speed,battery,dimensions wxdxh,display,dockable,environmental standards,graphics,localization,manufacturer selling program,manufacturer warranty,memory,networking,operating system,optical drive,processor,product description,security,storage,system type,weight,empty slots,features,slots qty,automatic duplexing,interface,max resolution bw,microsoft certification,monthly duty cycle max,print speed,printer type,ram installed max,total media capacity,aspect ratio,backlight life,brightness,color,diagonal size,interfaces,panel type,pixel pitch,power supply,response time,screen coating,viewable size,product type,resolution,storage,touchscreen,channel qty,localization,raid level,video memory,card reader,image enhancement technology,language simulation,max media size,max resolution color,media handling,media size class,media type,power,system requirements,main storage,optical drive,color,case material,battery life,battery type,best buy pc app,bluetoothenabled,bluray player,builtin webcam,cache memory,computer hard drive size,digital media reader or slots,directdisc labeling,display type,drive capacity,energy star certified,epeat qualified,game ports,graphics card,graphics chip,hard drive type,hdmi output,ieee 1394 firewire ports,laptop weight,modem,mpeg,operating system bit version,operating system platform,parallel ports,pcmcia slots,pointing device,processor brand,processor speed,screen size measured diagonally,speakers,svideo outputs,system memory ram,system memory ram expandable to,tv tuner,type of memory ram,usb 20 ports,video memory,wireless networking,bypass feeder capacity,copier type,device type,document feeder capacity,fax resolutions,fax type,max copying resolution,max copying speed,max fax transmission speed,max media capacity,max printing resolution,max printing speed,media size,office machine features,original size,original type,output trays capacity,pc connection,pc connection availability,printing technology,scanning,standard media capacity,hard drive size,keyboard description,network card,other control devices mouse etc,recordable dvd drive,recordable dvd drive speeds,software included,tilt,touchscreen,audio output,cache per processor,camera,card reader,form factor,graphics controller,hard drive,monitor,optical storage,os provided,platform technology,processor main features,processor socket,ram,storage controller,type,2in1,audio,customized convenience,more expansion less expense,solid security,receiver,backlit keyboard,gaming series,included software,optical drive speeds,wireless display,adobe flash compatible,data plan required,digital camera,digital camera pixels,front facing webcam,front facing webcam pixels,gps enabled,gps enabled with,headphone jack,internal storage type,pricematch,sd card slot,storage capacity,wifi built in,installed qty,beautifully slim,everlasting memories,sensational fun,superior productivity,wireless,power,microsoft office preloaded,contrast ratio,pixel per inch,speakers,automatic document feeder,automatic document reduction,automatic redial,available print modes,bit depth,black printer resolution,color printer resolution,copier resolution dpi,copier speed bw,copier speed color,document feed type and capacity,duty cycle,fax transmission speed,fontstypefaces,input paper capacity,media sizes,media types,minimum system requirements,multiple copies,networking capabilities,number of speed dials,output paper capacity,pcfree printing,print quality,print speed bw,print speed color,reduction enlargement,scan method,scanner resolution dpi,scanner type,total ink tankscartridge,twosided printer,type of interface,os provided,additional audiovideo connectors,connectivity,mechanical design,batteries needed,battery included,battery quantity,color category,connection type,cordlesswireless,ergonomic,leftrighthanded design,mac compatible,optical technology,port connection,type of pointing device,sharing files and documents is a snap,get connected in more ways than one,store it all,carrier,processor,aspect ratio,brightness,builtin devices,color support,compliant standards,contrast ratio,display position adjustments,input connectors,native resolution,panel type,pixel pitch,response time,all media,connect,do more,easy fun,memory,vesa support,ink palette supported colors,inkjet technology,printer features,product type,max media size custom,ssd cache,sound emission,hard drive capacity,number of ports,power consumption,bundled with,screen coating,fun shareable services,hd video recording,inspiring mobile freedom in your life,location,processor clock speed,rich multimedia experience,sleek portable design,supported flash memory cards,wireless connectivity,amazing angles with ips,beauty and brains,hp and the environment on your side,jawdropping details,software that simplifies,compatibility,dvid input,dvid with hdcp input,hdmi input,inputs,maximum resolution,product depth with stand,speakers included,vga input,airprint enabled,bundled services,min media size custom,pricing type,designed for,features,hot keys function,antiglare coating,horizontal frequency,monitor type,screen refresh rate,vertical frequency,fax memory,product depth without stand,additional features,5 customizable buttons,bluetrack technology,comfort and durability,tilt wheel,backlight technology,battery capacity,battery chemistry,dimensions w x d x h,display screen type,finger print reader,graphics controller manufacturer,graphics memory accessibility,graphics memory technology,hdmi,height,keyboard,maximum battery run time,maximum power supply wattage,memory card reader,memory card supported,memory technology,microphone,multitouch screen,number of cells,number of usb 30 ports,operating system architecture,optical drive type,pointing device type,processor manufacturer,processor model,processor turbo speed,processor type,screen mode,screen resolution,screen size,solid state drive capacity,standard memory,total number of usb ports,webcam,wireless lan standard,battery indicator,scrolling wheel,drop size,paper feeder,green compliance,number of buttons,total print heads,bays,available expansion slots,gorgeous gaming power,included service,instinctfast response,optimum game control,spectacle of sound,input device,heavy security exceptionally managed,reliability for the long haul,the solution for diverse business demands,preview screen size,ips,portrait andor landscape viewable,at home in your environment,barcodes,featurerich and up to any task,print from a usb flash drive,recommended monthly volume,print on cddvd,wireless broadband wwan,dimensions,display format,hdmi ports qty,lan protocol,pc interface,power device,remote control,targeting,tv tuner,viewing angle,7 capacitive multitouch screen,battery run time,fast processor,frontfacing camera,movies and tv shows,responsive touch screen,slim lightweight portable,supported still image formats,supported text formats,flash memory installed max,speaker system,stand,stand design,read speed,series,incredible beauty vibrant portability,incredible cloud store share and sync,incredible sound incredible sound with sonicmaster,pricing type,killer gaming lan priority online gaming lead the way,outstanding management of power usage,carry less,durable and dependable,productive powerhouse,security you can depend on,the power of touch,display screen technology,ethernet technology,network rj45,number of usb 20 ports,processor core,vga,wireless capability,essential security,were right behind you,environmentally friendly,auto sensing,interface slot type,lan connection,number of lan ports,speed,ips panel provides vivid images on the go,supernote super great app for more than note taking,data compression system,onscreen image controls,zooming capabilities,document management also made easy,everything the small workgroup requires,keyboard design,mouse included,multimedia keys,palm rest,available expansion bays,10point multitouch display,four awesome modes one incredible device,instant resume,multimode keyboard,robust harddrive protection,rocksolid durability,print speed photo,antenna qty,frequency band,usb 30 and network connectivity,print documents and web pages fast,cables included,connectivity technology,movement detection technology,movement resolution,os required,performance,a powerful tablet doesnt have to be complicated,make the most of the real estate,make the most of your downtime,hp support,impressive audio and visual experience,power to perform,put it together,integrated options,sensors,detailoriented display,familyfriendly,low battery,magazines come to life,more productive than ever,security at your fingertips,security devices,ultrathin and lighter,dolby advanced audio v2,intel processor,precision keyboard,ultradurable and milspec tested,vga port,discrete graphics,ambibright,digital uniformity compensation,rapid response,add style and priority by customizing your home screen,meetings made easy no paper or servers necessary,powering entertainment and empowering productivity,seamless multi tasking four different ways,take web meetings to the next level,maximum memory,number of total memory slots,mounting kit,a classic timeless design,precise input,providing a smooth computing experience
HP ProDisplay P17A - LED monitor - 17 - Smart Buy,,,,,,,,,,,8.2 lbs `` 8.2 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 : 4,30 000 hours,250 cd/m2,Black,17,VGA,TN,0.264 mm,Internal,5 ms,Anti-glare,17 '',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 : 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung Tab 3 10.1"" Tablet Computer, Intel Atom Dual Core 1.6GHz, 1GB RAM, 16GB Flash Memory, Android 4.2 Jelly Bean, White",,,,,,,,,,,,,,,,,,,,,,,,,,6.9 in x 0.3 in x 9.6 in,10.1 '' TFT - 1280 x 800 ( 149 ppi ) - Multi-Touch,,,,,,1 year warranty,,,Android 4.2 ( Jelly Bean ),,Intel Atom Z2560 ( Dual-Core ),Samsung Galaxy Tab 3 - tablet - Android 4.2 ( Jelly Bean ) - 16 GB - 10.1 '',,16 GB,,18 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Megapixel rear + 1.3 Megapixel front,,,,,,,,,,,1 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tablet,,,,,,,,,,,,GPS/GLONASS receiver,1.6 GHz,,,microSD,"802.11 a/b/g/n , Bluetooth 4.0",,,,,,,,,,,,,,,,,,,,USB host,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Enjoy your favorite tablet apps and activities on the Galaxy Tab 3 . Search , explore , and buy online with fast web-browsing . Stay connected with friends wherever you are . Download apps , catch up on email , and more . It 's fun and easy for the whole family .",With Multi Window on the Galaxy Tab 3 you can use two applications side-by-side . Do two things at once - look up the restaurant 's menu while you schedule your dinner party or watch a YouTube video while you chat on Facebook . The options are limitless .,"The Galaxy Tab 3 is a universal remote control , toy box , and bookshelf all-in-one ! There 's never a dull moment when you 've got the Galaxy Tab 3 in hand .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEC 23"" Widescreen Professional Graphics Desktop Monitor, 1920x1080 Native Resolution, 8ms Response Time, 250cd/m2 Brightness",,,,,,,,,,,,,,,,,,,,,,,,,,21.4 in x 9 in x 13.3 in - with stand,,,ENERGY STAR Qualified,,,,4 years warranty,,,,,,NEC MultiSync P232W-BK - LED monitor - 23 '',,,,20.3 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED-backlit LCD monitor - 23 '',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Widescreen - 16 : 9,250 cd/m2,USB hub,1.07 billion colors,DDC/CI,1000 : 1,"Height , pivot ( rotation ) , swivel , tilt","HDMI , DVI-D , VGA , DisplayPort",FullHD 1920 x 1080,IPS,0.265 mm,8 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Compaq 6305 Pro - A series A6-5400B 3.6 GHz - 4 GB - 500 GB,1 x 500 GB,14.9 in,,3.9 in,,,,,Optical,Integrated HDD,16.8 lbs,,13.3 in,1 MB L2 cache,Power supply,,DIMM 240-pin,PS/2,1600 MHz,None .,240 Watt,,SATA 6Gb/s,7200 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion TouchSmart 23-f364 - A series A6-5200 2 GHz - 8 GB - 1 TB - LED 23,1 x 1 TB,4 in,,18.7 in,,,,,Optical DDR3 SDRAM,Integrated HDD,17 lbs,,23.7 in ``,2 MB L2 cache,Power adapter,,All-in-one Integrated,,1600 MHz,,90 Watt,,SATA,7200 rpm,,,,,,,,,,,,,,,,,,,,,Scroll,,,,,,,,,,,,,,,23,,,,,5 ms,,,,,,,,,,,7 in 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wireless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Remarketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Pro x2 410 G1 - 11.6"" - Core i5 4202Y - Windows 8.1 Pro 64-bit - 4 GB RAM - 256 GB SSD",,,,,,,,,,,,,,,,,,,,,,,,,2-cell,11.9 in x 8.2 in x 0.9 in,11.6 '' LED backlight touchscreen HD UWVA 1366 x 768 / HD,Yes,ENERGY STAR Qualified,Intel HD Graphics 4200,English / United States,HP Smart Buy,1 year warranty,4 GB DDR3L,"802.11n , Bluetooth 4.0 EDR",Windows 8.1 Pro 64-bit,,Intel Core i5 ( 4th Gen ) 4202Y / 1.6 GHz ( 2 GHz ) / 3 MB Cache,HP Pro x2 410 G1 - 11.6 '' - Core i5 4202Y - Windows 8.1 Pro 64-bit - 4 GB RAM - 256 GB SSD,Trusted Platform Module ( TPM 1.2 ) Security Chip,256 GB - M.2 SSD,Tablet,3.5 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyboard dock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Enjoy always-on self-help support built right into your PC , for the life of your PC , included. [ 8 ] . HP Care Pack with Accidental Damage Protection helps you avoid out-of-pocket repair or replacement costs and delivers service right to your door. [ 9 ] . Relax . You 're backed by expert support when you extend and expand beyond your standard warranty with HP Care Packs. [ 9 ] . The embedded Trusted Platform Module 1.2 ( TPM ) provides hardware-based encryption keys to help secure your data , email and user credentials .","Dual Full HD Webcams [ 4 ] capture all the details with vibrant clarity , even in low light . Designed for a rich and immersive audio experience . Enjoy clear , bright web chats [ 3 ] with a difference you can see and hear , thanks to dual webcams , an HD display , [ 4 ] and Beats Audio . Connect wirelessly to your WiDi ready devices. [ 5 ] . Sync , photos and music with HP Connected Photo [ 6 ] and HP Connected Music . [ 7 ] .","Meet the lightning-fast solid-state drives that can keep up with your every demand . Quick and efficient , an HP solid-state drive helps you work through tasks without stops or stalls . Keep up with your most demanding tasks with the speed and responsiveness of a 4th generation Intel Core i3/i5 processors. [ 2 ] . Work efficiently with this Windows 8.1 [ 1 ] tablet with Intel Core processors and solid-state drives . Start up and switch applications by touch , with the quick and fluid Windows 8.1 . [ 1 ] .","Work using a keyboard then switch to tablet in one move . Effortlessly attach and detach your tablet to and from its keyboard thanks to the durable , mechanical hinge design . Interact and work in a more engaging way with multi-touch gestures . Say goodbye to whirring fans . Your system runs quietly , with no noisy hardware or unsightly vents , thanks to an innovative design that eliminates the fan .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkPad W540 20BG - 15.5 - Core i7 4800MQ - Windows 7 Pro 64-bit - 8 GB RAM - 180 GB SSD,99.9 Wh,9.8 in,,1.2 in,,,,Notebook,DDR3L SDRAM,15.5 - IPS,6 lbs,Yes,14.8 in ``,,,,,Serial ATA-600,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Anti-glare,4.0,,,,,,,,,,,,,Black,,,,,,,,,,,,,,English,,,,,,,,,,,,,,DVD-Writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OKI Data B431dn Monochrome Workgroup LED Duplex Printer, 40ppm Print Speed, 1200x1200dpi Print Resolution, 150 Sheets Standard Paper Output",,,,,,,,,,,,,,,,,,,,,,,,,,15.2 in x 14.3 in x 9.6 in,,,,,,,1 year warranty,,"Print server - Ethernet , Fast Ethernet",,,330 MHz,OKI B431DN - printer - monochrome - LED,,,,25.1 lbs,,,,Yes,"Parallel , USB , LAN",1200 dpi,Compatible with Windows 7,80000 pages,Up to 40 ppm - max speed,Workgroup printer - LED - monochrome,64 MB ( 320 MB ),350 sheets,,,,,,,,,,,,,,,,,,,,,,,"PCL 5E , PostScript 3 , EPSON FX , PCL 6 , IBM ProPrinter III XL","Legal ( 216 x 356 mm ) , A4 ( 210 x 297 mm )",,"100-sheet multipurpose tray , 250-sheet input tray",A4/Legal,"Envelopes , plain paper , bond paper , water resistant paper , proofing paper",AC 120 V,"Microsoft Windows XP Home Edition , Microsoft Windows XP Professional , Microsoft Windows Server 2003 Enterprise Edition , Microsoft Windows Server 2003 Datacenter Edition , Microsoft Windows Server 2003 , Microsoft Windows 2000 Professional SP4 or later , Microsoft Windows 2000 Server SP4 or later , Microsoft Windows 2000 SP4 or later , Microsoft Windows 2000 Advanced Server SP4 or later , Apple MacOS X 10.3 or later , Microsoft Windows 7 , Microsoft Windows XP Professional x64 Edition , Microsoft Windows Server 2003 Enterprise x64 Edition , Microsoft Windows Server 2003 Datacenter x64 Edition , Microsoft Windows Vista , Microsoft Windows 7 64-bit Edition , Microsoft Windows Server 2003 x64 Edition , Microsoft Windows Vista ( 64-bit versions ) , Microsoft Windows Server 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5 in x 14 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4 in x 5.5 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Code 39 , UCC/EAN-128 , EAN/JAN-8 , EAN/JAN-13 , UPC-A , UPC-E , Codabar , Code 128 , Interleaved 2 of 5 , Postnet , OCR-A , OCR-B , ZIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Workstation Z230 - Core i3 4130 3.4 GHz - 4 GB - 500 GB,1 x 500 GB,15.1 in,,3.9 in,,,,,,HDD Integrated Workstation,15.9 lbs,,13.3 in,,Power supply,,DIMM 240-pin,USB,1600 MHz,None .,240 Watt,3 MB,SATA 6Gb/s,7200 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jack black,,,,,,,,,,,,,,,RAID 0 RAID 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon PIXMA MG7120 - multifunction printer ( color ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48 ( color input ) ; 24 ( color output ),Up to 600 x 600 dpi,Up to 9600 x 2400 dpi,,Up to 7.7 ipm ( Copier speeds vary with use . See manufacturer for info on copier speeds . ),Up to 7.7 ipm ( Copier speeds vary with use . See manufacturer for info on copier speeds . ),,,,,,"4 '' x 6 '' , 5 '' x 7 '' , letter , legal , U.S. # 10 envelopes","Plain Paper , Canon High-Resolution Paper , Photo Paper Pro Platinum , Photo Paper Plus Glossy II , Photo Paper Glossy , Photo Paper Plus Semigloss , Photo Paper Pro Luster , Matte Photo Paper , U.S. # 10 envelopes , printable CDs , DVDs and Blu-ray Discs","PC : Windows XP with Service Pack 3 ( 32-bit ) , Vista with Service Pack 1 or Service Pack 2 , 7 , 7 with Service Pack 1 or 8 ; Mac : OS X v10.6.8 - 10.8 ; Internet connection",Up to 21,Wireless LAN ( 802.11b/g/n ) ; Ethernet LAN,,Up to 125 sheets,Yes,For photos and documents,Up to 15 ISO ipm ( Print speeds vary with use . See manufacturer for info on print speeds . ),Up to 10 ISO ipm ( Print speeds vary with use . See manufacturer for info on print speeds . ),25-400 %,Flatbed,"Up to 2400 x 4800 dpi optical ; up to 19,200 x 19,200 dpi interpolated",Flatbed,,Yes,USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 , 2 and 5 picoliters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 '' x 6 '' photo in approximately 21 sec . ( Print speeds vary with use . See manufacturer for info on print speeds . ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire E1-572-54204G50Mnkk - 15.6"" - Core i5 4200U - Windows 7 Home Premium 64-bit - 4 GB RAM - 500 GB HDD",,,,,,,,,,,,,,,,,,,,,,,,,4-cell - up to 4 hours,15 in x 10.1 in x 1 in,15.6 '' LED backlight ComfyView 1366 x 768 / HD,,,Intel HD Graphics 4400,United States,,,4 GB DDR3L,"Bluetooth , 802.11n , Gigabit Ethernet",Windows 7 Home Premium 64-bit,DVD SuperMulti,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,Acer Aspire E1-572-54204G50Mnkk - 15.6 '' - Core i5 4200U - Windows 7 Home Premium 64-bit - 4 GB RAM - 500 GB HDD,,500 GB HDD / 5400 rpm,Notebook,5.2 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mobile connectivity is always only a hotspot away . Chat face to face wherever you go with the Acer HD webcam and integrated microphone . Plus , just as wireless technology keeps you in touch when you 're out and about , Gigabit Ethernet keeps you plugged in when you 're at home .","With the Aspire E series , everyday activities like web browsing , communicating and playing videos are effortless with Intel processing . Intel HD graphic delivers fine visual detail . Plenty of memory means you can launch applications quickly , and a large hard drive provides more space for your media .","Its cover is pleasingly glossy , and smart usability features make the Aspire E series experience simple . A multi-in-1 card reader and USB 2.0 make file transfer a breeze , and a multi-gesture touchpad puts you in control .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
