<page title>,adjustable display angle,adjustable display height,adjustable display pivot,aspect ratio,backlight technology,brand name,brightness,builtin devices,certifications standards,colour,colour support,contrast ratio,depth,display orientation,displayport,dvi,features,green compliance certificateauthority,green compliant,hdcp supported,hdmi,headphone,height,horizontal viewing angle,limited warranty,manufacturer,manufacturer part number,maximum resolution,number of screens,number of speakers,operating power consumption,package contents,panel technology,platform supported,product line,product model,product name,product type,response time,screen mode,screen size,speakers,standard refresh rate,standby power consumption,usb,usb standard,vertical viewing angle,vesa mount compatible,vesa mount standard,vga,weight approximate,width,depth with stand,height with stand,input voltage,screen surface,width with stand,environmentconscious and reliable,flexible viewing and connectivity options,impressive screen clarity,horizontal frequency,maximum adjustable height,offmode power consumption,product series,webcam,swivel angle,tilt angle,weight with stand approximate,energy consumption per year,energy efficiency class,mount type,full product specifications,postconsumerwaste,3d type,recycled,recycled content,network rj45,packaged quantity,thunderbolt,component video,composite video,superb performance,versatile connections,full datasheet accessories features,mfr code,product,product code,stock,additional information,svideo
"210-AAPI, DELU3014, Dell, LCD Monitor, Itenergy Ltd",Yes,Yes,,16:10,LED,Dell,350 cd/mÂ²,USB Hub,EMC,,1.07 Billion Colors,"1,000:1",61 mm,,Yes,Yes,Cable Management Touch Controls Security Lock,TCO Certified Displays ENERGY STAR CECP EPEAT Gold,Yes,Yes,Yes,,449.3 mm,178Â°,3 Year,"Dell, Inc",210-AAPI,2560 x 1600,1.0,,120 W,"UltraSharp U3014 30"" Monitor With PremierColor Monitor Stand Power Cable DVI-D Cable (Dual Link) DisplayPort Cable (Mini DP to DP) USB3.0 upstream Cable Cable Tie Drivers and Documentation media (Dell UltraSharp Colour Calibration Solution Software) Factory Colour Calibration Report Quick Setup Guide Safety Information",In-plane Switching (IPS) Technology,,UltraSharp,U3014,"UltraSharp U3014 30"" Monitor With PremierColor",LCD Monitor,6 ms,WQSXGA,"76.2 cm (30"")",,60 Hz,500 mW,Yes,USB 3.0,178Â°,Yes,,,10.84 kg,689.6 mm,201.42 mm,571.50 mm,220 V AC 110 V AC,Anti-glare,689.61 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"241B4LPYCB/00, 2542513, Philips, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,Philips,250 cd/mÂ²,Speaker USB Hub,BSMICEFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL,Black,16.7 Million Colours,"1,000:1",55 mm,,Yes,Yes,Security Lock SmartImage PowerSensor SmartErgoBase,EPEAT Gold ENERGY STAR 5.0 TCO Certified Edge RoHS WEEE TCO Certified Displays 5.2,Yes,Yes,,Yes,352 mm,170Â°,,Philips Electronics,241B4LPYCB/00,1920 x 1080,1.0,2.0,21.44 W,,,Mac PC,Brilliance,241B4LPYCB,"LCD Monitor, LED Backlight with PowerSensor",LCD Monitor,5 ms,Full HD,"61 cm (24"")",Yes,60 Hz,100 mW,Yes,USB 2.0,160Â°,Yes,100 x 100,Yes,4.30 kg,565 mm,227 mm,403 mm,220 V AC 110 V AC,,565 mm,,,,,,,B,,,,6.30 kg,,,,,65%,,Yes,Plastic,,,,,,,,,,,,,,
"F0W81AA#ABU, 943AFNZ, HP, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:10,LED,HP,250 cd/mÂ²,USB Hub,,Silver,,"5,000,000:1",55 mm,,Yes,Yes,Security Lock,REACH WEEE TCO Certified Displays TCO Certified Edge ENERGY STAR EPEAT Gold,Yes,Yes,,,362.6 mm,178Â°,3 Year,Hewlett-Packard,F0W81AA#ABU,1920 x 1200,1.0,,40 W,"EliteDisplay E241i 61 cm (24'') IPS LED Backlit Monitor (ENERGY STAR) VGA Cable USB Cable DisplayPort Cable AC Power Cable Printed Documentation and CD (User Guide, Warranty and Drivers) HP Display Assistant Software",In-plane Switching (IPS) Technology,,Business,E241i,EliteDisplay E241i 61 cm (24'') IPS LED Backlit Monitor (ENERGY STAR),LCD Monitor,8 ms,WUXGA,"61 cm (24"")",,,500 mW,Yes,USB 2.0,178Â°,,,Yes,,556 mm,276.20 mm,516.56 mm,220 V AC 110 V AC,Anti-glare,556 mm,,,,,,,,,180Â°,-5Â°to30Â°,6.58 kg,,,,,,,,,,,,,,,,,,,,,,
"60003488, NECPA302WB, NEC Display Solutions, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:10,GB-R LED,NEC,340 cd/mÂ²,USB Hub,,White,1073 Million Colors,"1,000:1",,,Yes,Yes,Carbon Footprint Meter Picture in Picture Digital Uniformity Control Picture by Picture Ambient Light Sensor Carbon Savings Meter,RoHS,Yes,,Yes,,,178Â°,4 Year,NEC Display Solutions,60003488,2560 x 1600,1.0,,87 W,,Advanced High Performance In-plane Switching (AH-IPS) Technology,,MultiSync,PA302W,MultiSync PA302W Widescreen LCD Monitor,LCD Monitor,7 ms,WQXGA,"75.7 cm (29.8"")",,60 Hz,1.40 W,Yes,,178Â°,,,,,,301.60 mm,466.40 mm,,,688 mm,,,,,,,PA,,,,17 kg,,,,,,,,,,,,,,,,,,,,,,
"XB2779QS-S1, IIYXB2779QSS, Iiyama, LCD Monitor, Itenergy Ltd",Yes,Yes,,16:9,LED,iiyama,440 cd/mÂ²,Speaker,CE TUV-Bauart GOST-R VCCI-B PSE,,16.77 Million Colors,"1,000:1",230 mm,,Yes,Yes,Security Lock,ENERGY STAR,Yes,Yes,Yes,Yes,435.5 mm,178Â°,,"iiyama North America, Inc",XB2779QS-S1,2560 x 1440,1.0,2.0,55 W,ProLite XB2779QS Widescreen LCD Monitor Power cable DVI-D cable DisplayPort cable Audio cable Stand 3 x screws Quick start guide Safety guide,Advanced High Performance In-plane Switching (AH-IPS) Technology,Mac PC,ProLite,XB2779QS,ProLite XB2779QS Widescreen LCD Monitor,LCD Monitor,5 ms,WQHD,"68.6 cm (27"")",Yes,75 Hz,500 mW,,,178Â°,Yes,100 x 100,Yes,8.20 kg,650 mm,,,220 V AC 110 V AC,,,,,,,,,,,,,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"XB2779QS-B1, 2883685, Iiyama, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,iiyama,440 cd/mÂ²,Speaker,CE TUV-Bauart GOST-R VCCI-B PSE,Black,16.77 Million Colors,"1,000:1",230 mm,Landscape/Portrait,Yes,Yes,Security Lock i-Style-Color Eco Mode OverDrive Display Power Management Signaling (DPMS),ENERGY STAR,Yes,Yes,Yes,Yes,564.5 mm,178Â°,,"iiyama North America, Inc",XB2779QS-B1,2560 x 1440,1.0,2.0,55 W,,Advanced High Performance In-plane Switching (AH-IPS) Technology,PC Mac,ProLite,XB2779QS,"ProLite XB2779QS-B1 27"" LED AH-IPS Monitor",LCD Monitor,5 ms,WQHD,"68.6 cm (27"")",Yes,75 Hz,500 mW,,,178Â°,Yes,100 x 100,Yes,8.20 kg,650 mm,,,220 V AC 110 V AC,,,,,,,130 mm,,,No,45Â°,0Â°Up to17Â°,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"XU2390HS-B1, 2992908, Iiyama, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,iiyama,250 cd/mÂ²,Speaker,CE TÃV-Bauart VCCI-B EAC,Black,16.7 Million Colours,"5,000,000:1",180 mm,,,Yes,Display Power Management Signaling (DPMS) Security Lock OverDrive,TCO Certified Displays 6.0 ENERGY STAR,Yes,Yes,Yes,,387.5 mm,178Â°,,"iiyama North America, Inc",XU2390HS-B1,1920 x 1080,1.0,2.0,24 W,ProLite XU2390HS Widescreen LCD Monitor Power Cable DVI-D Cable Audio Cable Stand Quick Start Guide Safety Guide,In-plane Switching (IPS) Technology,Mac PC,ProLite,XU2390HS,ProLite XU2390HS Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",Yes,75 Hz,500 mW,,,178Â°,Yes,100 x 100,Yes,4 kg,532.5 mm,,,220 V AC 110 V AC,,,,,,,,,,,,4Â°to20Â°,,,,,,,,,,,,,,,,,,,,,,,
"220V4LSB/00, 2788641, Philips, LCD Monitor, Itenergy Ltd",Yes,No,No,16:10,LED,Philips,250 cd/mÂ²,,BSMI CE Mark FCC Class B GOST PSB SASO SEMKO TUV/ISO9241-307 UL/cUL,Black,16.7 Million Colours,"1,000:1",48 mm,,,Yes,Security Lock Sync on Green Eco Mode SmartContrast,TCO Certified Displays RoHS WEEE ENERGY STAR 5.0 EPEAT Silver,Yes,Yes,,,348 mm,170Â°,,Philips Electronics,220V4LSB/00,1680 x 1050,1.0,,16.52 W,,,Mac PC,,220V4LSB,LCD Monitor with LED backlight,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",No,60 Hz,500 mW,,,160Â°,Yes,100 x 100,Yes,3.32 kg,512 mm,213 mm,416 mm,220 V AC 110 V AC,,512 mm,,,,,,500 mW,V,No,,,3.66 kg,,,,,,,,,No,,,,,,,,,,,,,
"60AAHAR1UK, S603EW8, Lenovo, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,5:4,LED,Lenovo,250 cd/mÂ²,,TUV Green Mark ISO 9241-307,Black,16.7 Million Colours,"1,000:1",221.9 mm,,,Yes,Security Lock,TCO Certified Displays 6.0 China RoHS China Energy Label (CEL) RoHS ENERGY STAR 6.0 TCO Certified Edge Displays 1.1 ULE Gold EPEAT Gold,Yes,Yes,,,378.3 mm,178Â°,,Lenovo Group Limited,60AAHAR1UK,1280 x 1024,1.0,,24 W,,In-plane Switching (IPS) Technology,PC,ThinkVision,LT1913p,ThinkVision LT1913p 19-Inch Square IPS LED Backlit LCD Monitor,LCD Monitor,7 ms,SXGA,"48.3 cm (19"")",,,,,,178Â°,,,Yes,,411 mm,,,220 V AC 110 V AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"221B3LPCS/02, 2540936, Philips, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,Philips,250 cd/mÂ²,Speaker,BSMICE MarkFCC Class BGOSTSEMKOTUV/GSTUV ErgoUL/cUL,Silver,16.7 Million Colours,"1,000:1",59 mm,,,Yes,SmartTouch SmartImage PowerSensor Security Lock,TCO Certified Displays 5.1 EPEAT Gold RoHS ENERGY STAR 5.0,Yes,Yes,,Yes,323 mm,176Â°,,Philips Electronics,221B3LPCS/02,1980 x 1080,1.0,2.0,17.80 W,,,PC Mac,Brilliance,221B3LPCS,Brilliance LCD Monitor LED Backlight with PowerSensor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",Yes,60 Hz,100 mW,Yes,USB 2.0,170Â°,Yes,100 x 100,Yes,3.40 kg,507 mm,227 mm,480 mm,220 V AC 110 V AC,,507 mm,,,,,,,B,,,,5.30 kg,,,,,,,,,,,,,,,,,,,,,,
"VA2246-LED, B921454, ViewSonic, LCD Monitor, Itenergy Ltd",,,,,LED,Viewsonic,,,,,,,,,,Yes,,,,,,,,,,Viewsonic Corporation,VA2246-LED,1920 x 1080,1.0,,,,,,,VA2246-LED,VA2246-LED LCD Monitor,LCD Monitor,5 ms,Full HD,"55.9 cm (22"")",,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"F4M97AT#ABU, 943AGRP, HP, LCD Monitor, Itenergy Ltd",Yes,,,5:4,LED,HP,250 cd/mÂ²,,FCC Class B VCCI BSMI CNS 13438 Class B CCIB cUL GS EN55022 Class B CCEE FCC Part 15 EN55024 Class B UL 60950-1 IEC 60950-1 EN 60950-1 ISO 9241-307 KCC CISPR GEEA CSA C22.2 No. 60950-1 KC,Black,16.7 Million Colours,"1,000:1",57 mm,,,,Security Lock,EuP TCO Certified Displays China Energy Label (CEL) TÃV REACH WEEE EPEAT Gold RoHS ENERGY STAR,Yes,,,,316.6 mm,170Â°,3 Year,Hewlett-Packard,F4M97AT#ABU,1280 x 1024,1.0,,20 W,"Business P17A LCD Monitor VGA Cable AC Power Cord DVD with user guide, Warranty, Drivers Service Phone List Card Warranty booklet HP Display Assistant software Auto-adjustment pattern utility Adobe Acrobat Reader software",Twisted Nematic Film (TN Film),,Business,P17A,Business P17A LCD Monitor,LCD Monitor,5 ms,SXGA,"43.2 cm (17"")",,60 Hz,500 mW,,,160Â°,,,Yes,,377.2 mm,206.30 mm,387.20 mm,220 V AC 110 V AC,Anti-glare,377.20 mm,,,,,,,,,,-5Â°to25Â°,3.72 kg,,,,,,,,,,,,,,,,,,,,,,
"274E5QHAW/00, 2716378, Philips, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Philips,250 cd/mÂ²,Speaker,BSMI CE Mark cETLus FCC Class B GOST SASO SEMKO TUV/ISO9241-307,Glossy White,16.7 Million Colours,"1,000:1",46 mm,,,,Security Lock Mobile High-Definition Link (MHL) TrueVision Sync on Green SmartImage SmartResponse,RoHS TCO Certified Displays 6.0 ENERGY STAR 6.0 EPEAT Silver WEEE,Yes,Yes,Yes,Yes,375 mm,178Â°,3 Year,Philips Electronics,274E5QHAW/00,1920 x 1080,1.0,2.0,25.60 W,,Advanced High Performance In-plane Switching (AH-IPS) Technology,Mac PC,,274E5QHAW,"LCD Monitor with SmartImage Lite 274E5QHAW Ultra Narrow Bezel 27"" / 68.6cm MHL",LCD Monitor,5 ms,Full HD,"68.6 cm (27"")",Yes,60 Hz,500 mW,,,178Â°,Yes,100 x 100,Yes,4.88 kg,622 mm,237 mm,470 mm,110 V AC 220 V AC,,622 mm,,,,,,300 mW,,,,,5.10 kg,,,,,,,,,,,,,,,,,,,,,,
"VA2046M-LED, B921481, ViewSonic, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Viewsonic,200 cd/mÂ²,Speaker,CB UL cUL FCC-B TUV-S NOM CE GOST-R+Hygienic SASO CCC BSMI PSB C-TICK,Black,16.7 Million Colours,600:1,49 mm,,,Yes,Security Lock Eco Mode,WEEE China Energy Label (CEL) RoHS,Yes,,,,301.8 mm,90Â°,,Viewsonic Corporation,VA2046M-LED,1600 x 900,1.0,2.0,18 W,VA2046m-LED Widescreen LCD Monitor Power Cable D-Sub Cable Audio Cable Quick Start Guide CD-ROM,,PC Mac,,VA2046m-LED,VA2046m-LED Widescreen LCD Monitor,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",Yes,75 Hz,500 mW,,,65Â°,Yes,100 x 100,Yes,2.60 kg,478.2 mm,197.60 mm,360.20 mm,220 V AC 110 V AC,Anti-glare,478.20 mm,,,,,,,,,,,3 kg,,,Wall Mountable,,,,,,,,,,,,,".sep { font-family: Arial, Helvetica, sans-serif; font-size: 8pt; color: #b0b0b0; background-color: #b0b0b0; margin-bottom: 20pt; }
.spec { font-family: Arial, Helvetica, sans-serif; margin-bottom: 5pt; font-size: 8pt; }
.sect { font-family: Arial, Helvetica, sans-serif; font-size: 8pt; font-weight: bold; }
.para { font-family: Arial, Helvetica, sans-serif; font-weight: bold; font-siez: 10pt; background-color: #b0b0b0; color: black; }
.descr { font-family: Arial, Helvetica, sans-serif; font-size: 10pt; }
Details
General Information
Manufacturer
Viewsonic Corporation
Manufacturer Part Number
VA2046M-LED
Brand Name
Viewsonic
Product Model
VA2046m-LED
Product Name
VA2046m-LED Widescreen LCD Monitor
Product Type
LCD Monitor
Technical Information
Number of Screens
1
Screen Size
50.8 cm (20"")
Screen Mode
HD+
Screen Surface
Anti-glare
Response Time
5 ms
Aspect Ratio
16:9
Horizontal Viewing Angle
90Â°
Vertical Viewing Angle
65Â°
Adjustable Display Angle
Yes
Mount Type
Wall Mountable
Backlight Technology
LED
Features
Eco Mode
Features
Security Lock
Video
Maximum Resolution
1600 x 900
Standard Refresh Rate
75 Hz
Colour Support
16.7 Million Colours
Contrast Ratio
600:1
Brightness
200 cd/mÂ²
Audio
Number of Speakers
2
Speakers
Yes
Interfaces/Ports
DVI
Yes
VGA
Yes
Built-in Devices
Built-in Devices
Speaker
Power Description
Input Voltage
110 V AC
Input Voltage
220 V AC
Operating Power Consumption
18 W
Standby Power Consumption
500 mW
Physical Characteristics
VESA Mount Compatible
Yes
VESA Mount Standard
100 x 100
Colour
Black
Height
301.8 mm
Width
478.2 mm
Depth
49 mm
Height with Stand
360.20 mm
Width with Stand
478.20 mm
Depth with Stand
197.60 mm
Weight (Approximate)
2.60 kg
Weight with Stand (Approximate)
3 kg
Miscellaneous
Package Contents
VA2046m-LED Widescreen LCD Monitor Power Cable D-Sub Cable Audio Cable Quick Start Guide CD-ROM
Certifications & Standards
CB UL cUL FCC-B TUV-S NOM CE GOST-R+Hygienic SASO CCC BSMI PSB C-TICK
Platform Supported
Mac
Platform Supported
PC
Green Compliant
Yes
Green Compliance Certificate/Authority
RoHS
Green Compliance Certificate/Authority
WEEE
Green Compliance Certificate/Authority
China Energy Label (CEL)
No accessories available
Product feature could not be found.",VA2046M-LED,"Viewsonic VA2046m-LED 50.8 cm (20"")
LED LCD Monitor - 16:9 - 5 ms -
Adjustable Display Angle - 1600 x
900 - 16.7 Million Colours - 200
cd/mÃ¯Â¿Â½ - 600:1 - HD+ - Speakers -
DVI - VGA - 18 W - Black - RoHS,
WEEE, China Energy Label (CEL)",B921481,Call for availability,,
"E2411PU-BN, 4064349, LG Electronics, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,LG,250 cd/mÂ²,USB Hub Speaker,TÃV-GS,Matte Black,16.7 Million Colours,"5,000,000:1",,,,Yes,,TCO Displays 5.0 ENERGY STAR,Yes,Yes,,,,170Â°,,LG Electronics,E2411PU-BN,1920 x 1080,1.0,2.0,30 W,,,,,E2411PU-BN,E2411PU-BN Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"61 cm (24"")",Yes,,300 mW,Yes,,160Â°,,,Yes,3.67 kg,,271 mm,432.60 mm,220 V AC 110 V AC,Anti-glare,569.10 mm,,,,,,300 mW,E11,,,,5.09 kg,,,,,,,,,,,,,,,,,,,,,,
"9H.L9JLB.QBE, M352239, BenQ, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,BenQ,250 cd/mÂ²,USB Hub Speaker,,Black,16.7 Million Colours,"5,000:1",259 mm,,Yes,Yes,Picture by Picture Picture in Picture Security Lock Eco Mode Senseye 3,ENERGY STAR EPEAT Silver TCO Certified Displays 6.0,Yes,Yes,,Yes,504 mm,178Â°,,BenQ Corporation,9H.L9JLB.QBE,1920 x 1080,1.0,2.0,23 W,,,PC,,BL2410PT,BL2410PT Widescreen LCD Monitor,LCD Monitor,4 ms,Full HD,"61 cm (24"")",Yes,,200 mW,Yes,,178Â°,Yes,100 x 100,Yes,6.70 kg,565 mm,,,110 V AC 220 V AC,Anti-glare,,,,,,,,,,,,,,,Wall Mountable,,,,Yes,Plastic,,,,,,,,,,,,,,
"UM.PB6EE.009, 3193056, Acer, LCD Monitor, Itenergy Ltd",Yes,Yes,,16:9,LED,Acer,300 cd/mÂ²,Speaker USB Hub,,Dark Grey,16.7 Million Colours,"100,000,000:1",64.5 mm,,Yes,Yes,ComfyView 6-axis Color Adjustment ErgoStand Mobile High-Definition Link (MHL),TCO Certified Displays 6.0 ENERGY STAR ECO EPEAT Gold,Yes,Yes,Yes,,381.9 mm,170Â°,3 Year,"Acer, Inc",UM.PB6EE.009,3840 x 2160,1.0,2.0,39 W,LED Monitor B286HK 1 x USB cable 1 x DVI cable 1 x Displayport cable Power cord,Twisted Nematic Film (TN Film),,,B286HK,LED Monitor B286HK,LCD Monitor,1 ms,QFHD,"71.1 cm (28"")",Yes,60 Hz,500 mW,Yes,USB 3.0,160Â°,Yes,100 x 100,,,658.7 mm,247.20 mm,408.50 mm,230 V AC 120 V AC,Anti-glare,658.70 mm,,,,,150 mm,400 mW,,,60Â°,-5Â°to35Â°,,66 kWh,C,Wall Mountable,,,,,,,,,,,,,,,,,,,
"F3J72AT#ABU, 943ASGK, HP, LCD Monitor, Itenergy Ltd",Yes,No,Yes,16:9,LED,HP,250 cd/mÂ²,Port Replicator USB Hub Microphone,CB CE TUV-S EAC CUL FCC CSA NOM S-mark VCCI PSB ISC CCC BSMI C-Tick E-standby KC,Black,,"5,000,000:1",51 mm,,Yes,,Security Lock,TCO Certified Displays CECP China Energy Label (CEL) ENERGY STAR TCO Certified Edge WEEE REACH,Yes,Yes,,Yes,329 mm,178Â°,3 Year,Hewlett-Packard,F3J72AT#ABU,1920 x 1080,1.0,,60 W,Business S231d Widescreen LCD Monitor USB Cable DC Power Cable VGA Cable DisplayPort Cable DC Jack Dongle Cable and Rubber Ring Webcam Rubber Cover Printed Documentation and CD HP Display Assistant Software Additional Signal Cables,In-plane Switching (IPS) Technology,,Business,S231d,Business S231d Widescreen LCD Monitor,LCD Monitor,7 ms,Full HD,"58.4 cm (23"")",No,,2.20 W,Yes,USB 3.0,178Â°,,,Yes,,544 mm,242.40 mm,469.90 mm,220 V AC 110 V AC,Anti-glare,544 mm,,,,,,,,Yes,360Â°,-5Â°to30Â°,6.12 kg,,,,,,,,,Yes,,,,,,,,,,,,,
"858-10254, DELP2012H, Dell, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,Dell,250 cd/mÂ²,USB Hub,,Black,16.7 Million Colours,"1,000:1",,Landscape/Portrait,,Yes,Cable Management,TCO Certified Displays EPEAT Gold ENERGY STAR,Yes,Yes,No,,,170Â°,3 Year,"Dell, Inc",858-10254,1600 x 900,1.0,,45 W,"Professional P2012H 20'' (51cm) LED Monitor VGA,DVI-D (1600x900) Black UK Power Cable DVI Cable USB Cable VGA Cable Drivers and Documentation Media Quick Setup Guide Safety Information",,,Professional,P2012H,"Professional P2012H 20'' (51cm) LED Monitor VGA,DVI-D (1600x900) Black UK",LCD Monitor,5 ms,HD+,"50.8 cm (20"")",,60 Hz,100 mW,Yes,USB 2.0,160Â°,Yes,,Yes,2.88 kg,,183.34 mm,401.21 mm,110 V AC 220 V AC,Anti-glare,478.40 mm,,,,,,100 mW,P,No,,,,,,Wall Mountable,,,,,,No,1.0,,,,,,,,,,,,
"D7Q14A4#ABB, 9438D3T, HP, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,HP,250 cd/mÂ²,USB Hub,,Black,,"1,000:1",51 mm,,Yes,Yes,Security Lock,REACH EPEAT Gold ENERGY STAR TCO Certified Displays,Yes,Yes,,,309 mm,178Â°,3 Year,Hewlett-Packard,D7Q14A4#ABB,1920 x 1080,1.0,,31 W,Z Display Z22i 54.6 cm (21.5'') IPS LED Backlit MonitorVGA cableDisplayPort CableUSB CablePower CordPrinted documents and CDHP Software DisplayAssistant,In-plane Switching (IPS) Technology,,Business,Z22i,Z Display Z22i 54.6 cm (21.5'') IPS LED Backlit Monitor,LCD Monitor,8 ms,Full HD,"54.6 cm (21.5"")",,,500 mW,Yes,USB 2.0,178Â°,,,Yes,,509 mm,509 mm,,220 V AC 110 V AC,Anti-glare,237 mm,,,,,,,Performance,,,,5.80 kg,,,Desk Mountable Arm-mountable,,,,,,,,,,,,,,,,,,,
"22MP65HQ-P, 3003551, LG Electronics, LCD Monitor, Itenergy Ltd",,,,16:9,LED,LG,250 cd/mÂ²,,,Black,16.7 Million Colours,"1,000:1",69 mm,,,,Smart Resolution Technology Intelligent Auto Key Lock Dual-screen Display Dual Web Flicker-free Reading Mode Sleep Timer,,,Yes,Yes,Yes,307 mm,178Â°,,LG Electronics,22MP65HQ-P,1920 x 1080,1.0,,20 W,,Advanced High Performance In-plane Switching (AH-IPS) Technology,,,22MP65HQ-P,22MP65HQ-P Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,,300 mW,,,178Â°,Yes,75 x 75,Yes,2.40 kg,500 mm,188 mm,407 mm,220 V AC 110 V AC,,500 mm,,,,,,,,,,,2.70 kg,,,,,,,,,,,,,,,,,,,,,,
"GB2488HSU-B1, 3048478, Iiyama, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,iiyama,350 cd/mÂ²,USB Hub Speaker,CE TÃV-Bauart GOST-R VCCI-B PSE,Black,16.7 Million Colours,"5,000,000:1",230 mm,Landscape/Portrait,Yes,Yes,i-Style-Color Security Lock Eco Mode OverDrive Display Power Management Signaling (DPMS),,,Yes,Yes,Yes,518 mm,170Â°,,"iiyama North America, Inc",GB2488HSU-B1,1920 x 1080,1.0,2.0,38 W,,Twisted Nematic Film (TN Film),PC Mac,ProLite,GB2488HSU-B1,ProLite GB2488HSU-B1 Widescreen LCD Monitor,LCD Monitor,1 ms,Full HD,"61 cm (24"")",Yes,145 Hz,500 mW,Yes,USB 2.0,160Â°,Yes,100 x 100,Yes,5.50 kg,568 mm,,,220 V AC 110 V AC,,,,,,,130 mm,,,,45Â°,-5Â°to22Â°,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"861-BBBG, 0912934, Dell, LCD Monitor, Itenergy Ltd",,,,16:9,LED,Dell,250 cd/mÂ²,USB Hub,,Black,16.7 Million Colours,"2,000,000:1",46.3 mm,,Yes,Yes,,China Energy Label (CEL) CECP RoHS TCO Certified Displays EPEAT Gold ENERGY STAR,Yes,,,,304.4 mm,,3 Year,"Dell, Inc",861-BBBG,1920 x 1080,1.0,,26 W,P2214H Widescreen LCD Monitor Stand Cable management cover Drivers & Utilities Dell Display Manager 1 x DisplayPort cable 1 x USB cable 1 x VGA cable,,,,P2214H,P2214H Widescreen LCD Monitor,LCD Monitor,8 ms,Full HD,"55.9 cm (22"")",,,,Yes,,,Yes,,Yes,3.26 kg,512.7 mm,180 mm,354.20 mm,,,512.70 mm,,,,,,,,,,,,,,,Click to view,25%,,,,,,,,,,,,,,,,,
"HS221HPB, V320108, Hannspree, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Hanns.G,250 cd/mÂ²,Speaker,FCC UL/CUL CE CB 3C GS,Black,16.7 Million Colours,"80,000,000:1",203 mm,,,Yes,Eco Mode Security Lock,ENERGY STAR China Energy Label (CEL) TCO Certified Displays 6.0,Yes,Yes,Yes,,390 mm,178Â°,3 Year,"Hannspree, Inc",HS221HPB,1920 x 1080,1.0,2.0,30 W,HS221HPB Widescreen LCD Monitor Power Cable (1.5M) VGA Cable (1.5M) Audio Cable (1.5M) User Manual(CD) Quick Start Guide(Paper),In-plane Switching (IPS) Technology,PC,,HS221HPB,HS221HPB Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",Yes,60 Hz,,,,178Â°,Yes,100 x 100,Yes,4.70 kg,512 mm,,,120 V AC 230 V AC,Anti-glare,,,,,,,,HS,,,-5Â°to15Â°,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"859-10178, DELS2340L, Dell, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Dell,250 cd/mÂ²,,EMC,Black,16.7 Million Colours,"1,000:1",37.8 mm,,,,Security Lock,EPEAT Silver ENERGY STAR,Yes,,Yes,,297.7 mm,178Â°,1 Year,"Dell, Inc",859-10178,1920 x 1080,1.0,,24 W,"S2340L 23"" (58cm) LED Monitor Full HD (1920x1080) VGA,HDMI Power Cable and Adapter Adapter Cable VGA Cable Velcro Strap Drivers & Documentation Media Quick Setup Guide Product and Safety Information Guide",In-plane Switching (IPS) Technology,PC,,S2340L,"S2340L 23"" (58cm) LED Monitor Full HD (1920x1080) VGA,HDMI",LCD Monitor,7 ms,Full HD,"58.4 cm (23"")",,60 Hz,,,,178Â°,,,Yes,2.95 kg,532.1 mm,4.47 m,398.78 mm,220 V AC 110 V AC,,532.13 mm,,,,,,500 mW,,,,,3.91 kg,,,,,,,,,,,,,,,,,,,,,,
