<page title>,adjustable display angle,aspect ratio,backlight technology,brand name,brightness,builtin devices,colour support,contrast ratio,depth with stand,features,firewireilink,green compliance certificateauthority,green compliant,height,horizontal viewing angle,input voltage,limited warranty,manufacturer,manufacturer part number,maximum resolution,network rj45,number of screens,operating power consumption,package contents,panel technology,platform supported,product name,product type,response time,screen mode,screen size,speakers,standby power consumption,system requirements,thunderbolt,usb,usb standard,vertical viewing angle,vesa mount compatible,webcam,weight approximate,width,adjustable display height,adjustable display pivot,depth,dvi,height with stand,mount type,product model,screen surface,standard refresh rate,vesa mount standard,vga,weight with stand approximate,certifications standards,colour,displayport,hdcp supported,hdmi,headphone,product line,maximum adjustable height,offmode power consumption,product series,swivel angle,tilt angle,number of speakers,recycled,recycled content,width with stand,sdi,sdi standard,svideo,postconsumerwaste,energy consumption per year,energy efficiency class,composite video,display orientation,country of origin,component video,horizontal frequency,packaged quantity,additional information,3d type,package type
"T80AHUK, S601XM9, Lenovo, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Lenovo,250 cd/m²,,16.7 Million Colours,"1,000:1",,Security Lock,,WEEE RoHS ENERGY STAR 5.1 TCO Certified Displays 5.2,Yes,370 mm,170°,110 V AC 220 V AC,3 Year,Lenovo Group Limited,T80AHUK,1366 x 768,,1.0,24 W,,,PC,LS1922 Wide 18.5inch WLED Flat Panel Monitor (VGA Only),LCD Monitor,5 ms,WXGA,"47 cm (18.5"")",,1 W,,,,,160°,Yes,,3 kg,442 mm,,,210 mm,,,Wall Mountable,LS1922,,60 Hz,100 x 100,Yes,,FCC Class B certifiedTUVVCCIBSMIGOSTGSIEC950NOMSASOSEMKOTUV SCCCICPSBJEIDAISO 9241-307cTUVusKCKvalitetSONCAPKEBS,Business Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VA2246M-LED, GLVSP2246M, ViewSonic, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,LED,Viewsonic,250 cd/m²,Speaker,,"1,000:1",198.12 mm,Eco Mode,,WEEE TCO Certified Displays 5.1 ErP ENERGY STAR 5.0 REACH China Energy Label (CEL) RoHS,Yes,317.5 mm,170°,110 V AC 220 V AC,,Viewsonic Corporation,VA2246M-LED,1920 x 1080,,1.0,34 W,,,Mac PC,VA2246m-LED Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"55.9 cm (22"")",Yes,,,,,,160°,Yes,,3.13 kg,510.5 mm,,,48.3 mm,Yes,365.76 mm,Wall Mountable,VA2246m-LED,Anti-glare,75 Hz,100 x 100,Yes,3.49 kg,CE CB SVHC UL cUL FCC-B / ICES-003B TUV-S Nemko ERGO GOSTR+ Hygienic UkrSEPRO CCC BSMI PSB C-tick KC e-standby ISO9241-3:2008,,,Yes,,,,,,,,,,,,510.54 mm,,,,,,,,,,,,,,,
"24MP55HQ-P, 2998421, LG Electronics, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,LED,LG,250 cd/m²,,16.7 Million Colours,"5,000,000:1",188 mm,Super Energy Saving Flicker-free Reading Mode,,ENERGY STAR,Yes,332 mm,178°,,,LG Electronics,24MP55HQ-P,1920 x 1080,,1.0,22 W,,In-plane Switching (IPS) Technology,PC,24MP55HQ-P Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"60.5 cm (23.8"")",,300 mW,,,,,178°,Yes,,3.10 kg,544 mm,,,55 mm,No,440 mm,Wall Mountable,24MP55HQ-P,Anti-glare,60 Hz,100 x 100,Yes,,,High Glossy Black,No,,Yes,,,,300 mW,,,-3°to20°,,,,544 mm,,,,,,,,,,,83 kHz,,,,
"XB2776QS-B2, 3110006, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,iiyama,350 cd/m²,Speaker,16.77 Million Colors,"5,000,000:1",230 mm,Display Power Management Signaling (DPMS) Security Lock Eco Mode,,TCO Certified Displays 6.0 ENERGY STAR EPEAT Silver,Yes,394 mm,178°,120 V AC 230 V AC,3 Year,"iiyama North America, Inc",XB2776QS-B2,2560 x 1440,,1.0,49 W,ProLite XB2776QS Widescreen LCD Monitor Power Cable DVI (Dual-Link) Cable Audio Cable Stand 2 x Screws Quick Start Guide Safety Guide,Advanced High Performance In-plane Switching (AH-IPS) Technology,Mac PC,ProLite XB2776QS Widescreen LCD Monitor,LCD Monitor,5 ms,WQHD,"68.6 cm (27"")",Yes,500 mW,,,,,178°,Yes,,7.40 kg,644 mm,Yes,Yes,56 mm,Yes,418 mm,,XB2776QS,,75 Hz,100 x 100,Yes,,CE TUV-GS VCCI-B PSE CU ISO-9241-307:2008,Black,Yes,Yes,Yes,Yes,ProLite,130 mm,,,90°,-5°to23°,2.0,,,644 mm,,,,,,,,,,,,,,,
"190B7CG/05, PHITFT190B7CS, Philips, LCD Monitor, Kingsfield Computer Products Ltd",,,,Philips,300 cd/m²,Speaker,16.7 Million Colours,700:1,198.80 mm,,,,,374.2 mm,176°,220 V AC 110 V AC,,Philips Electronics,190B7CG/05,1280 x 1024,,1.0,,190B7CG LCD MonitorAC power cordAudio cableUSB cableVGA cableUser manual,,PC,190B7CG LCD Monitor,LCD Monitor,8 ms,SXGA,"48.3 cm (19"")",Yes,,,,Yes,,170°,,,,422 mm,,,68.7 mm,Yes,405 mm,,190B7CG,Anti-glare,75 Hz,,Yes,6.14 kg,,Beige,,,,,,,,,,,,,,422 mm,,,,,,,,,,,,,,,
"VX229H, 2835530, ASUSTeK COMPUTER, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Asus,250 cd/m²,Speaker,16.7 Million Colours,"1,000:1",210.10 mm,Mobile High-Definition Link (MHL) Ultra Slim Game Mode Security Lock Splendid Video Intelligence Technology,,RoHS WEEE China Energy Label (CEL) ErP ENERGY STAR 6.0,Yes,,178°,220 V AC 110 V AC,3 Year,ASUS Computer International,VX229H,1920 x 1080,,1.0,26 W,VX229H Widescreen LCD Monitor VGA Cable Audio Cable Power Cable Power Supply Quick Start Guide HDMI-to-DVI Cable Warranty Card HDMI Cable,Advanced High Performance In-plane Switching (AH-IPS) Technology,PC,VX229H Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",Yes,500 mW,,,,,178°,,,3.05 kg,,,,,,371.30 mm,,VX229H,,76 Hz,,Yes,,BSMI CB CCC CE C-Tick CU FCC UL/cUL VCCI,Black,,Yes,Yes,Yes,,,500 mW,VX,,,2.0,,,499.80 mm,,,,,,,,,,,,,,,
"E2070SWN, 2779103, AOC, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,AOC,200 cd/m²,,16.7 Million Colours,800:1,,Security Lock Eco Mode,,ENERGY STAR 6.0 EPEAT Silver RoHS EuP,Yes,,,110 V AC 220 V AC,3 Year,AOC,E2070SWN,1600 x 900,,1.0,,"E2070SWN 49.5cm (19.5"") LED Monitor Power Cable D-Sub Cable Driver CD Warranty Card on CD-ROM",,,"E2070SWN 49.5cm (19.5"") LED Monitor",LCD Monitor,5 ms,HD+,"49.5 cm (19.5"")",No,,,,,,,Yes,,,,No,No,,No,,Wall Mountable,E2070SWN,,60 Hz,100 x 100,Yes,,EPEAT Silver FCC GOST TÜV-GS ISO 9241-307 NRTL,,No,No,No,,Professional,,,,,,,,,,,,,,,,,,,,,,,,
"9H.L9JLB.RBE, BENMON679, BenQ, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,BenQ,250 cd/m²,USB Hub Speaker,16.77 Million Colors,"3,000:1",259 mm,Senseye 3 Reading Mode EcoSmart Sensor Eco Mode BlackDiamond Ultra Flexible M-book Mode Security Lock Eye-Care,,TCO Certified Displays 6.0 EPEAT Silver ENERGY STAR,Yes,354 mm,178°,220 V AC 110 V AC,,BenQ Corporation,9H.L9JLB.RBE,1920 x 1080,,1.0,23 W,,Vertical Alignment (VA),PC,BL2410PT Widescreen LCD Monitor,LCD Monitor,4 ms,Full HD,"61 cm (24"")",Yes,200 mW,,,Yes,USB 2.0,178°,Yes,No,6.70 kg,565 mm,Yes,Yes,259 mm,Yes,504 mm,Wall Mountable,BL2410PT,Matte,,100 x 100,Yes,,,Black,Yes,Yes,,Yes,,150 mm,,BL,45°,-5°to20°,2.0,Yes,Plastic,565 mm,,,,,,,,Landscape/Portrait,,,,,,No,
"VK248H, ASUCAS052, ASUSTeK COMPUTER, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Asus,250 cd/m²,Speaker Webcam,16.7 Million Colours,"1,000:1",61.50 mm,Security Lock Trace Free Technology Splendid Video Intelligence Technology,,J-Moss (Japanese RoHS) WEEE ENERGY STAR 5.0 RoHS,Yes,,170°,,,ASUS Computer International,VK248H,1920 x 1080,No,1.0,42 W,VK248H Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordUSB CableSupport CD(LifeFrame2)Quick Start GuideWarranty Card,,PC,VK248H Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"61 cm (24"")",Yes,500 mW,,,Yes,,160°,Yes,,5 kg,,No,No,,Yes,358.80 mm,Wall Mountable,VK248H,,76 Hz,100 x 100,Yes,,UL/cULCBCEErPFCCCCCBSMIGost-RC-TickVCCIPSE,Piano Black,,Yes,Yes,Yes,,,500 mW,VK,,,2.0,,,568.40 mm,,,,,,,,,,,,,,,
"VS229HV, 2925554, ASUSTeK COMPUTER, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Asus,250 cd/m²,,16.7 Million Colours,"80,000,000:1",,Splendid Video Intelligence Technology Security Lock,,ENERGY STAR 6.0 ErP WEEE RoHS,Yes,385.5 mm,178°,,3 Year,ASUS Computer International,VS229HV,1920 x 1080,,1.0,21.50 W,VS229HV Widescreen LCD Monitor DVI cable VGA cable Power cord Quick start guide Warranty Card,In-plane Switching (IPS) Technology,PC,VS229HV Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,500 mW,,,,,178°,Yes,,3.50 kg,514.1 mm,,,200 mm,Yes,,Wall Mountable,VS229HV,,75 Hz,100 x 100,Yes,,BSMI CB CCC CE CEL level 1 C-Tick FCC Gost-R PSB UL/cUL VCCI WHQL,Black,,Yes,Yes,Yes,,,500 mW,,,-5°to20°,,,,,,,,,,,,,,,,,,,
"E2250SD, 3003096, AOC, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,AOC,250 cd/m²,,16.7 Million Colours,"20,000,000:1",,Screen+ Security Lock i-Menu Eco Mode,,EPEAT Silver TCO Certified Displays 6.0 ENERGY STAR 6.0 RoHS,Yes,408.5 mm,170°,220 V AC 110 V AC,3 Year,AOC,E2250SD,1680 x 1050,,1.0,18 W,,Twisted Nematic Film (TN Film),Mac PC,LED Monitor - E2250SD,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",,500 mW,,,,,160°,Yes,,3.76 kg,508.7 mm,,,190 mm,Yes,,Wall Mountable,e2250Sd,,60 Hz,75 x 75,Yes,,CE GOST TÜV-GS Ukrain Safety,Black,,Yes,,,Value,,500 mW,,,-4°to17°,,,,,,,,,,,,,China,,,,,,
"210-ACOK, DELP2815Q, Dell, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Dell,300 cd/m²,USB Hub,1.073 Billion Colors,"1,000:1",204.10 mm,Security Lock Cable Management PowerNap Mobile High-Definition Link (MHL),,EPEAT Gold China Energy Label (CEL) TCO Certified Displays ENERGY STAR 6.0,Yes,381.7 mm,170°,220 V AC 110 V AC,3 Year,"Dell, Inc",210-ACOK,3840 x 2160,,1.0,100 W,P2815Q Widescreen LCD Monitor Stand Power Cables Display Port Cable (Mini-DP to DP) USB 3.0 Upstream Cable (Enables the USB Ports on the Monitor) Drivers and Documentation Media Quick Setup Guide Product and Safety Information Guide,Twisted Nematic Film (TN Film),,P2815Q Widescreen LCD Monitor,LCD Monitor,5 ms,Ultra HD,"71.1 cm (28"")",,500 mW,,,Yes,USB 3.0,160°,Yes,,5.19 kg,661.3 mm,Yes,Yes,56.2 mm,,550.30 mm,Wall Mountable,P2815Q,Anti-glare,30 Hz,100 x 100,,,,,Yes,,Yes,,,,500 mW,,,,,,Plastic,661.30 mm,,,,25%,,,,Landscape/Portrait,,,,,,,
"MC914ZM/B, 4792W40, Apple, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,LED,Apple,375 cd/m²,Speaker Microphone Camera USB Hub,16.7 Million Colours,"1,000:1",207 mm,Security Lock,Yes,,,491 mm,178°,220 V AC 110 V AC,1 Year,"Apple, Inc",MC914ZM / B,2560 x 1440,Yes,1.0,250 W,MC914ZM/B Widescreen LCD MonitorAC Power CordMagSafe A MagSafe Converter 2Printed Documentation,In-plane Switching (IPS) Technology,Mac PC,MC914ZM/B Widescreen LCD Monitor,LCD Monitor,12 ms,WQHD,"68.6 cm (27"")",Yes,2 W,,Yes,Yes,USB 2.0,178°,Yes,,10.80 kg,650 mm,,,,,,,MC914ZM/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27EA83-D.AEK, 4065780, LG Electronics, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,,LG,350 cd/m²,USB Hub,1.07 Billion Colors,"5,000,000:1",459 mm,Dual Link-up Picture in Picture Picture by Picture Split Screen,,TCO Certified Displays 5.1 TCO Certified Displays 6.0 ENERGY STAR 5.0,Yes,381 mm,178°,220 V AC 110 V AC,2 Year,LG Electronics,27EA83-D.AEK,2560 x 1440,,1.0,65 W,27EA83-D Widescreen LCD Monitor Power Cord DVI-D Cable DisplayPort Cable,In-plane Switching (IPS) Technology,PC,27EA83-D Widescreen LCD Monitor,LCD Monitor,6 ms,WQHD,"68.6 cm (27"")",,,,,Yes,,178°,Yes,,5.50 kg,643 mm,Yes,Yes,38 mm,Yes,459 mm,,27EA83-D,Anti-glare,75 Hz,100 x 100,,7.30 kg,UL(cUL) FCC-B CE,,Yes,Yes,Yes,Yes,,110 mm,500 mW,EA83,,-5°to15°,2.0,,,643 mm,,,,,,,,,,,,,,,
"244E5QHSD/00, 2946775, Philips, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Philips,250 cd/m²,,16.7 Million Colours,"20,000,000:1",213 mm,TrueVision Mobile High-Definition Link (MHL) Security Lock SmartResponse SmartContrast SmartImage Lite Sync on Green,,WEEE TCO Certified Displays 6.0 ENERGY STAR 6.0 RoHS EPEAT Silver,Yes,338 mm,178°,220 V AC 110 V AC,,Philips Electronics,244E5QHSD/00,1920 x 1080,,1.0,18.20 W,,Advanced High Performance In-plane Switching (AH-IPS) Technology,Mac PC,LCD Monitor with SmartImage Lite,LCD Monitor,5 ms,Full HD,"60.5 cm (23.8"")",,500 mW,,,,,178°,Yes,,3.44 kg,557 mm,,,45 mm,,428 mm,Wall Mountable,244E5QHSD,,60 Hz,100 x 100,Yes,3.80 kg,BSMI CE Mark FCC Class B GOST SASO SEMKO TUV/ISO9241-307 cETLus,Glossy Black Cherry,,Yes,Yes,,,,300 mW,E,,-5°to20°,,,,557 mm,,,,,,,,,,,,,,,
"UM.VQ6EE.005, 2837663, Acer, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Packard Bell,250 cd/m²,,16.7 Million Colours,"100,000,000:1",173 mm,CrystalBrite,,EPEAT Gold MPR II,Yes,316 mm,178°,220 V AC 110 V AC,,"Acer, Inc",UM.VQ6EE.005,1920 x 1080,,1.0,26 W,Maestro236D Widescreen LCD Monitor1 x VGA CablePower Cord,In-plane Switching (IPS) Technology,,Maestro236D Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",Yes,450 mW,,,,,178°,,,2.90 kg,531 mm,No,No,37 mm,Yes,404 mm,,Maestro236D,,60 Hz,,Yes,3.60 kg,,Black,,,Yes,,Maestro,No,400 mW,,No,-5°to15°,,,,531 mm,,,,,34 kWh,A,,,,,,,,,
"60003161, 3967891, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,NEC Display,270 cd/m²,USB Hub,16.7 Million Colours,"1,000:1",,Security Lock Cable Management TileMatrix Support TileComp CableComp Auto Brightness Control (ABC) Picture in Picture,,ENERGY STAR 5.0 MPR II TCO Displays 5.0 MPR III RoHS,Yes,338 mm,178°,220 V AC 110 V AC,,NEC Display Solutions,60003161,1920 x 1080,,1.0,29 W,SpectraView 232 Widescreen LCD MonitorPower CableSignal Cable DisplayPortCD-ROMSales Office ListUser ManualCD-ROM with Profiler Software and ManualMini DisplayPort Signal CableVGA - VGA Signal CableDVI-D - DVI-D Signal Cable,In-plane Switching (IPS) Technology,,SpectraView 232 Widescreen LCD Monitor,LCD Monitor,8 ms,Full HD,"58.4 cm (23"")",,1 W,,,Yes,,178°,Yes,,10.20 kg,543.6 mm,Yes,,227.6 mm,Yes,,,232,,60 Hz,100 x 100,Yes,,CETUV ErgonomicsTUV GSC-tickGEEA/Energy LabelFCC Class BPCT/GostUL/C-ULCSACCCISO 9241-307 (pixel failure class I)PCBC/B-markPSB,Black,Yes,,Yes,,SpectraView,,,,,,,,,,,,,,,,,Landscape/Portrait,,,,,,,
"BDL5587XL/00, 2611612, Philips, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,Direct LED,Philips,800 cd/m²,Speaker,1.06 Billion Colors,"1,400:1",,Zoom SmartPower Picture in Picture Tiled Matrix Smart Insert Video Wall 3D De-interlace 3D Comb Filter Picture by Picture Temperature Sensor Picture on Picture HeatControl Sensor Ambient Light Sensor,,CEC RoHS TCO,Yes,685.8 mm,178°,110 V AC 220 V AC,3 Year,Philips Electronics,BDL5587XL/00,1920 x 1080,Yes,1.0,150 W,"LED Display BDL5587XL 140 cm (55"") Direct LED Zero BezelRemote ControlBatteriesAC Power CordVGA CableUser Manual On CD-ROMQuick Start Guide",,PC,"LED Display BDL5587XL 140 cm (55"") Direct LED Zero Bezel",LCD Monitor,10 ms,Full HD,"139.7 cm (55"")",Yes,1 W,,,Yes,USB 2.0,178°,Yes,,,1214.1 mm,,,127 mm,Yes,,Wall Mountable,BDL5587XL,,60 Hz,400 x 200,Yes,,CEFCC Class BUL/cULCCCC-Tick,,Yes,,Yes,,,,,,,,2.0,,,,,,,,,,,Landscape/Portrait,,Yes,,1.0,,,Box
"X2485WS-B1, 2579239, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,iiyama,300 cd/m²,Speaker,16.7 Million Colours,"1,000:1",,Security Lock,,TCO Displays 5.0 ENERGY STAR,Yes,449 mm,178°,220 V AC 110 V AC,3 Year,"iiyama North America, Inc",X2485WS-B1,1920 x 1200,,1.0,36 W,ProLite X2485WSPower CableVGA Cable (D-Sub)DVI CableAudio CableCable HolderStandQuick Start GuideSafety Guide,In-plane Switching (IPS) Technology,Mac PC,ProLite X2485WS,LCD Monitor,5 ms,WUXGA,"61.2 cm (24.1"")",Yes,500 mW,,,,,178°,Yes,,4.60 kg,561 mm,,,216.5 mm,Yes,,Desk Mountable Wall Mountable,X2485WS,,75 Hz,100 x 100,Yes,,CETUV-GSVCCI-BCU,Black,Yes,Yes,,Yes,ProLite,,,,,,2.0,,,,,,,,,,,,,,,,,,
"UM.FB6EE.A01, ACTFT69, Acer, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Acer,250 cd/m²,,16.7 Million Colours,"100,000,000:1",221.20 mm,,,EPEAT Gold TCO Certified Displays 6.0,Yes,335.9 mm,178°,220 V AC 110 V AC,3 Year,"Acer, Inc",UM.FB6EE.A01,1920 x 1080,,1.0,22.90 W,B246HL Widescreen LCD Monitor1 x DVI Cable1 x VGA CablePower Cord,Vertical Alignment (VA),,B246HL Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"61 cm (24"")",Yes,450 mW,,,,,178°,,,3.44 kg,567 mm,Yes,Yes,52 mm,Yes,535.50 mm,,B246HL,Anti-glare,60 Hz,,Yes,6.10 kg,,Dark Grey,,Yes,,,,150 mm,350 mW,B,60°,-5°to35°,,,,567 mm,,,,,,,,,,,,,,,
"P2460PXQ, 3091673, AOC, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,AOC,250 cd/m²,Speaker,16.7 Million Colours,"50,000,000:1",244.60 mm,Eco Mode Screen+ Security Lock i-Menu e-Saver,,ENERGY STAR 6.0 REACH TCO Certified Displays 6.0 EuP RoHS EPEAT Gold,Yes,,178°,120 V AC 230 V AC,3 Year,AOC,P2460PXQ,1920 x 1200,,1.0,24 W,"p2460Pxq 61cm (24"") LCD Monitor Power Cable D-Sub Cable DVI-D Cable DisplayPort Cable Audio Cable Product CD-ROM Warranty Card on CD-ROM",PLS (Plane to Line Switching) Technology,,"p2460Pxq 61cm (24"") LCD Monitor",LCD Monitor,5 ms,WUXGA,"61 cm (24"")",Yes,1 W,,,No,,178°,Yes,,6.65 kg,,Yes,Yes,,Yes,553.40 mm,,p2460Pxq,,60 Hz,,Yes,,CE TUV-GS CU ISO9241-307,Black,Yes,Yes,No,,Professional,130 mm,500 mW,,,-7°to23°,2.0,,,558.40 mm,,,,,,,,,,,,,,,
"SMT-2730, SAMSMT2730, Samsung, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,LED,Samsung,300 cd/m²,Speaker,16.7 Million Colours,"1,000:1",212 mm,3D Comb Filter,,EU RoHS,Yes,369 mm,170°,110 V AC 220 V AC,3 Year,Samsung,SMT-2730,1920 x 1080,,1.0,32 W,,,,"27"" Monitor, Full HD 1920 x 1080 Panel",LCD Monitor,8 ms,Full HD,"68.6 cm (27"")",Yes,,,,,,160°,Yes,,,648 mm,,,61.7 mm,,479.10 mm,Rack-mountable,SMT-2730,,60 Hz,400 x 600,Yes,,CB UL CE KC CC,Black,Yes,,Yes,,,,,,,,2.0,,,648 mm,,,,,,,Yes,,,Yes,,,,,
"R48MBEU, S602DL1, Lenovo, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,Lenovo,250 cd/m²,,16 Million Colours,"1,000:1",,Security Lock,,,,397.7 mm,170°,,,Lenovo Group Limited,R48MBEU,1440 x 900,,1.0,13 W,,,PC,ThinkVision LT1952p Widescreen LCD Monitor,LCD Monitor,5 ms,WSXGA+,"48.3 cm (19"")",,,,,,,160°,Yes,,4.30 kg,440.9 mm,Yes,,171.3 mm,Yes,,,LT1952p,,,100 x 100,Yes,,,Black,Yes,,,,ThinkVision,,,,,,,,,,,,,,,,,,,,,,,,
"I2276VWM, 3091675, AOC, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,AOC,250 cd/m²,,16.7 Million Colours,"50,000,000:1",,Screen+ e-Saver i-Menu Security Lock Mobile High-Definition Link (MHL) Eco Mode,,RoHS EuP EPEAT Silver TCO Certified Displays 6.0 ENERGY STAR 6.0,Yes,401.6 mm,178°,220 V AC 110 V AC,3 Year,AOC,I2276VWM,1920 x 1080,,1.0,25 W,"i2276Vwm 54.6 cm (21.5"") IPS Monitor Power Cable D-Sub Cable HDMI Cable Audio Cable Product CD-ROM Warranty Card on CD-ROM",In-plane Switching (IPS) Technology,,"i2276Vwm 54.6 cm (21.5"") IPS Monitor",LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,500 mW,,,,,178°,Yes,,3.16 kg,512.8 mm,,,130.5 mm,,,Wall Mountable,i2276Vwm,,60 Hz,100 x 100,Yes,,CE cTUVus GOST ISO 9241-307 TÜV-Bauart Ukrain Safety,Black,,Yes,Yes,Yes,Value,,500 mW,,,-4°to22°,,,,,,,,,,,,,,,,,,,
"60003394, ST38455, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,LED,NEC Display,500 cd/m²,Speaker,16.7 Million Colours,"4,000:1",240 mm,Side-by-side View Support TileComp Picture on Picture Digital Signage Ready TileMatrix (10x10) Screen Saver Digital Daisy Chain Carbon Footprint Meter Variable Picture Mode Ambient Light Sensor Security Lock Noise Reduction Eco Mode Picture in Picture,,RoHS,Yes,612.8 mm,178°,,3 Year,NEC Display Solutions,60003394,1920 x 1080,Yes,1.0,76 W,"46"" High-Performance LED-Backlit Commercial-Grade Display w/ Integrated SpeakersPower CordVGA Cable (Mini 15-pin D-sub)Wireless Remote ControlBatteriesMain Switch CoverCD-ROM (User Manual)ClampScrews",,PC,"46"" High-Performance LED-Backlit Commercial-Grade Display w/ Integrated Speakers",LCD Monitor,6.50 ms,Full HD,"116.8 cm (46"")",Yes,2 W,,,,,178°,Yes,,18.90 kg,1058.2 mm,,,65.1 mm,Yes,649.80 mm,,V463,,60 Hz,300 x 300,Yes,20.20 kg,CETÜV GSC-tickFCC Class BUL/C-ULCSAPSBVCCI,Black,Yes,Yes,Yes,,MultiSync,,,V,,,2.0,,,1058.20 mm,,,Yes,,,,Yes,Landscape/Portrait,,Yes,,,,,
"60003430, NECX551SPG, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,Edge LED,NEC Display,600 cd/m²,,,"4,000:1",,Ambient Light Sensor TileMatrix Support Screen Saver,,ENERGY STAR 5.1 RoHS,Yes,726.3 mm,178°,,3 Year,NEC Display Solutions,60003430,1920 x 1080,Yes,1.0,250 W,,Super Patterned Vertical Alignment (S-PVA) Technology,PC,MultiSync X551S PG (Protective Glass),LCD Monitor,8 ms,Full HD,"139.7 cm (55"")",,1 W,,,,,178°,Yes,,33 kg,1254 mm,,,48.3 mm,Yes,,,X551S PG,Anti-reflective,60 Hz,300 x 300,Yes,,UL/C-ULCSACETUV GSC-tickFCC Class APSBVCCI,Black,Yes,Yes,Yes,,MultiSync,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,
"VH228D, 2322756, ASUSTeK COMPUTER, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Asus,250 cd/m²,,16.7 Million Colours,"50,000,000:1",220 mm,,,WEEE RoHS ENERGY STAR,Yes,,170°,,,ASUS Computer International,VH228D,1920 x 1080,,1.0,39 W,VH228D Widescreen LCD MonitorVGA CablePower CordQuick Start GuideSupport CDWarranty Card,,PC,VH228D Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"55.9 cm (22"")",,1 W,,,,,160°,Yes,,4.60 kg,,,,,,405 mm,Wall Mountable,VH228D,,75 Hz,100 x 100,Yes,,UL/cULCBCEErPFCCCCCBSMIGost-RC-TickVCCIPSBJ-MOSSWHQL,Black,,,,,,,1 W,VH,,,,Yes,80%,515 mm,,,,,,,,,,,,,,,
"XB2485WSU-B1, 2580121, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,iiyama,300 cd/m²,USB Hub Speaker,16.7 Million Colours,"1,000:1",,Security Lock,,TCO ENERGY STAR,Yes,,178°,220 V AC 110 V AC,,"iiyama North America, Inc",XB2485WSU-B1,1920 x 1200,,1.0,,,In-plane Switching (IPS) Technology,PC Mac,ProLite XB2485WSU Widescreen LCD Monitor,LCD Monitor,5 ms,WUXGA,"61.2 cm (24.1"")",Yes,,,,Yes,,178°,Yes,,6.40 kg,,Yes,Yes,,Yes,,,XB2485WSU,,75 Hz,100 x 100,Yes,,CECBTUV GSVCCI-BGOST,Black,Yes,Yes,,,ProLite,,,,,,2.0,,,,,,,,,,,,,,,,,,
