<page title>,compliant standards,display position adjustments,display size,dot pitch,energy star qualified,image brightness,returns policy,warranty labor,warranty parts,color,compatibility notes,contents,product type,target use,actual weight,physical dimensions,warranty details,diagonal size,speakers included,weight,brightness nitscdm2,color support,connector,connector type,contrast ratio,display technology,display type,internal resolution max,portsconnectors,power notes,response timerate,viewing angle hv degrees,attributes,form factor,image aspect ratio,image size max,image size min,native resolution,projector type,resolution modes,screen distance min,energy star version,brightness lumens,lamp type,digital video standard,refurbished type,system requirements,horizontal frequency khz,vertical frequency hz,os notes
"Buy Lenovo 19.5"" LT2013s LED-LCD Monitor, Black Monitors - LED-LCD 60ABAAR1US today at PC Connection",VESA FPMPMI EPEAT Gold DDC-2B/CI RoHS VESA EDID ISO 9241-307,Tilt,19.5 in,0.27 mm,Yes,200 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,,"monitor, documentation",,,6.40 lb(s),"10.8""h x 18.4""w x 2.1""d",,,,,200 cd/m2,16.7 million colors,HDDB15 Power,VGA Power,600:1,LCD LED-backlit,Widescreen,1600 x 900,"(1) HDDB15 VGA
(1) Power in",Consumption: 17W (typ.),5 ms,,,,,,,,,,,,,,,,,,,
Buy HP SFF Integrated Work Center v3 Stands & Mounts - AV F2P06AA today at PC Connection,REACH,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Black,"Create an ideal work space with a stylish, innovative stand built to match the newest HP PC designs.
Simply attach the monitor to the included VESA mounting plate, route the cables through the provided cable channels, place the Small Form Factor PC or Workstation on the back platform of the stand, and lower the top latch to secure it in place.
Once assembled, you can easily move the entire system around your desk.
Find your best viewing position with fleixble tilt, swivel, and height adjustment settings. Pivot the monitor 90° into a vertical orientation for less scrolling when reading longer e-mails and web pages.
Get the reassurance of a one-year parts replacement limited warranty. Additional support is available (North America only) seven days a week, 24 hours a day by phone as well as through online support forums.","stand, documentation",Display stand,Flat panel display,8.40 lb(s),"12.1""h x 16.8""w x 14.5""d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Peerless LCD Pedestal Stand, Black Stands & Mounts - AV LCFS-100 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black,Unit is compatible with all VESA 75/100 screens,"Pedestal stand, bolting hardware, documentation",Stand,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Peerless Fixed Extension Column, 12"", Black Stands & Mounts - AV EXT101-AB today at PC Connection",CUL UL,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,Black,Max load capacity: 1200 lbs.,"Extension column, documentation",Projector ceiling mount extension tube,Monitor Projector,0.00 lb(s),"12""l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Scratch & Dent Acer 20"" S200HL Abd Widescreen LED-LCD Monitor, Monitors - LED-LCD ET.DS0HP.A01 today at PC Connection",Energy Star,,20 in,0.276 mm,Yes,250 cd/m2,"Should this product arrive in a condition other than described, or if it does not function for the first 30 days from the date of receipt, you must contact our Customer Care Center at 1-888-213-0259. If we are unable to resolve the issue with your Scratch & Dent product, we will issue a Return Merchandise Authorization and refund your purchase price when the item is received in our warehouse in the same condition it was in when it shipped to the customer. If the product is returned incomplete, a Restocking Fee may apply.",30 Days,30 Days,Black,"Adjustable display angle
100, 000, 000:1 contrast ratio
Ultra-thin, space-saving design","Monitor, power cord, VGA cable, DVI cable, documentation",,,,,,,,,250 nit(s),16.7 million colors,HDDB15 DVI Power,VGA Power DVI,"100,000,000:1",LED-backlit LCD,Widescreen,1600 x 900,"(1) DVI
(1) HDDB15 VGA
(1) Power","Supply: 110-220VAC
Consumption: 22W (typ.); 0.6W (standby); 0.5W (off-mode)",5 ms,170/160,,,,,,,,,,,,,Digital Visual Interface (DVI),Scratch & Dent,,,,
"Buy Promounts Fino Flat Medium Wall Mount for 10""-40"" Displays- TV Stands & Mounts - AV FF44 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,Limited Lifetime,Limited Lifetime,Black,"1"" (27 mm) from the wall.
Universal design; no screen adapter necessary.
Max load 80 pounds.
Supports all VESA patterns from 100x100 to 400x400.
All screen and wall mounting hardware included.
Secure Locking System, to securly lock the screen and for theft prevention.
Manufacturer's Limited Lifetime Warranty.
Multi-lingual Retail Packaging (English, Spanish, French).","Mount, documentation",Wall mount,Flat panel display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy LG 47"" 47WS50MS-B LED-LCD Full HD Monitor, Black Monitors - Large-Format LED-LCD 47WS50MS-B today at PC Connection",,,47 in,,Yes,,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,
"Buy Peerless SmartMount Universal Tilt Wall Mount For 13"" To 37"" Stands & Mounts - AV ST635P today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black,"Compatible with VESA 75mm, 100mm, 200mm, and 200mm x 200mm mounting hole patterns.","Mount, hardware, documentation",Wall mount,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Kensington Long Neck Modular Platform with SmartFit System Stands & Mounts - AV K60719US today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,"Features
Unique modular platforms attach to arm as needed for different size keyboarding surfaces.
Use all three platforms for a large mousing area or remove a platform to fit small desks.
Adjusts 6"" in height, +/- 15 degrees in tilt and rotates 360 degrees.
Includes wrist rests for both keyboard and mouse.
21"" track, 15"" arm for corner or curved workstations.
Easy color-coded window lets you adjust the unit instantly to your unique SmartFit comfort color","Unit, documentation",Desk mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Elite EZFrame Projection Screen, CineGray, 16:9, 100"" Projector Screens R100H1 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,,,,,,,,"Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Ergotron DS100 Triple-Monitor Desk Stand, Horizontal Stands & Mounts - AV 33-323-200 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black,"Rotation: 360 degrees
LCD Size: Weight capacity: up to 31 pounds per monitor; 93 pounds total
Mounting Standards: VESA FDMI, MIS-D, 75/100, C (100x100mm and 75x75mm)","Desk stand, documentation",Desk mount,Flat panel display,0.00 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Elite VMax Electric Projection Screen, Matte White, 16:9, 84in Projector Screens VMAX84UWH2 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,White Black,,"Screen, case, IR remote, RF remote, wall switch, 12v trigger adapter, IR sensor, hardware, documentation",,,,"59""h x 76.2""w","Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Acer 22"" B226WL YMDR LED-LCD Monitor, Black Monitors - LED-LCD UM.EB6AA.001 today at PC Connection",EPEAT Gold,Pivot (rotation) Swivel Tilt Height,22 in,,Yes,250 cd/m2,,3 Years,3 Years,Black,"Convincing:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched.
Green focus:
Professional Series monitors are RoHS compliant and mercury free. In addition, you'll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earth's resources. Acer also uses recyclable packaging to further reduce ecological impact.","Monitor, VGA cable, DVI cable, documentation",,,,,limited,,,,250 cd/m2,,HDDB15 DVI Power,Power VGA DVI,"100,000,000:1",LCD LED-backlit,Widescreen,1680 x 1050,"(1) DVI
(1) HDDB15 VGA
(1) power in",,5 ms,170/160,Speakers Included Dual speakers,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
"Buy Elite Ez-Cinema Pull Up Portable Matte White Projection Screen, Projector Screens F80NWH today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,White,,"Screen, aluminum case, documentation",Projection screen,,,"83.5""h x 77""w","Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Elite Portable Tripod Pull-Up Projection Screen, Matte White, Projector Screens T113UWS1 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,Black,,"Screen in black case, tripod stand, documentation",Projection screen,,,"80""h x 80""w","Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy 3M 17"" M1700SS Touch LCD Monitor, Black, Serial Monitors - LCD 11-91378-227 today at PC Connection",UL CUL FCC Class B certified CCC CE RoHS C-Tick,,17 in,.264 mm,,300 nit(s),,3 Years,3 Years,Black,,"Monitor, video cable, serial cable, power supply, power cable, documentation",,,18.90 lb(s),"16.3""h x 15.9""w x 9.7""d",,,,,,16.2 million colors,HDDB15 DVI DB9,Serial DVI VGA,800:1,LCD TFT,Standard,1280 x 1024,"(1) HDDB15 VGA
(1) DVI
(1) DB-9 serial","Supply: 12VDC
Consumption: Backlight Life: 40, 000 hrs. typical",8 ms,160/160,Touch screen,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
"Buy Asus 28"" PB287Q 4K Ultra HD LED-LCD Monitor, Black Monitors - LED-LCD PB287Q today at PC Connection",CCC WHQL ISO 9241-307 CB TCO Displays 6.0 FCC C-Tick CEL Level 1 RoHS BSMI WEEE CUL VCCI,Pivot (rotation) Tilt Swivel Height,28 in,0.16 mm,Yes,300 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy ELO Touch Solutions Interactive Digital Signage Webcam for IDS Digital Signage Systems & Modules E574975 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,"Compatible with IDS 3201L, 4201L, 5500L, 5501L, 7001L.
Easily installed on the Elo IDS with preset screw holes and a proprietary connector on any of the four sides. Web camera is accessed through the USB connection (shared with the touchscreen) on the display. With an optional Elo Computer Module, no cabling is necessary for connecting the webcam to the host computer.
Supports landscape or portrait orientation.
Adjustable for up/down tilt with a hex-key adjustment (included).","webcam, documentation",,,,,,,,,,,,,,,,,(1) USB 2.0,,,,,,,,,,,,,,,,,,"Compatible Operating Systems:
Microsoft Windows 7 Professional (32-bit only);
Microsoft Windows XP Professional Service Pack 3 (32-bit only)",,,
"Buy Omnimount Large Tilt Mount for 37""-80"" Displays Stands & Mounts - AV OC175T today at PC Connection",CULus,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black,"Low profile offers sufficient room for cable connections and cooling while keeping TV close to the wall.
Tilt TV forward to reduce glare or for overhead installations.
Lift n' Lock feature offers easy, three-step installation.
Open frame provides ample room for power and A/V cutouts behind TV.
Vertical rails fit VESA and non-VESA TVs.
Vertical rails slide on wall plate for minor left/right repositioning.
Locking bar secures TV to mount.
Complete hardware kit included.
Universal and VESA compliant: 100 x 100mm to 600 x 400mm.
For 37""-80"" displays.
Max weight capacity of 175 pounds.","Mount, documentation",Wall mount,Flat panel display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Elite L Bracket for Wall or Ceiling Screen 6"", Pair, Black, 6in Projector Screen Accessories ZVMAXLB6-B today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,Black,,"2 bracket mounts, documentation",,,,,"Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Samsung 21.5"" S22D300NY Full HD LED-LCD Monitor, Black Monitors - LED-LCD S22D300NY today at PC Connection",,,21.5 in,,Yes,200 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,High-gloss black,"Control brightness, conserve energy:
Eco saving makes saving energy easy. It adjusts the brightness of your Samsung monitor based on how much energy you want to save. And with the choice of three energy saving modes (50%, 25% and Power Saving off), you can really tailor your monitor use to meet your own personal needs. Samsung’s commitment to saving energy is designed to help both you and the environment, and with up to 50% saving on consumption, you can really make a positive impact on your eco footprint. Take the effort out of saving energy and take control with Eco saving.
See it your way with wider viewing angles:
How do you like to watch movies? Do you like lying down on the couch? Sitting in your favourite chair? Cooking or exercising? Whether you’re standing, sitting or lying down, Samsung Magic Angle makes sure that the movie always takes centre stage and that you’re always comfortable. This means, thanks to the 5-mode angle management, that whatever angle you watch your Samsung monitor, you will enjoy a full visual experience with amazing picture clarity. So, start seeing your favourite movies and other multimedia in total comfort and without limitations thanks to Magic Angle.
Dimensions and weight with stand:
15.1""h x 20.1""w x 7""d
6.3 lbs.","monitor, VGA cable, documentation",,,5.70 lb(s),"12.2""h x 20.1""w x 2.1""d",,,,,200 cd/m2,16.7 million colors,HDDB15 Power,Power VGA,600:1,LED display,Widescreen,1920 x 1080,"(1) HDDB15 VGA
(1) Power in","Supply: 100-240VAC, 50/60Hz
Consumption: 22W (typ.); 0.3W (standby)",5 ms,90/65,Tilt,,,,,,,,,,,,,,,,,
