<page title>,ac power in,altezza,altezza con supporto,altezza imballo,altoparlanti incorporati,angolo di visualizzazione orizzontale,angolo di visualizzazione verticale,blocco cavo,cavi inclusi,certificazione,classe efficienza energetica,colore del prodotto,colori del display,compatibile con montaggio vesa,compatibilità 3d,consumi,consumi modalità spento,consumi modalità standby,dimensioni schermo,dot pitch,formato,fotocamera integrata,guida rapida,hdcp,inclinazione,inclinazione regolabile,indicatore led alimentazione,interruttore integrato,intervallo di scansione verticale,larghezza,larghezza con supporto,larghezza imballo,led standby,luminosità schermo,manuale dellutente,modalità video supportate,montabile a parete,peso,peso incluso imballo,peso prodotto con supporto,plug play,porta dvi,profondità,profondità con supporto,profondità imballo,quantità porte vga dsub,range di scansione orizzontale,rapporto di contrasto,rapporto di contrasto dinamico,risoluzione,risoluzioni grafiche supportate,sintonizzatore tv integrato,sistema operativo windows supportato,tecnologia display,tempo di risposta,thin client installato,thin client thin client installato no,tipologia display,tipologia hd,voltaggio di ingresso,angolo di rotazione,certificazione energy star,conformità epeat,girevole,pivot angle,quantità displayports,quantità porte dvid,quantità porte usb 20,regolazione altezza,rotazione,source datasheet,thin client thin client installato n,altoparlante cuffia spinotto di uscita,area di visualizzazione effettiva,consumi modalità risparmio energetico,frequenza di ingresso,frequenza scansione orizzontale,frequenza scansione verticale,ingresso audio per pc,intervallo di temperatura,intervallo temperatura di funzionamento,lingue osd,mtbf,numero di altoparlanti,on screen display osd,potenza in uscita rms,schermo srgb,sync hv separato,syncongreen sog,umidità relativa,dimensioni schermo cm,mobile highdefinition link mhl,altre caratteristiche source datasheet,bluetooth,collegamento ethernet lan,colore del piede,dimensione visibile orizzontale,dimensione visibile verticale,guida utente su cdrom,indicatori led,lettore di schede integrato,quantità porte hdmi,range di umidità di funzionamento,wifi,cavo alimentazione incluso,dimensione visibile diagonale,thin client,tipologia di retroilluminazione,connessione wlan,dot rate video,microfono spinotto dingresso,tipi schede di memoria,alimentazione,angolo visuale,dimensioni imballo lxpxa,dimensioni lxpxa,conforme agli standard,consumi modalità attivo,consumo energetico max,ingresso audio,materiale riciclabile,connessione cuffia,quantità porte usb 30,subwoofer incorporato,uscita audio,performance,design colore del prodotto nero,altitudine di funzionamento,altitudine di nonfunzionamento,lunghezza cavo,numero di lingue osd,umidità,microfono incorporato,display surface,sistema operativo linux supportato,compatibilità sistema operativo mac,condizioni ambientali,dimensioni lxpxa con base,compatibilità elettromagnetica,sicurezza,certificati di sicurezza certificazione energy star si,numero di prodotti inclusi,quantità,hdmi,contenuto dellimballo cavi inclusi ac vga,adattatore acdc,pictureinpicture,funzione risparmio,miglioramento dellimmagine,posizionamento supportato,risoluzione massima,certificati di sicurezza,dcin jack,altre caratteristiche quantità 1 source datasheet,megapixel,interfaccia comune,cable lock slot type,capacità totale hard disk,famiglia processore,full hd,intel antitheft technology,intel hyperthreading technology,intel identity protection technology,intel my wifi technology,intel rapid start technology,intel small business advantage sba,intel smart connect technology,intel smart response technology,intel turbo boost technology,intel visual technologies,intel vpro technology,intel wireless display technology,megapixel totali,mouse incluso,numero di core del processore,processore,quantità porte ethernet lan rj45,ram installata,retroilluminazione a led,sistema operativo incluso,supporto di memoria,tecnologia touch,tipo di ram,touch screen,velocità processore,controllo del volume,consumo energia modalità economica,convenienza,dimensioni altoparlante centrale l x a x p,ingresso segnale,materiali della confezione riciclabili,peso contenzione inclusa,peso schermo con supporto,prodotto senza piedistallo kg,regulatory approvals,risoluzione consigliata,segnale ingresso sincronizz video,smartcontrast,specificazioni ambientali,supporto lingue,networking connessione wlan n collegamento ethernet lan n,tipo di prodotto,common interface plus ci,webcam girevole,altre caratteristiche,colore,connessioni audio,mhl specification,smartresponse
Philips Philips 241S4LSB Display Full HD S-line 61 cm  24   Monitor LCD,Si,352 mm,437 mm,476 mm,N,170 °,160 °,Kensington,,"BSMI, CE Mark, FCC B, GOST, SASO, SEMKO, TCO 5.2, TUV Ergo, TUV/GS, UL/cUL, WEEE",,Nero,16.77 M,100 x 100 mm,N,18.9 W,0.1 W,0.1 W,61 cm,0.276 x 0.276 mm,,N,,Si,-5 - 20 °,,Si,Si,,565 mm,565 mm,605 mm,Si,250 cd/m²,,,Si,4.1 kg,6.8 kg,4.9 kg,Si,,55 mm,207 mm,139 mm,1.0,,1000:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,Si,,5 ms,N,,LED,Full HD,100 - 240 V,,Si,,,,,1.0,,,,.,,,,12 W,50/60 Hz,30 - 83 kHz,56 - 75 Hz,,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",30000 h,,Si,,Si,Si,Si,,,,,,,,531.4 mm,298.9 mm,,,,,20 - 80 %,,,,,W-LED,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,Si,,,,"EPEAT Gold, RoHS, PVC / BFR free, Mercury free, Lead free",,1 pezzi,,,,,,Si,SmartImage,Orizzontale,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 190BL1CB 190BL1CB 00 Planet Computer.it,,3050 mm,422 mm,,Si,170 °,160 °,Kensington,,,Non specificato,Nero,16.77 M,100 x 100 mm,N,11.4 W,,0.3 W,48.3 cm,0.283 x 0.283 mm,16:10,N,,Si,-5 - 20 °,Si,,,,436 mm,436 mm,,,250 cd/m²,,,Si,3.04 kg,,4.12 kg,,,68 mm,201 mm,,1.0,,1000:1,20000000:1,1440 x 900 Pixels,1440 x 900 (WXGA+),N,,,5 ms,N,,LED,N,100 - 240 V,-45 - 45 °,Si,Argento,Si,,,1.0,1.0,70 mm Si,,.,"Altre caratteristiche
Source data-sheet .
Dimensioni imballo (LxPxA) 508 x 485 x 172 mm
Area di visualizzazione effettiva 408.24 x 255.15 mm",,408.24 x 255.15 mm,7.7 W,50/60 Hz,30 - 83 kHz,56 - 75 Hz,,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",30.000 h,2.0,Si,2 W,Si,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,508 x 485 x 172 mm,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Philips Philips 271P4QPJKEB Display Full HD P-line da 68,6 cm  27   Monitor LCD AMVA",,405 mm,580 mm,234 mm,Si,178 °,178 °,Kensington,,"TCO edge, RoHS",Non specificato,Nero,16.77 M,100 x 100 mm,N,27.6 W,,0.3 W,68.6 cm,0.311 x 0.311 mm,16:9,Si,,Si,-5 - 20 °,,Si,Si,56 - 75 Hz,639 mm,639 mm,750 mm,Si,300 cd/m²,,1080p,Si,5.1 kg,10.35 kg,7.5 kg,Si,,64 mm,242 mm,490 mm,1.0,30 - 83 kHz,5000:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,Si,A-MVA,12 ms,N,,LCD,Full HD,100 - 240 V,-65 - 65 °,Si,Oro,,,1.0,1.0,3.0,Si 150 mm,Si,.,,1,597.89 x 336.15 mm,,50/60 Hz,,,,-20 - 60 °C,,,30000 h,2.0,Si,4 W,,Si,Si,20 - 80 %,,,,,,,,,,Si,,1.0,0 - 40 %,,,,,W-LED,,,,,,,,,"BSMI, CE Mark, FCC Class B, GOST, SASO, SEMKO, TUV Ergo, TUV/GS, TCO 5.2, UL/cUL, WEEE",,,Si,,,,,Si,,"Condizioni ambientali
Umidità relativa 20 - 80 %
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 0 - 40 %",,,,,,Si,,,Si,,,,,,,,Si,,,,,,,,,,,2 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digitale,,,,,,,,,,,,,,,,,,,,,,,
Samsung Samsung S32D850T LS32D85KTSN EN Planet Computer.it,,"44,1 cm",63 cm,"53,7 cm",No,178°,178°,,"DisplayPort, DVI, HDMI, USB",,,"Nero, Grigio",1060M,100 x 100 mm,,95W,,"0,45W","81,28 cm (32"")",,16:9,No,Si,,-5 - 20°,Si,,,,"74,13 cm","74,13 cm",86 cm,,,Si,,Si,"9,4 kg",17500g,12200g,,Si,"6,85 cm",28 cm,"35,6 cm",,,3000:1,Contrasto Mega,2560 x 1440 Pixels,2560 x 1440,No,Si,,5 ms,No,,LED,Wide Quad HD,100 - 240V,-30 - 30°,Si,,Si,,1.0,,,Si 13 cm,Si,,,1,,46W,50/60 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,100W,,,,4.0,,,"Sistema operativo Windows supportato Si
Compatibilità sistema operativo Mac Si",,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 221B3LPCS 02 LED display 221B3LPCS 02 Planet Computer.it,,323 mm,480 mm,361 mm,Si,176 °,170 °,Kensington,,"BSMI, CE-Zeichen, FCC, GOST, SEMKO, TCO 5.1, TÜV/GS, TÜV Ergo, UL/cUL RoHS",Non specificato,Argento,16.77 M,100 x 100 mm,,17.8 W,,0.1 W,54.6 cm,0.248 x 0.248 mm,,N,,Si,-5 - 20 °,Si,,,56 - 75 Hz,507 mm,507 mm,568 mm,,250 cd/m²,,,Si,3.4 kg,7.12 kg,,Si,,59 mm,227 mm,186 mm,1.0,30 - 83 kHz,1000:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,,,5 ms,N,,LED,Full HD,100 - 240 V,,Si,Oro,,,,1.0,2.0,Si 110 mm,Si,.,"Connettività
Common interface Plus (CI+) N
Interfaccia comune N
Ingresso audio per PC Si
Quantità porte DVI-D 1
Quantità porte VGA (D-Sub) 1
Altoparlante / Cuffia / spinotto di uscita 1
Quantità porte USB 2.0 2
Uscita audio Si
Ingresso audio Si",1,,,50/60 Hz,,,Si,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",30000 h,2.0,Si,3 W,Si,Si,Si,,,,,,N,,476.6 mm,268.1 mm,,,N,,20 - 80 %,,,,,W-LED,N,,,N,,,,,,,,Si,,,,,Si,,,,,,8.0,,N,,,,"Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %",,,,,,,N,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,
Aoc AOC E960SRDA LED display E960SRDA Planet Computer.it,Si,405.1 mm,,,Si,170 °,160 °,Kensington,,"CE, cTUVus, EuP, FCC, ISO 9241-307, GOST, RoHS, TCO 5.0, TÜV-GS",Non specificato,Nero,16.77 M,100 x 100 mm,N,22 W,0.5 W,0.5 W,48.3 cm,0.294 x 0.294 mm,5:4,N,,N,-5 - 15 °,Si,,Si,,409.2 mm,,,,250 cd/m²,,,Si,2.85 kg,,4.2 kg,Si,,210 mm,,,1.0,,1000:1,20000000:1,1280 x 1024 Pixels,1280 x 1024 (SXGA),N,,,5 ms,N,,LED,,90 - 240 V,,Si,Argento,N,,,1.0,,N,N,.,,,,,,30 - 80 kHz,50 - 76 Hz,,,,,,1.0,Si,,,,,,,,,N,N,,376 mm,301 mm,,,N,,,,,,,,N,140 MHz,N,N,,,,,,,,,,,,,,,"Connettività
Microfono, spinotto d'ingresso N
Quantità porte VGA (D-Sub) 1
Quantità porte DVI-D 1
AC (power) in Si",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 19B4LCB5 19B4LCB5 00 Planet Computer.it,,"34,6 cm","50,6 cm","44,8 cm",Si,170°,160°,Kensington,,"Energy Star 6.0, RoHS",Non specificato,Nero,"16,77M",100 x 100 mm,N,14W,"0,1W","0,1W","48,3 cm","0,294 x 0,294 mm",5:4,N,,,-5 - 20°,Si,Si,,,"40,4 cm","40,4 cm",46 cm,,250 cd/m²,Si,,Si,"2,71 kg","6,48 kg","4,61 kg",Si,,"6,1 cm","22,7 cm","15,9 cm",1.0,,1000:1,20000000:1,1280 x 1024 Pixels,1280 x 1024 (SXGA),N,,,5 ms,,,LCD,,100 - 240V,-65 - 65°,Si,Argento,Si,0 - 90°,,1.0,,11 cm Si,Si,,,1,,9W,50/60 Hz,30 - 83 kHz,56 - 75 Hz,Si,-20 - 60 °C,0 - 40 °C,,30000h,2.0,Si,3W,,Si,Si,20 - 80%,,,,N,N,,"37,632 cm","30,106 cm",,,,,,,,,,W-LED,N,,,,,,,,,,,,,,,N,,,"Multimedia
Potenza in uscita (RMS) 3W
Sintonizzatore TV integrato N
Altoparlanti incorporati Si
Subwoofer incorporato N
Fotocamera integrata N
Numero di altoparlanti 2",0 - 3658m,0 - 12192m,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Source data-sheet,,,,
Lenovo Lenovo ThinkVision LT2013s 60ABAAT1IT Planet Computer.it,,274.8 mm,342.4 mm,,N,170 °,160 °,Kensington,"AC, VGA",RoHS,Non specificato,Nero,16.77 M,100 x 100 mm,N,17 W,0.5 W,0.5 W,"495.3 mm (19.5 "")",0.27 x 0.26 mm,16:9,N,,,-5 - 22 °,Si,Si,,,467 mm,467 mm,,Si,200 cd/m²,,,Si,2.5 kg,,,,N,53 mm,160.7 mm,,1.0,,600:1,500000:1,1600 x 900 Pixels,"640 x 350, 720 x 400, 832 x 624, 1024 x 768 (XGA), 1152 x 864 (XGA+), 1280 x 1024 (SXGA), 1366 х 768, 1440 x 900 (WXGA+), 640 x 480 (VGA), 800 x 600 (SVGA)",N,Si,TN+Film,5 ms,N,,LCD,,,,Si,Argento,,,,,,N,,.,"Altre caratteristiche
Source data-sheet .",,,,,,,,,,,,,Si,,,,,,,,,,,,433.9 mm,236.3 mm,,,,,,,,,,W-LED,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,"Design
Colore del prodotto Nero",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 190SL1SB 190SL1SB 00 Planet Computer.it,,305 mm,372 mm,,N,170 °,160 °,Kensington,,"BSMI, CE Mark, FCC Class B, GOST, SEMKO, TCO 5.2, TUV/GS, TUV Ergo, UL/cUL, WEEE",,Nero,16.77 M,100 x 100 mm,N,11.4 W,,0.3 W,48.3 cm,0.283 x 0.283 mm,16:10,N,,Si,-5 - 20 °,Si,,,56 - 75 Hz,436 mm,436 mm,,,250 cd/m²,,,Si,3.04 kg,,3.31 kg,Si,,68 mm,183 mm,,1.0,30 - 83 kHz,1000:1,20000000:1,1440 x 900 Pixels,1440 x 900 (WXGA+),N,,,5 ms,N,,LED,N,100 - 240 V,,Si,Argento,,,,1.0,,N,,.,"Altre caratteristiche
Source data-sheet .
Dimensioni imballo (LxPxA) 488 x 420 x 141 mm",,,7.7 W,50/60 Hz,,,,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",30000 h,,Si,,Si,Si,Si,20–80 %,,,,,,,408.24 mm,255.15 mm,,,,,,,,,,,,,,,,,488 x 420 x 141 mm,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 200V4LAB 00 200V4LAB 00 Planet Computer.it,,299 mm,369 mm,372 mm,Si,170 °,160 °,Kensington,,RoHS,Non specificato,Nero,16.77 M,100 x 100 mm,N,15.02 W,0.5 W,0.5 W,49.5 cm,0.27 x 0.27 mm,16:9,N,,Si,-5 - 20 °,Si,Si,,56 - 75 Hz,479 mm,479 mm,567 mm,Si,250 cd/m²,,,Si,2.39 kg,3.79 kg,2.72 kg,,,48 mm,201 mm,124 mm,1.0,30 - 83 kHz,1000:1,10000000:1,1600 x 900 Pixels,1600 x 900,N,Si,,5 ms,N,,LCD,,100 - 240 V,,Si,Argento,,,,1.0,,N,,.,"Altre caratteristiche
Source data-sheet .
Dimensioni (LxPxA) con base 479 x 369 x 201 mm
Risoluzione massima 1600 x 900 Pixels
Dimensioni imballo (LxPxA) 567 x 372 x 124 mm
Area di visualizzazione effettiva 432 x 239.76 mm",,432 x 239.76 mm,,50/60 Hz,,,Si,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR",30.000 h,2.0,Si,4 W,Si,,,,,,,N,,,,,,Si,,,20 - 80 %,,,,,W-LED,N,,,,,,567 x 372 x 124 mm,,,,15.02 W,,,,,N,,,,0 - 3658 m,3658 - 12192 m,,9.0,,,,,Si,"Altitudine di non-funzionamento 3658 - 12192 m
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %
Altitudine di funzionamento 0 - 3658 m",479 x 369 x 201 mm,,,,,,,,,,,,,1600 x 900 Pixels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoc AOC E2260PQ E2260PQ Planet Computer.it,Si,,"40,83 cm","17,7 cm",Si,170°,160°,Kensington,"AC, Audio (3.5mm), DVI, VGA","CE, CU, Energy Star 6.0, EPEAT Silver, EuP, ISO 9241-307, RoHS, TCO 6.0, TÜV-GS, Ukrain Safety",Non specificato,Bianco,"16,77M",100 x 100 mm,No,19W,"0,5W","0,5W","55,9 cm","0,282 x 0,282 mm",16:10,,,Si,-5 - 22°,Si,Si,Si,,"50,78 cm","50,78 cm","65,2 cm",Si,250 cd/m²,,,Si,,"7,22 kg","5,65 kg",Si,Si,,"24,46 cm","41,3 cm",1.0,,1000:1,50000000:1,1680 x 1050 Pixels,1680 x 1050 (WSXGA+),,,TN,2 ms,No,,LED,,100 - 240V,,Si,Argento,Si,,1.0,1.0,,Si 13 cm,Si,,,,,,50/60 Hz,30 - 83 kHz,50 - 76 Hz,,,,,70000h,,Si,2W,,,,,,,,No,No,,"47,664 cm","26,811 cm",Si,Si,,,,No,,,Thin client installato No,W-LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hp Hewlett Packard HP ProDisplay P17A F4M97AT ABB Planet Computer.it,,"31,66 cm","38,72 cm",,No,170°,160°,,,,Non specificato,Nero,"16,77M",100 x 100 mm,No,"15,2W",,,"43,2 cm","0,264 x 0,264 mm",5:4,No,,No,-5 - 25°,Si,,,50 - 76 Hz,"37,72 cm","37,72 cm",,,250 cd/m²,,,Si,"3,23 kg",,"3,72 kg",,No,"5,7 cm","20,63 cm",,1.0,24 - 83 kHz,1000:1,,1280 x 1024 Pixels,,No,,TN+Film,5 ms,No,,LCD,No,100 - 240V,,Si,,,,,,,,,,,,,"0,5W",50/60 Hz,,,,,,,,,,,,,,,,,"Thin Client
Thin client installato No",,,,"33,79 cm","27,03 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hp Hewlett Packard HP Z27i D7P92A4 Planet Computer.it,,"37,92 cm","42,04 cm",,N,178°,178°,Si,"AC, DisplayPort, DVI, USB",,Non specificato,Nero,,,,60W,,"0,5W","68,58 cm","0,233 x 0,233 mm",16:9,N,,Si,-5 - 20°,Si,,,50 - 76 Hz,"64,1 cm","64,1 cm",,,350 cd/m²,,,Si,,,"7,6 kg",Si,Si,"6,55 cm","24,24 cm",,1.0,24 - 94 kHz,1000:1,5000000:1,2560 x 1440 Pixels,"720 x 400, 2560 x 1440, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1280 x 800 (WXGA), 1440 x 900 (WXGA+), 1600 x 1200 (UXGA), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 1920 x 1200 (WUXGA), 640 x 480 (VGA), 800 x 600 (SVGA)",N,,IPS,8 ms,N,,LCD,,100 - 240V,-45 - 45°,Si,Oro,Si,0 - 90°,1.0,1.0,,12 cm Si,Si,,,,,,50/60 Hz,,,,-20 - 60 °C,5 - 35 °C,,,,,,,,,,,,,N,N,,,,,,,1.0,20 - 80%,,,,Thin client installato N,,N,,,,,,,,,,75W,,,,5.0,,,,,,,,,5 - 95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoc AOC E2460PQ E2460PQ Planet Computer.it,Si,,"39,36 cm","42,1 cm",Si,170°,160°,Kensington,"AC, Audio (3.5mm), DVI, VGA","CE, CU, Energy Star 6.0, EPEAT Gold, EuP, ISO 9241-307, RoHS, TCO 6.0, TÜV-GS, Ukrain Safety",Non specificato,Bianco,"16,77M",100 x 100 mm,No,22W,"0,5W","0,5W",61 cm,"0,276 x 0,276 mm",16:9,,,Si,-5 - 22°,Si,Si,Si,,"56,54 cm","56,54 cm","69,3 cm",Si,250 cd/m²,,1080p,Si,,"8,23 kg","6,38 kg",Si,Si,,"24,35 cm","18,7 cm",1.0,,1000:1,50000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,TN,2 ms,No,,LED,Full HD,100 - 240V,,Si,Oro,Si,,1.0,1.0,,Si 13 cm,Si,,,,,,50/60 Hz,30 - 83 kHz,50 - 76 Hz,,,,,,,Si,2W,,,,,,,"Thin Client
Thin client installato No",No,No,,"53,136 cm","29,889 cm",Si,Si,,,,No,,,,W-LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benq Benq BL2700HT 9H.LCSLB.QBE Planet Computer.it,,"51,9 cm",,,Si,178°,178°,Kensington,VGA,TCO 6 Energy Star 6.0,,Nero,"16,77M",100 x 100 mm,,45W,"0,3W",,"68,58 cm (27"")","0,311 x 0,311 mm",16:9,No,,Si,-5 - 20°,Si,,,50 - 76 Hz,"62,3 cm",,,,300 cd/m²,,,Si,"6,3 kg","8,2 kg",,,Si,23 cm,,,1.0,30 - 83 kHz,3000:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,Si,A-MVA,4 ms,No,,LED,Full HD,,-360 - 360°,Si,Argento,Si,0 - 90°,,,,12 cm Si,Si,,,1,,"0,3W",,,,,,,,60000h,1.0,,2W,,,,,,,,No,No,,"59,76 cm","33,615 cm",,Si,No,1.0,,No,,,Thin client installato No,,,,,,,,,,,,,Si,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27W,,,,,,,,,,,,,,,,,,,,,,
Benq Benq BL902TM 9H.L5FLA.DBE Planet Computer.it,,432.35 mm,361.25 mm,230 mm,Si,170 °,160 °,Kensington,AC,,,Nero,16.77 M,100 x 100 mm,N,25.8 W,,,"482.6 mm (19 "")",,5:4,N,,Si,,,,,,419.2 mm,419.2 mm,535 mm,,250 cd/m²,Si,,Si,5.1 kg,7.6 kg,,,Si,222.6 mm,56.05 mm,440 mm,1.0,,1000:1,12000000:1,1280 x 1024 Pixels,,N,,,5 ms,N,,LED,,90 - 264 V,,,,,,,,,,,,"Ergonomia
Numero di lingue OSD 17
Compatibile con montaggio VESA 100 x 100 mm
On Screen Display (OSD) Si
Montabile a parete Si
Blocco cavo Kensington",1,,0.3 W,,,,,,,,,2.0,Si,2 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5 mm,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoc AOC E2260PDA LED display E2260PDA Planet Computer.it,,,244.6 mm,,,170 °,160 °,Kensington,,"CE, FCC, GOST, RoHS, TÜV-Bauart, TÜV-GS, ISO 9241-307, TCO 5.0, cTUVus, EuP",Non specificato,Nero,16.77 M,100 x 100 mm,,15.5 W,0.34 W,0.4 W,55.8 cm,0.248 x 0.248 mm,16:10,N,,Si,-5 - 15 °,Si,,,55 - 75 Hz,,507.8 mm,,,250 cd/m²,,,Si,,7.22 kg,5.65 kg,Si,,,521.3 mm,,1.0,30 - 80 kHz,1000:1,20000000:1,1680 x 1050 Pixels,1680 x 1050 (WSXGA+),N,,,5 ms,N,,LED,HD-Ready,90 - 240 V,0 - 178 °,Si,Oro,Si,-2 - 92 °,,,,Si 130 mm,Si,.,,1,,,50/60 Hz,,,,,,,,,Si,,,,,,,,,N,N,,476.64 mm,268.11 mm,,,N,,,,,,,W-LED,N,146 MHz,,N,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,1 pezzi,,N,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,
Philips Philips 246V5LSB 246V5LSB 00 Planet Computer.it,,354 mm,435 mm,446 mm,N,170 °,160 °,Kensington,,"BSMI, Marca CE, cETLus, FCC Clase B, GOST, PSB, SASO, SEMKO, Certificado TCO, TUV/ISO9241-307, WEEE",Non specificato,Nero,16.77 M,100 x 100 mm,N,20.12 W,0.3 W,0.5 W,61 cm,0.277 x 0.277 mm,16:9,N,,Si,-5 - 20 °,,,,56 - 75 Hz,565 mm,565 mm,613 mm,,250 cd/m²,,1080p,Si,4.22 kg,6.05 kg,4.65 kg,,Si,63 mm,238 mm,131 mm,1.0,30 - 83 kHz,1000:1,10000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,,TFT,5 ms,N,,LCD,Full HD,100 - 240 V,,Si,Argento,,,,1.0,,,,.,,,,,50/60 Hz,,,,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ESP, FRE, ITA, POR, RUS, TUR",30.000 h,,Si,,Si,,,20 - 80 %,,,"Thin Client
Thin client installato N",,,,531.36 mm,298.89 mm,,,,,20 - 80 %,,,,,W-LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
