<page title>,adjustable display angle,adjustable display height,adjustable display pivot,aspect ratio,backlight technology,brand name,brightness,colour,colour support,contrast ratio,dvi,green compliance certificateauthority,green compliant,hdcp supported,horizontal viewing angle,input voltage,limited warranty,manufacturer,manufacturer part number,maximum adjustable height,maximum resolution,number of screens,offmode power consumption,operating power consumption,package contents,panel technology,product model,product name,product series,product type,response time,screen mode,screen size,standard refresh rate,standby power consumption,swivel angle,tilt angle,vertical viewing angle,vesa mount compatible,vga,certifications standards,depth,depth with stand,features,height,height with stand,mount type,platform supported,recycled,recycled content,vesa mount standard,weight approximate,weight with stand approximate,width,width with stand,builtin devices,displayport,product line,screen surface,usb,usb standard,speakers,webcam,hdmi,component video,composite video,svideo,display orientation,energy consumption per year,energy efficiency class,full product specifications,number of speakers,postconsumerwaste,headphone,3d type,packaged quantity,network rj45,horizontal frequency,sdi,sdi standard,environmentconscious and reliable,flexible viewing and connectivity options,impressive screen clarity,country of origin,additional information,superb performance,versatile connections,system requirements,thunderbolt
"C9F26AA#ABT, HP, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,HP,250 cd/m²,Black,16.77 Million Colors,"1,000:1",Yes,ENERGY STAR EPEAT Gold REACH TCO Certified Edge,Yes,Yes,170°,220 V AC 110 V AC,3 Year,Hewlett-Packard,C9F26AA#ABT,,1600 x 900,1.0,,22 W,ProDisplay P201 20-inch LED Backlit Monitor VGA Cable DVI Cable Power Cord Printed Documentation And CD,,P201,ProDisplay P201 20-inch LED Backlit Monitor,Essential,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",60 Hz,500 mW,,,160°,Yes,Yes,,47.5 mm,151.10 mm,Security Lock,294.1 mm,359.20 mm,,PC,,,100 x 100,3.50 kg,,482 mm,482 mm,,,Business,Anti-glare,,,No,No,,,,,,,,,,,,,,No,,,,,,,,,,,,
"i2367Fm, AOCI2367FM, AOC, LCD Monitor, IML Direct Italy",Yes,No,No,16:9,LED,AOC,250 cd/m²,Black Silver,16.7 Million Colours,"50,000,000:1",No,ENERGY STAR EPA TCO Certified Displays 6.0 China RoHS China Energy Label (CEL),Yes,Yes,178°,220 V AC 110 V AC,,AOC,I2367FM,,1920 x 1080,1.0,,26 W,I2367FM Widescreen LCD Monitor Audio (3.5mm) Cable HDMI Cable,In-plane Switching (IPS) Technology,I2367FM,I2367FM Widescreen LCD Monitor,,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",60 Hz,500 mW,,,178°,No,Yes,CCC FCC CB / CE cTUVus TUV-BAUART,120 mm,,Security Lock,394 mm,,,PC,,,,3.75 kg,,531.4 mm,,Speaker,,,,,,Yes,No,Yes,,,,,,,,2.0,,,,,,,,,,,,,,,,,
"241P4LRYES/00, Philips, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,Philips,250 cd/m²,Silver Black,16.7 Million Colours,"1,000:1",Yes,ENERGY STAR 5.0 EPEAT Gold TCO Certified Displays 5.2 TCO Certified Edge WEEE RoHS,Yes,Yes,170°,220 V AC 110 V AC,2 Year,Philips Electronics,241P4LRYES/00,,1920 x 1080,1.0,,21.50 W,,,241P4LRYES,Brilliance 241P4LRYES Widescreen LCD Monitor,P,LCD Monitor,5 ms,Full HD,"61 cm (24"")",60 Hz,100 mW,,,160°,Yes,Yes,BSMICE MarkFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL,55 mm,220 mm,ErgoSensor Security Lock SmartErgoBase SmartImage,352 mm,518 mm,,PC Mac,Yes,Plastic,100 x 100,4.20 kg,6.35 kg,565 mm,565 mm,USB Hub Speaker,Yes,Brilliance,,Yes,USB 2.0,Yes,,,,,,,,,,2.0,65%,Yes,,,,,,,,,,,,,,,
"F3J72AA#ABU, 3168831, HP, LCD Monitor, IML Direct Italy",,,,16:9,LED,HP,250 cd/m²,Black,,"5,000,000:1",,CECP ENERGY STAR,Yes,,,,3 Year,Hewlett-Packard,F3J72AA#ABU,,1920 x 1080,1.0,,60 W,EliteDisplay S231d 23-in IPS LED BLU Notebook Docking Monitor (ENERGY STAR)External Power Supply (150W)USB CableDC Power CableVGA CableDisplayPort CableDC Jack Dongle Cable and Rubber RingWebcam Rubber CoverPrinted Documentation and CD,,S231d,EliteDisplay S231d 23-in IPS LED BLU Notebook Docking Monitor (ENERGY STAR),,LCD Monitor,7 ms,Full HD,"58.4 cm (23"")",,,,,,,Yes,,51 mm,242.40 mm,,329 mm,469.90 mm,,,,,,,6.12 kg,544 mm,544 mm,Port Replicator USB Hub,Yes,Elite,,Yes,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"C9F26AA#ABM, HP, LCD Monitor, IML Direct Italy",,,,16:9,LED,HP,250 cd/m²,Black,,"3,000,000:1",Yes,TCO Certified Edge ENERGY STAR,Yes,,,,3 Year,Hewlett-Packard,C9F26AA#ABM,,1600 x 900,1.0,,22 W,ProDisplay P201 20-inch LED Backlit MonitorVGA CableDVI CableAC Power CablePrinted Documentation and CD,,P201,ProDisplay P201 20-inch LED Backlit Monitor,,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",,,,,,,Yes,,47.5 mm,151.10 mm,,294.1 mm,359.20 mm,,,,,,3.50 kg,,482 mm,482 mm,,,ProDisplay,,,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"B7M13AT#ABU, 2824004, HP, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,HP,200 cd/m²,Black,,600:1,Yes,WEEE REACH,Yes,Yes,90°,220 V AC 110 V AC,1 Year,Hewlett-Packard,B7M13AT#ABU,,1366 x 768,1.0,,24 W,W1972a 47 cm (18.5'') LED Backlit LCD MonitorAudio cableAC Power cable,,W1972a,W1972a 47 cm (18.5'') LED Backlit LCD Monitor,Value,LCD Monitor,5 ms,HD,"47 cm (18.5"")",,,,,50°,,Yes,,47.5 mm,170.20 mm,Security Lock,281.5 mm,339.50 mm,,,,,,,2.70 kg,446.1 mm,446.10 mm,,,Business,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"201BL2CB/00, Philips, LCD Monitor, IML Direct Italy",Yes,Yes,,16:9,LED,Philips,250 cd/m²,Black,16.7 Million Colours,"1,000:1",Yes,ENERGY STAR 5.0 EPEAT Gold RoHS TCO Certified Displays 5.2,Yes,Yes,176°,220 V AC 110 V AC,2 Year,Philips Electronics,201BL2CB/00,,1600 x 900,1.0,100 mW,17 W,,,201BL2CB,"Brilliance LED Monitor 201BL2CB B-line 20"" / 50.8 cm with SmartImage",B,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",60 Hz,100 mW,,,170°,Yes,Yes,BSMICEFCC Class BGOSTSEMKOTUV/GSTUV ErgoUL/cUL,49 mm,220 mm,Security Lock SmartPower SmartImage,316 mm,407 mm,,PC Mac,,,100 x 100,3.69 kg,5.06 kg,494 mm,494 mm,Speaker,,Brilliance,,Yes,USB 2.0,Yes,,,,,,,,,,2.0,,Yes,,,,,,,,,,,,,,,
"9H.L7ALA.DPE, 2834600, BenQ, LCD Monitor, IML Direct Italy",Yes,No,,16:9,LED,BenQ,250 cd/m²,Glossy Black,16.7 Million Colours,"1,000:1",Yes,TCO Displays 5.0 ENERGY STAR,Yes,Yes,170°,220 V AC 110 V AC,,BenQ Corporation,9H.L7ALA.DPE,,1920 x 1080,1.0,300 mW,34 W,,Twisted Nematic Film (TN Film),GL2450,GL2450 Widescreen LCD Monitor,GL,LCD Monitor,5 ms,Full HD,"61 cm (24"")",76 Hz,300 mW,,,160°,Yes,Yes,,179.1 mm,,Senseye Technology Eco Mode Security Lock Senseye 3,436.5 mm,,,PC,,,100 x 100,4.10 kg,,579.4 mm,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"244E5QHSD/00, 2946775, Philips, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,Philips,250 cd/m²,Glossy Black Cherry,16.7 Million Colours,"20,000,000:1",,RoHS TCO Certified Displays 6.0 EPEAT Silver WEEE ENERGY STAR 6.0,Yes,Yes,178°,220 V AC 110 V AC,,Philips Electronics,244E5QHSD/00,,1920 x 1080,1.0,300 mW,18.20 W,,Advanced High Performance In-plane Switching (AH-IPS) Technology,244E5QHSD,LCD Monitor with SmartImage Lite,E,LCD Monitor,5 ms,Full HD,"60.5 cm (23.8"")",60 Hz,500 mW,,-5°to20°,178°,Yes,Yes,BSMI CE Mark FCC Class B GOST SASO SEMKO TUV/ISO9241-307 cETLus,45 mm,213 mm,Security Lock SmartImage Lite SmartResponse SmartContrast Sync on Green TrueVision Mobile High-Definition Link (MHL),338 mm,428 mm,Wall Mountable,Mac PC,,,100 x 100,3.44 kg,3.80 kg,557 mm,557 mm,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"9H.L9JLB.QBE, M352239, BenQ, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,BenQ,250 cd/m²,Black,16.7 Million Colours,"5,000:1",Yes,EPEAT Silver ENERGY STAR TCO Certified Displays 6.0,Yes,Yes,178°,220 V AC 110 V AC,,BenQ Corporation,9H.L9JLB.QBE,,1920 x 1080,1.0,,23 W,,,BL2410PT,BL2410PT Widescreen LCD Monitor,,LCD Monitor,4 ms,Full HD,"61 cm (24"")",,200 mW,,,178°,Yes,Yes,,259 mm,,Picture by Picture Senseye 3 Security Lock Picture in Picture Eco Mode,504 mm,,Wall Mountable,PC,Yes,Plastic,100 x 100,6.70 kg,,565 mm,,USB Hub Speaker,Yes,,Anti-glare,Yes,,Yes,,,,,,,,,,2.0,,Yes,,,,,,,,,,,,,,,
"60003335, 3967977, NEC Display Solutions, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:10,LED,NEC Display,250 cd/m²,White,16.7 Million Colours,"1,000:1",Yes,TCO Certified Displays 6.0 MPR III EPEAT Silver RoHS ErP MPR II,Yes,Yes,170°,110 V AC 220 V AC,,NEC Display Solutions,60003335,,1680 x 1050,1.0,,24 W,,Twisted Nematic Film (TN Film),E223W,E223W Widescreen LCD Monitor,,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",60 Hz,350 mW,,,160°,Yes,Yes,CE TÜV Ergonomics TÜV GS GEEA/Energy Label FCC Class B PCT/Gost UL/C-UL or CSA ISO 9241-307 (pixel failure class I) DDC-2B DDC-2Bi,213.9 mm,,Touch Controls Cable Management Carbon Footprint Meter Security Lock Auto Brightness Control (ABC) Eco Mode Off Timer,383.3 mm,,,,,,100 x 100,5.60 kg,,503.5 mm,,,Yes,MultiSync,,,,No,No,,,,,Landscape/Portrait,,,,,,,,,,,,,,,,,,,,,
"60003415, 3967961, NEC Display Solutions, LCD Monitor, IML Direct Italy",Yes,Yes,,,LED,NEC Display,300 cd/m²,White,,"1,000:1",Yes,ENERGY STAR,Yes,,,,,NEC Display Solutions,60003415,,2560 x 1080,1.0,,,,,EA294WMi,MultiSync EA294WMi Widescreen LCD Monitor,,LCD Monitor,5 ms,,"73.7 cm (29"")",,,,,,,,,,,,,,,,,,,,,,,,,MultiSync,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"E2083HD-B1, IIYE2083HDB, Iiyama, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,iiyama,250 cd/m²,Black,16.7 Million Colours,"1,000:1",Yes,ENERGY STAR TCO Certified Displays 6.0,Yes,Yes,170°,220 V AC 110 V AC,3 Year,"iiyama North America, Inc",E2083HD-B1,,1600 x 900,1.0,,15 W,ProLite E2083HD Widescreen LCD Monitor Power cable VGA cable (D-Sub) Foot Quick start guide Safety guide,Twisted Nematic Film (TN Film),E2083HD,ProLite E2083HD Widescreen LCD Monitor,,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",75 Hz,500 mW,,,160°,Yes,Yes,CE TUV-GS VCCI-B GOST-R,203 mm,,Security Lock,360 mm,,Wall Mountable,Mac,,,100 x 100,2.60 kg,,469.5 mm,,,,ProLite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60003417, 3967962, NEC Display Solutions, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,21:9,LED,NEC Display,300 cd/m²,Black,16.77 Million Colors,"25,000:1",Yes,EPEAT Gold GEEA Energy Efficiency Label ENERGY STAR 5.0 MPR II TCO Certified Displays 6.0 MPR III ErP RoHS TCO Certified Edge Displays 1.2,Yes,,178°,220 V AC 110 V AC,,NEC Display Solutions,60003417,130 mm,2560 x 1080,1.0,400 mW,50 W,,Enhanced In-plane Switching (E-IPS) Technology,EA294WMi,MultiSync EA294WMi Widescreen LCD Monitor,,LCD Monitor,6 ms,,"73.7 cm (29"")",60 Hz,,170°,-5°to30°,178°,Yes,Yes,CE TÜV Ergonomics TÜV GS FCC Class B PCT/Gost UL/C-UL or CSA CCC ISO 9241-307 (pixel failure class I),321.8 mm,230 mm,Eco Mode Ultra Slim Light Sensor Carbon Footprint Meter Cable Management Security Lock Picture by Picture,69.1 mm,410.40 mm,,PC,,,100 x 100,9.60 kg,,705.8 mm,705.80 mm,USB Hub,Yes,MultiSync,,Yes,USB 2.0,,,Yes,,,,Landscape/Portrait,,,,,,,,,,,,,,,,,,,,,
"E2481HS-B1, IIYNOT006, Iiyama, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,iiyama,250 cd/m²,Black,16.7 Million Colours,"1,000:1",Yes,ENERGY STAR TCO Displays 5.0,Yes,Yes,178°,220 V AC 110 V AC,3 Year,"iiyama North America, Inc",E2481HS-B1,,1920 x 1080,1.0,,22 W,ProLite E2481HSCable HolderPedestal FootFootQuick Start GuideSafety GuidePower CableVGA Cable (D-Sub)DVI CableAudio Cable,,E2481HS,ProLite E2481HS,,LCD Monitor,2 ms,Full HD,"61 cm (24"")",75 Hz,1 W,,,170°,Yes,Yes,CUTUV-GSCE,213.5 mm,,Security Lock,402 mm,,Wall Mountable Desk Mountable,Mac PC,,,100 x 100,3.80 kg,,543.5 mm,,Speaker,,ProLite,,,,Yes,,Yes,,,,,,,,2.0,,,,,,,,,,,,,,,,,
"9H.LCELA.TBE, 3191652, BenQ, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,BenQ,350 cd/m²,Glossy Black,1.07 Billion Colors,"20,000,000:1",Yes,ENERGY STAR 6.0,Yes,Yes,178°,230 V AC 120 V AC,,BenQ Corporation,9H.LCELA.TBE,130 mm,2560 x 1440,1.0,,55 W,GW2765HT Widescreen LCD Monitor Signal Cable (VGA / HDMI 1.4 / DP 1.2 (1.5m)),In-plane Switching (IPS) Technology,GW2765HT,GW2765HT Widescreen LCD Monitor,,LCD Monitor,4 ms,WQHD,"68.6 cm (27"")",76 Hz,,160°,-5°to20°,178°,Yes,Yes,,,,Low Blue Light Advanced Motion Accelerator (AMA) Reading Mode Security Lock Flicker-free Senseye 3 Eye-Care,,,Wall Mountable,PC,,,100 x 100,,,,,,Yes,,,,,Yes,,Yes,,,,,,,,2.0,,Yes,,,,,,,,,,,,,,,
"60003419, 3968040, NEC Display Solutions, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:10,LED,NEC Display,350 cd/m²,Black,16.77 Million Colors,"1,000:1",Yes,RoHS ErP MPR III WEEE MPR II TCO Certified Displays 6.0,Yes,,178°,220 V AC 110 V AC,3 Year,NEC Display Solutions,60003419,,1920 x 1200,1.0,,30 W,MultiSync P242W Widescreen LCD Monitor Power Cable DisplayPort Cable CD-ROM Sales Office List User Manual VGA to VGA Cable DVI-D to DVI-D Cable,In-plane Switching (IPS) Technology,P242W,MultiSync P242W Widescreen LCD Monitor,,LCD Monitor,8 ms,WUXGA,"61.2 cm (24.1"")",60 Hz,1 W,,,178°,Yes,Yes,CETUV ErgonomicsTUV GSC-tickFCC Class BPCT/GostUL/C-ULCSACCCISO 9241-307 (pixel failure class I)PCBC/B-markPSB,85 mm,227.60 mm,Tiled Matrix Carbon Footprint Meter OmniColor AmbiBright Ambient Light Sensor Security Lock ColorComp CableComp Cable Management Picture by Picture Picture in Picture Intelligent Power Manager (IPM) System Eco Mode,362.4 mm,528 mm,,,,,200 x 100,7.40 kg,10.10 kg,556.8 mm,556.80 mm,USB Hub,Yes,MultiSync,,Yes,,,,Yes,,,,Landscape,,,,,,,,,,,,,,,,,,,,,
"UM.CB6EE.005, 2716785, Acer, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,5:4,LED,Acer,250 cd/m²,Dark Grey,16.7 Million Colours,"100,000,000:1",Yes,TCO '06,Yes,Yes,170°,110 V AC 220 V AC,3 Year,"Acer, Inc",UM.CB6EE.005,150 mm,1280 x 1024,1.0,350 mW,15.80 W,B196L LCD Monitor1 x VGA Cable1 x DVI CablePower Cord,Twisted Nematic Film (TN Film),B196L,B196L LCD Monitor,B,LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",75 Hz,450 mW,60°,-5°to35°,160°,Yes,Yes,,221 mm,,,519.2 mm,,,,,,100 x 100,2.76 kg,5.33 kg,406.4 mm,,,,,Anti-glare,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VG2439M-LED, B921310, ViewSonic, LCD Monitor, IML Direct Italy",,Yes,Yes,16:9,LED,Viewsonic,300 cd/m²,,,"20,000,000:1",Yes,RoHS WEEE China Energy Label (CEL) REACH ErP EPEAT Gold ENERGY STAR,Yes,,170°,220 V AC 110 V AC,3 Year,Viewsonic Corporation,VG2439m-LED,135 mm,1920 x 1080,1.0,,42 W,"24"" Full HD 1080p LED Display Revolutionized Design Ergonomics 1 x Power Cord 1 x D-Sub Cable 1 x Audio Cable 1 x USB Cable 1 x Quick Start Guide 1 x Wizard DVD-ROM",,VG2439m-LED,"24"" Full HD 1080p LED Display Revolutionized Design Ergonomics",VG,LCD Monitor,5 ms,Full HD,"61 cm (24"")",75 Hz,,,,160°,Yes,Yes,CE CB UL/c UL FCC-B ULAR Mexico Energy GOST-R/Hygienic UkrSEPRO + DoC CCC BSMI PSB C-tick SASO e-standby KC,199.3 mm,,,417.2 mm,,Wall Mountable,Mac PC,,,100 x 100,5.40 kg,,559.7 mm,,,Yes,,Anti-glare,Yes,USB 2.0,Yes,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
"VG2435SM, B921672, ViewSonic, LCD Monitor, IML Direct Italy",,,,16:10,LED,Viewsonic,250 cd/m²,,16.7 Million Colours,"50,000,000:1",Yes,REACH TCO Certified Displays ENERGY STAR,Yes,,,,,Viewsonic Corporation,VG2435SM,,1920 x 1200,1.0,,31 W,,,VG2435Sm,"VG2435Sm 24"" 16:10 Ergonomic Multimedia Display",,LCD Monitor,5 ms,WUXGA,"61 cm (24"")",,,,,,Yes,Yes,,51.6 mm,204.22 mm,,363 mm,393.70 mm,,,,,,4.10 kg,5.70 kg,531.4 mm,556.77 mm,Speaker,,Graphic,,,,Yes,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"E2260PWDA, AOCE2260PWDA, AOC, LCD Monitor, IML Direct Italy",,Yes,Yes,16:9,LED,AOC,250 cd/m²,Black,,"1,000:1",Yes,EPEAT Gold ENERGY STAR 5.0,Yes,Yes,170°,,,AOC,E2260PWDA,,1920 x 1080,1.0,,18 W,,,e2260Pwda,e2260Pwda Widescreen LCD Monitor,,LCD Monitor,5 ms,Full HD,"55.9 cm (22"")",,500 mW,,,160°,Yes,Yes,,,,,,,Wall Mountable,,,,100 x 100,,,,,,,,,Yes,USB 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"272P4QPJKEB/00, Philips, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,Philips,300 cd/m²,,,"1,000:1",Yes,TCO Certified Edge ENERGY STAR EPEAT Gold,Yes,,178°,220 V AC 110 V AC,,Philips Electronics,272P4QPJKEB/00,,2560 x 1440,1.0,,,,,272P4QPJKEB,272P4QPJKEB Widescreen LCD Monitor,,LCD Monitor,6 ms,QHD,"68.6 cm (27"")",,,,,178°,Yes,,,,,SmartImage,,,,PC Mac,,,,,,,,Webcam Microphone USB Hub,Yes,,,Yes,USB 3.0,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"9H.LANLB.RWE, 3126582, BenQ, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,BenQ,250 cd/m²,White,16.7 Million Colours,"20,000,000:1",Yes,TCO Certified Displays 6.0,Yes,Yes,178°,230 V AC 120 V AC,,BenQ Corporation,9H.LANLB.RWE,,1920 x 1080,1.0,,,,Vertical Alignment (VA),VW2235H,VW2235H Widescreen LCD Monitor,VW,LCD Monitor,6 ms,Full HD,"54.6 cm (21.5"")",,,,-5°to20°,178°,Yes,Yes,,193 mm,,PerfectMotion Security Lock Advanced Motion Accelerator (AMA) Eco Mode Reading Mode Senseye 3 M-book Mode Eye-Care Flicker-free,392 mm,,Wall Mountable,PC Mac,,,100 x 100,3.90 kg,,513 mm,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,
"LS27C65UDS/EN, Samsung, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,Samsung,300 cd/m²,Matte Black,16.7 Million Colours,"5,000:1",Yes,EPEAT Gold ENERGY STAR TCO,Yes,,178°,220 V AC 110 V AC,,Samsung,LS27C65UDS/EN,,1920 x 1080,1.0,,,,MVA technology,S27C650D,"27"" S27C650D Series 6 LED Business Monitor",650,LCD Monitor,4 ms,Full HD,"68.6 cm (27"")",,,,,178°,Yes,Yes,"Eco Label Certification:
UL (USA): UL 60950-1 CSA (Canada): CSA C22.2 No. 60950-1 TUV (Germany): EN60950-1 NEMKO (Norway): EN60950-1 KC (Korea): K60950-1 PSB (Singapore): IEC60950-1 GOST (Russia): IEC60950-1, EN55022 SIQ (Slovenia): IEC60950-1, EN55022 PCBC (Poland): IEC60590-1, EN55022 NOM (Mexico): NOM-019-SCFI-1993 IRAM (Argentina): IEC60950-1 SASO (Saudi Arabia): IEC60950-1 EMC:
FCC (USA) FCC Part 15, Subpart B class A CE (Europe) EN55022, EN55024 VCCI (Japan) V-3 (CISPR22) KCC (Korea): KN22, KN24 C-Tick (Australia): AS/NZS3548 (CISPR22) CCC(China): GB 9254-2008, GB 17625.1-2003",56.7 mm,224 mm,MagicRotation MultiScreen MagicTune Off Timer MagicBright3 Eco Saving,378.1 mm,402.80 mm,Wall Mountable,,,,100 x 100,4.50 kg,6.20 kg,639 mm,639 mm,USB Hub,Yes,,,Yes,USB 2.0,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,
"27MB65PY-B, 2975567, LG Electronics, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,LG,250 cd/m²,Black Hairline,16.7 Million Colours,"5,000,000:1",Yes,,,,178°,,,LG Electronics,27MB65PY-B,,1920 x 1080,1.0,300 mW,36 W,,Advanced High Performance In-plane Switching (AH-IPS) Technology,27MB65PY-B,27MB65PY-B Widescreen LCD Monitor,,LCD Monitor,5 ms,Full HD,"68.6 cm (27"")",,300 mW,,,178°,Yes,Yes,,63.5 mm,259.08 mm,Reading Mode Intelligent Auto Super Energy Saving,386.1 mm,408.94 mm,,,,,100 x 200,5.90 kg,,645.2 mm,645.16 mm,,Yes,,Anti-glare,Yes,,,,No,,,,,,,,,,Yes,,,,83 kHz,,,,,,,,,,,
"UM.CV6EE.005, 2700289, Acer, LCD Monitor, IML Direct Italy",Yes,No,No,16:10,LED,Acer,250 cd/m²,Black,16.7 Million Colours,"100,000,000:1",Yes,TCO '06 EPEAT Gold,Yes,Yes,170°,220 V AC 110 V AC,3 Year,"Acer, Inc",UM.CV6EE.005,No,1440 x 900,1.0,350 mW,13 W,V196WL Widescreen LCD Monitor1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),V196WL,V196WL Widescreen LCD Monitor,V,LCD Monitor,5 ms,WXGA+,"48.3 cm (19"")",60 Hz,450 mW,No,-5°to25°,160°,Yes,Yes,,191 mm,,,378 mm,,,,,,100 x 100,2.70 kg,3.10 kg,440 mm,,,,,Anti-glare,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D7P94A4#ABB, HP, LCD Monitor, IML Direct Italy",Yes,,,16:10,,HP,350 cd/m²,Black,,"1,000:1",Yes,REACH ENERGY STAR EPEAT Gold TCO Certified Displays,Yes,Yes,178°,110 V AC 220 V AC,3 Year,Hewlett-Packard,D7P94A4#ABB,,2560 x 1600,1.0,,125 W,Z30i 30 Inch IPS MonitorAC Power CordUSB cableDisplayPort cableDVI-D cableDocumentation CDDisplay Assistant software,In-plane Switching (IPS) Technology,Z30i,Z30i 30 Inch IPS Monitor,,LCD Monitor,8 ms,WQXGA,"76.2 cm (30"")",,500 mW,,,178°,Yes,Yes,,66.3 mm,266.40 mm,,449.8 mm,601 mm,,PC,,,,,9.96 kg,690.3 mm,690.30 mm,USB Hub,Yes,Performance,Anti-glare,Yes,USB 3.0,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"19S4LSB5/00, 2905228, Philips, LCD Monitor, IML Direct Italy",Yes,,,5:4,LED,Philips,250 cd/m²,Black,16.7 Million Colours,"1,000:1",Yes,EPEAT Gold RoHS ENERGY STAR 6.0 WEEE EPA TCO Certified Displays 6.0,Yes,Yes,170°,220 V AC 110 V AC,3 Year,Philips Electronics,19S4LSB5/00,,1280 x 1024,1.0,100 mW,14.30 W,,,19S4LSB5,"LCD Monitor, LED Backlight with SmartImage",,LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",60 Hz,100 mW,,,160°,Yes,Yes,BSMI CE Mark cETLus FCC Class B GOST SASO SEMKO TUV Ergo TUV/GS,61 mm,194 mm,SmartContrast Security Lock SmartImage Sync on Green TrueVision Eco Mode SmartControl SmartPower,346 mm,418 mm,,Mac PC,Yes,Plastic,100 x 100,2.80 kg,3.20 kg,404 mm,404 mm,,,S-line,,,,,,,,,,,,,,,30%,,,,,,,,,,,,,,,,
"LS27A850DSR/EN, Samsung, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,Samsung,300 cd/m²,Matte Black,16.7 Million Colours,"1,000:1",Yes,ENERGY STAR 5.0 TCO Displays 5.0,Yes,Yes,178°,,3 Year,Samsung,LS27A850DSR/EN,,2560 x 1440,1.0,,69 W,SyncMaster S27A850D Widescreen LCD MonitorSignal CablePower CablePower SupplyUSB 3.0 CableDriver CDMulti Screen Software (CD)Manual (CD),PLS (Plane to Line Switching) Technology,S27A850D,SyncMaster S27A850D Widescreen LCD Monitor,SA850,LCD Monitor,5 ms,WQHD,"68.6 cm (27"")",61 Hz,1 W,,,178°,Yes,Yes,TUV GSCEISO 9241-307,42 mm,224.50 mm,MagicAngle MagicBright3 Pyroelectric Infrared Ray (PIR) Sensor Eco Saving Eco Motion Sensor MagicColor Eco Light Sensor Cable Management Off Timer Picture by Picture,390.5 mm,442.50 mm,Wall Mountable,PC Mac,,,200 x 100,6.60 kg,,642.5 mm,642.50 mm,USB Hub,Yes,SyncMaster,,Yes,USB 3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9H.LA7LB.RBE, 2944932, BenQ, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,BenQ,250 cd/m²,Glossy Black,16.7 Million Colours,"1,000:1",Yes,ENERGY STAR 5.1 TCO Certified Displays 6.0,Yes,Yes,170°,220 V AC 110 V AC,,BenQ Corporation,9H.LA7LB.RBE,,1920 x 1080,1.0,,23 W,,Twisted Nematic Film (TN Film),GL2460HM,GL2460HM Widescreen LCD Monitor,GL60,LCD Monitor,2 ms,Full HD,"61 cm (24"")",,300 mW,,,160°,Yes,Yes,,194 mm,,Senseye 3 Eco Mode Security Lock,434 mm,,Wall Mountable,PC,,,100 x 100,4.30 kg,,565 mm,,Speaker,,,,,,Yes,,Yes,,,,,,,,2.0,,Yes,,,,,,,,,,,,,,,
