3d compatibility,<page title>,aspect ratio,backlight type,bluetooth,builtin camera,builtin speakers,cable lock slot,certification,colour of product,compliance industry standards,contrast ratio dynamic,contrast ratio typical,depth,depth with stand,display,display brightness,display diagonal,display diagonal metric,display number of colours,display resolution,display srgb,display technology,energy efficiency class,energy star certified,epeat compliance,hd type,height,height adjustment,height with stand,horizontal scan range,input frequency,input voltage,led indicators,mac operating systems supported,mean time between failures mtbf,nonoperating altitude,number of loudspeakers,on screen display osd,on screen display osd languages,onoff switch,operating altitude,operating relative humidity hh,operating temperature tt,package weight,packaging depth,packaging height,packaging width,pivot,pivot angle,pixel pitch,plug and play,power consumption powersave,power consumption standby,power consumption typical,response time,rms rated power,separate hv sync,source datasheet,storage temperature tt,supported graphics resolutions,swivel angle range,swivelling,syncongreen sog,thin client installed,tilt adjustment,tilt angle,tv tuner integrated,usb 20 ports quantity,usb 30 ports quantity,vertical scan range,vesa mounting interfaces compatibility,vga dsub ports quantity,viewable size horizontal,viewable size vertical,viewing angle horizontal,viewing angle vertical,wall mountable,weight,weight with stand,width,width with stand,wifi,windows operating systems supported,dvid ports quantity,hdcp,relative humidity,ac power in,dvii ports quantity,headphone out,manual,standby led,storage relative humidity hh,audio input,hdmi,hdmi ports quantity,supported video modes,builtin subwoofer,cables included,card reader integrated,digital horizontal frequency,digital vertical frequency,displayports quantity,placement supported,power consumption max,power led,video dot rate,viewable size diagonal,pc audio in,power consumption off,quick start guide,number of osd languages,component video ypbprycbcr in,svideo inputs quantity,headphone connectivity,microphone in,package dimensions wxdxh,rs232 ports,dvi port,ethernet lan,pictureinpicture,dimensions w x d x h with stand,dimensions wxdxh,handheld remote control,composite sync,composite video in,power requirements,common interface ci,safety,display surface,screen format adjustments,power cord included,quantity,audio output,linux operating systems supported,dcin jack,display viewable area hxv,number of products included,screen saving functions,bezel width side,builtin microphone,feet colour,mobile highdefinition link mhl,maximum resolution,volume control,effective viewing area,compatible memory cards,analog signal format system,common interface plus ci,product type,picture enhancement,ac adapter included
No,Benq GL2450HT - MrHighTech Shop,16:9,,,No No,Yes Yes,,,Black Black,,12000000:1,1000:1,213 mm,,LED,250 cd/m²,"609.6 mm (24 "")",,16.77 M,1920 x 1080 pixels,,TN+Film,Unspecified,Yes,,Full HD,502 mm,Yes,,,,,,,,,2 2,Yes Yes,,,,,,,,,,Yes,,0.276 x 0.276 mm,,0.3 W,,23 W,5 ms,4 W 4 W,,,,,-45 - 45 °,Yes,,No,Yes,-5 - 15 °,No,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,5.1 kg,,579 mm,,,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Home Premium, Windows Vista Home Premium x64 Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Home Premium, Windows Vista Home Premium x64",1.0,Yes,,,,,,,,,,1.0,,,,,,,,,,,,,,,,17 17,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Wortmann AG 3031166 - MrHighTech Shop,16:9,,,No No No,Yes Yes Yes,,TCO Displays 5.1,Black Black,,10000000:1,,218 mm,,LED,250 cd/m²,"546.1 mm (21.5 "")",,16.77 M,1920 x 1080 pixels,,,Unspecified,Yes,,Full HD,393 mm,No,,30 - 80 kHz,50/60 Hz,100 - 240 V,,,,,,,,,,,,,,,,,,0.248 x 0.248 mm,Yes Yes,,1 W,18 W,5 ms,,,,,1920 x 1080 (HD 1080),,,,No,,0 - 20 °,No No,,,50 - 76 Hz,,1.0,,,170 °,160 °,,3.2 kg,,507 mm,,,,1.0,Yes,,Yes,,1,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,ASUS VS238N - MrHighTech Shop,16:9,,,Yes Yes,No No,Kensington Kensington,"UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, EK, J-MOSS, RoHS, WEEE, Windows Vista and Windows 7 WHQL",Black Black,,50000000:1,,,200 mm,LED,250 cd/m²,"584.2 mm (23 "")",58.4 cm,16.77 M,1920 x 1080 pixels,,,,Yes,,Full HD,,,400 mm,,,,,,,,,Yes Yes,,Yes Yes,,,,5.8 kg,130 mm,460 mm,608 mm,,,0.2655 x 0.2655 mm,,0.5 W,,27 W,5 ms,,,. .,,1920 x 1080 (HD 1080),,,,No,,-5 - 20 °,No,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,,3.4 kg,,552 mm,,,1.0,Yes,,Yes,,,,Yes Yes,,,,,,,"AC, DVI, VGA AC, DVI, VGA",,30 - 80 kHz,55 - 75 Hz,,Horizontal Horizontal,,Yes Yes,,,,0.5 W,Yes Yes,,,,,,,,,,,,,,,,,,,,"4:3, 16:9 4:3, 16:9",,,,,,,1 pcs 1 pcs,Yes Yes,,,,,1920 x 1080 pixels 1920 x 1080 pixels,,,,,,,,
No,Edge10 C192 LED display - MrHighTech Shop,16:9,,,No No,No No,Kensington Kensington,,Black Black,,,,55 mm,180 mm,LED,300 cd/m²,"469.9 mm (18.5 "")",47 cm,16.2 M,1366 x 768 pixels,,LCD,Unspecified,,,HD-ready,354 mm,No,426 mm,31.5 - 80 kHz,50/60 Hz,100 - 240 V,,,,,,Yes Yes,,,,,,,,,,,,0.264 x 0.264 mm,,,1 W,21 W,5 ms,,,,,1366 ? 768,,,,No,,,No,,,50 - 75 Hz,100 x 100 mm,1.0,,,140 °,130 °,Yes,3.635 kg,4.665 kg,440 mm,440 mm,,,,No,,Yes,,,,,,,,,,,VGA VGA,,,,,,,,,,,,,,,1.0,,,,,No,,,,,,,1.0,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,
,Edge10 C171 LCD Monitor - MrHighTech Shop,,,,No No No,,,,Black Black,,,450:1,198 mm,,,300 cd/m²,"431.8 mm (17 "")",,16.2 M,1280 x 1024 pixels,,,,,,,397 mm,,,31.5 - 80 kHz,,,,,,,,,,,,20 - 80 %,0 - 40 °C,,,,,,,0.264 x 0.264 mm,Yes Yes,,3 W,50 W,5 ms,4 W 4 W 4 W,,,,,,,,,,-2 - 18 °,No No,,,50 - 75 Hz,100 x 100 mm,1.0,338 mm,270 mm,140 °,130 °,,4.8 kg,,374 mm,,,,,,,Yes,,,,Yes Yes,,Yes,,,,,,,,,,,,,,,Yes,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
No,Wortmann AG 2760W - MrHighTech Shop,16:9,,,No No No,No No No,,"TÜV, CE, ISO 9241-307, TCO, ISO 9241-307, ISO 13406-2!",Black Black,,20000000:1,,66 mm,240 mm,LCD,300 cd/m²,"685.8 mm (27 "")",68.6 cm,16.77 M,1920 x 1080 pixels,,,,Yes,,Full HD,400 mm,,455 mm,,50/60 Hz,100 - 240 V,,,,,,,,,,,,,,,,,,0.3114 x 0.3114 mm,,,0.5 W,24 W,3.4 ms,,,,,1920 x 1080 (HD 1080),,,,No,,,No No,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,,5.4 kg,647 mm,647 mm,,"Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate",1.0,Yes,,,,,Yes Yes,,,Yes,,1.0,"1080i, 1080p, 480i, 480p, 576i, 576p, 720p",,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA",,30 - 82 kHz,56 - 76 Hz,,,,,,,,0.5 W,,,,,3.5 mm,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wortmann AG Terra 2412W Greenline Plus - MrHighTech Shop,16:9,,,No No,Yes Yes,,"CE, EN 60950",Black Black,,20000000:1,,44 mm,230 mm,LCD,250 cd/m²,"609.6 mm (24 "")",61 cm,16.77 M,1920 x 1080 pixels,,TN+Film,Unspecified,Yes,,Full HD,345 mm,No,405 mm,,50/60 Hz,100 - 240 V,,,,,,,,,,,,,,,,No,,0.277 x 0.277 mm,Yes Yes,,0.5 W,19 W,5 ms,,,,,1920 x 1080 (HD 1080),,,,No,,0 - 20 °,No,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,3.6 kg,3.8 kg,568 mm,568 mm,,,,Yes,,Yes,,,Yes Yes,Yes Yes,,Yes,,,"1080i, 1080p",,"Audio (3.5mm), DVI Audio (3.5mm), DVI",,,,,,,Yes Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,
,Packard Bell Maestro 236DBD - MrHighTech Shop,16:9,,,No No,,,,Black,,100000000:1,,,,LED,250 cd/m²,"584.2 mm (23 "")",58 cm,,1920 x 1080 pixels,,LCD,,,,Full HD,,No,,,60 Hz,110 - 220 V,,,,,,,,,,,,,,,,,,,,,45 W,110 W,,,,,,,,,,,,,No,,,,No,1.0,,,178 °,178 °,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,220 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Philips 234CL2SB - MrHighTech Shop,16:9,,,No No,No No,,"BSMI, CE Mark, FCC, Class B, GOST, UL/cUL",Black Black,,20000000:1,,12.9 mm,175 mm,,250 cd/m²,"584.2 mm (23 "")",,,1920 x 1080 pixels,Yes,,,Yes,,Full HD,,,408 mm,,,,,,30000 h 30000 h,,,,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR",,,,0 - 40 °C,4.78 kg,,,,,,0.265 x 0.265 mm,Yes Yes,,0.3 W,24 W,5 ms,,Yes,. .,-20 - 60 °C,,,,Yes,,,-3 - 14 °,,,,,,1.0,,,170 °,160 °,,,2.89 kg,,547 mm,,,,No,20 - 80 %,,,,,Yes Yes,,,Yes Yes,1.0,,,,,30 - 83 kHz,56 - 76 Hz,,,,,,,,,,,,,,,,,,,,,,,,,"100-240 VAC, 50/60 Hz, External",,,,,,,Yes,,,,,,,,,,,,,,,,,SmartImage SmartImage,
,AG Neovo X-15 - MrHighTech Shop,,,,No No,No No,Kensington Kensington,,Black Black,,,3000:1,155 mm,,LCD,320 cd/m²,"381 mm (15 "")",,,1024 x 768 pixels,,,,,,,359 mm,,,30 - 60 kHz,,,,,,,,,,,,,,,,,,,,0.297 x 0.297 mm,,,,,4 ms,,,,,,,,,,,,No,,,56 - 75 Hz,100 x 100 mm,1.0,,,140 °,125 °,,4.8 kg,,380 mm,,,,1.0,,,,,,,,,,,,,,,,,,,,,,80 MHz 80 MHz,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Wortmann AG Terra LED/LCD 2310W - MrHighTech Shop,16:9,Edge-lit LED,,No No No,Yes Yes Yes,No No,"CE, EN 60950",Black Black,,10000000:1,,416 mm,,LCD,250 cd/m²,"584.2 mm (23 "")",58.4 cm,,1920 x 1080 pixels,,TN+Film,Unspecified,,,Full HD,182 mm,,,,50/60 Hz,100 - 240 V,,,,,2 2 2,,,Yes Yes,,,,,,,,,,0.265 x 0.265 mm,Yes Yes,,0.5 W,23 W,5 ms,,,,,1920 x 1080 (HD 1080),,,,No,,-15 - 15 °,No No,,,,No,1.0,,,170 °,160 °,No,3.3 kg,,561 mm,,,,,Yes,,,1.0,,Yes Yes,,,,,,"1080i, 1080p, 480i, 480p, 576i, 576p, 720p",,"Audio (3.5mm), DVI Audio (3.5mm), DVI",,,,,,,Yes Yes,,,Yes,0.5 W,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes Yes
No,Philips 234E5QHSB - MrHighTech Shop,16:9,W-LED,No,No No No,No No No,Kensington Kensington,"RoHS, BSMI, CE Mark, cETLus, FCC B, GOST, SASO, SEMKO, TUV/ISO9241-307, WEEE",Black Black,,20000000:1,1000:1,45 mm,213 mm,LED,250 cd/m²,"584.2 mm (23 "")",58.4 cm,16.77 M,1920 x 1080 pixels,Yes,IPS,Unspecified,,Silver,Full HD,325 mm,No,414 mm,,50/60 Hz,100 - 240 V,Yes Yes,Yes Yes,30000 h 30000 h,0 - 12192 m,,Yes Yes,"CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",Yes Yes,0 - 3658 m,,0 - 40 °C,5.16 kg 5.16 kg,105 mm 105 mm,475 mm 475 mm,577 mm 577 mm,No,,0.265 x 0.265 mm,Yes Yes,,0.5 W,28.4 W,5 ms,,Yes,. .,-20 - 60 °C,1920 x 1080 (HD 1080),,No,Yes,No,Yes,-5 - 20 °,No No,,,,100 x 100 mm,1.0,509.1 mm,286.41 mm,178 °,178 °,Yes,3.11 kg,3.46 kg,532 mm,532 mm,No,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64 Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64",,Yes,20 - 80 %,Yes,,,,Yes Yes,,,,1.0,1080p,,,No No,30 - 83 kHz,56 - 75 Hz,,,,Yes Yes,,584 mm,,0.3 W,,21 21,,,,,577 x 475 x 105 mm,,No,No,No No,532 x 414 x 213 mm,,,,,,,,,"4:3, 16:9 4:3, 16:9",,,,,,,,,,,,Yes,,,509.18 x 286.41 mm 509.18 x 286.41 mm,,,,,SmartImage Lite SmartImage Lite,
,Wortmann AG TERRA LCD/LED 2460W GREENLINE PLUS - MrHighTech Shop,16:9,,,No No,,,"CE, ISO 9241-307, TCO",Black Black,,10000000:1,,218 mm,,,250 cd/m²,"599.4 mm (23.6 "")",,,1920 x 1080 pixels,,,,Yes,,Full HD,418 mm,No,,30 - 80 kHz,,,,,,,,,,,,,,,,,,,,0.272 x 0.272 mm,Yes Yes,,1 W,,5 ms,,,,,,,,,,,,No,,,50 - 76 Hz,,1.0,,,170 °,160 °,,4 kg,,556 mm,,,,1.0,Yes,,,,1,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 - 240 V, 50 - 60 Hz",,,,,,,,,,,,,,,,,,,,,,,,,
,LG 29EB73-P LED display - MrHighTech Shop,21:9,,No,No No No,Yes Yes Yes,,"ROHS, REACH",Black Black,,5000000:1,1000:1,68.6 mm,226.1 mm,LED,300 cd/m²,"736.6 mm (29 "")",,16.77 M,2560 x 1080 pixels,,IPS,Unspecified,Yes,,,317.5 mm,Yes,396.2 mm,,,110 - 240 V,,,,,,Yes Yes,,,,,,9.344 kg 9.344 kg,195.6 mm 195.6 mm,414.5 mm 414.5 mm,777.2 mm 777.2 mm,,,,Yes Yes,1.5 W,,48 W,14 ms,7 W 7 W 7 W,,. .,,2560 x 1080,,,,No,Yes,-5 - 20 °,No No,1.0,2.0,,100 x 100 mm,,,,178 °,178 °,Yes,5.216 kg,6.85 kg,698.5 mm,698.5 mm,No,,1.0,Yes,,,,1,,,,,,2.0,,,"AC, Audio (3.5mm), DVI AC, Audio (3.5mm), DVI",,30 - 90 kHz,56 - 75 Hz,1.0,,,,,,Yes,0.5 W,,,,,,,,,Yes,No,Yes Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,
,Wortmann AG 3031200 LED display - MrHighTech Shop,16:9,,,No No,No No,No No,"CE, EN",Black Black,,30000000:1,,213 mm,,LED,300 cd/m²,"685.8 mm (27 "")",68.6 cm,16.77 M,1920 x 1080 pixels,Yes,MVA,Unspecified,Yes,,Full HD,456 mm,No,,30 - 89 kHz,50/60 Hz,100 - 240 V,,,,,,,,,,,,,,,,,,0.311 x 0.311 mm,Yes Yes,,0.5 W,24 W,2 ms,,,,,1920 x 1080 (HD 1080),,,,No,,,No,,,56 - 76 Hz,No,1.0,,,178 °,178 °,No,4.9 kg,,657 mm,,,,1.0,Yes,,Yes,,,,,,Yes,Yes Yes,1.0,"1080i, 1080p, 480i, 480p, 576i, 576p, 720p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4:3, 16:9 4:3, 16:9",,,,,,,,,,,,,,,,,,,,,
No,ASUS 22T1EH - MrHighTech Shop,16:9,,,No No,Yes Yes,Kensington Kensington,RoHS,Black Black,,10000000:1,1000:1,191.2 mm,,LED,250 cd/m²,"546.1 mm (21.5 "")",,,1920 x 1080 pixels,,,Unspecified,Yes,,Full HD,438.5 mm,No,,31 - 83 kHz,50/60 Hz,100 - 240 V,,,,,2 2,,,,,,,,,,,,,0.248 x 0.248 mm,,,0.5 W,,5 ms,14 W 14 W,,. .,,1920 x 1080 (HD 1080),,,,No,,-5 - 15 °,Yes,,,56 - 76 Hz,,1.0,,,170 °,160 °,Yes,6.1 kg,,540.6 mm,,,,,Yes,,,,,,Yes Yes,,,Yes Yes,1.0,,,,,31 - 83 kHz,56 - 76 Hz,,,60 W,,,,,,,,1.0,1.0,3.5 mm,Yes,,,No,,,,,Yes Yes,Yes,1.0,,Yes,,,,,,,,,,,,,,,,,Digital Digital,,,"PAL, SECAM",,,,
,Philips 273V5LHAB - MrHighTech Shop,16:9,W-LED,,,Yes Yes Yes,Kensington Kensington,"RoHS, Lead-free, Mercury Free",Black Black,"BSMI, CE Mark, FCC Class B, GOST, PSB, SASO, SEMKO, TCO certified, TUV/ISO9241-307, cETLus, WEEE",10000000:1,1000:1,57 mm,240 mm,LED,300 cd/m²,"685.8 mm (27 "")",68.6 cm,16.77 M,1920 x 1080 pixels,Yes,LCD/TFT,Unspecified,Yes,Silver,Full HD,398 mm,,471 mm,30 - 83 kHz,50/60 Hz,100 - 240 V,"Operation, Stand-by Operation, Stand-by",,30.000 h 30.000 h,,2 2 2,Yes Yes,"CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",Yes Yes,,20 - 80 %,0 - 40 °C,6.17 kg 6.17 kg,139 mm 139 mm,482 mm 482 mm,698 mm 698 mm,,,0.311 x 0.311 mm,Yes Yes,,0.5 W,19.65 W,5 ms,4 W 4 W 4 W,Yes,. .,-20 - 60 °C,,,,Yes,,Yes,,,,,56 - 75 Hz,100 x 100 mm,1.0,597.88 mm,336.31 mm,170 °,160 °,Yes,4 kg,4.53 kg,646 mm,646 mm,,,1.0,,,Yes,,1,,,,,,1.0,,,,,,,,,,,,,Yes,0.3 W,,,,,,,,,Yes,,,,,,,,,,,,,,1 1,,,,,,,,,,,,,,,,,,,
No,iiyama ProLite B2480HS - MrHighTech Shop,16:9,Edge-lit LED,No,No No No,Yes Yes Yes,Kensington Kensington,"CE, CU, TUV-GS, TCO",White White,,5000000:1,1000:1,244.5 mm,,LED,300 cd/m²,"599.4 mm (23.6 "")",,16.77 M,1920 x 1080 pixels,,TN+Film,Unspecified,Yes,,Full HD,557 mm,Yes,,24 - 80 kHz,50/60 Hz,100 - 240 V,,,,,2 2 2,Yes Yes,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS",,,10 - 80 %,41 - 95 °F,,,,,Yes,0 - 90 °,0.2715 x 0.2715 mm,Yes Yes,,1 W,22 W,2 ms,,Yes,. .,-20 - 60 °C,1920 x 1080 (HD 1080),-160 - 160 °,Yes,,No,Yes,-5 - 22 °,No No,,,56 - 75 Hz,100 x 100 mm,1.0,521.28 mm,293.22 mm,170 °,160 °,Yes,6.1 kg,,571.5 mm,,,,1.0,Yes,,Yes,,,Yes Yes,,5 - 85 %,Yes,,1.0,1080p,No No No,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA",No No,,,,,,Yes Yes,,,,,Yes Yes,9 9,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Wortmann AG Terra 2455W, Greenline Plus - MrHighTech Shop",16:9,,,No No,Yes Yes,Yes Yes,"TUV-GS, CE, ISO 9241-307, TCO Displays 6.0",Black Black,,15000000:1,,58 mm,213 mm,LED,250 cd/m²,"599.4 mm (23.6 "")",59.9 cm,16.77 M,1920 x 1080 pixels,,TN+Film,Unspecified,Yes,,Full HD,340 mm,,396 mm,,50/60 Hz,100 - 240 V,,,,,,Yes Yes,,,,,,,,,,,,0.272 x 0.272 mm,Yes Yes,,0.5 W,20 W,5 ms,,,,,1920 x 1080 (HD 1080),,,,No,Yes,0 - 20 °,No,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,4.4 kg,,557 mm,557 mm,,,,Yes,,Yes,,1,Yes Yes,,,Yes,,1.0,"1080i, 1080p, 480i, 480p, 576i, 576p, 720p",,"AC, Audio (3.5mm), DVI AC, Audio (3.5mm), DVI",,30 - 82 kHz,55 - 76 Hz,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wortmann AG Terra 2212W DVI Greenline Plus - MrHighTech Shop,16:9,,,No No,Yes Yes,,"CE, EN 60950",Black Black,,20000000:1,,44 mm,220 mm,LCD,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,,TN+Film,Unspecified,Yes,,Full HD,314 mm,No,374 mm,,50/60 Hz,100 - 240 V,,,,,,,,,,,,,,,,No,,0.248 x 0.248 mm,Yes Yes,,0.5 W,16 W,5 ms,,,,,1920 x 1080 (HD 1080),,,,No,,0 - 20 °,No,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,2.7 kg,3 kg,508 mm,508 mm,,,,Yes,,Yes,,,Yes Yes,Yes Yes,,Yes,,,"1080i, 1080p",,"Audio (3.5mm), DVI Audio (3.5mm), DVI",,,,,,,Yes Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,
No,Samsung LS24C45KMWV LED display - MrHighTech Shop,16:10,,,No No No,Yes Yes Yes,,"TCO, UL, CSA, TUV, KC, CCC, PSB, GOST, PCBC, NOM, IRAM, SASO",Black Black,,Mega Contrast,1000:1,54.2 mm,224 mm,LED,250 cd/m²,"609.6 mm (24 "")",,16.77 M,1920 x 1200 pixels,,TN+Film,Unspecified,Yes,Gold,Full HD,359.3 mm,Yes,512.2 mm,,50/60 Hz,100 - 240 V,,,,,2 2 2,,,,,10 - 80 %,10 - 40 °C,6.8 kg 6.8 kg,433 mm 433 mm,188 mm 188 mm,628 mm 628 mm,Yes,-1 - 95 °,0.27 x 0.27 mm,,,0.1 W,30 W,5 ms,2 W 2 W 2 W,,. .,,1920 x 1200 (WUXGA),-45 - 45 °,Yes,,No,Yes,-3 - 25 °,No No,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,3.5 kg,5.1 kg,554.8 mm,554.8 mm,,,1.0,,,,,,Yes Yes,Yes Yes,,Yes,,,,,"Audio (3.5mm), DVI, VGA Audio (3.5mm), DVI, VGA",,,,,,,Yes Yes,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,518.4 x 324 mm 518.4 x 324 mm,,,,,,,,,,,,,,,
No,ASUS VB178TL - MrHighTech Shop,5:4,,,No No,Yes Yes,Kensington Kensington,"BSMI, CB, CCC, CE, CEL, C-Tick, ErP, FCC, Gost-R, J-MOSS, PSB, RoHS, TCO5.2, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WEEE, WHQL, NOM",Black Black,,50000000:1,1000:1,,214 mm,LCD,250 cd/m²,"431.8 mm (17 "")",43.2 cm,16.77 M,1280 x 1024 pixels,,,Unspecified,Yes,,,,Yes,377 mm,30 - 83 kHz,,,Yes Yes,,,,2 2,,,,,,,7 kg,210 mm,382 mm,559 mm,Yes,,0.264 x 0.264 mm,,1 W,,25 W,5 ms,2 W 2 W,,. .,,1280 x 1024 (SXGA),,Yes,,No,Yes,-5 - 20 °,No,,,55 - 75 Hz,100 x 100 mm,1.0,,,170 °,160 °,Yes,,5.4 kg,462 mm,462 mm,,,1.0,Yes,,,,,Yes Yes,Yes Yes,,,,,,,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA",,30 - 83 kHz,55 - 75 Hz,,,,Yes Yes,,,Yes,1 W,Yes Yes,,,,3.5 mm,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes Yes
No,AG Neovo X-17P - MrHighTech Shop,5:4,,No,No No,Yes Yes,Kensington Kensington,"CB, FCC, CE, WEEE, RoHS, REACH",Black Black,,,1000:1,175 mm,,LCD,250 cd/m²,"431.8 mm (17 "")",43.18 cm,16.77 M,1280 x 1024 pixels,,,Unspecified,,,No,398 mm,No,,,50/60 Hz,100 - 240 V,,,,,2 2,,,Yes Yes,,10 - 90 %,0 - 40 °C,7.6 kg,228 mm,497 mm,486 mm,No,,0.264 x 0.264 mm,Yes Yes,,0.5 W,19 W,3 ms,3 W 3 W,,,-20 - 60 °C,1280 x 1024 (SXGA),,No,,No,Yes,0 - 20 °,No,,,,"75 x 75, 100 x 100 mm",1.0,,,170 °,160 °,Yes,6.6 kg,,409 mm,,No,,1.0,No,,,,,,,5 - 95 %,Yes,,,,No No,"AC, VGA AC, VGA",,24 - 82 kHz,50 - 85 Hz,,,,,,,,0.5 W,Yes Yes,,,1.0,,,,,Yes,No,No No,,,,,1.0,,,,,,,,,,Yes,,,,,,,,,,,,,,Public display,,Yes Yes
