<page title>,aspect ratio,backlight technology,brand name,brightness,builtin devices,colour,contrast ratio,depth,depth with stand,displayport,dvi,full product specifications,green compliance certificateauthority,green compliant,height,height with stand,limited warranty,manufacturer,manufacturer part number,maximum resolution,number of screens,operating power consumption,package contents,product line,product model,product name,product type,response time,screen mode,screen size,usb,vga,weight approximate,width,width with stand,adjustable display angle,features,hdmi,horizontal viewing angle,mount type,number of speakers,platform supported,product series,speakers,vertical viewing angle,vesa mount compatible,weight with stand approximate,adjustable display height,adjustable display pivot,colour support,hdcp supported,headphone,input voltage,maximum adjustable height,offmode power consumption,panel technology,standard refresh rate,standby power consumption,swivel angle,tilt angle,vesa mount standard,screen surface,certifications standards,component video,composite video,webcam,firewireilink,network rj45,thunderbolt,svideo,energy consumption per year,energy efficiency class,usb standard,recycled,recycled content,horizontal frequency,system requirements,sdi,sdi standard,display orientation,3d type,additional information,postconsumerwaste,packaged quantity,product code,3d technology,country of origin,package type
"UM.QG6EE.001, ACEG246HYLBD, Acer, LCD Monitor, JR Linton",16:9,LED,Acer,250 cd/m²,,Black,"100,000,000:1",,,,Yes,,MPR II,Yes,,,2 Year,"Acer, Inc",UM.QG6EE.001,1920 x 1080,1,31 W,G246HYL Widescreen LCD MonitorPower Cord1 x VGA Cable,,G246HYL,G246HYL Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"60.5 cm (23.8"")",,Yes,,,,Yes,,,178°,,,,G,,178°,No,,No,No,16.7 Million Colours,Yes,,110 V AC 220 V AC,No,450 mW,In-plane Switching (IPS) Technology,60 Hz,490 mW,No,-5°to15°,,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,
"241P4QPYKES/00, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,Microphone Webcam Speaker USB Hub,Black Silver,"5,000:1",55 mm,220 mm,Yes,Yes,,EPEAT Gold WEEE TCO Certified Edge RoHS TCO Certified Displays 5.2 ENERGY STAR 5.0,Yes,352 mm,518 mm,3 Year,Philips Electronics,241P4QPYKES/00,1920 x 1080,1,23.40 W,,Brilliance,241P4QPYKES,"Brilliance AMVA LCD Monitor, LED Backlight with Webcam",LCD Monitor,6 ms,Full HD,"61 cm (24"")",Yes,Yes,4.20 kg,565 mm,565 mm,Yes,SmartImage Security Lock SmartErgoBase,,178°,,2.0,Mac PC,P,Yes,178°,Yes,6.40 kg,Yes,Yes,16.7 Million Colours,Yes,Yes,220 V AC 110 V AC,,,,60 Hz,100 mW,,,100 x 100,,BSMICE MarkFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL,,,,,,,,,,USB 2.0,Yes,,,,,,,,,65%,,,,,
"C9V75AA#AB1, HP, LCD Monitor, JR Linton",16:9,LED,HP,250 cd/m²,USB Hub,Black,"5,000,000:1",51 mm,242.40 mm,Yes,Yes,Click to view,TCO Certified Edge ENERGY STAR,Yes,329 mm,469.90 mm,3 Year,Hewlett-Packard,C9V75AA#AB1,1920 x 1080,1,36 W,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD,Elite,E231,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR),LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",Yes,Yes,3.90 kg,544 mm,544 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"272C4QPJKAB/00, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,300 cd/m²,Microphone Speaker,Black,"1,000:1",64 mm,197 mm,Yes,Yes,,RoHS ENERGY STAR 6.0 EPEAT Silver TCO Certified Displays 6.0 WEEE,Yes,405 mm,495 mm,,Philips Electronics,272C4QPJKAB/00,2560 x 1440,1,38 W,,Brilliance,272C4QPJKAB,"Brilliance LCD Monitor with Webcam, MultiView",LCD Monitor,12 ms,QHD,"68.6 cm (27"")",,,5.60 kg,639 mm,639 mm,Yes,SmartKolor SmartImage Multiview Security Lock PowerSensor SmartTxt,Yes,178°,,2.0,PC Mac,C,Yes,178°,Yes,6.30 kg,,,16.7 Million Colours,Yes,Yes,220 V AC 110 V AC,,,PLS (Plane to Line Switching) Technology,60 Hz,400 mW,,,100 x 100,,BSMICE MarkFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL,,,Yes,,,,,,,,,,,,,,,,,,,,,,
"60B0HAT1UK, 2895265, Lenovo, LCD Monitor, JR Linton",16:9,LED,Lenovo,250 cd/m²,,Raven Black,"1,000:1",167.2 mm,,,Yes,,Turkey RoHS RoHS EU RoHS Ukraine RoHS TCO Certified Displays 6.0 ENERGY STAR 6.0 China RoHS EPEAT Silver,Yes,399 mm,,3 Year,Lenovo Group Limited,60B0HAT1UK,1920 x 1080,1,21 W,,ThinkVision,E2323,ThinkVision E2323 Wide 23-Inch FHD WLED Backlit LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,Yes,3.55 kg,548.5 mm,,Yes,Security Lock,,90°,Wall Mountable,,PC,,,160°,Yes,,,,16.7 Million Colours,,,110 V AC 220 V AC,,500 mW,Twisted Nematic Film (TN Film),75 Hz,500 mW,,,100 x 100,,China Energy standard Tier 1 VOC test TUV Ergo DDC/CI ISO 9241-307,,,,,,,,,,,,,,,,,,,,,,,,,
"861-10346, Dell, LCD Monitor, JR Linton",16:9,LED,Dell,250 cd/m²,USB Hub,Black,"1,000:1",59.5 mm,183.30 mm,Yes,Yes,,TCO Certified Displays ENERGY STAR 5.0 EPEAT Gold,Yes,304.5 mm,484.50 mm,3 Year,"Dell, Inc",861-10346,1920 x 1080,1,70 W,"UltraSharp U2212HM 54.5cm (21.5'') LED Monitor VGA, DVI-DP (1920x1080) Black Stand Power Cable DVI Cable USB Cable VGA Cable Drivers and Documentation media Quick Setup Guide Safety Information",UltraSharp,U2212HM,"UltraSharp U2212HM 54.5cm (21.5'') LED Monitor VGA, DVI-DP (1920x1080) Black",LCD Monitor,8 ms,Full HD,"54.6 cm (21.5"")",Yes,Yes,,513 mm,513 mm,Yes,Cable Management Security Lock,,178°,,,,,,178°,,,Yes,Yes,16.78 Million Colors,Yes,,220 V AC 110 V AC,,,In-plane Switching (IPS) Technology,60 Hz,500 mW,,,,Anti-glare,,,,,,,,,,,USB 2.0,,,,,,,Landscape/Portrait,,,,,,,,
"60003409, 3967929, NEC Display Solutions, LCD Monitor, JR Linton",16:10,LED,NEC Display,350 cd/m²,USB Hub Speaker,White,"1,000:1",,,Yes,Yes,,EPEAT Gold TCO Certified Displays 5.2,Yes,,,3 Year,NEC Display Solutions,60003409,1920 x 1200,1,29 W,,MultiSync,EA244WMi,MultiSync EA244WMi Widescreen LCD Monitor,LCD Monitor,14 ms,WUXGA,"61.2 cm (24.1"")",Yes,Yes,,,,Yes,,Yes,178°,,,,EA,Yes,178°,,7.60 kg,Yes,Yes,16.7 Million Colours,,,,,,In-plane Switching (IPS) Technology,,430 mW,,,,,,,,,,,,,,,USB 2.0,,,,,,,,,,,,,,,
"UM.FG6EE.A01, ACEG246HLABD, Acer, LCD Monitor, JR Linton",16:9,LED,Acer,250 cd/m²,,Black,"100,000,000:1",42 mm,179 mm,,Yes,,MPR II,Yes,343 mm,401 mm,2 Year,"Acer, Inc",UM.FG6EE.A01,1920 x 1080,1,19.80 W,G246HL Widescreen LCD Monitor1 x VGA CablePower Cord,,G246HL,G246HL Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"61 cm (24"")",,Yes,3.50 kg,565 mm,565 mm,Yes,,,170°,,,,G,No,160°,Yes,3.80 kg,No,No,16.7 Million Colours,Yes,,220 V AC 110 V AC,No,450 mW,Twisted Nematic Film (TN Film),60 Hz,460 mW,No,-5°to15°,100 x 100,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,
"241B4LPYCS/00, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,USB Hub Speaker,Black Silver,"1,000:1",55 mm,227 mm,Yes,Yes,,WEEE TCO Certified Displays 5.2 RoHS EPEAT Gold TCO Certified Edge ENERGY STAR 5.0,Yes,352 mm,403 mm,2 Year,Philips Electronics,241B4LPYCS/00,1920 x 1080,1,21.44 W,,Brilliance,241B4LPYCS,Brilliance 241B4LPYCS Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"61 cm (24"")",Yes,Yes,4.30 kg,565 mm,565 mm,Yes,SmartErgoBase Security Lock SmartImage PowerSensor,,170°,,2.0,PC Mac,B,Yes,160°,Yes,6.30 kg,Yes,Yes,16.7 Million Colours,Yes,Yes,220 V AC 110 V AC,,,,60 Hz,100 mW,,,100 x 100,,BSMICE MarkFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL,,,,,,,,,,USB 2.0,,,,,,,,,,,,,,,
"271P4QPJKEB/00, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,300 cd/m²,USB Hub Speaker,,"5,000:1",,,Yes,Yes,,TCO Certified Edge ENERGY STAR,Yes,,,,Philips Electronics,271P4QPJKEB/00,1920 x 1080,1,,,,271P4QPJKEB,271P4QPJKEB Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"68.6 cm (27"")",Yes,Yes,,,,Yes,PowerSensor Security Lock SmartImage SmartErgoBase,Yes,178°,,2.0,Mac PC,P,Yes,178°,Yes,,Yes,Yes,16.7 Million Colours,Yes,Yes,110 V AC 220 V AC,,,,60 Hz,,,,100 x 100,,,,,,,,,,,,USB 2.0,Yes,Plastic,,,,,,,,65%,,,,,
"C9F26AA#A2K, HP, LCD Monitor, JR Linton",16:9,LED,HP,250 cd/m²,,Black,"3,000,000:1",47.5 mm,151.10 mm,,Yes,Click to view,ENERGY STAR TCO Certified Edge,Yes,294.1 mm,359.20 mm,3 Year,Hewlett-Packard,C9F26AA#A2K,1600 x 900,1,22 W,ProDisplay P201 20-inch LED Backlit MonitorVGA CableDVI CableAC Power CablePrinted Documentation and CD,ProDisplay,P201,ProDisplay P201 20-inch LED Backlit Monitor,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",,Yes,3.50 kg,482 mm,482 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XB2779QS-S1, IIYXB2779QSS, Iiyama, LCD Monitor, JR Linton",16:9,LED,iiyama,440 cd/m²,Speaker,,"1,000:1",230 mm,,Yes,Yes,,ENERGY STAR,Yes,435.5 mm,,,"iiyama North America, Inc",XB2779QS-S1,2560 x 1440,1,55 W,ProLite XB2779QS Widescreen LCD Monitor Power cable DVI-D cable DisplayPort cable Audio cable Stand 3 x screws Quick start guide Safety guide,ProLite,XB2779QS,ProLite XB2779QS Widescreen LCD Monitor,LCD Monitor,5 ms,WQHD,"68.6 cm (27"")",,Yes,8.20 kg,650 mm,,Yes,Security Lock,Yes,178°,Wall Mountable,2.0,PC Mac,,Yes,178°,Yes,,Yes,,16.77 Million Colors,Yes,Yes,110 V AC 220 V AC,,,Advanced High Performance In-plane Switching (AH-IPS) Technology,75 Hz,500 mW,,,100 x 100,,CE TUV-Bauart GOST-R VCCI-B PSE,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.HV6EE.013, 8654J44, Acer, LCD Monitor, JR Linton",16:9,LED,Acer,300 cd/m²,,Black,"100,000,000:1",,,,Yes,,EPEAT Gold TCO Certified Displays 6.0,Yes,,,3 Year,"Acer, Inc",UM.HV6EE.013,1920 x 1080,1,28.50 W,V276HL Widescreen LCD MonitorPower Cord1 x VGA Cable,,V276HL,V276HL Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"68.6 cm (27"")",,Yes,,,,Yes,,,178°,,,,V,,178°,Yes,,No,No,16.7 Million Colours,Yes,,220 V AC 110 V AC,No,350 mW,Vertical Alignment (VA),60 Hz,450 mW,No,-5°to25°,100 x 100,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP247HJB, V320114, Hannspree, LCD Monitor, JR Linton",16:9,LED,Hanns.G,,,,,,,,Yes,,,,,,,"Hannspree, Inc",HP247HJB,1920 x 1080,1,,,,HP247HJB,HP247HJB Widescreen LCD Monitor,LCD Monitor,,Full HD,"61 cm (24"")",,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E2773HS-GB1, Iiyama, LCD Monitor, JR Linton",16:9,LED,iiyama,300 cd/m²,Speaker,Black,"1,200:1",239 mm,,,Yes,,ENERGY STAR,Yes,454.5 mm,,3 Year,"iiyama North America, Inc",E2773HS-GB1,1920 x 1080,1,29 W,ProLite E2773HSStandCable GuideQuick Start GuideSafety GuidePower CableVGA Cable (D-Sub)DVI CableAudio Cable,ProLite,E2773HS,ProLite E2773HS,LCD Monitor,1 ms,Full HD,"68.6 cm (27"")",,Yes,5.30 kg,647 mm,,Yes,X-Res Technology Security Lock,Yes,170°,Desk Mountable Wall Mountable,2.0,PC Mac,,Yes,160°,Yes,,No,,16.7 Million Colours,Yes,Yes,110 V AC 220 V AC,,,,76 Hz,500 mW,,,100 x 100,,CUTUV BauartPSECEVCCI-B,,,,,,,,,,,,,,,,,,,,,,,,,
"60003586, NECEA193MIB, NEC Display Solutions, LCD Monitor, JR Linton",5:4,LED,NEC Display,250 cd/m²,Speaker,Black,"1,000:1",65 mm,213.90 mm,Yes,Yes,,EPEAT Silver ENERGY STAR 6.0 TCO Certified Displays 6.0 MPR II ErP RoHS MPR III,Yes,338 mm,386.40 mm,,NEC Display Solutions,60003586,1280 x 1024,1,18 W,,MultiSync,EA193Mi,"LCD 19"" Desktop Display",LCD Monitor,6 ms,SXGA,"48.3 cm (19"")",,Yes,4 kg,408 mm,408 mm,Yes,Security Lock Cable Management Carbon Footprint Meter Eco Mode Ambient Light Sensor Off Timer Intelligent Power Manager (IPM) System,,178°,Desk Mountable,2.0,PC,,Yes,178°,Yes,6 kg,Yes,Yes,16.77 Million Colors,Yes,Yes,110 V AC 220 V AC,,,In-plane Switching (IPS) Technology,60 Hz,350 mW,,,100 x 100,,CE TÜV Ergonomics TÜV GS FCC Class B PCT/Gost UL/C-UL CSA ISO 9241-307,,,,,,,,,,,Yes,Plastic,,,,,Landscape/Portrait,,,,,,,,
"R72MCUK, S602YA2, Lenovo, LCD Monitor, JR Linton",16:10,LED,Lenovo,250 cd/m²,,,"1,000:1",420.1 mm,,Yes,Yes,,CECP MPR II ENERGY STAR 6.0 TCO Certified Edge Displays 1.1 ULE Gold RoHS EPEAT Gold China RoHS EPA,Yes,232.9 mm,,3 Year,Lenovo Group Limited,R72MCUK,1680 x 1050,1,20 W,,ThinkVision,LT2252p,ThinkVision LT2252p Widescreen LCD Monitor,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",,Yes,7.50 kg,590 mm,,Yes,Security Lock,,170°,,,,,,160°,Yes,,,Yes,,,,,,,,,,,,100 x 100,,UL CSA CE CCC GS TUV IECEE CB Certificate (world-wide - IEC-950/EN 60950) SEMKO NEMKO SASO KC JEITA TUV-S CSC GOST Ukraine PSB BSMI Belarus FCC Class B IC KVALITET ISO 9241-307 VCCI AS/NZA,,,,,,,,,,,,,,,,,,,,,,,,,
"247E4LHSB/00, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,,Glossy Black,"1,000:1",39 mm,193 mm,,,,WEEE EPEAT Silver RoHS ENERGY STAR 6.0 TCO Certified Displays 6.0,Yes,348 mm,434 mm,,Philips Electronics,247E4LHSB/00,1920 x 1080,1,17.20 W,,,247E4LHSB,LCD Monitor with SmartImage Lite,LCD Monitor,5 ms,Full HD,"59.9 cm (23.6"")",,Yes,3.16 kg,557 mm,557 mm,Yes,Security Lock Touch Controls TrueVision SmartImage Sync on Green,Yes,178°,,,Mac PC,E,,170°,,3.44 kg,,,16.7 Million Colours,,Yes,220 V AC 110 V AC,,300 mW,,60 Hz,500 mW,,,,,BSMICCCCE MarkFCC Class BGOSTPSBSASOSEMKOTUV/ISO9241-307UL/cUL,,,,,,,,,,,,,,,,,,,,,,,,,
"241S4LCB/00, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,,Black,"1,000:1",55 mm,227 mm,,Yes,,ENERGY STAR 5.0 TCO Certified Displays 5.2 EPEAT Gold RoHS WEEE,Yes,352 mm,403 mm,,Philips Electronics,241S4LCB/00,1920 x 1080,1,21.90 W,,,241S4LCB,"LCD Monitor, LED Backlight with SmartImage",LCD Monitor,5 ms,Full HD,"61 cm (24"")",,Yes,4.30 kg,565 mm,565 mm,Yes,Security Lock SmartImage SmartErgoBase TrueVision,,170°,,,Mac PC,S,,160°,Yes,6.30 kg,Yes,Yes,16.7 Million Colours,Yes,,220 V AC 110 V AC,,100 mW,,60 Hz,100 mW,,,100 x 100,,SEMKOTUV ErgoTUV/GSBSMICE MarkFCC Class BGOSTSASOUL/cUL,,,,,,,,,,,Yes,25%,,,,,,,,,,,,,
"LS20C300BL/EN, Samsung, LCD Monitor, JR Linton",16:9,LED,Samsung,250 cd/m²,,Translucent Red Gradation,"1,000:1",53 mm,187 mm,No,Yes,,ENERGY STAR 6.0,Yes,299.8 mm,379.40 mm,2 Year,Samsung,LS20C300BL/EN,1600 x 900,1,14 W,,,S20C300BL,S20C300BL Widescreen LCD Monitor,LCD Monitor,5 ms,HD+,"49.5 cm (19.5"")",No,Yes,2.10 kg,476.2 mm,476.20 mm,Yes,MagicBright3 Off Timer Eco Saving MagicAngle MagicTune MultiScreen Magic Upscale,No,170°,,,PC Mac,300,No,160°,,2.40 kg,,,16.7 Million Colours,,,220 V AC 110 V AC,,300 mW,,,300 mW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"858-BBBR, Dell, LCD Monitor, JR Linton",16:9,LED,Dell,250 cd/m²,USB Hub,Black,"2,000,000:1",46.5 mm,180 mm,Yes,Yes,Click to view,EPEAT Gold China Energy Label (CEL) TCO Certified Displays ENERGY STAR,Yes,272.9 mm,467.90 mm,3 Year,"Dell, Inc",858-BBBR,1600 x 900,1,36 W,20 Monitor - P2014H stand Cable cover Power cable Display Port cable VGA cable USB upstream cable Drivers and documentation media Quick setup guide Product and safety information guide,,P2014H,20 Monitor - P2014H,LCD Monitor,8 ms,HD+,"49.5 cm (19.5"")",Yes,Yes,2.48 kg,470.5 mm,470.50 mm,,,,,,,,,,,Yes,3.20 kg,,,16.7 Million Colours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,,,,
"UM.QG6EE.009, 3147242, Acer, LCD Monitor, JR Linton",16:9,LED,Acer,250 cd/m²,,Black,"100,000,000:1",,,,Yes,,MPR II,Yes,,,2 Year,"Acer, Inc",UM.QG6EE.009,1920 x 1080,1,31 W,G246HYL Widescreen LCD Monitor1 x VGA CablePower Cord,,G246HYL,G246HYL Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"60.5 cm (23.8"")",,Yes,,,,Yes,,Yes,178°,,,,G,,178°,No,,No,No,16.7 Million Colours,,,220 V AC 110 V AC,No,450 mW,In-plane Switching (IPS) Technology,60 Hz,490 mW,No,-5°to15°,,Anti-glare,,,,,,,,,36 kWh,A,,,,,,,,,,,,,,,,
"221S3LCB/00, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,,Black,"1,000:1",59 mm,220 mm,,Yes,,EPEAT Silver TCO Certified Displays 5.1 RoHS ENERGY STAR 5.0,Yes,323 mm,400 mm,2 Year,Philips Electronics,221S3LCB/00,1920 x 1080,1,16.81 W,,Brilliance,221S3LCB,Brilliance LED Monitor With SmartImage,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,Yes,3.46 kg,507 mm,507 mm,Yes,Touch Controls Security Lock Eco Mode SmartImage SmartPower,,176°,,,PC Mac,S,,170°,Yes,4.83 kg,Yes,,16.7 Million Colours,Yes,,110 V AC 220 V AC,,100 mW,,60 Hz,100 mW,,,100 x 100,,BSMICE MarkFCC Class BGOSTSEMKOTUV ErgoTUV/GSUL/cUL,,,,,,,,,,,,,,,,,,,,,,,,,
"LS27C45UDS/EN, Samsung, LCD Monitor, JR Linton",16:9,,Samsung,300 cd/m²,USB Hub,Matte Black,"1,000:1",56.7 mm,224 mm,Yes,Yes,,ENERGY STAR TCO Certified Displays EPEAT Gold,Yes,378.1 mm,532.80 mm,3 Year,Samsung,LS27C45UDS/EN,1920 x 1080,1,30 W,S27C450D Widescreen LCD MonitorD-sub CableUSB CablePower CordQuick Installation GuideInstallation CDElectronic Manual,,S27C450D,S27C450D Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"68.6 cm (27"")",Yes,Yes,4.55 kg,639 mm,639 mm,Yes,MagicAngle MagicRotation Eco Saving Off Timer MagicTune MagicBright 3,No,170°,Wall Mountable,,PC,450,No,160°,Yes,6.20 kg,Yes,Yes,16.7 Million Colours,,,110 V AC 220 V AC,,,,,300 mW,,,100 x 100,,"UL: UL 60950 1CSA: CSA C22.2 No.. 60950-1TUV: EN60950-1NEMKO: EN60950-1KC: K60950-1CCC: GB 4943-2001PSB: IEC60950-1GOST: IEC60950-1, EN55022SIQ: IEC60950-1, EN55022PCBC: IEC60590-1, EN55022NOM: NOM-019-SCFI-1993IRAM: IEC60950-1SASO: IEC60950-1EMC:FCC: FCC Part 15, Subpart B Class ACE: EN55022, EN55024VCCI: V-3 (CISPR22)KCC: KN22, KN24C-Tick: AS/NZS3548 (CISPR22)CCC: GB 9254-2008, GB 17625.1-2003",,,,,,,,,,USB 2.0,Yes,Plastic,,,,,,,,,,Product Description Stock Price,,,
"857-10586, 0912968, Dell, LCD Monitor, JR Linton",16:10,LED,Dell,250 cd/m²,,Black,"1,000:1",52 mm,163.50 mm,,Yes,Click to view,China Energy Label (CEL) TCO Certified Displays EPEAT Gold ENERGY STAR 5.2,Yes,290.8 mm,372.80 mm,3 Year,"Dell, Inc",857-10586,1440 x 900,1,23 W,"E-series E1913 19"" (48cm) LED Monitor VGA,DVI-D (1440x 900) Black Stand Power Cable DVI Cable VGA Cable Drivers and Documentation media Quick setup guide Safety Information",,E1913,"E-series E1913 19"" (48cm) LED Monitor VGA,DVI-D (1440x 900) Black",LCD Monitor,5 ms,WXGA+,"48.3 cm (19"")",,Yes,2.54 kg,443.8 mm,443.80 mm,,,,,,,,E,,,Yes,,,,16.78 Million Colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,,,,
"UM.CV6EE.009, 8654K90, Acer, LCD Monitor, JR Linton",5:4,LED,Acer,250 cd/m²,,Black,"100,000,000:1",52 mm,207 mm,,,,TCO Certified Displays 6.0 EPEAT Gold,Yes,337 mm,408 mm,3 Year,"Acer, Inc",UM.CV6EE.009,1280 x 1024,1,15.80 W,V196LWidescreen LCD MonitorPower Cord1 x VGA Cable,,V196L,V196L LCD Monitor,LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",,Yes,2.70 kg,406.4 mm,406.40 mm,Yes,,,170°,,,,V,,160°,Yes,3.10 kg,No,No,16.7 Million Colours,,,220 V AC 110 V AC,No,350 mW,Twisted Nematic Film (TN Film),75 Hz,450 mW,No,-5°to25°,100 x 100,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,
"C9V73AA#AB0, HP, LCD Monitor, JR Linton",16:9,LED,HP,250 cd/m²,USB Hub,Black,"5,000,000:1",51 mm,228.90 mm,Yes,Yes,Click to view,TCO Certified Edge ENERGY STAR,Yes,289 mm,434.80 mm,3 Year,Hewlett-Packard,C9V73AA#AB0,1600 x 900,1,30 W,EliteDisplay E201 20-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD,Elite,E201,EliteDisplay E201 20-inch LED Backlit Monitor (ENERGY STAR),LCD Monitor,5 ms,HD+,"50.8 cm (20"")",Yes,Yes,5.20 kg,472.8 mm,472.80 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ET.VG6HE.B01, 8652S94, Acer, LCD Monitor, JR Linton",16:9,LED,Acer,200 cd/m²,,Black,"100,000,000:1",,,,Yes,,,,,,,"Acer, Inc",ET.VG6HE.B01,1920 x 1080,1,26 W,,,G236HLBbd,G236HLBbd Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,Yes,,,,Yes,,,,,,PC,G,,,No,,No,No,,,,,No,400 mW,Twisted Nematic Film (TN Film),60 Hz,450 mW,No,-5°to15°,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.WG6EE.B13, 8655U54, Acer, LCD Monitor, JR Linton",16:9,LED,Acer,200 cd/m²,,Black,"100,000,000:1",33.9 mm,168 mm,,Yes,,MPR II,Yes,364 mm,365 mm,2 Year,"Acer, Inc",UM.WG6EE.B13,1920 x 1080,1,22 W,G226HQL Widescreen LCD Monitor1 x VGA CablePower Cord,,G226HQL,G226HQL Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,Yes,1.90 kg,511 mm,511 mm,Yes,,Yes,90°,,,,G,No,50°,No,2 kg,No,No,16.7 Million Colours,,,220 V AC 110 V AC,No,400 mW,Twisted Nematic Film (TN Film),60 Hz,450 mW,No,-5°to15°,,Anti-glare,,,,,,,,,32 kWh,B,,,,,,,,,,,,,,,,
"UM.CV6EE.005, 2700289, Acer, LCD Monitor, JR Linton",16:10,LED,Acer,250 cd/m²,,Black,"100,000,000:1",191 mm,,,Yes,,TCO '06 EPEAT Gold,Yes,378 mm,,3 Year,"Acer, Inc",UM.CV6EE.005,1440 x 900,1,13 W,V196WL Widescreen LCD Monitor1 x VGA CablePower Cord,,V196WL,V196WL Widescreen LCD Monitor,LCD Monitor,5 ms,WXGA+,"48.3 cm (19"")",,Yes,2.70 kg,440 mm,,Yes,,,170°,,,,V,Yes,160°,Yes,3.10 kg,No,No,16.7 Million Colours,Yes,,220 V AC 110 V AC,No,350 mW,Twisted Nematic Film (TN Film),60 Hz,450 mW,No,-5°to25°,100 x 100,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,
"DSMH21.5LED-WGF, VIGDSMH215LEDWG, Vigilant Vision, Ltd, JR Linton",16:9,LED,Vigilant,250 cd/m²,Speaker,Black,"1,000:1",,,,,,WEEE RoHS,Yes,,,,"Vigilant Vision, Ltd",DSMH21.5LED-WGF,1920 x 1080,1,35 W,"21.5"" (16:9 ) LED Monitor with Glass Front Power Supply Kettle Lead VGA Cable Audio Cable User Manual Remote Control",,DSMH21.5LED-WGF,"21.5"" (16:9 ) LED Monitor with Glass Front",LCD Monitor,3.50 ms,Full HD,"54.6 cm (21.5"")",,Yes,5.50 kg,,,,Picture in Picture Picture on Picture Sleep Timer,Yes,170°,,2.0,PC,,Yes,160°,Yes,,,,16.7 Million Colours,,,220 V AC 110 V AC,,,,75 Hz,,,,100 x 100,,CE FCC,,,,,,,,,,,,,,,,,,,,,,,,,
"HE225DPB, V320087, Hannspree, LCD Monitor, JR Linton",16:9,LED,Hanns.G,250 cd/m²,,Black,"1,000:1",185 mm,,,Yes,,,,367.4 mm,,,"Hannspree, Inc",HE225DPB,1920 x 1080,1,24 W,,,HE225DPB,HE225DPB Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,Yes,3.12 kg,512.8 mm,,,,,170°,,,PC,HE,,160°,,,,,16.7 Million Colours,Yes,,,,500 mW,,,500 mW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
