<page title>,brand name,contrast ratio,diagonal screen size,dimensions,ecolabel,hd compatible,horizontal viewable angle,integrated speakers,item,manufacturer,manufacturer,maximum resolution,model name,monitor brightness,monitor color,native resolution,pixel pitch,signal input type,tv tuner,typical response time,viewable image size,wall mountable,warranty length,aspect ratio,backlight technology,brightness,depth,display orientation,height,input voltage,number of screens,platform supported,product line,product name,product type,screen size,vesa mount compatible,vesa mount standard,vga,weight,width,postconsumer recycled content,screen type,total recycled content,touchscreen type,builtin devices,color,color supported,depth with stand,dvi,height with stand,mount type,response time,screen mode,speakers,standard refresh rate,vertical viewing angle,viewing angle,weight with stand approximate,width with stand,features,offmode power consumption,operating power consumption,standby power consumption,touchscreen,usb,adjustable display angle,adjustable display height,adjustable display pivot,assembly required,country of origin,displayport,product series,quantity,recycled,certifications standards,hdcp supported,hdmi,multitouch screen,number of speakers,headphone jack,screen surface,panel technology,usb standard,webcam,antiglare,network rj45,compatibility,be comfortable,customizable color,full hd resolution,stay versatile,superb performance,ultrawide viewing angle,versatile connections,work with ease stay entertained for hours,component video,composite video,svideo,tilt angle
Planar PT1975R 19 LCD Touchscreen Monitor 5 ms by Office Depot,Planar,800:1,,,RoHS,,,,794628,"Planar Systems, Inc",CL0882,1280 x 1024,PT1975R,,,,,,,,,,3-year limited,,,300 Nit,"2.7""",,"14.6""",110 V AC; 220 V AC,,,,PT1975R Touchscreen LCD Monitor,LCD Touchscreen Monitor,"19""",Yes,100 x 100,Yes,14.11 lb,"17.2""",,,,5-wire Resistive,,Black,16.7 Million Colors,"10.50""",Yes,"16""",,5 ms,SXGA,,,160°,160°,19.62 lb,"17.20""",,,45 W,4 W,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,PC; Mac,,,,,,,,,,,,
Asus VS197D P 185 LED LCD Monitor 169 5 ms by Office Depot,Asus,"50,000,000:1",,,ENERGY STAR; RoHS; WEEE,,,,845113,ASUS Computer International,LA9916,1366 x 768,VS197D-P,,,,,,,,,,3-year limited,16:9,LED,250 Nit,,,,,1.0,PC,,VS197D-P Widescreen LCD Monitor,LCD Monitor,"18.5""",Yes,,Yes,6.06 lb,,,,,,,Black,16.7 Million Colors,"7.28""",,"13.62""",Wall Mountable,5 ms,WXGA,,75 Hz,160°,170°,,"17.60""",,500 mW,21 W,500 mW,,,Yes,,,,,,VS,,,UL/cUL; CB; CE; EuP; FCC; CCC; BSMI; GOST-R; C-Tick; VCCI; PSB; EK; J-MOSS; WHQL,,,,,,,,,,,,,,,,,,,,,,,,
NEC Display MultiSync EA234WMi BK 23 LED LCD Monitor 169 6 ms by Office Depot,NEC Display,"1,000:1",,,ENERGY STAR 6.0; TCO Certified Edge; EPEAT Gold; RoHS,,,,101107,NEC Display Solutions,RA1123,1920 x 1080,EA234WMi-BK,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"2.4""",,"12.7""",,1.0,,MultiSync,"23"" Widescreen LED-Backlit Desktop Monitor w/ IPS LCD Panel",LCD Monitor,"23""",Yes,100 x 100,Yes,8.80 lb,"21.4""",,,,,USB Hub; Speaker,,16.7 Million Colors,"8.60""",Yes,"20.10""",,6 ms,Full HD,Yes,75 Hz,178°,178°,14.10 lb,"21.40""",Smart Sensing Technology; Ambient Light Sensor; Eco Mode; Carbon Footprint Meter; Cable Management; Auto Brightness Control (ABC); AccuColor; Sync on Green,,27 W,410 mW,,Yes,Yes,Yes,Yes,,,Yes,EA,,,ISO 9241-307 Class I,Yes,Yes,,,,,In-plane Switching (IPS) Technology,USB 2.0,,,,,,,,,,,,,,,,
Samsung S23C200B 23 LED LCD Monitor 169 5 ms by Office Depot,Samsung,"1,000:1",,,ENERGY STAR; EPEAT Gold; TCO,,,,894917,Samsung,QV9023,1920 x 1080,S23C200B,,,,,,,,,,3-year limited,16:9,LED,250 Nit,,,,,1.0,,,S23C200B Widescreen LCD Monitor,LCD Monitor,"23""",Yes,100 x 100,Yes,,,0%,,0%,,,Black,,,Yes,,Wall Mountable,5 ms,Full HD,,,160°,170°,,,Eco Saving; MagicBright 3; MagicAngle; Off Timer,,,,,,,,,No,Mexico,,200,1.0,No,"FCC Part 15, Subpart B class A; CE EN55022, EN55024; VCCI V-3 (CISPR22); KCC: KN22, KN24; C-Tick: AS/NZS3548 (CISPR22); CCC: GB 9254-2008, GB 17625.1-2003, GB 4943-2001; UL : UL 60950-1; CSA: CSA C22.2 No. 60950-1; TUV: EN60950-1; NEMKO: EN60950-1; KC: K60950-1; PSB: IEC60950-1; GOST: IEC60950-1, EN55022; SIQ: IEC60950-1, EN55022; PCBC: IEC60590-1, EN55022; NOM: NOM-019-SCFI-1993; IRAM:IEC60950-1; SASO: IEC60950-1",,,,,,,,,,,,,,,,,,,,,,,,
Planar PLL1920M 19 Edge LED LCD Monitor 54 5 ms by Office Depot,Planar,"1,000:1",,,,,,,172446,"Planar Systems, Inc",CB9906,1280 x 1024,PLL1920M,,,,,,,,,,3-year limited,5:4,Edge LED,300 Nit,"2.8""",,"14.2""",110 V AC; 220 V AC,1.0,PC; Mac,,PLL1920M LCD Monitor,LCD Monitor,"19""",Yes,100 x 100,Yes,7.50 lb,"16""",,,,,Speaker,Black,16.7 Million Colors,"7.89""",,"16.98""",,5 ms,SXGA,Yes,75 Hz,160°,170°,10.08 lb,"16.01""",Security Lock,,45 W,1 W,,,Yes,,,,,,PL,,,FCC-B; cUL; UL; CE,,,,2.0,,Anti-glare,,,,,,,,,,,,,,,,Yes,,
Acer V226HQL 215 LED LCD Monitor 169 8 ms by Office Depot,Acer,"100,000,000:1",,,TCO '06; ENERGY STAR,,,,377372,"Acer, Inc",QX6153,1920 x 1080,V226HQL,,,,,,,,,,,16:9,LED,250 Nit,"8.1""",,"15.4""",110 V AC; 220 V AC,1.0,,,V226HQL Widescreen LCD Monitor,LCD Monitor,"21.5""",,,Yes,7.14 lb,"20""",,,,,,Black,16.7 Million Colors,,Yes,,,8 ms,Full HD,,60 Hz,178°,178°,8.06 lb,,,250 mW,19.50 W,350 mW,,,Yes,No,No,,,,V,,,,Yes,,,,,Anti-glare,Vertical Alignment (VA),,,,,,,,,,,,,,,,,
HP L5006tm Touch Screen Monitor by Office Depot,HP,400:1,,,,,,,158740,Hewlett-Packard,1138487,1024 x 768,L5006tm,,,,,,,,,,3-year limited,,,230 Nit,"2.2""",,"11""",,,PC,,L5006tm Touch Screen Monitor,LCD Touchscreen Monitor,"15""",,,,10.60 lb,"13.8""",,,,Surface Acoustic Wave,,Carbonite,16.7 Million Colors (24-bit),"6.90""",,"12.20""",,17 ms,XGA,,75 Hz,,,,"13.80""",,,,,Yes,,,,,,,,,,,,,,,,,Anti-glare,,,,,,,,,,,,,,,,,,
HP Business Z22i 215 LED LCD Monitor 169 8 ms by Office Depot,HP,"1,000:1",,,TCO Certified Edge; ENERGY STAR; EPEAT Gold; REACH,,,,779069,Hewlett-Packard,RY4452,1920 x 1080,Z22i,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"2""",,"12.2""",110 V AC; 220 V AC,1.0,PC,Business,Z Display Z22i 21.5-inch IPS LED Backlit Monitor (ENERGY STAR),LCD Monitor,"21.5""",,,Yes,,"20.1""",,,,,USB Hub,Black,,"9.34""",Yes,"18.12""",,8 ms,Full HD,,,178°,178°,12.84 lb,"20.05""",Security Lock,,31 W,500 mW,,Yes,Yes,,,,,Yes,Performance,,,,Yes,,,,,Anti-glare,In-plane Switching (IPS) Technology,USB 2.0,,,,,,,,,,,,,,,,
DoubleSight Displays DS 2200WA 215 LCD Monitor 169 5 ms by Office Depot,DoubleSight Displays,"1,000:1",,,ENERGY STAR,,,,988553,"DoubleSight Displays, LLC",KE8226,1920 x 1080,DS-2200WA,,,,,,,,,,3-year limited,16:9,,250 Nit,"9.3""",,"18.5""",110 V AC; 220 V AC,2.0,,,DS-2200WA Widescreen LCD Monitor,LCD Monitor,"21.5""",Yes,75 x 75,,24 lb,"40""",,,,,,Piano Black,16.7 Million Colors,,Yes,,,5 ms,Full HD,Yes,75 Hz,160°,170°,,,,,50 W,2 W,,,Yes,Yes,Yes,,,,,,,UL,,,,2.0,,,,,,,,,,,,,,,,,,,,
AOC Professional e2260Swda 215 LED LCD Monitor 169 5 ms by Office Depot,AOC,"1,000:1",,,ENERGY STAR,,,,626338,AOC,PP5900,1920 x 1080,e2260Swda,,,,,,,,,,1-year limited,16:9,LED,250 Nit,"7.3""",,"14.7""",,1.0,PC,Professional,"LED Monitor - e2260Swda Professional 54.7cm (21.5"")",LCD Monitor,"21.5""",Yes,100 x 100,Yes,,"20.1""",,,,,Speaker,Black,16.7 Million Colors,,Yes,,Wall Mountable,5 ms,Full HD,Yes,,160°,170°,,,Security Lock,,,,,,Yes,No,No,,,No,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
Viewsonic VP2770 LED 27 LED LCD Monitor 12 ms by Office Depot,Viewsonic,"1,000:1",,,ENERGY STAR; RoHS; EPEAT Silver; WEEE; TCO '06; EPEAT Gold; ErP; REACH; China Energy Label (CEL); CECP,,,,695972,Viewsonic Corporation,PU9484,2560 x 1440,VP2770-LED,,,,,,,,,,,,LED,300 Nit,"2.2""",Landscape/Portrait,"15""",110 V AC; 220 V AC,1.0,PC; Mac,,VP2770-LED Widescreen LCD Monitor,LCD Monitor,"27""",Yes,100 x 100,Yes,12.79 lb,"25.3""",,,,,USB Hub,Black,1.07 Billion Colors,"13.69""",Yes,"18.49""",Wall Mountable,12 ms,WQHD,,75 Hz,178°,178°,18.59 lb,"25.30""",,,40 W,,,Yes,Yes,Yes,Yes,,,Yes,VP,,,CB; UL; cUL; FCC-B; TUV-S(ULAR); NOM; GS; CE; GOST-R+Hygienic; CCC,Yes,Yes,,,,Anti-glare,Super In-plane Switching (S-IPS) Technology,USB 3.0,,,,,,,,,,,,,,,,
Acer V236HL 23 LED LCD Monitor 169 5 ms by Office Depot,Acer,"100,000,000:1",,,TCO Certified Displays 6.0,,,,474562,"Acer, Inc",TC8982,1920 x 1080,V236HL,,,,,,,,,,,16:9,LED,250 Nit,"2""",,"12.8""",110 V AC; 220 V AC,1.0,,,V236HL Widescreen LCD Monitor,LCD Monitor,"23""",,,Yes,,"21.4""",,,,,,Black,16.7 Million Colors,"8.15""",Yes,"16.10""",,5 ms,Full HD,,60 Hz,160°,170°,,"21.42""",,,,,,,Yes,No,No,,,,V,,,,Yes,,,,,Anti-glare,Twisted Nematic Film (TN Film),,,,,,,,,,,,,,,,,
Viewsonic VG2039m LED 20 LED LCD Monitor 169 5 ms by Office Depot,Viewsonic,"1,000:1",,,RoHS; REACH; EPEAT Silver; ENERGY STAR,,,,794027,Viewsonic Corporation,RR5229,1600 x 900,VG2039m-LED,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"0.1""",,"0.4""",110 V AC; 220 V AC,1.0,PC; Mac,,"20"" (19.5"" Viewable) Ergonomic LED Monitor",LCD Monitor,"20""",Yes,100 x 100,Yes,5.80 lb,"0.7""",,,,,Speaker; USB Hub,,,"0.39""",Yes,"0.59""",Wall Mountable,5 ms,HD+,Yes,60 Hz,160°,170°,8.10 lb,"0.72""",MultiScreen; Security Lock; Eco Mode,,17 W,,,Yes,Yes,Yes,,,,Yes,,,,UL/cUL; FCC-B; SVHC list; ISO 9001; ISO 14001; TUV NORD,Yes,,,2.0,Yes,Anti-glare,,,,,,,,,,,,,,,,,,
Viewsonic CDP4635 T 46 LCD Touchscreen Monitor 169 8 ms by Office Depot,Viewsonic,"4,000:1",,,,,,,488396,Viewsonic Corporation,S8531984,1920 x 1080,CDP4635-T,,,,,,,,,,3-year limited,16:9,,400 Nit,"4.7""",,"25.4""",110 V AC; 220 V AC,,PC; Mac,,"CDP4635-T 46"" Full HD 1080p Commercial Display Intel OPS Ready Touch Display",LCD Touchscreen Monitor,"46""",Yes,400 x 400,Yes,57.30 lb,"43""",,,,Optical,Speaker,,,"13""",Yes,"26.80""",Wall Mountable,8 ms,Full HD,Yes,,178°,178°,58.10 lb,"43""",Tempered Glass; Video Wall,,220 W,,Yes,Yes,,,,,Taiwan,,,,,FCC; ICES003; UL; cUL; CE; CB; C-Tick; BSM; TUV NORD; ISO 9001; ISO14001,,Yes,Yes,,,Anti-glare,,,,,Yes,,,,,,,,,,Yes,Yes,Yes,
Elo 1000 Series 1515L Touch Screen Monitor by Office Depot,Elo,450:1,,,China RoHS,,,,665533,"Elo Touch Solutions, Inc",V21394,1024 x 768,1515L,,,,,,,,,,3-year limited,4:3,,230 Nit,,,,220 V AC,,Mac; Sun,,1000 Series 1515L Touch Screen Monitor,LCD Touchscreen Monitor,"15""",,,,10.60 lb,,,,,Surface Acoustic Wave,,Dark Gray,16.2 Million Colors,"6.90""",,"12.20""",Desk Mountable,21.50 ms,XGA,,75 Hz,,,,"13.80""",,,,,Yes,,,,,,,,1000,,,,,,,,,Anti-glare,,,,,,,,,,,,,,,,,,
Viewsonic VG2239M TAA 22 LED LCD Monitor by Office Depot,Viewsonic,"20,000,000:1",,,TCO; ENERGY STAR; EPEAT Gold,,,,610849,Viewsonic Corporation,PL0834,1920 x 1080,VG2239M-TAA,,,,,,,,,,3-year limited,,LED,,,,,,1.0,,,VG2239M-TAA Widescreen LCD Monitor,LCD Monitor,"22""",Yes,,Yes,14.80 lb,,,,,,USB Hub; Speaker,,,,Yes,,,,Full HD,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,,Mexico,,VG39m-TAA,,,TAA,,,,,,,,,,,,,,,,,,,,,,,,
Viewsonic VA2249S 215 LED LCD Monitor 169 5 ms by Office Depot,Viewsonic,"20,000,000:1",,,ENERGY STAR; China Energy Label (CEL); CECP; REACH; ErP; EPEAT Silver; WEEE; RoHS; TCO Certified Displays 6.0,,,,560494,Viewsonic Corporation,TQ8460,1920 x 1080,VA2249S,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"1.9""",,"12.5""",110 V AC; 220 V AC,1.0,PC; Mac,,High-Performance Monitor with SuperClear Technology,LCD Monitor,"21.5""",Yes,100 x 100,Yes,6.80 lb,"20.1""",,,,,,,,"7.50""",Yes,"14.40""",Wall Mountable,5 ms,Full HD,,75 Hz,178°,178°,8.10 lb,"20.10""",Eco Mode; Security Lock,,26 W,,,,Yes,,,,,,,,,CE; CB; BSMI; PSB; C-Tick; UL/cUL; FCC-B (including ICES003); Gost-R/Hygienic; UkrSepro; CCC; China Energy; TUV-S(ULAR); NOM; ISO9241-3,Yes,,,,,Anti-glare,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,5°to19°
Viewsonic VA2251m 22 CCFL LCD Monitor 169 5 ms by Office Depot,Viewsonic,"1,000:1",,,ENERGY STAR; EPEAT Silver; WEEE; RoHS,,,,793964,Viewsonic Corporation,PF9398,1920 x 1080,VA2251m,,,,,,,,,,3-year limited,16:9,CCFL,250 Nit,"2.4""",,"12.2""",110 V AC; 220 V AC,1.0,PC; Mac,,"22"" Full HD 1080p LED Monitor Great Value and Picture Perfect",LCD Monitor,"22""",Yes,100 x 100,Yes,7.05 lb,"20.1""",,,,,Speaker,Black,,"6.50""",Yes,"14.60""",Wall Mountable,5 ms,Full HD,Yes,75 Hz,160°,170°,7.72 lb,"20.10""",Security Lock,,26 W,,,,Yes,,,,Mexico,,,,,"UL/cUL; FCC-B,; Mexico Energy; NOM; ISO 9001; ISO 14001; CE; CB; TAA",Yes,,,2.0,,Anti-glare,,,,,,,,,,,,,,,,,,
Acer V176L 17 LED LCD Monitor 54 5 ms by Office Depot,Acer,"100,000,000:1",,,EPEAT Gold; TCO Certified Displays 6.0,,,,373024,"Acer, Inc",RX0027,1280 x 1024,V176L,,,,,,,,,,,5:4,LED,250 Nit,"2.2""",,"12.2""",110 V AC; 220 V AC,1.0,,,V176L LCD Monitor,LCD Monitor,"17""",,,Yes,4.85 lb,"14.5""",,,,,,Black,16.7 Million Colors,"7.52""",Yes,"15.53""",,5 ms,SXGA,,75 Hz,160°,170°,5.73 lb,"14.53""",,350 mW,13 W,450 mW,,,Yes,No,No,,,,V,,,,Yes,,,,,Anti-glare,Twisted Nematic Film (TN Film),,,,,,,,,,,,,,,,,
Viewsonic TD2220 22 LED LCD Touchscreen Monitor 5 ms by Office Depot,Viewsonic,"1,000:1",,,EPEAT Silver; ENERGY STAR; TCO Certified Displays 5.2; ErP; China Energy Label (CEL); WEEE; RoHS,,,,696017,Viewsonic Corporation,QC3953,1920 x 1080,TD2220,,,,,,,,,,3-year limited,,LED,200 Nit,"2.6""",,"12.2""",110 V AC; 220 V AC,,PC,,"22"" (21.5"" Viewable) Full HD 1080p Optical Touch Monitor",LCD Touchscreen Monitor,"22""",Yes,100 x 100,Yes,8.73 lb,"20.1""",,,,Optical,USB Hub,,,"9.45""",Yes,"14.37""",,5 ms,Full HD,,76 Hz,160°,170°,10.85 lb,"20.11""",,,43 W,,Yes,Yes,,,,,,,,,,TUV NORD; ISO 9001; ISO 14001; CE; CB; BSMI; PSB; SASO; C-Tick; e-Standby; KC; UL/cUL; FCC-B (including ICES003); UL CoC; Gost-R/Hygienic; UkrSepro; CCC; SVHC list,,,Yes,,,Anti-glare,,,,,,,,,,,,,,,,,,
Asus VS207D P 195 LED LCD Monitor 169 5 ms by Office Depot,Asus,"80,000,000:1",,,ENERGY STAR; WEEE; EPEAT Gold; ErP; TCO Certified Displays 6.0; RoHS,,,,417421,ASUS Computer International,QY7874,1600 x 900,VS207D-P,,,,,,,,,,3-year limited,16:9,LED,,"7.3""",,"14""",,1.0,PC,,VS207D-P Widescreen LCD Monitor,LCD Monitor,"19.5""",Yes,75 x 75,Yes,5.71 lb,"18.4""",,,,,,Black,16.7 Million Colors,,,,Wall Mountable,5 ms,HD+,,75 Hz,160°,170°,,,Splendid Video Intelligence Technology; Security Lock,500 mW,25 W,500 mW,,,Yes,,,,,,VS,,,FCC; GOST-R; BSMI; CB; CE; C-Tick; UL/cUL; VCCI; WHQL,,,,,,,,,,,,,,,,,,,,,,,,
Viewsonic TD2740 27 LED LCD Touchscreen Monitor 169 12 ms by Office Depot,Viewsonic,3000:1,,,,,,,667495,Viewsonic Corporation,RR5232,1920 x 1080,TD2740,,,,,,,,,,3-year limited,16:9,LED,260 Nit,,,,110 V AC; 220 V AC,,PC,,TD2740 Touchscreen LCD Monitor,LCD Touchscreen Monitor,"27""",Yes,100 x 100,Yes,,,,,,Projected Capacitive,USB Hub; Speaker; Webcam; Microphone,Glossy Black,,"2""",,"16.50""",,12 ms,Full HD,Yes,75 Hz,178°,178°,19.40 lb,"26.50""",Mobile High-Definition Link (MHL); Security Lock,,52 W,,Yes,Yes,Yes,,,,,Yes,,,,CE; CB; FCC-B w/ ICES003; US NRTL w/ CA; cULus\cTUVus; cETLus/cBVus; Mexico Energy; ISO9241-3:2008,,Yes,Yes,,Yes,Anti-scratch,,USB 2.0,,,,,,,,,,,,,,,,
Asus VE198TL 19 LED LCD Monitor 169 5 ms by Office Depot,Asus,"10,000,000:1",,,,,,,708148,ASUS Computer International,QV8895,1440 x 900,VE198TL,,,,,,,,,,3-year limited,16:9,LED,250 Nit,,,,,1.0,PC,,VE198TL Widescreen LCD Monitor,LCD Monitor,"19""",Yes,100 x 100,Yes,7.05 lb,,,,,,Speaker,Black,16.7 Million Colors,"7.17""",Yes,"14.41""",Wall Mountable,5 ms,WXGA+,Yes,75 Hz,160°,170°,,"17.52""",Security Lock; Splendid Video Intelligence Technology; Cable Management,1 W,25 W,1 W,,,Yes,Yes,,,,,,,,,Yes,,,2.0,,,,,,,,,,,,,,,,,,,,
Planar Helium PCT2785 27 Edge LED LCD Touchscreen Monitor 169 12 ms by Office Depot,Planar,"5,000:1",,,RoHS,,,,380782,"Planar Systems, Inc",PQ7368,1920 x 1080,PCT2785,,,,,,,,,,3-year limited,16:9,Edge LED,264 Nit,"2""",,"16.5""",110 V AC; 220 V AC,,PC,Helium,"Helium PCT2785 27"" Widescreen Multi-Touch Monitor",LCD Touchscreen Monitor,"27""",Yes,100 x 100,,,"26.5""",,,,Projected Capacitive,Speaker; Webcam; Microphone; USB Hub,Black,16.7 Million Colors,,,,,12 ms,Full HD,Yes,,178°,178°,19.40 lb,,,,,,Yes,Yes,Yes,,,,,Yes,,,,UL/cUL; FCC; CE; TUV,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,
Acer V206HQL 195 LED LCD Monitor 169 5 ms by Office Depot,Acer,"100,000,000:1",,,EPEAT Gold; MPR II,,,,630811,"Acer, Inc",TD0087,1600 x 900,V206HQL,,,,,,,,,,,16:9,LED,200 Nit,,,"10.9""",110 V AC; 220 V AC,1.0,,,V206HQL Widescreen LCD Monitor,LCD Monitor,"19.5""",,,Yes,,"18.2""",,,,,,Black,16.7 Million Colors,"7.52""",Yes,"14.26""",,5 ms,HD+,Yes,60 Hz,65°,90°,,"18.24""",,350 mW,16.20 W,450 mW,,,Yes,No,No,,,,V,,,,Yes,,,,,Anti-glare,Twisted Nematic Film (TN Film),,,,,,,,,,,,,,,,,
Samsung S19C200BR 19 LED LCD Monitor 54 5 ms by Office Depot,Samsung,"1,000:1",,,ENERGY STAR 6.0; TCO Certified Displays; EPEAT Gold; Eco-label; RoHS,,,,894746,Samsung,QV9011,1280 x 1024,S19C200BR,,,,,,,,,,3-year limited,5:4,LED,250 Nit,"3""",,"13.2""",110 V AC; 220 V AC,1.0,PC,,S19C200BR LCD Monitor,LCD Monitor,"19""",Yes,100 x 100,Yes,6.50 lb,"16""",,,,,,Matte Black,16.7 Million Colors,"6.69""",Yes,"16.50""",Wall Mountable,5 ms,SXGA,No,,160°,170°,7.17 lb,"16.02""",MagicBright 3; Off Timer; Eco Saving; MagicAngle; MagicTune; MultiScreen,,19 W,100 mW,,,Yes,,,,Mexico,No,,,,"UL: UL 60950-1; CSA: CSA C22.2 No. 60950-1; TUV: EN60950-1; NEMKO: EN60950-1; KC: K60950-1; CCC: GB 4943-2001; PSB: IEC60950-1; GOST: IEC60950-1, EN55022; SIQ: IEC60950-1, EN55022; PCBC: IEC60590-1, EN55022; NOM: NOM-019-SCFI-1993; IRAM:IEC60950-1; SASO: IEC60950-1EMC:; FCC: FCC Part 15, Subpart B class A; CE: EN55022, EN55024; VCCI: V-3 (CISPR22); KCC:KN22, KN24; C-Tick: AS/NZS3548 (CISPR22); CCC:GB 9254-2008, GB 17625.1-2003",,No,,,,,,,,,,,,,,,,,,,,,,
DoubleSight Displays DS 309W 30 CCFL LCD Monitor 1610 6 ms by Office Depot,DoubleSight Displays,"1,000:1",,,,,,,988499,"DoubleSight Displays, LLC",QQ1302,2560 x 1600,DS-309W,,,,,,,,,,3-year limited,16:10,CCFL,,"3.5""",,"18.5""",110 V AC; 220 V AC,1.0,,,DS-309W LCD Monitor,LCD Monitor,"30""",Yes,100 x 100,Yes,17 lb,"27""",,,,,Speaker,Black,1.07 Billion Colors,,Yes,,,6 ms,WQXGA,Yes,,178°,178°,21 lb,,Picture in Picture; Split Screen,,120 W,1.20 W,,,,,,,,Yes,,,,FCC,Yes,Yes,,2.0,,,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,
Viewsonic VA1938wa LED 19 LED LCD Monitor 169 5 ms by Office Depot,Viewsonic,"1,000:1",,,WEEE; RoHS; REACH; TCO Displays 5.0; EPEAT Silver,,,,866407,Viewsonic Corporation,LE1214,1366 x 768,VA1938wa-LED,,,,,,,,,,,16:9,LED,250 Nit,,,,110 V AC; 220 V AC,1.0,PC; Mac,,VA1938wa-LED Widescreen LCD Monitor,LCD Monitor,"19""",Yes,100 x 100,Yes,,,,,,,,Black,16.7 Million Colors,"7.08""",,"13.42""",Wall Mountable,5 ms,WXGA,,75 Hz,160°,170°,6.28 lb,"17.34""",,,22 W,1 W,,,,,,,,,,,,CB; SVHC; EuP; CE; Nemko ERGO; GOST-R+Hygienic; UkrSepro; BSMI; PSB; C-Tick; SASO,,,,,,Anti-glare,,,,,,,,,,,,,,,,,,
Lenovo ThinkVision LT2223p 215 LED LCD Monitor 169 by Office Depot,Lenovo,,,,ENERGY STAR 6.0; EPEAT Gold; TCO Certified Displays 6.0; TCO Certified Edge Displays 1.1; ULE Gold; EU RoHS; China Energy Label (CEL); IT Eco Declaration; REACH; EuP; China RoHS; EU WEEE; CECP; MPR II,,,,196490,Lenovo Group Limited,RG0547,1920 x 1080,LT2223p,,,,,,,,,,3-year limited,16:9,LED,,"2.2""",,,110 V AC; 220 V AC,1.0,PC,ThinkVision,ThinkVision LT2223p 21.5-inch FHD LED Backlit LCD (1920 X 1080) Monitor,LCD Monitor,"21.5""",Yes,,Yes,10.94 lb,"20.2""",,,,,USB Hub,Business Black,16.7 Million Colors,"8.60""",,"14.29""",,,Full HD,,60 Hz,,,,"20.18""",,500 mW,8 W,500 mW,,Yes,Yes,Yes,Yes,,,Yes,,,,TUV Green Mark; ISO 9241-307; e-Standby; CSC; GHG Saftey:; BELLIS; CCC; CE; cULus+ICES; KC; GOST; IEC950 CB Report; JEITA; KEBS; KONCAR; KVALITET; NEMKO; NOM; OTAN; PSB; SASO; SONCAP; TUV bauart; TUV-S EMI:; BSMI; CE DoC; FCC B DoC; IC; SABS; VCCI,,Yes,,,,,,USB 2.0,,,,,,,,,,,,,,,,
Asus VK278Q 27 LED LCD Monitor 169 2 ms by Office Depot,Asus,"10,000,000:1",,,ENERGY STAR; RoHS; WEEE,,,,415669,ASUS Computer International,DL7134,1920 x 1080,VK278Q,,,,,,,,,,,16:9,LED,300 Nit,"8.7""",,"18.1""",,1.0,PC,,VK278Q Widescreen LCD Monitor,LCD Monitor,"27""",Yes,100 x 100,Yes,14.33 lb,"25.3""",,,,,Webcam; Speaker,Black,16.7 Million Colors,,Yes,,Wall Mountable,2 ms,Full HD,Yes,85 Hz,160°,170°,,,,,45 W,2 W,,,Yes,,,,,,VK,,,UL/cUL; CB; CE; EuP; FCC; CCC; BSMI; GOST-R; C-Tick; VCCI; PSB; EK; J-MOSS; Taiwan Green Mark; Vista WHQL,,Yes,,2.0,,,,,,,,,,,,,,,,,,,,
Acer V196WL 19 LED LCD Monitor 1610 5 ms by Office Depot,Acer,"100,000,000:1",,,TCO '06; EPEAT Gold,,,,630640,"Acer, Inc",RA7827,1440 x 900,V196WL,,,,,,,,,,,16:10,LED,250 Nit,"7.5""",,"14.9""",110 V AC; 220 V AC,1.0,,,V196WL Widescreen LCD Monitor,LCD Monitor,"19""",,,Yes,5.95 lb,"17.3""",,,,,,Black,16.7 Million Colors,,,,,5 ms,WXGA+,,60 Hz,160°,170°,6.83 lb,,,350 mW,13 W,450 mW,,,Yes,No,No,,,,V,,,,,,,,,Anti-glare,Twisted Nematic Film (TN Film),,,,,,,,,,,,,,,,,
HP x2401 24 LED LCD Monitor 169 12 ms by Office Depot,HP,"5,000:1",,,ENERGY STAR; EPEAT Silver,,,,415621,Hewlett-Packard,3439673,1920 x 1080,x2401,,,,,,,,,,,16:9,LED,250 Nit,"5.2""",,"16.9""",,1.0,,,x2401 24-Inch LED Backlit Monitor,LCD Monitor,"24""",Yes,,,10.14 lb,"22.3""",,,,,,Piano Black,,,,,,12 ms,Full HD,,60 Hz,178°,178°,,,Ultra Slim,,28 W,500 mW,,,Yes,,,,,Yes,,,,ICP-AES,Yes,Yes,,,,Anti-glare,MVA technology,,,,,,,,,,,,,,,,,
Night Owl NO 8LCD 8 LCD Monitor by Office Depot,Night Owl,,,,,,,,817222,"Night Owl, LLC",DQ3558,800 x 600,NO-8LCD,,,,,,,,,,1-year limited,,,,"1.4""",,"6.7""",,1.0,,,NO-8LCD CCTV LCD Monitor,LCD Monitor,"8""",,,,2.50 lb,"7.9""",,,,,,,,,,,Wall Mountable,,SVGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,
