<page title>,ac power in,altezza,altezza con supporto,altoparlante cuffia spinotto di uscita,altoparlanti incorporati,angolo di visualizzazione orizzontale,angolo di visualizzazione verticale,blocco cavo,cavi inclusi,certificazione,certificazione energy star,classe efficienza energetica,colore del prodotto,colori del display,compatibile con montaggio vesa,compatibilità 3d,connessione cuffia,consumi,consumi modalità spento,consumi modalità standby,dimensione visibile diagonale,dimensione visibile orizzontale,dimensione visibile verticale,dimensioni schermo,dot pitch,dot rate video,formato,fotocamera integrata,frequenza di ingresso,frequenza scansione orizzontale,frequenza scansione verticale,girevole,hdcp,inclinazione,inclinazione regolabile,interruttore integrato,larghezza,larghezza con supporto,lettore di schede integrato,luminosità schermo,mobile highdefinition link mhl,modalità video supportate,montabile a parete,numero di altoparlanti,peso,peso incluso imballo,plug play,porta dvi,potenza in uscita rms,profondità,profondità con supporto,quantità porte hdmi,quantità porte usb 20,quantità porte usb 30,quantità porte vga dsub,rapporto di contrasto,rapporto di contrasto dinamico,regolazione altezza,risoluzione,risoluzioni grafiche supportate,rotazione,sintonizzatore tv integrato,source datasheet,subwoofer incorporato,tecnologia display,tempo di risposta,thin client installato,tipologia di retroilluminazione,tipologia display,tipologia hd,uscita audio,voltaggio di ingresso,bluetooth,collegamento ethernet lan,connessione wlan,dcin jack,full hd,microfono incorporato,microfono spinotto dingresso,retroilluminazione a led,tipi schede di memoria,conformità epeat,on screen display osd,quantità porte dvid,altezza imballo,angolo di rotazione,area di visualizzazione effettiva,compatibilità elettromagnetica,guida rapida,indicatore led alimentazione,ingresso audio,intervallo temperatura di funzionamento,larghezza imballo,led standby,manuale dellutente,peso prodotto con supporto,pivot angle,profondità imballo,range di umidità di funzionamento,intervallo di scansione verticale,numero di lingue osd,range di scansione orizzontale,display surface,quantità displayports,colore piedi,guida utente su cdrom,sicurezza,colori display,dimensioni lxpxa con base,tipo di display,tipologia touch screen,alimentazione,altoparlanti,angolo di inclinazione,angolo di visione orizzontale,angolo di visione verticale,caratteristiche,certificato energy star,colore,connettori di ingresso,consumo energetico in standby,descrizione prodotto,dettagli dimensioni e peso,dimensioni lxpxh,interfacce,interfaccia di montaggio schermo piatto,luminosità,lunghezza diagonale,pixel pitch,potenza assorbita in esercizio,potenza di uscita canale,rapporto daspetto,regolazione posizione display,risoluzione nativa,standard ambientali,standard di conformità,supporto colore,tecnologia retroilluminazione,tipo,tipo di dispositivo,tipo di schermo,tipo schermo,indicatori led,mtbf,compatibilità sistema operativo mac,ingresso audio per pc,schermo srgb,sistema operativo windows supportato,lingue osd,controllo del volume,funzione risparmio,lunghezza cavo,numero di prodotti inclusi,pictureinpicture,posizionamento supportato,intervallo di temperatura,consumo energetico annuo,protezione per i bambini,consumo energetico max,quantità porte thunderbolt,composite sync,sync hv separato,syncongreen sog,dimensioni lxpxa,number of simultaneous touchpoints windows 7,tipo alimentazione,cavo alimentazione incluso,quantità,consumi modalità risparmio energetico,hdmi,risoluzione massima,regolazioni formato schermo,tecnologia touchscreen,comandi regolazioni,copertura schermo,tensione richiesta,velocità refresh orizzontale,velocità refresh verticale,adattatore acdc,caratteristiche sicurezza,porta rs232,tipo di prodotto,umidità,sistema operativo linux supportato,telecomando,interfaccia comune,conforme agli standard,megapixel,dimensioni imballo lxpxa,webcam girevole,common interface plus ci,porta usb
Samsung 24 S24C750P MONITOR LED,,"33,2 cm","46,35 cm",,,178°,178°,,HDMI,,Si,Non specificato,"Nero, Metallico, Argento","16,77M",No,No,,23W,"0,3W","0,3W",,,,"60,96 cm (24"")",,,16:9,No,50/60 Hz,,,,,,Si,Si,"55,58 cm","55,58 cm",,250 cd/m²,,,No,,"3,15 kg","6,8 kg",,No,,"3,21 cm",20 cm,2.0,,,1.0,3000:1,Contrasto Mega,,1920 x 1080 Pixels,,Si,No,,No,,5 ms,No,,LED,Full HD,Si,100 - 240V,,,,Si,,,,,,,Si,,"40,9 cm",,,,Si,Si,,,"65,3 cm",Si,,"4,95 kg",,16 cm,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,"Windows 8, Si",,,Si,,,No,Orizzontale/Verticale,,,,,,,,,,,,,1.0,,Si,1920 x 1080 Pixels,,,,,,,,Si,,,,,,,,,,,,,
Acer 29 B296CLbmiidprz,Si,,,,Si,178 °,178 °,,"DisplayPort, DVI, USB",,,Non specificato,Nero,16.77 M,100 x 100 mm,N,,,,,,,,"736.6 mm (29 "") 73.7 cm",,,21:9,N,,,,,,,Si,,,,,300 cd/m²,,,Si,,,,,Si,,,,1.0,,,,,100000000:1,Si,2560 x 1080 Pixels,2560 x 1080,,N,.,,IPS,8 ms,N,,LCD,Full HD,,110 - 220 V,,,,,,,,,,,,,,,,,,Si,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus LED 19.5 VS207T-P MONITOR LED,Si,"35,55 cm",,1,Si,170°,160°,Kensington,"AC, Audio (3.5mm), DVI, VGA",,Si,Non specificato,Nero,"16,77M",75 x 75 mm,No,3.5 mm,25W,"0,5W",,,,,"49,53 cm (19.5"") 49,5 cm","0,2768 x 0,2768 mm",,16:9,No,,55 - 75 kHz,30 - 80 Hz,,Si,-5 - 20°,Si,,"46,8 cm",,,250 cd/m²,,,Si,2.0,"2,59 kg","3,99 kg",,Si,2W,"18,5 cm",,,,,1.0,,80000000:1,,1600 x 900 Pixels,1600 x 900,,No,,,,5 ms,No,,LED,,,,,,,,,,,,,,,1.0,"28,75 cm",,,,Si,Si,,,"46,8 cm",Si,,,,"4,5 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5W",,,,,,,,,,,,,,,,,,,,,,,
Asus LED 22 VW22ATL MONITOR LED,,340.79 mm,364.33 mm,,Si,170 °,160 °,Kensington,"AC, DVI, VGA","BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, J-MOSS, RoHS, TCO5.2, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WEEE, WHQL (Windows 7)",Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,3.5 mm,33 W,,0.3 W,,,,"558.8 mm (22 "") 55.9 cm",,,,N,50/60 Hz,,,,Si,-5 - 15 °,,,513.95 mm,513.95 mm,,250 cd/m²,,,Si,2.0,6 kg,,,,2 W,63.34 mm,213.93 mm,,,,1.0,,5000000:1,Si,1680 x 1050 Pixels,1680 x 1050 (WSXGA+),Si,N,.,,TN+Film,5 ms,N,W-LED,LED,HD-ready,,100 - 240 V,,,,,,,,,,,,1.0,412 mm,,,,Si,,,,640 mm,,,,,212 mm,,56 - 76 Hz,,31 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,
IIyama 22 PL T2234MC Touch MONITOR LED,,"35,17 cm",,,,178°,178°,,"AC, DVI, USB, VGA","CE, TÜV-Bauart, VCCI, IP54",,,Nero,"16,77M",100 x 100 mm,,,40W,,,,,,"54,61 cm (21.5"")","0,247 x 0,247 mm",,16:9,,50/60 Hz,,,,,-5 - 90°,,,"51,75 cm",,,225 cd/m²,,,Si,,"7,2 kg",,Si,,,"21,9 cm",,,1.0,,1.0,1000:1,,,1920 x 1080 Pixels,,,,,,,8 ms,,,IPS,,,100 - 240V,,,,,Si,,,Si,,,,1.0,,,"268,1 x 476,6 mm",,,,,,,,,,,,,56 - 75 Hz,8.0,31.5 - 82.3 kHz,,,,,,,,LED,Multi utente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,Si,,,10.0,,,,,,,,Capacitivo,,,,,,,,,,,,,,,,,,,
ASUS LED 24 ML249HR ESPOSIZIONE,,,"43,1 cm",,No,178°,178°,Kensington,,,Si,Non specificato,Nero,"16,77M",No,No,3.5 mm,39W,"0,5W","0,5W",,,,"60,96 cm (24"")","0,2768 x 0,2768 mm",,16:9,No,,30 - 83 kHz,50 - 76 Hz,,Si,-5 - 20°,Si,,,"57,2 cm",,250 cd/m²,,,No,,,"6,5g",,No,,,"22,1 cm",1.0,,,1.0,5000:1,50000000:1,No,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,No,,,,5 ms,No,,LED,Full HD,,,No,No,No,,,,,,,,,,"48,3 cm",,,,,,,,65 cm,,,"4,2g",,"17,1 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5W",,,,,,,,,,,,,,,,,,,,,,,
Asus LED 21 MONITOR LED,Si,386.3 mm,,,N,90 °,65 °,Si,"AC, VGA","BSMI, CB, CCC, CE, C-Tick, EK, ErP, FCC, Gost-R, J-MOSS, PSB, PSE, RoHS, UL/cUL, VCCI, WEEE, WHQL (Windows 8, Windows 7)",Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,,21.1 W,0.5 W,0.5 W,,,,"54.6 cm 546.1 mm (21.5 "")",0.248 x 0.248 mm,,16:9,N,,,,N,N,-5 - 20 °,Si,Si,514.1 mm,,,200 cd/m²,,,Si,,3.8 kg,5.9 kg,Si,N,,200 mm,,,,,1.0,,50000000:1,N,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,N,.,,,5 ms,N,,LED,Full HD,N,,N,N,N,,,,,,,Oro,,,443 mm,,,,Si,,Si,,556 mm,,,,,130 mm,,55 - 75 Hz,,30 - 80 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8",,,,,,,,,,,,,,,,,,,,1.0,,,,"4:3, 16:9",,,,,,,,,,,,,,,,,,,,
AOC LED 21.5 i2272PWHUT/BK Touch MONITOR LED,Si,355 mm,,1,Si,178 °,178 °,Kensington,"AC, Audio (3.5mm), HDMI, USB, VGA",,,Non specificato,Nero,16.77 M,75 x 75 mm,N,3.5 mm,45 W,0.5 W,5 W,546 mm,476.64 mm,268.11 mm,"546.1 mm (21.5 "") 54.6 cm",0.24825 x 0.24825 mm,170 MHz,16:9,Si,50/60 Hz,30 - 83 kHz,50 - 76 Hz,N,Si,15 - 57 °,Si,Si,561.9 mm,,,250 cd/m²,Si,1080p,Si,2.0,5.03 kg,6.46 kg,Si,N,4 W,47.1 mm,,2.0,2.0,3.0,1.0,1000:1,50000000:1,N,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,Si,.,N,IPS,5 ms,N,W-LED,LED,Full HD,Si,110 - 240 V,,,,,,,,,,,Si,,422 mm,,,,,,,,630 mm,,,,,149 mm,,,16.0,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIyama 22 PL B2283HS-B1 MONITOR LED,Si,,"50,15 cm",Si,Si,170°,160°,Kensington,"AC, Audio (3.5mm), DVI, VGA","TCO, CE, TUV-GS, VCCI-B, CU",Si,Non specificato,Nero,"16,77M",100 x 100 mm,No,,21W,,"0,5W",,"47,66 cm","26,81 cm","54,61 cm (21.5"")","0,248 x 0,248 mm",,16:9,No,50/60 Hz,,,Si,Si,,Si,,,"50,5 cm",,250 cd/m²,,,Si,2.0,,,Si,Si,2W,,23 cm,1.0,,,1.0,1000:1,5000000:1,13 cm,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,No,,No,TN,2 ms,No,,LED,Full HD,,100 - 240V,,,,,,,,,,,Si,1.0,,,,,Si,,,,,,,"4,8 kg",0 - 90°,,,55 - 75 Hz,11.0,30 - 80 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,"Windows 2000, Windows 7 Home Basic, Windows 8, Windows 95, Windows 98, Windows ME, Windows Vista Home Basic, Windows XP Home","CHI (TR), CZE, DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS",,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus LED 28 PB287Q 4k 1ms HDMI DP Pivot Sp 4K Game+ MONITO...,,"38,067 cm","41,4 cm",Si,Si,170°,160°,Kensington,,"Energy Star®, BSMI, CB, CCC, CE, CEL level 1, C-Tick, CU, ErP, FCC, ISO-9241-307, RoHS, TCO6.0, UL/cUL, VCCI, WEEE, WHQL (Windows 8, Windows 7)",Si,,Nero,"1073,7M",100 x 100 mm,,,60W,"0,5W",,,,,"71,12 cm (28"")",,,16:9,No,50/60 Hz,,,,Si,,,,"66,026 cm",66 cm,,300 cd/m²,,,Si,2.0,,10600g,,No,4W,"6,355 cm","22,006 cm",2.0,,,,,100000000:1,Si,3840 x 2160 Pixels,3840 x 2160,Si,No,,,,1 ms,No,,LED,4K Ultra HD,,100 - 240V,,,,,,,,,,,,,"46,5 cm",,,,,,,,"76,4 cm",,,,,"22,4 cm",,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG 34 34UM95-P 4k MONITOR LED,,"37,98 cm","46,89 cm",,Si,178°,178°,No,,"TCO6.0, EPA, CE, FCC-B, UL",,Non specificato,Argento,1070M,100 x 100 mm,No,,80W,"0,5W","1,2W",,,,"86,36 cm (34"")",,,21:9,No,,30 - 90 kHz,56 - 61 Hz,,Si,5 - 15°,Si,Si,"82,99 cm","82,99 cm",,320 cd/m²,,,Si,2.0,"6,7 kg",,Si,No,14W,"8,29 cm","17,29 cm",2.0,2.0,2.0,,,,No,3440 x 1440 Pixels,3440 x 1440,,No,,,IPS,5 ms,No,,LED,Wide Quad HD,,,,,,,,,,,,,,,"51,3 cm",,,,,,,,"90,4 cm",,,"7,7 kg",,"17,7 cm",,,,,Matt,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64",,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,
Asus LED 23 VX239H-W IPS MONITOR LED,Si,"38,98 cm",,1,Si,178°,178°,Kensington,"AC, VGA",,Si,Non specificato,Bianco,"16,77M",,No,3.5 mm,22W,"0,5W",,,,,"58,4 cm 58,42 cm (23"")","0,2652 x 0,2652 mm",,16:9,No,50/60 Hz,30 - 80 kHz,56 - 76 Hz,,Si,-5 - 20°,Si,,"53,29 cm",,,250 cd/m²,Si,,,2.0,"3,8 kg","5,7 kg",,No,2W,"21,01 cm",,2.0,,,1.0,,80000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,No,,,IPS,5 ms,No,,LED,Full HD,,100 - 240V,,,,,,,,,,,,,"49,3 cm",,,,,,,,60 cm,,,,,"12,5 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5W",,,,,,,,,,,,,,,,,,,,,,,
Asus LED 15.6 Asus MB168B+ MONITOR LED,,"23,6 cm",,,No,140°,120°,,USB,,,Non specificato,Nero,,No,No,,5W,,,,,,"39,62 cm (15.6"") 39,6 cm","0,179 x 0,179 mm",,16:9,No,,,,,,,,,"37,9 cm",,,250 cd/m²,,,No,,800g,2 kg,,No,,8 mm,,,,1.0,,600:1,,No,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,No,,,TN,11 ms,No,W-LED,LED,Full HD,,,,,,,,,,,,,,,"29,7 cm",,,,Si,,,,"43,5 cm",,,,,"5,7 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer LED 28 B286HLymjpr 16:9 6ms VGA DVI HDMI DP Sp MONITOR LED,Si,"38,2 cm","40,9 cm",,Si,178°,178°,,"AC, DisplayPort, VGA",,,,Nero,"16,77M",,No,,29W,"0,37W","0,49W",,,,"71,12 cm (28"") 71,1 cm",,,16:9,No,,,,,Si,,Si,,"65,9 cm","65,9 cm",,300 cd/m²,,,,,5 kg,,,No,,"6,5 cm","24,7 cm",1.0,,,1.0,,100000000:1,Si,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,No,,,,6 ms,No,,LCD,Full HD,,110 - 220V,,,,,,,,,,Oro,,,,,,,,,,,,,,"7,8 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACER LED 24 B246HLwmdr Wide MONITOR LED,,335.9 mm,535.5 mm,,Si,170 °,160 °,,,,,Non specificato,Bianco,16.77 M,100 x 100 mm,,,20.9 W,0.35 W,0.45 W,,,,"61 cm 609.6 mm (24 "")",,,16:9,N,,,,,Si,,,,567 mm,567 mm,,250 cd/m²,,,Si,,3.44 kg,,,Si,,52 mm,221.2 mm,,,,1.0,,100000000:1,Si,1920 x 1080 Pixels,,Si,N,.,,,5 ms,N,,LCD,Full HD,,110 - 220 V,,,,,,,,,,Oro,,,,,,,,,,,,,,6.09 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung 21.5 S22D390Q LED MONITOR LED,,"32,33 cm","38,94 cm",1,No,178°,178°,No,VGA,,,C,Nero,"16,77M",No,No,,33W,,"0,3W",,,,"54,61 cm (21.5"")",,,16:9,No,50/60 Hz,,,,,-1 - 20°,Si,,"51,42 cm","51,42 cm",,250 cd/m²,,,No,,"3,15 kg","4,7 kg",,No,,"8,17 cm","20,9 cm",1.0,,,1.0,1000:1,Contrasto Mega,No,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,No,,,PLS,5 ms,No,,LED,Full HD,,100 - 240V,No,No,No,,,,,,,,,,"38,6 cm",,,,Si,,No,,"57,7 cm",,Si,"3,4 kg",,"13,2 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,Si,,,,,,,,,48 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG LED 19 19MB35PM-B IPS,,"33,9 cm",48 cm,1,Si,178°,178°,No,AC,,,Non specificato,Nero,"16,77M",75 x 75 mm,No,3.5 mm,18W,"0,3W","0,3W",,,,"48,26 cm (19"")","0,294 x 0,294 mm",,5:4,No,50/60 Hz,,,Si,Si,-5 - 20°,Si,Si,"40,9 cm","40,9 cm",,250 cd/m²,,,Si,2.0,"2,27 kg",,Si,No,2W,"5,84 cm","21,08 cm",,,,1.0,1000:1,5000000:1,Si,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,No,,,IPS,5 ms,No,,LED,Full HD,,100 - 240V,,,,Si,,,,,,Oro,Si,1.0,,0 - 90°,,,,Si,,,,Si,,"3,18 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,Si,,,,,,,,,,,15W,,,,,,,,,,,,,,,,,,,,,,,
IIyama LED 19 PL B1980SD 5ms.DVI MONITOR LED,,556.5 mm,,,Si,170 °,160 °,,"AC, Audio (3.5mm), DVI, VGA","CE, TÜV-GS, VCCI-B, TCO, CU",Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,,16 W,,1 W,,376.32 mm,301.05 mm,"482.6 mm (19 "")",0.294 x 0.294 mm,,5:4,,50/60 Hz,,,Si,Si,-5 - 22 °,Si,,411 mm,,N,250 cd/m²,,,Si,2.0,5.1 kg,,,,2 W,189 mm,,,,,1.0,1000:1,5000000:1,130 mm,1280 x 1024 Pixels,1280 x 1024 (SXGA),Si,,.,N,TN+Film,5 ms,N,,LED,N,,100 - 240 V,N,N,N,,,,,,,,Si,1.0,,-160 - 160 °,,,Si,,,,,,Si,,0 - 90 °,,,56 - 75 Hz,9.0,24 - 80 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS",,,,,,Orizzontale,,,,,,,Si,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,
Asus LED 21.5 VE228TLB 5ms.VGA.DVI MONITOR LED,,,364.07 mm,1,Si,170 °,160 °,Kensington,,"Energy Star®, BSMI, CB, CE, CEL level 2, C-Tick, FCC, Gost-R, ISO-9241-307, TCO5.2, UL/cUL, VCCI, Hygenic",Si,,Nero,,100 x 100 mm,,,35 W,,0.5 W,,,,"546.1 mm (21.5 "")",,,16:9,N,,,,,Si,,,,,512.84 mm,,250 cd/m²,,,Si,2.0,,7 kg,,,2 W,,213.93 mm,,2.0,,1.0,,80000000:1,Si,1920 x 1080 Pixels,,,N,.,,,5 ms,,,LED,Full HD,,,,,,,,,,,,,,1.0,308.51 mm,,,,,,,,512.84 mm,,,4.8 kg,,54.90 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG LED 24 24EB23PM-W IPS MONITOR LED,Si,,395 mm,,Si,,,Kensington,"AC, Audio (3.5mm), VGA",RoHS,,Non specificato,Bianco,16.77 M,100 x 100 mm,N,,25 W,0.3 W,0.3 W,,516.94 mm,323.09 mm,"60.96 cm 609.6 mm (24 "")",0.269 x 0.269 mm,135 MHz,16:10,N,,30 - 83 kHz,56 - 75 Hz,Si,Si,-5 - 23 °,Si,Si,,558.4 mm,N,300 cd/m²,,1080p,Si,2.0,,,Si,Si,2 W,,239 mm,,,,1.0,1000:1,5000000:1,120 mm,1920 x 1200 Pixels,"1920 x 1080 (HD 1080), 1920 x 1200 (WUXGA)",Si,N,.,N,IPS,5 ms,N,,LED,Full HD,,,N,N,N,,,N,,,N,Oro,Si,1.0,,0 - 356 °,,,,,,,,,Si,5.4 kg,0 - 90 °,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,Si,,"CHI (TR), DEU, ENG, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, SWE, UKR",,,1.8 m,,,Orizzontale/Verticale,,,,,,Si,Si,Si,,,,,,,,,,,,,,,,,,,PC monitor,,,,,,,,,,
LG 24 24MB35PY-B IPS,,"34,3 cm","43,2 cm",,Si,178°,178°,No,"AC, DVI, USB, VGA",,,Non specificato,Nero,"16,77M",100 x 100 mm,No,,24W,"0,3W","0,3W",,,,"60,45 cm (23.8"")","0,275 x 0,275 mm",,16:9,No,50/60 Hz,,,,Si,-5 - 20°,Si,Si,"56,9 cm","56,9 cm",,250 cd/m²,,,Si,2.0,"4,72 kg",,Si,No,2W,"6,35 cm","27,17 cm",1.0,2.0,,1.0,1000:1,5000000:1,12 cm,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,No,,,IPS,5 ms,No,,LED,Full HD,,100 - 240V,,,,,,,,,,Oro,Si,1.0,,,,,,Si,,,,Si,,"5,08 kg",0 - 90°,,,,,,Matt,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,19W,,,,,,,,,,Si,,,,,,,,,,,,,
AOC 27 i2757Fm IPS MONITOR LED,,"44,9 cm",,,Si,178°,178°,No,"AC, HDMI, VGA","TÜV, ISO 9241-307, cCSAus, CE, FCC",Si,,,"16,77M",No,No,,,,,,"59,789 cm","33,631 cm","68,58 cm (27"") 68,6 cm","0,311 x 0,311 mm",,16:9,No,50/60 Hz,,,,No,,,,"62,2 cm",,,250 cd/m²,,,No,,,,,,,13 cm,,1.0,1.0,,1.0,1000:1,20000000:1,No,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,No,,,IPS,5 ms,No,,LED,Full HD,,100 - 240V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC 21.5 I2269VW MONITOR LED,Si,298 mm,,,N,178 °,178 °,Kensington,"AC, VGA",,Si,,"Nero, Argento",16.77 M,75 x 75 mm,N,,23 W,,0.5 W,,,,"546.1 mm (21.5 "")",0.248 x 0.248 mm,,16:9,N,50/60 Hz,,,,Si,-5 - 15 °,Si,,498.3 mm,,,250 cd/m²,,,Si,,4.65 kg,,,Si,,73.7 mm,,,,,1.0,1000:1,50000000:1,N,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,IPS,6 ms,N,,LED,Full HD,,90 - 240 V,,,,,,,,,,,,1.0,452 mm,,,,,,,,574 mm,,Si,,,142 mm,,50 - 76 Hz,,30 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer 24 V246HLbmd,,422.2 mm,,,Si,170 °,160 °,,"AC, VGA",TCO,Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,,20.9 W,3.5 W,4.5 W,,,,"609.6 mm (24 "") 61 cm",,,16:9,N,,,,,Si,,,,567 mm,,,250 cd/m²,,,Si,2.0,3.5 kg,,,Si,4 W,206.8 mm,,,,,1.0,,100000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,,5 ms,N,,LED,Full HD,,110 - 220 V,,,,,,,,,,Oro,,,,,,,,Si,,,,Si,,3.9 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS LED 24 PA248QJ IPS CAD MONITOR LED,,362.8 mm,416.3 mm,1,N,178 °,178 °,Kensington,,"BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, ISO-9241-307, J-MOSS, Mac, PSB, RoHS, TCO5.2, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WHQL",Si,Non specificato,Nero,16.77 M,100 x 100 mm,,,45 W,,,,,,"61.13 cm 612.1 mm (24.1 "")",0.270 x 0.270 mm,,16:10,N,50/60 Hz,30 - 83 kHz,50 - 76 Hz,Si,Si,-5 - 20 °,Si,,557.2 mm,557.2 mm,,300 cd/m²,,,Si,,,,,,,62 mm,235 mm,1.0,5.0,,1.0,,80000000:1,Si,1920 x 1200 Pixels,1920 x 1200 (WUXGA),Si,N,.,,IPS,6 ms,N,,,Full HD,,100 - 240 V,,,,,,,,,,,Si,1.0,,,,,,,,,,,,6.4 kg,,,,50 - 76 Hz,,30 - 83 kHz,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,1 W,,,,,,,,,,,,,,,,,,,,,,,
