<page title>,brightness,colour,compliant standards,device type,dimensions wxdxh,product description,weight,aspect ratio,colour support,contrast ratio,display position adjustments,environmental standards,input connectors,manufacturer warranty,native resolution,panel type,pixel pitch,response time,builtin devices,localisation,screen coating,speakers,microsoft certification,height rack units,kvm switch,designed for,manufacturer selling program,bundled with,3d capable,energy class,energy consumption per year,diagonal size,diagonal size cm,display format,features,hdcp compatible,hdmi ports qty,image aspect ratio,lcd backlight technology,pc interface,power,power consumption operational,product type,remote control,resolution,speaker system,targeting,technology,tv tuner,video interface,video wall components qty,character resolution,digital tv tuner,usb port
"OHC24 Shop : Monitor > Monitor search help > AOC E960PRDAS 48 > 1CM/19IN WLED 48.3 cm (19 "")/ 1.280 x",250 cd/m2,,"TUV GS, GOST, FCC, RoHS, ISO 9241-307, TCO '06, EuP, NRTL","LED-backlit LCD monitor - 19""",40.92 cm x 21 cm x 43.22 cm,"AOC Professional e960Prdas - LED monitor - 19""",4.77 kg,5:4,16.7 million colours,1000:1 / 20000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1280 x 1024 at 75 Hz,,0.294 mm,5 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > EIZO EV2736WFS 27IN IPS LED SCHWARZ 68.6 cm (27 "")/ 21386",300 cd/m2,Black,"FCC Class B certified, TUV GS, C-Tick, DVI DMPM, CB, ICES-003 Class B, CCC, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, WEEE, GOST-R, TCO Displays 6.0, VCCI Class B","LED-backlit LCD monitor - 27""",64 cm x 24.55 cm x 39.95 cm - with stand,"EIZO FlexScan EV2736WFS-BK - LED monitor - 27""",10 kg,Widescreen - 16:9,16.8 million colours,1000:1,"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, DisplayPort",5 years warranty,2560 x 1440,IPS,0.2331 mm,6 ms (grey-to-grey),USB Hub,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > APC - 2x1x16 Digital KVM with APC 17"" Rack LCD Monitor Keyboard Mouse AP5606",,,,"KVM console - 17""",100 cm x 106 cm x 24 cm,"APC 2x1x16 Digital KVM with APC 17"" Rack LCD Monitor Keyboard Mouse - KVM console - 17"" - with 8 CAT5/IP KVM PS/2 Server Modules",19.4 kg,,,,,,VGA,2 years warranty,,,,,"Keyboard, touchpad",,,,,,PS/2 - 16 ports,,,8 CAT5/IP KVM PS/2 Server Modules,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Avocent ECS17KMM16-205,250 cd/m2,,"UL, TUV GS, VCCI, C-Tick, BSMI, GOST, NOM, CB, EMC, FCC, ULC, RoHS, UL-AR","KVM console - 17""",44.5 cm x 65.1 cm x 4.4 cm,"Avocent LCD Console and KVM over IP Switch Integrated Tray - KVM console - 17""",12.8 kg,,16.7 million colours,1000:1,,,VGA,,1280 x 1024 at 60 Hz,,,,"Keyboard, touchpad , 16 port KVM switch",Germany,,,,1U,USB - 16 ports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > BenQ GL2760H 68 > 58CM 27IN LED FULL HD HDMI 5MS 9H.LC8LA.RBE,300 cd/m2,Glossy black,,"LED-backlit LCD monitor - 27""",64.1 cm x 21.5 cm x 48.8 cm,"BenQ GL2760H - LED monitor - 27""",5.4 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 12000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"HDMI, DVI-D, VGA",,1920 x 1080,TN,0.311 mm,2 ms (gray-to-gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Touch Solutions 1919LM 18.5-inch LCD >  AccuTouch >  E120415,,White,"VCCI, NOM, IEC 60601-1-2, UL 60950, FCC, IEC 60950-1, CSA C22.2 No. 60950-1-03, EN 55011, ICES, S Mark, EN 60601-1, CSA C22.2 No. 60601-1, FCC CFR47 Part 18 B","LCD monitor - 18.5""",35 cm x 17.5 cm x 31 cm - with stand,"Elo TouchSystems 1919LM - LCD monitor - 18.5""",6.9 kg,Widescreen - 16:9,16.7 million colours,1000:1,Tilt,,"DVI-D, VGA",3 years warranty,1366 x 768 at 60 Hz,,,5 ms,Touch-screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > LG - 22MB35PU-B,250 cd/m2,Anthracite dark,"Plug and Play, CSA, UL, TUV GS, NEMKO, SEMKO, EN 61000-3-3, EN55024, EN55022 Class B, TUV Ergo, DDC/CI, ISO 9241-307, EN 61000-3-2:2006, TCO Displays 6.0, EN 60950-1:2006","LED-backlit LCD monitor - 21.5""",50.92 cm x 22.42 cm x 46.39 cm - with stand,"LG 22MB35PU-B - LED monitor - 21.5""",3.6 kg,Widescreen - 16:9,,1000:1 / 5000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1920 x 1080 at 60 Hz,TN,0.248 mm,5 ms (grey-to-grey),USB Hub,,"Anti-glare, 3H Hard Coating",Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - P2252HS-B1,225 cd/m2,Black,"DDC-2B, VESA DPMS, PSE Mark, TUV Bauart, VCCI Class B","LED-backlit LCD monitor - 22""",51.65 cm x 19.5 cm x 38.25 cm,"Iiyama ProLite P2252HS-B1 - LED monitor - 22""",4.5 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 5000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"HDMI, DVI-D, VGA",,FullHD 1920 x 1080,TN,0.248 mm,5 ms,,,8H Hard Coating,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Touch Solutions 1517L >  15-INCH LED >  ACCUTOUCH E247852,250 cd/m2,White,"UL, VCCI, C-Tick, BSMI, cUL, CB, CCC, FCC, RoHS, KCC, WEEE, E-Standby","LED-backlit LCD monitor - 15""",35.8 cm x 17.3 cm x 31.8 cm - with stand,"Elo 1517L - LED monitor - 15""",4.1 kg,4:3,16.2 million colours,700:1,,,VGA,3 years warranty,1024 x 768 at 75 Hz,,,25 ms,Touch-screen,Worldwide,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > AOC E2250SWDAK 54.6CM 21.5IN WLED 54.6 cm (21 > 5"")/",250 cd/m2,Glossy black,"Plug and Play, TUV GS, GOST, DDC-2B, CB, FCC, DDC/CI, RoHS, ISO 9024-307","LED-backlit LCD monitor - 21.5""",51.118 cm x 19 cm x 37.995 cm,"AOC e2250Swdak - LED monitor - 21.5""",4.06 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1920 x 1080 at 60 Hz,,0.248 mm,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > EIZO CX240 24"" LCD SCHWARZ 61 cm (24 "")/ 1.920 21373",300 cd/m2,Black,,"LED-backlit LCD monitor - 24.1""",,"EIZO ColorEdge CX240 - LED monitor - 24.1""",9.8 kg,Widescreen - 16:10,1.07 billion colours,1000:1,"Height, pivot (rotation), swivel, tilt",,"HDMI, DVI-I, DisplayPort",5 years warranty,1920 x 1200,IPS,0.27 mm,7.7 ms,USB Hub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Samsung Monitor 27"" S.master S27C450D LS27C45UDS/EN",300 cd/m2,Matte black,,"LED-backlit LCD monitor - 27""",63.9 cm x 22.4 cm x 53.28 cm - with stand,"Samsung S27C450D - LED monitor - 27""",6.2 kg,Widescreen - 16:9,16.7 million colours,1000:1,"Height, pivot (rotation), swivel, tilt",,"DVI-D, VGA, DisplayPort",3 years warranty,FullHD 1920 x 1080,TN,0.31125 mm,5 ms,USB Hub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Lenovo Monitor 30"" LT3053p TFT-LCD >  LED backlight >  60A4RAT1CH",350 cd/m2,Business black,"FCC Class B certified, VESA DPMS, VESA FPMPMI, RoHS, ISO 9241-307, TCO Certified Edge, China Energy Label Level 1, TUV GM, DDC-2B/CI, TCO Displays 6.0, UL Environmental SPC Gold","LED-backlit LCD monitor - 30""",69 cm x 24.15 cm x 47.11 cm - with stand,"Lenovo ThinkVision LT3053p - LED monitor - 30""",11.5 kg,Widescreen - 16:10,1.07 billion colours,1000:1 / 3000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt","ENERGY STAR Qualified , EPEAT Gold","HDMI, DVI-D, VGA, DisplayPort",3 years warranty,2560 x 1600 at 60 Hz,AH-IPS,0.2505 mm,6 ms (grey-to-grey),USB 3.0 hub,"Liechtenstein, Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Philips 239C4QHWAB/00 23"" LED IPS Miracast",250 cd/m2,Glossy black,"Plug and Play, FCC Class B certified, UL, TUV, BSMI, GOST, cUL, SASO, SEMKO, DDC/CI, RoHS, Lead-Free, ISO 9241-307, WEEE","LED-backlit LCD monitor - 23""",55 cm x 19.4 cm x 42.1 cm - with stand,"Philips Brilliance Blade 2 239C4QHWAB - LED monitor - 23""",4.15 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"HDMI, VGA",,FullHD 1920 x 1080 at 60 Hz,IPS,0.265 mm,5 ms (grey-to-grey),,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Samsung Monitor 21.5""S.master S22C450B LS22C45KBS/EN",250 cd/m2,Matte black,,"LED-backlit LCD monitor - 21.5""",50.43 cm x 21 cm x 42.53 cm - with stand,"Samsung S22C450B - LED monitor - 21.5""",4.5 kg,Widescreen - 16:9,16.7 million colours,1000:1,"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA",1 year warranty,FullHD 1920 x 1080,TN,0.24825 mm,5 ms,,,,,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Iiyama B2483HS-B1 61CM 24IN LED 61 cm (24"")/ 1.920 x",250 cd/m2,Black,"DDC-2B, VESA DPMS, PSE Mark, TCO Displays 6.0, VCCI Class B","LED-backlit LCD monitor - 24""",56.55 cm x 23 cm x 38.65 cm,"Iiyama ProLite B2483HS-1 - LED monitor - 24""",5.1 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 5000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"HDMI, DVI-D, VGA",,FullHD 1920 x 1080,TN,0.277 mm,2 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > NEC EA304WMI BLACK 76CM 29.8IN  29.8"" LCD monitor with 60003494",350 cd/m2,Black,"FCC Class B certified, MPR II, CSA, UL, TUV GS, cUL, DDC-2Bi, MPR III, VESA EDID, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, ERP, TCO Displays 6.0, TCO Certified Edge 1.2, EAC","LED-backlit LCD monitor - 30""",68.7 cm x 23 cm x 47.3 cm,"NEC MultiSync EA304WMi - LED monitor - 30""",11 kg,Widescreen - 16:10,1.07 billion colours,1000:1,"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"HDMI, DVI-D, VGA, DisplayPort",3 years warranty,2560 x 1600 at 60 Hz,AH-IPS,0.251 mm,6 ms,USB Hub,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Philips Brilliance B-line - 241B6QPYEB 241B6QPYEB/00,250 cd/m2,Textured black with black stand,"Plug and Play, FCC Class B certified, TUV GS, BSMI, GOST, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, Lead-Free, WEEE, TCO Certified Edge, TCO Displays 6.0, cETLus","LED-backlit LCD monitor - 23.8""",53.1 cm x 25.6 cm x 42.2 cm - with stand,"Philips Brilliance B-line 241B6QPYEB - LED monitor - 23.8""",6.47 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA, DisplayPort",,FullHD 1920 x 1080 at 60 Hz,AH-IPS,0.2745 mm,5 ms (grey-to-grey),USB Hub,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > LG Electronics FLATRON 29EB53-B LED 74CM 29IN 73.7 cm,300 cd/m2,Matte black,"Plug and Play, FCC Class B certified, UL, TUV GS, EN 61000-3-3, EN55024, EN55022 Class B, DDC/CI, ISO 9241-307, TCO Displays 5.1, EN 61000-3-2:2006, EN 60950-1:2006","LED-backlit LCD monitor - 29""",69.9 cm x 25.9 cm x 37.1 cm - with stand,"LG 29EB53-B - LED monitor - 29""",6.4 kg,Widescreen - 21:9,16.7 million colours,1000:1 / 5000000:1 (dynamic),"Height, swivel, tilt",ENERGY STAR Qualified,"2xHDMI, DVI-D, DisplayPort",3 years warranty,2560 x 1080 at 60 Hz,AH-IPS,0.264 mm,5 ms (grey-to-grey),USB Hub,,"Anti-glare, 3H Hard Coating",Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Samsung Monitor 21.5""S.master S22C650D LS22C65UDS/EN",250 cd/m2,Matte black,,"LED-backlit LCD monitor - 21.5""",50.43 cm x 21 cm x 49.03 cm - with stand,"Samsung S22C650D - LED monitor - 21.5""",4.75 kg,Widescreen - 16:9,16.7 million colours,1000:1,"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA, DisplayPort",3 years warranty,FullHD 1920 x 1080,AD-PLS,0.24825 mm,5 ms (grey-to-grey),USB Hub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Star Micronics SCD122U WHITE CUSTOMER DISPLAY 30792010,700 cd/m2,White,"FCC Class A certified, VCCI Class A ITE, EN55022 Class A",Customer display,,Star SCD122U - customer display,0.84 kg,,,,"Pivot (rotation), tilt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 lines x 20 characters,,
OHC24 Shop : Monitor > Monitor search help > EIZO S1932SEBK,250 cd/m2,Black,"Plug and Play, TCO '03, FCC Class B certified, CSA, UL, TUV, TUV GS, C-Tick, VCCI Class B ITE, DDC-2B, DVI DMPM, ISO 13406-2, TUV S, VESA DPMS, CB, ICES-003 Class B, TUV Ergo, RoHS, WEEE","LCD monitor - 19""",40.5 cm x 24.7 cm x 34.8 cm,"EIZO FlexScan S1932SE-BK - LCD monitor - 19""",8.8 kg,,16.7 million colours,2500:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA",5 years warranty,1280 x 1024,PVA,0.294 mm,8 ms,Stereo speakers,,,Integrated,Certified for Windows Vista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Dell U2414QM >  24"" 16:9 4K 3840x2160 >  8ms >  DP >  860-BBDV",350 cd/m2,Black,"RoHS, TCO Displays","LED-backlit LCD monitor - 23.8""",56.9 cm x 19.2 cm - with stand,"Dell UltraSharp UP2414Q - LED monitor - 23.8"" - with 3-Years Advanced Exchange Service and Premium Panel Guarantee",,Widescreen - 16:9,1.07 billion colours,1000:1 / 2000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt","ENERGY STAR Qualified , EPEAT Gold","HDMI, DisplayPort, Mini DisplayPort",,4K 3840 x 2160 at 60 Hz,IPS,0.137 mm,8 ms (grey-to-grey),Card reader,,"Anti-glare, 3H Hard Coating",,Compatible with Windows 7,,,,,3-Years Advanced Exchange Service and Premium Panel Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > NEC MultiSync - PA302W 60003488,340 cd/m2,Black,"DDC/CI, RoHS","LED-backlit LCD monitor - 30""",68.8 cm x 30.16 cm x 46.64 cm - with stand,"NEC MultiSync PA302W - LED monitor - 30""",17 kg,Widescreen - 16:10,1.07 billion colours,1000:1,"Height, pivot (rotation), swivel, tilt",,"HDMI, DVI-D, DisplayPort, Mini DisplayPort",3 years warranty,2560 x 1600,AH-IPS,0.25 mm,7 ms (grey-to-grey),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Neovo - DR-22 DR2200A1E0100,250 cd/m2,Metal white,"FCC, RoHS, WEEE, GOST-R, REACH, EN 60601-1, IEC 60601-1","LED-backlit LCD monitor - colour - 22""",51.3 cm x 36.9 cm x 15.5 cm - with stand,"Neovo DR-22 - LED monitor - colour - 22""",6.9 kg,Widescreen,16.7 million colours,2000000:1 (dynamic),,,"HDMI, DVI-D, VGA , S-Video, composite video",,FullHD 1920 x 1080,,0.2482 mm,3 ms (grey-to-grey),,,NeoV Optical Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Philips Brilliance P-line - 288P6LJEB 288P6LJEB/00,300 cd/m2,Black,"Plug and Play, FCC Class B certified, TUV GS, BSMI, GOST, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, WEEE, TCO Certified Edge, BFR, TCO Displays 6.0, cETLus","LED-backlit LCD monitor - 28""",65.9 cm x 27.3 cm x 57.3 cm - with stand,"Philips Brilliance P-line 288P6LJEB - LED monitor - 28""",8.04 kg,Widescreen - 16:9,1.07 billion colours,1000:1 / 50000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"HDMI, DVI-D, VGA, DisplayPort",3 years warranty,3840 x 2160 at 60 Hz,,0.16 mm,5 ms,USB Hub,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Avocent LCD17-202,,,"UL, C-Tick, cUL, FCC","KVM console - 17""",45.5 cm x 45 cm x 4.4 cm,"Avocent LCD17 Dual-Rail Rack Console - KVM console - 17""",11.4 kg,,16.2 million colours,,,,,,1280 x 1024,,,,Keyboard,,,,,1U,PS/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Acer Monitor 22"" > B226WLymdpr UM.EB6EE.003",250 cd/m2,Dark grey,TCO Displays 6.0,"LED-backlit LCD monitor - 22""",53.42 cm x 22.12 cm x 50.57 cm - with stand,"Acer B226WLymdpr - LED monitor - 22""",5.75 kg,Widescreen - 16:10,16.7 million colours,100000000:1 (dynamic),"Height, pivot (rotation)","ENERGY STAR Qualified , EPEAT Gold","DVI, VGA, DisplayPort",3 years warranty,1680 x 1050,,,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > AOC E2360PDA 58 > 5CM 23""W WLED 58.4 cm (23 "")/ 1.920",250 cd/m2,Textured black,"TUV GS, GOST, CB, FCC, RoHS, ISO 9241-307, cTUVus, TUV Bauart, TCO '05, EuP, cCSAus","LED-backlit LCD monitor - 23""",54.85 cm x 24.45 cm x 37.52 cm,"AOC Professional e2360Pda - LED monitor - 23""",5.65 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1920 x 1080 at 60 Hz,,0.265 mm,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > ASUS - PB238Q 90LMG9151T01081C-,250 cd/m2,Black,"UL, VCCI, C-Tick, BSMI, cUL, WHQL, CB, CCC, FCC, RoHS, PSE Mark, GOST-R, J-MOSS, ERP","LED-backlit LCD monitor - 23""",54.88 cm x 20.1 cm x 41.42 cm - with stand,"ASUS PB238Q - LED monitor - 23""",5.5 kg,Widescreen,16.7 million colours,80000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"HDMI, DVI-D, VGA, DisplayPort",,FullHD 1920 x 1080,IPS,0.2652 mm,6 ms (grey-to-grey),,,,Integrated,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > BenQ GL2450HM LED >  24"" Wide >  2ms >  250cd >  9H.L7CLA.DBE",250 cd/m2,Glossy black,TCO Displays 5.0,"LED-backlit LCD monitor - 24""",57.939 cm x 17.129 cm x 43.649 cm - with stand,"BenQ GL2450HM - LED monitor - 24""",4.1 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 12000000:1 (dynamic),Tilt,"ENERGY STAR Qualified , EPEAT Silver","HDMI, DVI-D, VGA",,FullHD 1920 x 1080,TN,0.276 mm,5 ms (typical); 2 ms (grey-to-grey),,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > V7 Videoseven LED 54 > 6CM 21 > 5IN 16:9 VGA DVI LED215W2R-8E,250 cd/m2,Glossy black,"TUV GS, FCC, RoHS, WEEE","LED-backlit LCD monitor - 22""",51.3 cm x 17.1 cm x 35.6 cm - with stand,"V7 LED215W2R-8E - LED monitor - 22""",3.4 kg,Widescreen - 16:9,16.7 million colours,1000:1,,,"DVI, VGA",3 years warranty,FullHD 1920 x 1080,,,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Philips 19"" LED MONITOR >  1280X1024 >  5M VGA/DVI >  19S4LAB5/00",250 cd/m2,Textured black with black stand,"Plug and Play, FCC Class B certified, TUV GS, BSMI, GOST, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, Lead-Free, WEEE, TCO Displays 6.0","LED-backlit LCD monitor - 19""",40.4 cm x 19.4 cm x 41.8 cm - with stand,"Philips S-line 19S4LAB5 - LED monitor - 19""",3.2 kg,5:4,16.7 million colours,1000:1 / 20000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1280 x 1024 at 60 Hz,,0.294 mm,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Samsung UD970 Series - U32D970Q LU32D97KQSR/EN,350 cd/m2,"Matte black, titan silver","UL, TUV GS, RoHS, EMI, TCO Displays, FOGRA","LED-backlit LCD monitor - 31.5""",72.78 cm x 28 cm x 62 cm - with stand,"Samsung UD970 Series U32D970Q - LED monitor - 31.5""",13.7 kg,Widescreen,1.07 billion colours,1000:1,"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"HDMI, DVI-D, DisplayPort",3 years warranty,4K 3840 x 2160,Plane to Line Switching (PLS),0.1816 mm,8 ms (grey-to-grey),USB 3.0 hub,,,,,,,,,,,Class D,131 kWh,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > NEC EA294WMI WHITE 73 > 7CM 29IN 73.66 cm (29 "") W-LED 60003415",300 cd/m2,White,"FCC Class B certified, MPR II, CSA, UL, TUV GS, GOST, cUL, DDC-2B, DDC-2Bi, MPR III, PCT, VESA EDID, CCC, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, GEEA, ERP, TCO Displays 6.0","LED-backlit LCD monitor - 29""",70.58 cm x 23 cm x 41.04 cm - with stand,"NEC MultiSync EA294WMi - LED monitor - 29""",7.5 kg,Widescreen - 21:9,16.8 million colours,1000:1,"Height, pivot (rotation), swivel, tilt","ENERGY STAR Qualified , EPEAT Gold","HDMI, 2xDVI-D, VGA, DisplayPort",3 years warranty,2560 x 1080,IPS,,14 ms,USB Hub,,,Integrated,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Hewlett-Packard HP 2 line Customer Display Kit BV495AA,1000 cd/m2,,,Customer display,,HP Customer Display Kit - customer display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 lines x 20 characters,,
OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - X2485WS X2485WS-B1,300 cd/m2,Black,"TUV GS, VCCI Class B ITE, DDC-2B, VESA DPMS, TCO Displays 5.0, TCO Displays 5.1, TCO Displays 5.2","LED-backlit LCD monitor - 24""",56.1 cm x 21.65 cm x 44.9 cm,"Iiyama ProLite X2485WS - LED monitor - 24""",4.6 kg,Widescreen - 16:10,16.7 million colours,1000:1 / 5000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"DVI-D, VGA, DisplayPort",,1920 x 1200,IPS,0.27 mm,5 ms,,,,Integrated,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > AOC I2460PXQU/24"" IPS LED Monitor > 1920 x 1200 >  16:10 >",300 cd/m2,,"TUV GS, GOST, FCC, RoHS, ISO 9241-307, EuP, NRTL, TCO Displays 6.0","LED-backlit LCD monitor - 24""",55.84 cm x 24.46 cm x 55.34 cm,"AOC Professional I2460Pxqu - LED monitor - 24""",6.65 kg,Widescreen - 16:10,16.7 million colours,1000:1 / 20000000:1 (dynamic),"Height, pivot (rotation), tilt",ENERGY STAR Qualified,"HDMI, DVI-D, VGA",3 years warranty,1920 x 1200 at 60 Hz,IPS,0.269 mm,6 ms (grey-to-grey),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - E2083HSD-1 E2083HSD-B1,250 cd/m2,Black,"TUV GS, VESA DPMS, DDC/CI, GOST-R, TCO Displays 6.0, VCCI Class B","LED-backlit LCD monitor - 20""",46.95 cm x 20.3 cm x 36 cm,"Iiyama ProLite E2083HSD-1 - LED monitor - 20""",2.7 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 5000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"DVI-D, VGA",,1600 x 900,TN,0.271 mm,5 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > AOC E2260SDA 54 > 7CM 21.5IN WLED 54.6 cm (21 > 5"")/ 1000",250 cd/m2,,"RoHS, TCO Displays 5.0","LED-backlit LCD monitor - 21.5""",20.78 cm x 40.83 cm x 21.93 cm,"AOC Professional e2260Sda - LED monitor - 21.5""",,Widescreen - 16:10,16.7 million colours,1000:1 / 20000000:1 (dynamic),,ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1680 x 1050 at 60 Hz,,,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
