<page title>,ac power in,aspect ratio,audio input,builtin camera,builtin speakers,cables included,certification,colour of product,contrast ratio dynamic,depth,depth with stand,display,display brightness,display diagonal,display diagonal metric,display number of colours,display resolution,display technology,dvi port,energy efficiency class,energy star certified,hd type,hdcp,height,height adjustment,height with stand,input frequency,input voltage,manual,pivot,pixel pitch,plug and play,power consumption standby,power consumption typical,power cord included,power led,response time,standby led,supported graphics resolutions,supported video modes,thin client installed,tilt angle,tv tuner integrated,vesa mounting interfaces compatibility,vga dsub ports quantity,viewing angle horizontal,viewing angle vertical,wall mountable,weight,weight with stand,width,width with stand,3d compatibility,cable lock slot,contrast ratio typical,headphone out,microphone in,package weight,rs232 ports,source datasheet,displayports quantity,dvid ports quantity,hdmi ports quantity,tilt adjustment,ac adapter included,audio output,dcin jack,mac operating systems supported,on screen display osd,packaging depth,packaging height,packaging width,quick start guide,windows operating systems supported,power consumption max,power consumption off,power consumption powersave,digital horizontal frequency,digital vertical frequency,bluetooth,epeat compliance,ethernet lan,horizontal scan range,onoff switch,quantity,screen format adjustments,swivelling,vertical scan range,wifi,hdmi,led indicators,linux operating systems supported,mean time between failures mtbf,number of products included,operating relative humidity hh,operating temperature tt,placement supported,storage relative humidity hh,storage temperature tt,viewable size horizontal,viewable size vertical,svideo inputs quantity,video dot rate,on screen display osd languages,power requirements,builtin subwoofer,headphone connectivity,number of loudspeakers,number of osd languages,pivot angle,rms rated power,separate hv sync,swivel angle range,usb 20 ports quantity,dvii ports quantity,viewable size diagonal,safety,backlight type,compliance industry standards,display srgb,feet colour,nonoperating altitude,operating altitude,pictureinpicture,usb 30 ports quantity,display viewable area hxv,pc audio in,syncongreen sog,dimensions w x d x h with stand,effective viewing area,package dimensions wxdxh,picture enhancement,volume control,maximum resolution,screen saving functions,display surface,composite video in,product type,bezel width side,analog signal format system,dimensions wxdxh,builtin microphone,card reader integrated,compatible memory cards,composite sync,mobile highdefinition link mhl,relative humidity,common interface ci,component video ypbprycbcr in,handheld remote control,common interface plus ci
Philips 220P4LPYEB - MediaShopUK,,16:10,,No No,Yes Yes,,"BSMI, CE, FCC, GOST, SASO, SEMKO, TUV Ergo, TUV/GS, TCO 5.2, UL/cUL, WEEE",Black Black,20000000:1,59 mm,220 mm,LED,250 cd/m²,"558.8 mm (22 "")",55.9 cm,16.77 M,1680 x 1050 pixels,,,Unspecified,Yes,HD-Ready,Yes,349 mm,No,517 mm,50/60 Hz,100 - 240 V,,Yes,0.282 x 0.282 mm,Yes Yes,0.3 W,16.8 W,,Yes Yes,5 ms,,1680 x 1050 (WSXGA+),,No,-5 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,3.38 kg,5.5 kg,504 mm,504 mm,,Kensington Kensington,1000:1,1,,7.5 kg,,. .,1.0,1.0,,Yes,,,,,Yes Yes,263 mm,395 mm,565 mm,,,,,,,,,Gold,,30 - 83 kHz,Yes Yes,,,Yes,56 - 75 Hz,,No No,Yes Yes,,30000 h 30000 h,1 pcs 1 pcs,,0 - 40 °C,Horizontal/Vertical Horizontal/Vertical,,-20 - 60 °C,473.76 mm,296.1 mm,,,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",,No No,,2 2,8 8,0 - 90 °,3 W 3 W,Yes,-65 - 65 °,4.0,,,,W-LED,RoHS,Yes,,0 - 12192 m,0 - 3658 m,,,,Yes,Yes,,,,,,,,,,,,,,No No,No No,No No,,,20 - 80 %,,,,
Wortmann AG TERRA LED 2445W - MediaShopUK,,16:9,,No No,Yes Yes,"AC, Audio (3.5mm), DVI AC, Audio (3.5mm), DVI","CE, EN 60950",Black Black,20000000:1,48 mm,218 mm,LCD,250 cd/m²,"599.4 mm (23.6 "")",59.9 cm,16.77 M,1920 x 1080 pixels,IPS,Yes,Unspecified,,Full HD,Yes,347 mm,No,418 mm,50/60 Hz,100 - 240 V,Yes Yes,No,0.2715 x 0.2715 mm,Yes Yes,0.5 W,25 W,,,7 ms,,1920 x 1080 (HD 1080),"1080i, 1080p, 480i, 480p, 576i, 576p, 720p",No,-5 - 20 °,No,100 x 100 mm,1.0,178 °,178 °,Yes,3.7 kg,4.1 kg,556 mm,556 mm,No,,,,,,,,,1.0,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Z30i - MediaShopUK,,16:10,,No No No,No No No,,,Black Black,5000000:1,66.3 mm,266.4 mm,,350 cd/m²,"762 mm (30 "")",75.78 cm,16.77 M,2560 x 1600 pixels,IPS,Yes,Unspecified,Yes,,Yes,449.8 mm,Yes,601 mm,,100 - 250 V,,Yes,0.250 x 0.250 mm,,0.5 W,85 W,,,8 ms,,"720 x 480, 1280 x 800, 1376 x 768, 1600 x 900, 2560 x 1440, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1600 x 1200 (UXGA), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 1920 x 1200 (WUXGA), 640 x 480 (VGA), 800 x 600 (SVGA)",,No,-5 - 20 °,No No,,1.0,178 °,178 °,Yes,7.56 kg,9.96 kg,690.3 mm,690.3 mm,,,1000:1,,,,,. .,1.0,1.0,1.0,Yes,,,,,,,,,,,,,,24 - 98 kHz,50 - 70 Hz,,Gold,,31 - 80 kHz,,,,Yes,60 - 70 Hz,,,,,,,,,,,,,,,,,,,,,,0 - 90 °,,,-45 - 45 °,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips 221B3LPCB/02 LED display - MediaShopUK,,,Yes,No No No,Yes Yes Yes,,"BSMI, CE-Zeichen, FCC, GOST, SEMKO, TCO 5.1, TÜV/GS, TÜVErgo, UL/cULRoHS",Black Black,20000000:1,59 mm,227 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,,,Unspecified,Yes,Full HD,Yes,323 mm,Yes,480 mm,50/60 Hz,100 - 240 V,,Yes,0.248 x 0.248 mm,Yes Yes,0.1 W,17.8 W,,,5 ms,,1920 x 1080 (HD 1080),,No,-5 - 20 °,No No,100 x 100 mm,1.0,176 °,170 °,Yes,3.4 kg,5.3 kg,507 mm,507 mm,,Kensington Kensington,1000:1,1,,7.12 kg 7.12 kg,,. .,,1.0,,Yes,,Yes,,,Yes Yes,186 mm 186 mm,361 mm 361 mm,568 mm 568 mm,,,,,,,,,Gold,No,30 - 83 kHz,,,,,56 - 75 Hz,No,No No,,,30000 h 30000 h,,20 - 80 %,0 - 40 °C,,,-20 - 60 °C,476.6 mm,268.1 mm,,,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",,,,2 2 2,8 8,,3 W 3 W 3 W,Yes,,2.0,,,,W-LED,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,,No No,No No,,,,No,,,No
Samsung LS24C45KMWV LED display - MediaShopUK,,16:10,Yes,No No No,Yes Yes Yes,"Audio (3.5mm), DVI, VGA Audio (3.5mm), DVI, VGA","TCO, UL, CSA, TUV, KC, CCC, PSB, GOST, PCBC, NOM, IRAM, SASO",Black Black,Mega Contrast,54.2 mm,224 mm,LED,250 cd/m²,"609.6 mm (24 "")",,16.77 M,1920 x 1200 pixels,TN+Film,,Unspecified,Yes,Full HD,,359.3 mm,Yes,512.2 mm,50/60 Hz,100 - 240 V,Yes Yes,Yes,0.27 x 0.27 mm,,0.1 W,30 W,,Yes Yes,5 ms,Yes Yes,1920 x 1200 (WUXGA),,No,-3 - 25 °,No No,100 x 100 mm,1.0,170 °,160 °,Yes,3.5 kg,5.1 kg,554.8 mm,554.8 mm,No,,1000:1,,,6.8 kg 6.8 kg,,. .,,1.0,,Yes,,Yes,,,,433 mm 433 mm,188 mm 188 mm,628 mm 628 mm,Yes Yes,,,,,,,,Gold,,,,,,Yes,,,,,,,,10 - 80 %,10 - 40 °C,,,,,,,,,,,,2 2 2,,-1 - 95 °,2 W 2 W 2 W,,-45 - 45 °,,,,,,,,,,,,,518.4 x 324 mm 518.4 x 324 mm,,,,,,,,,,,,,,,,,,,,,,,,,
Edge10 C171 LCD Monitor - MediaShopUK,Yes,,Yes,No No No,,,,Black Black,,198 mm,,,300 cd/m²,"431.8 mm (17 "")",,16.2 M,1280 x 1024 pixels,,,,,,,397 mm,,,,,,,0.264 x 0.264 mm,Yes Yes,3 W,50 W,,,5 ms,Yes Yes,,,,-2 - 18 °,No No,100 x 100 mm,1.0,140 °,130 °,,4.8 kg,,374 mm,,,,450:1,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,31.5 - 80 kHz,,,,,50 - 75 Hz,,,,,,,20 - 80 %,0 - 40 °C,,,,338 mm,270 mm,1.0,,,,,,,,,4 W 4 W 4 W,,,,,,,,,,,,,,,,Yes,,,,,,,,,,1.0,,,,,,,,,,,,,,
iiyama ProLite X2783HSU - MediaShopUK,Yes,16:9,Yes,No No No,Yes Yes Yes,"AC, Audio (3.5mm), DVI, USB, VGA AC, Audio (3.5mm), DVI, USB, VGA","TCO, CE, TÜV-GS, VCCI-B, PSE, CU",Black Black,5000000:1,218 mm,,LED,300 cd/m²,"685.8 mm (27 "")",68.6 cm,16.77 M,1920 x 1080 pixels,A-MVA,Yes,Unspecified,Yes,Full HD,Yes,446 mm,No,,50/60 Hz,100 - 240 V,,,0.311 x 0.311 mm,Yes Yes,0.5 W,34 W,,,4 ms,,1920 x 1080 (HD 1080),,No,-5 - 22 °,No No,100 x 100 mm,1.0,178 °,178 °,Yes,4.4 kg,,622.5 mm,,No,Kensington Kensington,3000:1,1,,,,. .,,1.0,1.0,,,,,Yes Yes,Yes Yes,,,,Yes Yes,Yes Yes,,,,30 - 80 kHz,55 - 75 Hz,,,,,,,,,,,,,,,,,,,,,597.6 mm,336.2 mm,,,"CHI (SIMPL), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS CHI (SIMPL), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS",,,3.5 mm,2 2 2,10 10,,4 W 4 W 4 W,Yes,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC e2251Fwu - MediaShopUK,,16:9,,No No No,,,"cTUVus, FCC, TUV/S, RoHS, EPA 5.0, EPEAT",Black Black,,389.1 mm,,LCD,150 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,,No,,,Full HD,No,193.7 mm,,,50/60 Hz,110 - 220 V,,,0.248 x 0.248 mm,Yes Yes,,10 W,,Yes Yes,5 ms,Yes Yes,1920 x 1080 (HD 1080),,No,,No No,,,170 °,160 °,,2.65 kg,,512.5 mm,,No,,1000:1,,,,,. .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.6 mm,268.1 mm,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,Gloss,,,,,,,,,,,,,,,
Benq GL2450 - MediaShopUK,,16:9,,No No No,No No No,,,Black Black,12000000:1,63 mm,179.12 mm,LED,250 cd/m²,"609.6 mm (24 "")",,16.77 M,1920 x 1080 pixels,TN+Film,Yes,Unspecified,Yes,Full HD,Yes,350.98 mm,No,436.49 mm,,90 - 264 V,,,,,,34 W,,,5 ms,,,,No,,No No,100 x 100 mm,1.0,170 °,160 °,Yes,4.1 kg,,579.39 mm,579.39 mm,No,Kensington Kensington,1000:1,,,5.6 kg 5.6 kg,,,,1.0,,,,,Yes,,Yes Yes,134 mm 134 mm,420 mm 420 mm,650 mm 650 mm,,,,,0.3 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 17,,,,,,,,,,,,Black Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wortmann AG 55cm (21,5"")TERRA 2255W (LED,FullHD,5ms,HDMI,PV) - MediaShopUK",,16:9,Yes,No No,No No,,,Black Black,15000000:1,53 mm,,LED,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,TN+Film,,Unspecified,Yes,Full HD,Yes,313 mm,No,,50/60 Hz,100 - 240 V,,,0.248 x 0.248 mm,Yes Yes,0.5 W,18 W,,,5 ms,,1920 x 1080 (HD 1080),"1080i, 1080p, 480i, 480p, 576i, 576p, 720p",No,,No,100 x 100 mm,1.0,170 °,160 °,Yes,5 kg,,513 mm,,No,No No,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,30 - 82 kHz,Yes Yes,,,,55 - 76 Hz,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC e2752Va - MediaShopUK,Yes,16:9,,No No,Yes Yes,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA",EuPFCCGOSTISO 9241-307RoHSTCO 5.0TÜV-Bauart,Black Black,20000000:1,,210 mm,LED,300 cd/m²,"685.8 mm (27 "")",68.8 cm,16.77 M,1920 x 1080 pixels,,,Unspecified,Yes,Full HD,Yes,,No,452 mm,50/60 Hz,90 - 240 V,,No,0.311 x 0.311 mm,,0.5 W,38 W,,Yes Yes,5 ms,Yes Yes,1920 x 1080 (HD 1080),,No,-3 - 19 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,5.29 kg,,,645.7 mm,No,Kensington Kensington,1200:1,1,,,,. .,,1.0,,Yes,,,,,Yes Yes,,,,,,,0.5 W,,30 - 83 kHz,55 - 75 Hz,,Silver,,,Yes Yes,,,No,,,,,,,,,,,,,597.89 mm,336.31 mm,,,,,,3.5 mm,,,,,,,,,,,W-LED,,,,,,No No,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
AG Neovo X-19 - MediaShopUK,,,,No No,No No,"AC, DVI, VGA AC, DVI, VGA","TUV/Bauart, CB, FCC, CE, BSMI, GOST-R, WEEE, RoHS, Vista/Basic, REACH",Black Black,,419 mm,,LCD,250 cd/m²,"482.6 mm (19 "")",,16.77 M,1280 x 1024 pixels,,,,,No,No,175 mm,,,50/60 Hz,100 - 240 V,Yes Yes,,,,2 W,48 W,,,3 ms,,1280 x 1024 (SXGA),,No,0 - 15 °,No,,1.0,170 °,160 °,Yes,7.9 kg,,444 mm,,No,Kensington Kensington,3000:1,,,10.7 kg,,,,1.0,,,,,,,,520 mm,226 mm,538 mm,Yes Yes,,,1 W,,30 - 80 kHz,56 - 75 Hz,,,,,,,,,,,,,,,,10 - 90 %,0 - 40 °C,,5 - 95 %,-20 - 60 °C,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
DELL E2210 - MediaShopUK,,16:10,,No No,No No,,,Black Black,,163.9 mm,,,250 cd/m²,"558.8 mm (22 "")",,,1680 x 1050 pixels,,,,Yes,,,406.7 mm,,,,,Yes Yes,,0.282 x 0.282 mm,,,28 W,,,5 ms,Yes Yes,,,,,No,,1.0,170 °,160 °,,4.4 kg 4.4 kg (9.7 lbs) 4.4 kg (9.7 lbs),,511.2 mm,,,,1000:1,,,7.03 kg (15.5 lbs),,. .,,1.0,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,10 - 80 %,32 - 104 °F,,,-20 - 60 °C,,,,,,"100 - 240 V, AC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS VE228TR - MediaShopUK,,16:9,,No No,Yes Yes,"AC, Audio (3.5mm), VGA AC, Audio (3.5mm), VGA","CEL, UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS, RoHS,WEEE",Black Black,80000000:1,56.9 mm,201.82 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,,,,Yes,Full HD,,305.51 mm,No,385.96 mm,50/60 Hz,100 - 240 V,,,0.248 x 0.248 mm,,0.5 W,35 W,,,5 ms,,1920 x 1080 (HD 1080),1080p,No,-5 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,4.1 kg,,512.84 mm,512.84 mm,No,Kensington Kensington,1000:1,,,,,. .,,1.0,,,,,,,,148 mm,468 mm,576 mm,Yes Yes,,,0.5 W,,30 - 83 kHz,50 - 76 Hz,,,,30 - 83 kHz,,,,,50 - 76 Hz,,,,,,,,,,,,,,,,,,,,2 2,,,2 W 2 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG 29EA73-P - MediaShopUK,,21:9,,No No No,Yes Yes Yes,"DVI, MHL, USB DVI, MHL, USB",,Black Black,5000000:1,68.5 mm,208.5 mm,LED,300 cd/m²,"736.6 mm (29 "")",,16.77 M,2560 x 1080 pixels,IPS,Yes,Unspecified,,,Yes,318 mm,,387 mm,,100 - 240 V,,,,,,48 W,,,5 ms,,2560 x 1080,,,-5 - 20 °,No No,100 x 100 mm,,178 °,178 °,Yes,5.21632 kg,5.80599 kg,699.7 mm,699.7 mm,,,,,,,,. .,1.0,1.0,2.0,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 2 2,,,14 W 14 W 14 W,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wortmann AG Terra 2230W PV, Greenline Plus - MediaShopUK",Yes,16:10,,No No,Yes Yes,,"CE, CB, TUV GS, ISO 9241-307, TCO Displays 6.0","Black, Silver Black, Silver",15000000:1,52 mm,214 mm,LED,250 cd/m²,"558.8 mm (22 "")",55.9 cm,16.77 M,1680 x 1050 pixels,TN+Film,Yes,Unspecified,Yes,,Yes,342 mm,Yes,,50/60 Hz,100 - 240 V,,Yes,0.282 x 0.282 mm,Yes Yes,0.5 W,16 W,,,5 ms,,1680 x 1050 (WSXGA+),,No,-5 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,4.8 kg,,518 mm,518 mm,No,Yes Yes,,,,,,,,,,Yes,,,,,Yes Yes,,,,,,,,,30 - 82 kHz,56 - 76 Hz,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,-45 - 45 °,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS VW22ATL - MediaShopUK,,,,No No,Yes Yes,"AC, DVI, VGA AC, DVI, VGA","BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, J-MOSS, RoHS, TCO5.2, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WEEE, WHQL (Windows 7)",Black Black,5000000:1,63.34 mm,213.93 mm,LED,250 cd/m²,"558.8 mm (22 "")",55.9 cm,16.77 M,1680 x 1050 pixels,TN+Film,,Unspecified,Yes,HD-ready,Yes,340.79 mm,Yes,364.33 mm,50/60 Hz,100 - 240 V,,Yes,,,0.3 W,33 W,,,5 ms,,1680 x 1050 (WSXGA+),,No,-5 - 15 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,6 kg,,513.95 mm,513.95 mm,No,Kensington Kensington,,,,,,. .,,1.0,,,,,,,,212 mm,412 mm,640 mm,Yes Yes,,,,,,,,,,31 - 83 kHz,,,,,56 - 76 Hz,,,,,,,,,,,,,,,,,,,3.5 mm,2 2,,,2 W 2 W,,,,,,,W-LED,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes Yes,
Wortmann AG 3031200 LED display - MediaShopUK,Yes,16:9,Yes,No No,No No,,"CE, EN",Black Black,30000000:1,213 mm,,LED,300 cd/m²,"685.8 mm (27 "")",68.6 cm,16.77 M,1920 x 1080 pixels,MVA,,Unspecified,Yes,Full HD,Yes,456 mm,No,,50/60 Hz,100 - 240 V,,,0.311 x 0.311 mm,Yes Yes,0.5 W,24 W,,,2 ms,,1920 x 1080 (HD 1080),"1080i, 1080p, 480i, 480p, 576i, 576p, 720p",No,,No,No,1.0,178 °,178 °,No,4.9 kg,,657 mm,,,No No,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,30 - 89 kHz,,,"4:3, 16:9 4:3, 16:9",,56 - 76 Hz,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS VB198TL - MediaShopUK,,5:4,,No No,Yes Yes,"DVI, VGA DVI, VGA","BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, ISO-9241-307, J-MOSS, PSB, RoHS, TCO5.2, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WEEE, WHQL",Black Black,50000000:1,,214 mm,LED,250 cd/m²,"482.6 mm (19 "")",48.3 cm,16.77 M,1280 x 1024 pixels,,,,Yes,,Yes,,Yes,413 mm,,,,Yes,0.294 x 0.294 mm,,,27 W,,,5 ms,,1280 x 1024 (SXGA),,No,-5 - 15 °,,100 x 100 mm,1.0,170 °,160 °,Yes,,4.7 kg,,466 mm,,Kensington Kensington,,,,6.4 kg,,. .,,1.0,,Yes,,,,,,410 mm,210 mm,565 mm,Yes Yes,,,0.2 W,0.3 W,53 - 80 kHz,50 - 76 Hz,,,,53 - 80 kHz,,,,Yes,50 - 76 Hz,,,,,,,,,,,,,,,,,,,,2 2,,,2 W 2 W,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,No No,,,,,,,,
ASUS VE228DR - MediaShopUK,,16:9,,No No,No No,"AC, VGA AC, VGA","CEL, UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS, RoHS,WEEE",Black Black,80000000:1,56.9 mm,201.82 mm,LCD,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,,,,Yes,Full HD,,305.51 mm,No,385.96 mm,50/60 Hz,100 - 240 V,,,0.248 x 0.248 mm,Yes Yes,0.5 W,35 W,,,5 ms,,1920 x 1080 (HD 1080),1080p,No,-5 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,4.1 kg,,512.84 mm,512.84 mm,No,Kensington Kensington,,,,,,. .,,,,,,,,,,148 mm,468 mm,576 mm,Yes Yes,,,0.5 W,,,,,,,30 - 83 kHz,,,,,50 - 76 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS VB178T - MediaShopUK,,5:4,,No No,Yes Yes,"AC, DVI, VGA AC, DVI, VGA","L/cUL, CB, CE, ErP, FCC,CCC, BSMI, Gost-R, C-Tick, VCCI,PSB,TCO5.2, ISO9241-307, TUV-GS/ERGO, J-MOSS, RoHS, WEEE, Windows 7 WHQL",Black Black,50000000:1,60 mm,210 mm,LED,250 cd/m²,"431.8 mm (17 "")",,16.77 M,1280 x 1024 pixels,,,,Yes,No,Yes,314.2 mm,No,386 mm,50/60 Hz,100 - 240 V,,,0.264 x 0.264 mm,,1 W,25 W,,,5 ms,,1280 x 1024 (SXGA),,No,-5 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,3.5 kg,5.1 kg,377 mm,377 mm,No,Kensington Kensington,,,,,,. .,,1.0,,,,,,,,,,,Yes Yes,,,,,30 - 83 kHz,55 - 75 Hz,,,,30 - 83 kHz,,,,,55 - 75 Hz,,,,,,,,,,,,,,,,,,,3.5 mm,2 2,,,2 W 2 W,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Benq BL902TM - MediaShopUK,,5:4,,No No,,,TCO5.0,Black Black,12000000:1,222.6 mm,419.2 mm,,250 cd/m²,"482.6 mm (19 "")",,,1280 x 1024 pixels,,,,,,Yes,419.2 mm,,56.05 mm,,,,,0.294 x 0.294 mm,,,25.8 W,,,5 ms,Yes Yes,,,,-5 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,,5.1 kg,7.6 kg,432.35 mm,361.25 mm,,Kensington Kensington,1000:1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 - 240 VAC,,,,,,2 W 2 W,,-45 - 45 °,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips 249C4QHSB - MediaShopUK,,16:9,,No No No,No No No,,RoHS,Black Black,20000000:1,34 mm,180 mm,LCD,250 cd/m²,"609.6 mm (24 "")",61 cm,16.77 M,1920 x 1080 pixels,A-MVA,No,,Yes,Full HD,Yes,350 mm,No,434 mm,50/60 Hz,100 - 240 V,,,0.276 x 0.276 mm,Yes Yes,0.3 W,24.2 W,,Yes Yes,6 ms,Yes Yes,1920 x 1080 (HD 1080),,No,-3 - 15 °,No No,,1.0,178 °,178 °,,2.33 kg,3.33 kg,569 mm,569 mm,No,Kensington Kensington,5000:1,,,5.02 kg 5.02 kg,,. .,,,2.0,,,,,,Yes Yes,133 mm 133 mm,569 mm 569 mm,617 mm 617 mm,,,,0.3 W,,,,,Silver,,30 - 83 kHz,,,,,56 - 75 Hz,,,,,30000 h 30000 h,,,0 - 40 °C,,,-20 - 60 °C,531.36 mm,298.89 mm,,,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR",,,,,9 9,,,Yes,,,,,,W-LED,"BSMI, CE Mark, FCC Class B, GOST, SASO, SEMKO, TCO 5.2, TUV/ISO9241-307, UL/cUL, WEEE",Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,20 - 80 %,,,,
ASUS PA238Q - MediaShopUK,Yes,16:9,Yes,No No,,"AC, AV, DisplayPort, DVI, USB, VGA AC, AV, DisplayPort, DVI, USB, VGA","UL/cUL, CB, CE, ErP, FCC(Class B), CCC, BSMI, Gost-R, C-Tick, VCCI, TCO5.2, TUV-GS, TUV-Ergo, ISO-9241-307, PSB, J-MOSS, RoHS, WEEE",Black Black,50000000:1,201 mm,,,250 cd/m²,"584.2 mm (23 "")",,16.77 M,1920 x 1080 pixels,,,,Yes,Full HD,Yes,495.7 mm,,,,,,Yes,0.2652 x 0.2652 mm,,,33 W,,,6 ms,,1920 x 1080 (HD 1080),,No,-5 - 20 °,No,100 x 100 mm,1.0,178 °,178 °,Yes,5.5 kg,,548.8 mm,,No,Kensington Kensington,,1,,7.8 kg,,. .,,1.0,1.0,,,,,,,253 mm,386 mm,671 mm,Yes Yes,,,,1 W,24 - 83 kHz,50 - 75 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5 mm,,,,,,0 - 180 °,5.0,,584 mm,,,,Yes,,,,Yes Yes,,,,,,,671 x 253 x 386 mm,,,,,,,,,,,,,,,,,,,,
