authors,title,venue,year
e rundensteiner a koeller x zhang a wyk y li a lee a nica,evolvable view environment eve nonequivalent view maintenance under schema changes,sigmod conference,1999.0
x qian,announcements from nsf nasa and elsewhere,sigmod record,1994.0
,calls for papers announcements,sigmod record,1994.0
r ng l lakshmanan j han t mah,exploratory mining via constrained frequent set queries,sigmod conference,1999.0
a datta,research issues in databases for arcs active rapidly changing data systems,sigmod record,1994.0
o wolfson a sistla b xu j zhou s chamberlain,domino databases for moving objects tracking,sigmod conference,1999.0
r braumandl a kemper d kossmann,database patchwork on the internet,sigmod conference,1999.0
h klein,how to modify sql queries in order to guarantee sure answers,sigmod record,1994.0
a chen,database research at nthu and itri,sigmod record,1994.0
l liu w han d buttler c pu w tang,an xmlbased wrapper generator for web information extraction,sigmod conference,1999.0
o group,response to the march 1994 odmg93 commentary written by dr won kim of unisql inc,sigmod record,1994.0
m altinel d aksoy t baby m franklin w shapiro s zdonik,dbistoolkit adaptable middleware for large scale data delivery,sigmod conference,1999.0
r greer,daytona and the fourthgeneration language cymbal,sigmod conference,1999.0
u glavitsch p schuble m wechsler,metadata for integrating speech documents in a text retrieval system,sigmod record,1994.0
f chen m hearst j kupiec j pedersen l wilcox,metadata for mixedmedia access,sigmod record,1994.0
s trisolini m lenzerini d nardi,data integration and warehousing in telecom italia,sigmod conference,1999.0
j anderson m stonebraker,sequoia 2000 metadata schema for satellite images,sigmod record,1994.0
j baulier p bohannon s gogate c gupta s haldar s joshi a khivesera h korth p mcilroy j miller p narayan m nemeth r rastogi s seshadri a silberschatz s sudarshan m wilder c wei,datablitz storage manager main memory database performance for critical applications,sigmod conference,1999.0
w grosky f fotouhi i sethi,using metadata for the intelligent browsing of structured media objects,sigmod record,1994.0
w kohler,emc information sharing direct access to mvs data from unix and nt,sigmod conference,1999.0
,trade press news announcement and preface,,1994.0
a hinneburg d keim,clustering methods for large databases from the past to the future,sigmod conference,1999.0
v krishnamurthy s banerjee a nori,bringing objectrelational technology to mainstream,sigmod conference,1999.0
b rosneblatt,unix rdbms the next generation,sigmod record,1994.0
t barclay r barnes j gray p sundaresan,loading databases using dataflow parallelism,sigmod record,1994.0
m zsu,data management issues in electronic commerce panel,sigmod conference,1999.0
c mohan,a database perspective on lotus dominonotes,sigmod conference,1999.0
n mattos l demichiel,recent design tradeoffs in sql3,sigmod record,1994.0
d florescu a levy i manolescu d suciu,query optimization in the presence of limited access patterns,sigmod conference,1999.0
c jensen j clifford r elmasri s gadia p hayes s jajodia,a consensus glossary of temporal database concepts,sigmod record,1994.0
p haas j hellerstein,ripple joins for online aggregation,sigmod conference,1999.0
a geppert k dittrich,constructing the next 100 database management systems,sigmod record,1994.0
s acharya p gibbons v poosala s ramaswamy,join synopses for approximate query answering,sigmod conference,1999.0
l yang,a hypertext query language for images,sigmod record,1994.0
s chaudhuri r motwani v narasayya,on random sampling over joins,sigmod conference,1999.0
a segev,editors notes,sigmod record,1994.0
g manku s rajagopalan b lindsay,random sampling techniques for space efficient online computation of order statistics of large datasets,sigmod conference,1999.0
w kim,observations on the odmg93 proposal,sigmod record,1994.0
,in memory of bob kooi 19511993,,1994.0
m wu,query optimization for selections using bitmaps,sigmod conference,1999.0
j lee d kim c chung,multidimensional selectivity estimation using compressed histogram information,sigmod conference,1999.0
c medeiros f pires,databases for gis,sigmod record,1994.0
a aboulnaga s chaudhuri,selftuning histograms building histograms without looking at data,sigmod conference,1999.0
p buneman l libkin d suciu v tannen l wong,comprehension syntax,sigmod record,1994.0
j widom,research issues in active database systems report from the closing panel at rideads 94,sigmod record,1994.0
l lakshmanan r ng j han a pang,optimization of constrained frequent set queries with 2variable constraints,sigmod conference,1999.0
d barbar j blakeley d fishman d lomet m stonebraker,the impact of database research on industrial products panel summary,sigmod record,1994.0
c hidber,online association rule mining,sigmod conference,1999.0
,the tsql2 final language definition announcement,sigmod record,1994.0
h jagadish l lakshmanan t milo d srivastava d vista,querying network directories,sigmod conference,1999.0
c yeung s hung k lam,performance evaluation of a new distributed deadlock detection algorithm,sigmod record,1994.0
y breitbart r komondoor r rastogi s seshadri a silberschatz,update propagation protocols for replicated databases,sigmod conference,1999.0
d lomet m tuttle,logical logging to extend recovery to new domains,sigmod conference,1999.0
,calls for papers announcements,sigmod record,1994.0
x qian,jumping on the nii bandwagon,sigmod record,1994.0
m ankerst m breunig h kriegel j sander,optics ordering points to identify the clustering structure,sigmod conference,1999.0
,trade press news,,1994.0
h jagadish l lakshmanan d srivastava,snakes and sandwiches optimal clustering strategies for a data warehouse,sigmod conference,1999.0
s acharya v poosala s ramaswamy,selectivity estimation in spatial databases,sigmod conference,1999.0
j ramirez l smith l peterson,medical information systems characterization and challenges,sigmod record,1994.0
t team,inmemory data management for consumer transactions the timesten approach,sigmod conference,1999.0
r agrawal a somani y xu,storage and querying of ecommerce data,vldb,2001.0
d grigori f casati u dayal m shan,improving business process quality through exception understanding prediction and prevention,vldb,2001.0
b ojjeh,microsoft site server commerce edition,sigmod conference,1999.0
a rajaraman,ecommerce database issues and experience,sigmod conference,1999.0
a ailamaki d dewitt m hill m skounakis,weaving relations for cache performance,vldb,2001.0
t bergstraesser p bernstein s pal d shutt,versions and workspaces in microsoft repository,sigmod conference,1999.0
y sakurai m yoshikawa r kataoka s uemura,similarity search for adaptive ellipsoid queries using spatial transformation,vldb,2001.0
s dill r kumar k mccurley s rajagopalan d sivakumar a tomkins,selfsimilarity in the web,vldb,2001.0
l do p ram p drew,the need for distributed asynchronous transactions,sigmod conference,1999.0
a gilbert y kotidis s muthukrishnan m strauss,surfing wavelets on streams onepass summaries for approximate aggregate queries,vldb,2001.0
m jarke c quix g blees d lehmann g michalk s striel,improving oltp data quality using data warehouse mechanisms,sigmod conference,1999.0
v crescenzi g mecca p merialdo,roadrunner towards automatic data extraction from large web sites,vldb,2001.0
b adelberg m denny,nodose version 20,sigmod conference,1999.0
r baumgartner s flesca g gottlob,visual web information extraction with lixto,vldb,2001.0
r barga d lomet,phoenix making applications robust,sigmod conference,1999.0
w li q vu e chang d agrawal k hirata s mukherjea y wu c bufi k chang y hara r ito y kimura k shimazu y saito,powerbookmarks a system for personalizable web information organization sharing and management,sigmod conference,1999.0
d margaritis c faloutsos s thrun,netcube a scalable tool for fast data mining and compression,vldb,2001.0
g dong j han j lam j pei k wang,mining multidimensional constrained gradients in data cubes,vldb,2001.0
e rundensteiner k claypool m li l chen x zhang c natarajan j jin s lima s weiner,serf odmgbased generic restructuring facility,sigmod conference,1999.0
t zhou l liu c pu,tam a system for dynamic transactional activity management,sigmod conference,1999.0
q li b moon,indexing and querying xml data for regular path expressions,vldb,2001.0
v raman j hellerstein,potters wheel an interactive data cleaning system,vldb,2001.0
s acharya p gibbons v poosala s ramaswamy,the aqua approximate query answering system,sigmod conference,1999.0
a brodsky v segal j chen p exarkhopoulo,the ccube constraint objectoriented database system,sigmod conference,1999.0
l fegaras r elmasri,query engines for webaccessible xml data,vldb,2001.0
j shanmugasundaram j kiernan e shekita c fan j funderburk,querying xml views of relational data,vldb,2001.0
p bonnet k buza z chen v cheng r chung t hickey r kennedy d mahashin t mayr i oprencak p seshadri h siu,the cornell jaguar system adding mobility to predator,sigmod conference,1999.0
