author_1,author_2,author_3,author_4,title,venue,year
swarup acharya,phillip b gibbons,viswanath poosala,,aqua a fast decision support systems using approximate query answers,very large data bases,1999.0
arnaud sahuguet,fabien azavant,,,building lightweight wrappers for legacy web datasources using w4f,very large data bases,1999.0
theodore johnson,,,,performance measurements of compressed bitmap indices,very large data bases,1999.0
anindya datta,krithi ramamritham,helen m thomas,,curio a novel solution for efficient storage and indexing in data warehouses,very large data bases,1999.0
david campbell,,,,the new lockin loggin and recovery architecture of microsoft sql server 70,very large data bases,1999.0
sin yeung lee,tok wang ling,,,unrolling cycles to decide trigger termination,very large data bases,1999.0
jianzhong li,doron rotem,jaideep srivastava,,aggregation algorithms for very large compressed data warehouses,very large data bases,1999.0
felix naumann,ulf leser,johann christoph freytag,,qualitydriven integration of heterogenous information systems,very large data bases,1999.0
qi cheng,jarek gryz,fred koo,t y cliff leung,implementation of two semantic query optimization techniques in db2 universal database,very large data bases,1999.0
marcel kornacker,,,,highperformance extensible indexing,very large data bases,1999.0
surajit chaudhuri,luis gravano,,,evaluating topk selection queries,very large data bases,1999.0
ke wang,senqiang zhou,shiang chen liew,,building hierarchical classifiers using class proximity,very large data bases,1999.0
j233r244me darmont,michel schneider,,,voodb a generic discreteevent random simulation model to evaluate the performances of oodbs,very large data bases,1999.0
jun rao,kenneth a ross,,,cache conscious indexing for decisionsupport in main memory,very large data bases,1999.0
kaladhar voruganti,m tamer 214zsu,ronald c unrau,,an adaptive hybrid server architecture for client caching odbmss,very large data bases,1999.0
peter a boncz,stefan manegold,martin l kersten,,database architecture optimized for the new bottleneck memory access,very large data bases,1999.0
chee yong chan,yannis e ioannidis,,,hierarchical prefix cubes for rangesum queries,very large data bases,1999.0
mary tork roth,fatma ozcan,laura m haas,,cost models do matter providing cost information for diverse data sources in a federated system,very large data bases,1999.0
daniela florescu,alon y levy,dan suciu,khaled yagoub,optimization of runtime management of data intensive websites,very large data bases,1999.0
michael l brodie,surajit chaudhuri,,,issues in network management in the next millennium,very large data bases,1999.0
torben bach pedersen,christian s jensen,curtis e dyreson,,extending practical preaggregation in online analytical processing,very large data bases,1999.0
philip a bernstein,shankar pal,david shutt,,contextbased prefetch for implementing objects on relations,very large data bases,1999.0
serge abiteboul,vincent aguilera,s233bastien ailleret,bernd amann,xml repository and active views demonstration,very large data bases,1999.0
weidong chen,jyhherng chow,youchin fuh,jean grandbois,high level indexing of userdefined types,very large data bases,1999.0
masahisa tamura,masaru kitsuregawa,,,dynamic load balancing for parallel association rule mining on heterogenous pc cluster systems,very large data bases,1999.0
umeshwar dayal,,,,industrial panel on data warehousing technologies experience challenge and directions,very large data bases,1999.0
h v jagadish,olga kapitskaia,raymond t ng,divesh srivastava,multidimensional substring selectivity estimation,very large data bases,1999.0
sunita sarawagi,,,,explaining differences in multidimensional aggregates,very large data bases,1999.0
jayavel shanmugasundaram,kristin tufte,chun zhang,gang he,relational databases for querying xml documents limitations and opportunities,very large data bases,1999.0
alfons kemper,donald kossmann,christian wiesner,,generalised hash teams for join and groupby,very large data bases,1999.0
alexander hinneburg,daniel a keim,,,optimal gridclustering towards breaking the curse of dimensionality in highdimensional clustering,very large data bases,1999.0
evaggelia pitoura,panos k chrysanthis,,,exploiting versions for handling updates in broadcast disks,very large data bases,1999.0
antony l hosking,jiawan chen,,,pm3 an orthogonal persistent systems programming language desig implementatio performance,very large data bases,1999.0
roger bamford,rafiul ahad,angelo pruscino,,a scalable and highly available networked database architecture,very large data bases,1999.0
donko donjerkovic,raghu ramakrishnan,,,probabilistic optimization of top n queries,very large data bases,1999.0
cheng hian goh,beng chin ooi,d sim,kianlee tan,ghost fine granularity buffering of indexes,very large data bases,1999.0
james r hamilton,,,,networked data management design points,very large data bases,1999.0
peter baumann,andreas dehmel,paula furtado,roland ritsch,spatiotemporal retrieval with rasdaman,very large data bases,1999.0
minos n garofalakis,rajeev rastogi,kyuseok shim,,spirit sequential pattern mining with regular expression constraints,very large data bases,1999.0
laks v s lakshmanan,fereidoon sadri,subbu n subramanian,,on efficiently implementing schemasql on an sql database system,very large data bases,1999.0
ravi kumar,prabhakar raghavan,sridhar rajagopalan,andrew tomkins,extracting largescale knowledge bases from the web,very large data bases,1999.0
chris jermaine,anindya datta,edward omiecinski,,a novel index supporting high volume data warehouse insertion,very large data bases,1999.0
luc bouganim,tatiana chansineying,tuyettram dangngoc,jeanluc darroux,miro web integrating multiple data sources through semistructured data types,very large data bases,1999.0
michael jaedicke,bernhard mitschang,,,userdefined table operators enhancing extensibility for ordbms,very large data bases,1999.0
aristides gionis,piotr indyk,rajeev motwani,,similarity search in high dimensions via hashing,very large data bases,1999.0
esther pacitti,pascale minet,eric simon,,fast algorithms for maintaining replica consistency in lazy master replicated databases,very large data bases,1999.0
michael j carey,donald d chamberlin,srinivasa narayanan,bennet vance,o what have they done to db2,very large data bases,1999.0
kianlee tan,cheng hian goh,beng chin ooi,,online feedback for nested aggregate queries with multithreading,very large data bases,1999.0
youchin fuh,stefan de223loch,weidong chen,nelson mendon231a mattos,implementation of sql3 structured types with inheritance and value substitutability,very large data bases,1999.0
goetz graefe,,,,the value of mergejoin and hashjoin in sql server,very large data bases,1999.0
yannis e ioannidis,viswanath poosala,,,histogrambased approximation of setvalued queryanswers,very large data bases,1999.0
arjen p de vries,mark g l m van doorn,henk m blanken,peter m g apers,the mirror mmdbms architecture,very large data bases,1999.0
edwin m knorr,raymond t ng,,,finding intensional knowledge of distancebased outliers,very large data bases,1999.0
stefano ceri,piero fraternali,stefano paraboschi,,datadrive onetoone web site generation for dataintensive applications,very large data bases,1999.0
soumen chakrabarti,martin van den berg,byron dom,,distributed hypertext resource discovery through examples,very large data bases,1999.0
c mohan,,,,repeating history beyond aries,very large data bases,1999.0
felipe cari241o,william oconnell,john burgess,joel h saltz,active storage hierarch database systems and applications socratic exegesis,very large data bases,1999.0
