author_1,author_2,author_3,author_4,title,venue,year
jan chomicki,david toman,michael h bhlen,,querying atsql databases with temporal logic,acm trans database syst,2001.0
ramesh bhashyam,,,,tpcd the challenge issues and results,vldb,1996.0
kingip lin,christos faloutsos,,,fastmap a fast algorithm for indexin datamining and visualization of traditional and multimedia datasets,sigmod conference,1995.0
xiaolei qian,,,,shutdow budge and funding,sigmod record,1996.0
hamid pirahesh,t y cliff leung,s sudarshan,praveen seshadri,costbased optimization for magic algebra and implementation,sigmod conference,1996.0
gennady antoshenkov,mohamed ziauddin,,,query processing and optimization in oracle rdb,vldb j,1996.0
giansalvatore mecca,valter crescenzi,paolo merialdo,,roadrunner automatic data extraction from dataintensive web sites,sigmod conference,2002.0
yannis theodoridis,alexandros nanopoulos,yannis manolopoulos,,c2p clustering based on closest pairs,vldb,2001.0
andrew e wade,,,,object query standards,sigmod record,1996.0
mrcio de carvalho,rodolfo f resende,bruno pssas,wagner meira jr,using quantitative information for efficient association rule generation,sigmod record,2000.0
dengfeng gao,eileen tien lin,jun rao,ihab f ilyas,estimating compilation time of a query optimizer,sigmod conference,2003.0
lihyuarn l chang,edward y chang,tim cheng,,pbir perceptionbased image retrieval,sigmod conference,2001.0
iko pramudiono,katsumi takahashi,masaru kitsuregawa,yusuke ohura,experiments on query expansion for internet yellow page services using web log mining,vldb,2002.0
sergio flesca,robert baumgartner,georg gottlob,,supervised wrapper generation with lixto,vldb,2001.0
david b lomet,jim gray,zarka cvetanovic,chris nyberg,alphasort a risc machine sort,sigmod conference,1994.0
joseph fong,,,,mapping extended entity relationship model to object modeling technique,sigmod record,1995.0
m tamer zsu,,,,data management issues in electronic commerce panel,sigmod conference,1999.0
h v jagadish,shaul dar,divesh srivastava,alon y levy,answering queries with aggregation using views,vldb,1996.0
cheng hian goh,kianlee tan,beng chin ooi,d sim,ghost fine granularity buffering of indexes,vldb,1999.0
sandeepan banerjee,,,,a database platform for bioinformatics,vldb,2000.0
kazuyuki shimazu,sougata mukherjea,yileh wu,divyakant agrawal,powerbookmarks a system for personalizable web information organizatio sharin and management,sigmod conference,1999.0
donovan a schneider,marieanne neimat,witold litwin,,lh a scalabl distributed data structure,acm trans database syst,1996.0
raymond t ng,jinhai yang,,,maximizing buffer and disk utilizations for news ondemand,vldb,1994.0
jeffrey f naughton,kristin tufte,chun zhang,gang he,relational databases for querying xml documents limitations and opportunities,vldb,1999.0
divesh srivastava,nick koudas,,,panel querying networked databases,sigmod conference,2003.0
limsoon wong,rona machlin,leonid libkin,,a query language for multidimensional arrays desig implementatio and optimization techniques,sigmod conference,1996.0
clement t yu,a prasad sistla,r haddad,,reasoning about spatial relationships in picture retrieval systems,vldb,1994.0
tomasz imielinski,b r badrinath,,,wireless graffiti dat data everywhere matters,vldb,2002.0
william i grosky,farshad fotouhi,ishwar k sethi,,using metadata for the intelligent browsing of structured media objects,sigmod record,1994.0
guido moerkotte,sven helmer,,,a performance study of four index structures for setvalued attributes of low cardinality,vldb j,2003.0
christian t ramiller,alice h muntz,,,a requirementbased approach to data modeling and reengineering,vldb,1994.0
michael j franklin,,,,editors notes,sigmod record,1997.0
peter m chen,wee teck ng,,,integrating reliable memory in databases,vldb,1997.0
achim kraiss,gerhard weikum,,,vertical data migration in large nearline document archives based on markovchain predictions,vldb,1997.0
jaewoo kang,jeffrey f naughton,,,on schema matching with opaque column names and data values,sigmod conference,2003.0
arthur t whitney,dennis shasha,,,lots o ticks realtime high performance time series queries on billions of trades and quotes,sigmod conference,2001.0
josep domingoferrer,jordi herrerajoancomart,,,an anonymous electronic commerce scheme with an offline authority and untrusted agents,sigmod record,1998.0
ron sacksdavis,,,,the structured information manager a database system for sgml documents,vldb,1996.0
rich finkelstein,,,,the new middleware,sigmod record,1995.0
m moni,,,,disnicplan a nicnet based distributed database for microlevel planning in india,vldb,1996.0
vipul kashyap,amit p sheth,,,semantic and schematic similarities between database objects a contextbased approach,vldb j,1996.0
anil nori,,,,ebusiness standards and architectures,vldb,2002.0
ramesh jain,arun hampapur,,,metadata in video databases,sigmod record,1994.0
michael l brodie,surajit chaudhuri,,,issues in network management in the next millennium,vldb,1999.0
werner kieling,thorsten ehm,stefan holland,stefan fischer 0003,cosima your smar speaking esalesperson,sigmod conference,2001.0
fereidoon sadri,laks v s lakshmanan,subbu n subramanian,,on efficiently implementing schemasql on an sql database system,vldb,1999.0
serge abiteboul,catriel beeri,,,the power of languages for the manipulation of complex values,vldb j,1995.0
ashish kumar gupta,dan suciu,,,stream processing of xpath queries with predicates,sigmod conference,2003.0
michael gillmann,german shegalov,gerhard weikum,,xmlenabled workflow management for eservices across heterogeneous platforms,vldb j,2001.0
yun wang,,,,db2 query parallelism staging and implementation,vldb,1995.0
nelson mendona mattos,jim melton,,,an overview of the emerging thirdgeneration sql standard tutorial,sigmod conference,1995.0
christian hidber,,,,online association rule mining,sigmod conference,1999.0
louiqa raschid,laura bright,,,using latencyrecency profiles for data delivery on the web,vldb,2002.0
christian hanin,roland tusch,carmen riedler,harald kosch,smooth a distributed multimedia database system,vldb,2001.0
david gibson,jon m kleinberg,prabhakar raghavan,,clustering categorical data an approach based on dynamical systems,vldb j,2000.0
shalom tsur,,,,data mining in the bioinformatics domain,vldb,2000.0
amit shukla,jeffrey f naughton,yihong zhao,prasad deshpande,simultaneous optimization and evaluation of multiple dimensional queries,sigmod conference,1998.0
bruce e martin,,,,coss the common object services specifications,sigmod conference,1994.0
anil nori,,,,application architecture 2tier or 3tier what is dbmss role panel abstract,sigmod conference,2000.0
jeffrey parsons,yair wand,,,emancipating instances from the tyranny of classes in information modeling,acm trans database syst,2000.0
zhimin chen,stelios paparizos,h v jagadish,laks v s lakshmanan,from tree patterns to generalized tree patterns on efficient evaluation of xquery,vldb,2003.0
david buttler,wei tang,calton pu,wei han,an xmlbased wrapper generator for web information extraction,sigmod conference,1999.0
yu xu,mary f fernandez,sihem ameryahia,divesh srivastava,pix exact and approximate phrase matching in xml,sigmod conference,2003.0
ying hu,timothy chorma,nipun agarwal,seema sundara,developing an indexing scheme for xml document collection using the oracle8i extensibility framework,vldb,2001.0
ioana manolescu,donald kossmann,daniela florescu,,answering xml queries on heterogeneous data sources,vldb,2001.0
manfred a jeusfeld,mareike schoop,christoph quix,,business data management for b2b electronic commerce,sigmod record,2002.0
wolfgang may,,,,lopix a system for xml data integration and manipulation,vldb,2001.0
windsor w hsu,alan jay smith,honesty c young,,io reference behavior of production database workloads and the tpc benchmarks an analysis at the logical level,acm trans database syst,2001.0
mark d hill,anastassia ailamaki,david j dewitt,marios skounakis,weaving relations for cache performance,vldb,2001.0
reinhard pichler,georg gottlob,christoph koch,,efficient algorithms for processing xpath queries,vldb,2002.0
david scott warren,konstantinos f sagonas,terrance swift,,xsb as an efficient deductive database engine,sigmod conference,1994.0
bruce bargmeyer,brad perry,jerry fowler,marian h nodine,agentbased semantic interoperability in infosleuth,sigmod record,1999.0
dan suciu,,,,the xml typechecking problem,sigmod record,2002.0
daniele nardi,maurizio lenzerini,stefano trisolini,,data integration and warehousing in telecom italia,sigmod conference,1999.0
ivan t bowman,peter bumbulis,,,a compact btree,sigmod conference,2002.0
barbara liskov,umesh maheshwari,,,partitioned garbage collection of large object store,sigmod conference,1997.0
letizia tanca,stefano paraboschi,piero fraternali,stefano ceri,addendum to automatic generation of production rules for integrity maintenance,acm trans database syst,1995.0
matthias jarke,,,,information systems research at rwth aachen,sigmod record,1995.0
milind joshi,csar a galindolegaria,,,orthogonal optimization of subqueries and aggregation,sigmod conference,2001.0
jennifer widom,yingwei cui,,,lineage tracing for general data warehouse transformations,vldb j,2003.0
wolfgang klas,susanne boll,bernard battaglin,,design and implementation of rmp a virtual electronic market place,sigmod record,1998.0
rune hjelsvold,roger midtstraum,,,modelling and querying video data,vldb,1994.0
sanket atal,,,,the xps approach to loading and unloading terabyte databases,vldb,1996.0
robert marek,erhard rahm,,,dynamic multiresource load balancing in parallel database systems,vldb,1995.0
raghavan komondoor,abraham silberschatz,yuri breitbart,s seshadri,update propagation protocols for replicated databases,sigmod conference,1999.0
yufei tao,jun zhang,dimitris papadias,,cost models for overlapping and multiversion structures,acm trans database syst,2002.0
wenke lee,eleazar eskin,wei fan,salvatore j stolfo,data miningbased intrusion detectors an overview of the columbia ids project,sigmod record,2001.0
manuel rodriguezmartinez,nick roussopoulos,,,mocha a selfextensible database middleware system for distributed data sources,sigmod conference,2000.0
nicola leone,robert ross,laks v s lakshmanan,v s subrahmanian,probview a flexible probabilistic database system,acm trans database syst,1997.0
suresha,kaushik dutta,krithi ramamritham,anindya datta,proxybased acceleration of dynamically generated content on the world wide web an approach and implementation,sigmod conference,2002.0
gary hallmark,,,,the oracle warehouse,vldb,1995.0
andrew eisenberg,jim melton,susan malaika,,standards for databases on the grid,sigmod record,2003.0
c mohan,s watts,ron barber,amit somani,evolution of groupware for business applications a database perspective on lotus dominonotes,vldb,2000.0
gsli r hjaltason,hanan samet,,,indexdriven similarity search in metric spaces,acm trans database syst,2003.0
alex g bchner,maurice d mulvenna,,,discovering internet marketing intelligence through online analytical web usage mining,sigmod record,1998.0
ystein torbjrnsen,ystein grvlen,sveinolaf hvasshovd,,lowcost compensationbased query processing,vldb,1998.0
ling liu,,,,editors notes,sigmod record,2003.0
michael stonebraker,,,,visionary a next generation visualization system for databases,sigmod conference,2003.0
