<page title>,image stabilizer,light sensitivity,max image resolution,optical sensor,resolution,shutter speed,still image format,3d support,digital zoom,focus adjustment,lens aperture,max focal length,min focal length,optical zoom,colour,internal memory,storage media
Sony Cybershot DSC-H55  New Zealand Prices - PriceMe,With Image Stabilizer,ISO 3200,4320x3240,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/3.5-5.5,250mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Nikon D5300  New Zealand Prices - PriceMe,Lens based only,"100 - 12,800 ISO",6000x4000,CMOS,,30-1/4000s,"JPEG, NEF (RAW), RAW",,,,,,,,,,
Fujifilm FinePix XP60  New Zealand Prices - PriceMe,,"100 - 6,400 ISO",4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,Yes,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.9-4.9,140mm,28mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Sony Alpha SLT-A58 + 18-55/3.5-3.6  New Zealand Prices - PriceMe,Built-in,"100 - 16,000 ISO",5456x3632,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Nikon Coolpix S8200  New Zealand Prices - PriceMe,With Image Stabilizer,ISO 3200,4608x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.3-5.9,350mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Sony CyberShot DSC-RX1  New Zealand Prices - PriceMe,ISO anti-shake,100 ISO,6000x4000,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,,,,,,,Memory Stick Duo (MS Duo)Memory Stick Micro (MS Micro)Memory Stick Pro (MS Pro)Memory Stick Pro Duo (MS Pro Duo)microSD/TransFlashmicroSDHCSecure Digital (SD)Secure Digital HC (SDHC)Secure Digital XC (SDXC)
Leica V-LUX 4  New Zealand Prices - PriceMe,,"100 - 6,400 ISO",,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/2.8,600mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Pentax K500 + 18-55mm + 50-200mm  New Zealand Prices - PriceMe,,"100 - 51,200 ISO",,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",,,,,,,,,,
Canon PowerShot G1 X + 28-112mm  New Zealand Prices - PriceMe,Optical,"100 - 12,800 ISO",4352x3264,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/2.8-5.8,112mm,28mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Nikon Coolpix L830  New Zealand Prices - PriceMe,Optical,,4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3- 5.9,765mm,22.5mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Panasonic Lumix DMC-GX7 + 20/1.7 II  New Zealand Prices - PriceMe,,"200 - 25,600 ISO",4592x3448,Live MOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,,,,,,,,,,,
Nikon Coolpix S1100PJ  New Zealand Prices - PriceMe,With Image Stabilizer,80 - 400 ISO,4320x3240,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.9-5.8,140mm,28mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Nikon D3300 + 18-55 VR II + 55-300 VR  New Zealand Prices - PriceMe,Lens based only,"100 - 12,800 ISO",6000x4000,CMOS,,30-1/4000s,"JPEG, NEF (RAW), RAW",,,,,,,,,,
Sony Alpha SLT-A77 II + 16-50/2.8  New Zealand Prices - PriceMe,Built-in,"100 - 25,600 ISO",6000x4000,CMOS,,30-1/8000s,"JPEG, RAW",,,,,,,,,,
Canon EOS 600D + 18-55/3.5-5.6 IS + 55-250/4.0-5.6 IS  New Zealand Prices - PriceMe,,"100 - 6,400 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,,,,,,,
Nikon D90 + 18-105/3.5-5.6 VR  New Zealand Prices - PriceMe,,"200 - 3,200 ISO",4288x2848,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, NEF (RAW), RAW",,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,,,,,,,
Olympus Pen E-PL3 + 14-42/3.5-5.6  New Zealand Prices - PriceMe,,"200 - 1,600 ISO",4032x3024,Live MOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",60-1/4000s,"JPEG, RAW",,,,,,,,,,
Casio Exilim EX-ZR15  New Zealand Prices - PriceMe,,,,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,,,,,,,
Samsung WB800F  New Zealand Prices - PriceMe,,"100 - 3,200 ISO",4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,,,,,,,
