3d,<page title>,af illuminator,aperture,battery,body type,brand,category,connector type,continuous shooting speed,depth,digital video format,digital zoom,display form factor,ean,exposure compensation,exposure modes,flash modes,flash range,flash type,focal length,gps,height,image format,image processor,image resolutions,image stabilizer,included accessories,installed memory,light sensitivity iso,max shutter speed,memory type,metering modes,microphone,min shutter speed,optical zoom,product name,product rating,recording functions,red eye reduction,resolution,screen resolution,screen size,screen type,self timer delay,sensor size,sensor type,special effects,touchscreen,user reviews,video resolution,weight,white balance,white balance presets,width,ae bracketing,autofocus,camera type,flash sync speed,focal length multiplier,image ratio,lens mount,lowest recommended price,manual focus,number of focus points,orientation sensor,remote control,sensor format,upc,viewfinder coverage,viewfinder magnification,viewfinder type,focal length equivalent to 35mm,live view,environmentally sealed,wireless,lowest price,isbn,isbn13
,"Canon EOS 60D kit 18-200mm digital camera prices, Shopping comparison for Canon EOS 60D kit 18 200mm, Buy online in India - ShopMania",Yes,F/2.8 / F/4.0 / F/2.8-4.0 / F/2.8-4.5 / F/3.5-5.6 / F/3.5-6.3 / F/3.8-5.6 / F/4.0-5.6,Li-Ion,DSLR,Canon,Digital Cameras,Composite / USB / mini HDMI / mini USB,3.0,79 mm,MOV / MPEG / WAV / H.264,,Rotating,"7898947817576, 0813789656760, 0813789656777","-/+ 5 EV range, in 1/2 or 1/3 EV steps",Aperture Priority / Auto / Custom / Manual / Program / Scene / Shutter Priority,Auto / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,13 m,Built-in / External,15 - 85 mm / 17 - 40 mm / 17 - 50 mm / 17 - 55 mm / 17 - 70 mm / 17 - 85 mm / 18 - 50 mm / 18 - 55 mm / 24 - 70 mm / 18 - 125 mm / 18 - 135 mm / 18 - 200 mm / 18 - 250 mm / 18 - 270 mm / 24 - 105 mm / 28 - 135 mm / 55 - 250 mm / 70 - 300 mm,,106 mm,DCF / DPOF / JPEG / RAW,Digic 4,480x480 / 640x480 / 720x400 / 720x480 / 1280x1280 / 1696x1280 / 1728x1728 / 1920x1080 / 1920x1280 / 2048x1360 / 2304x1728 / 2304x2304 / 2592x1456 / 2592x1728 / 3072x2304 / 3456x1944 / 3456x2304 / 3456x3456 / 3888x2592 / 4608x3456 / 5184x2912 / 5184x3456,Optical,AV cable / Body cap / Carrying strap / Charger / Lens cap / Neck strap / USB cable,,Auto / 50 / 100 / 200 / 400 / 800 / 1600 / 3200 / 6400 / 12800,1/8000,CompactFlash / SD / SDHC / SDXC,Center-weighted / Multi / Partial / Spot,Yes,30s (more than 65%),,Canon EOS 60D kit 18-200mm,0 out of 5,Face Detection,Yes,18 MP (more than 90%),1040000 (more than 94%),"3"" (more than 62%)",Clear View LCD,2s / 10s,22.3x14.9mm,CMOS,Contrast / Custom Effect / Fisheye / Monochrome / Neutral / Retro / Soft Focus / Vivid,,Write a review,640x480 / 1280x720 / 1920x1080,755 g,Automatic / Custom / Manual / Presets,Cloudy / Daylight / Sunny / Flash / Fluorescent / Halogen / Incandescent / Shade / Tungsten,145 mm,"-/+ 3 EV (3 frames in 1/3, 1/2 EV steps)","Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Phase Detect
/ Selective Single-point
/ Single",Kit,1/250,1.6x,1:1 / 3:2 / 4:3 / 16:9,Canon EF / Canon EF-S,"Rs.75,847 - Indiatimes.com Show all prices »",Yes,9.0,Yes,Yes,APS-C,"813789656760, 813789656777",96%,0.95x,Optical,,,,,,,
,"Panasonic DMC-S2 digital camera prices, Shopping comparison for Panasonic DMC S 2, Buy online in India - ShopMania",Yes,F/3.1-6.5,Li-Ion,Compact,Panasonic,Digital Cameras,Composite / USB,1.5,21 mm,MJPEG / QuickTime,4x,Fixed,"0885170068971, 0885170068988, 0885170068964","-/+ 2 EV range, in 1/3 EV steps",Custom / Intelligent Auto / Program / Scene,Auto / Off / On / Red Eye Reduction / Slow Speed Sync,3.30 m,Built-in,5 - 20 mm,Yes,57 mm,DCF / DPOF / JPEG,,640x480 / 2048x1536 / 2560x1920 / 3232x3232 / 3648x2736 / 4320x2432 / 4320x2880 / 4320x3240,Optical,Carrying strap / Charger / Hand strap / USB cable,70 MB,Auto / 100 / 200 / 400 / 800 / 1600,1/1600,SD / SDHC / SDXC,Multi,Yes,8s,4x (more than 51%),Panasonic DMC-S2,0 out of 5,Face Detection,Yes,14.1 MP (more than 73%),230000,"2.7""",LCD,2s / 10s,1/2.33,CCD,Black & White / Sepia / Vivid,,Write a review,320x240 / 1280x720,112 g,Custom / Presets,Cloudy / Daylight / Sunny / Incandescent / Shade,98 mm,,"Center
/ Contrast Detect
/ Face Detection
/ Multi-area
/ Single",,,,4:3 / 16:9,,,,23.0,Yes,,,"885170068971, 885170068988, 885170068964",,,,28 - 112 mm,Yes,,,"Rs.5,990 Show all prices »",,
,"Sony DSC-W530 digital camera prices, Shopping comparison for Sony DSC W 530, Buy online in India - ShopMania",Yes,F/2.7-5.4 / F/2.7-5.7,Li-Ion,Ultracompact,Sony,Digital Cameras,Composite / USB,1.0,19 mm,AVI / MJPEG,6.7x,Fixed,"4905524751321, 4905524751314, 4905524751307, 4905524751260, 4905524751284, 0027242808577, 0876544737838, 0027242808591, 0876544737791, 0876544737814, 0628586957183, 0610696358011, 0610696351906, 0610696351913","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Auto / Custom / Intelligent Auto / Manual / Program / Scene / Shutter Priority,Auto / Fill-in / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,3.50 m,Built-in,4.7 - 18.8 mm,,52 mm,DCF / DPOF / JPEG,Bionz,640x480 / 1920x1080 / 2048x1536 / 2592x1944 / 3072x2304 / 3264x2448 / 3456x2304 / 3456x2592 / 3648x2056 / 3648x2432 / 3648x2736 / 4000x2248 / 4000x3000 / 4320x2432 / 4320x3240 / 4608x3456,Optical,Carrying strap / Charger / Power adapter / USB cable,,Auto / 80 / 100 / 200 / 400 / 800 / 1600 / 3200,1/1600,Memory Stick Duo / Memory Stick PRO Duo / Memory Stick PRO Duo High Speed / Memory Stick PRO-HG Duo / Memory Stick Pro / SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,2s,4x (more than 51%),Sony DSC-W530,0 out of 5,"Blink Detection
/ Face Detection
/ Panorama
/ Smile Detection
/ Sweep Panorama",Yes,14.1 MP (more than 73%),230000,"2.7""",LCD,2s / 10s,1/2.3,CCD,Contrast / Soft,,Write a review,320x240 / 640x480 / 1280x720 / 1440x1080,113 g,Automatic / Presets,"Artificial
/ Cloudy / Daylight / Sunny / Flash / Fluorescent / Incandescent / Overcast",93 mm,,"Contrast Detect
/ Live View
/ Multi-area
/ Single",,,,4:3 / 16:9,,,,9.0,,,,"027242808577, 876544737838, 027242808591, 876544737791, 876544737814, 628586957183, 610696358011, 610696351906, 610696351913",,,Optical,26 - 104 mm,Yes,,,"Rs.7,897 Show all prices »",,
,"Fujifilm X-M1 kit 16-50mm digital camera prices, Shopping comparison for Fujifilm X M 1 kit 16 50mm, Buy online in India - ShopMania",,F/3.5-5.6,Li-Ion,Mirrorless,Fujifilm,Digital Cameras,USB,,,AVI / H.264,,Folding,"4547410251968, 4547410259612, 4547410252064, 4547410259674, 0074101022896, 0074101022902","-/+ 2 EV range, in 1/3 EV steps",,Auto / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,7 m,,16 - 50 mm / 18 - 55 mm,Yes,,DCF / DPOF / JPEG / RAW,EXR II,1664x1664 / 2304x2304 / 2496x1408 / 2496x1664 / 3264x3264 / 3456x1944 / 3456x2304 / 4896x2760,,Body cap,,Auto / 50 / 100 / 6400 / 25600,1/4000,SD / SDHC / SDXC,Average / Center-weighted / Multi / Spot,Yes,30s (more than 65%),,Fujifilm X-M1 kit 16-50mm,0 out of 5,"Face Detection
/ Panorama
/ Sweep Panorama",Yes,16 MP (more than 78%),920000 (more than 80%),"3"" (more than 62%)",LCD,2s / 10s,23.6x15.6mm,CMOS,,,Write a review,1280x720,330 g,,Cloudy / Daylight / Sunny,,"-/+ 1 EV (3 frames in 1/3, 2/3, 1 EV steps)","Center
/ Continuous
/ Contrast Detect
/ Face Detection
/ Multi-area
/ Single
/ Tracking",Kit,,1.5x,1:1 / 3:2 / 16:9,Fujifilm X,"Rs.41,620 - Homeshop18.com Show all prices »",Yes,49.0,Yes,,,"074101022896, 074101022902",,,,,,,Yes,,,
,"Nikon COOLPIX L29 digital camera prices, Shopping comparison for Nikon L 29, Buy online in India - ShopMania",,F/3.2 / F/3.2-6.5,NiMH,Compact,Nikon,Digital Cameras,Composite / USB,1.2,29 mm,AVI,4x,,"0018208892587, 0018208892570, 8033737553879, 0018208937912, 0018208937882, 0018208937851, 8431016229611, 8431016229413, 8033737553886","-/+ 2 EV range, in 1/3 EV steps",Auto / Backlight Compensation / Beach / Dawn / Fireworks / Food / Intelligent Auto / Landscape / Macro / Museum / Night Portrait / Night Scene / Party / Pet / Portrait / Scene / Snow / Sport / Sunset / e-Portrait,Auto,3.60 m,,4.6 - 23 mm,Yes,59 mm,DCF / DPOF / JPEG / DCF 2.0,Expeed C2,640x480 / 1600x1200 / 3264x2448 / 4608x2592 / 4608x3456,Digital,,20 MB,Auto / 20 / 50 / 80 / 85 / 100 / 130 / 160 / 200 / 320 / 640 / 1200 / 1600 / 2000,,SD / SDHC / SDXC,Center-weighted / Spot,Yes,3s,5x (more than 61%),Nikon COOLPIX L29,0 out of 5,Face Detection,Yes,16.1 MP (more than 84%),230000,"2.7""",LCD,10s,1/2.3,CCD,Poster,,Write a review,1280x720,160 g,,,96 mm,,,,,,,,"Rs.4,194 - Shopclues.com Show all prices »",,,,,,"018208892587, 018208892570, 018208937912, 018208937882, 018208937851",,,,,,,,,,
,"BenQ C1450 digital camera prices, Shopping comparison for BenQ C 1450, Buy online in India - ShopMania",Yes,F/2.9-5.4,Li-Ion,Compact,BenQ,Digital Cameras Digital Cameras,Composite / HDMI / USB,,24 mm,AVI / MJPEG,5x,Fixed,,,Auto / Manual / Scene,Auto / Off / On / Red Eye Reduction,,Built-in,6.3 - 18.9 mm,,61 mm,JPEG,,640x480 / 4288x3216 / 4320x3240,,Hand strap / USB cable,41 MB,Auto / 100 / 200 / 400 / 1600 / 6400,1/2000,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,,3x,BenQ C1450 BenQ C1450,0 out of 5 0 out of 5,"Blink Detection
/ Face Detection
/ HDR
/ Panorama
/ Smile Detection
/ Sweep Panorama",Yes,14 MP (more than 67%),230000,"2.7""",LCD,2s / 10s,1/2.3,CCD,Black & White / Contrast / Sepia,,Write a review Write a review,320x240 / 640x480 / 1280x720,110 g,Automatic,"Artificial
/ Cloudy / Daylight / Sunny / Flash / Fluorescent / Tungsten",92 mm,,,,,,,,,,,,,,,,,,,,,,,,
,"Canon EOS 650D kit 18-135mm digital camera prices, Shopping comparison for Canon EOS 650D kit 18 135mm, Buy online in India - ShopMania",Yes,F/3.5-5.6,Li-Ion,DSLR,Canon,Digital Cameras,Composite / USB / mini HDMI,5.0,79 mm,MJPEG / MOV / H.264,,Rotating,"0846431065771, 8714574585710, 0689466543353, 0639767686228, 0846431071772, 0689466543414, 0689466584561, 0846431065559, 0689466543315, 0846431065702","-/+ 5 EV range, in 1/2 or 1/3 EV steps",Aperture Priority / Program / Scene / Shutter Priority,Auto / Manual / Off / On / Red Eye Reduction,13 m,,18 - 135 mm,,100 mm,DCF / DPOF / JPEG / RAW,Digic 5,480x480 / 640x480 / 720x400 / 720x480 / 1280x1280 / 1696x1280 / 1728x1728 / 1920x1080 / 1920x1280 / 2304x1728 / 2304x2304 / 2592x1456 / 2592x1728 / 3072x2304 / 3456x1944 / 3456x2304 / 3456x3456 / 4608x3456 / 5184x2912 / 5184x3456,Optical,AV cable / Body cap / Carrying strap / Charger / USB cable,,Auto / 25 / 100 / 200 / 400 / 800 / 1600 / 3200 / 12800,1/4000,SD / SDHC / SDXC,Center-weighted / Multi / Partial / Spot,Yes,30s (more than 65%),,Canon EOS 650D kit 18-135mm,0 out of 5,HDR,Yes,18 MP (more than 90%),1040000 (more than 94%),"3"" (more than 62%)",Clear View II LCD,2s / 10s,22.3x14.9mm,CMOS,,Yes,Write a review,,575 g,,"Artificial
/ Cloudy / Daylight / Sunny / Flash / Fluorescent / Shade / Tungsten",133 mm,"-/+ 2 EV (3 frames in 1/3, 1/2 EV steps)","Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Phase Detect
/ Selective Single-point
/ Single",Kit,1/200,1.6x,1:1 / 3:2 / 4:3 / 16:9,Canon EF / Canon EF-S,,Yes,9.0,Yes,Yes,APS-C,"846431065771, 689466543353, 639767686228, 846431071772, 689466543414, 689466584561, 846431065559, 689466543315, 846431065702",95%,0.85x,Optical,,Yes,,,"Rs.75,995 Show all prices »",,
,"Canon PowerShot A1200 digital camera prices, Shopping comparison for Canon A 1200, Buy online in India - ShopMania",Yes,F/2.8-5.6 / F/2.8-5.9,NiMH,Compact,Canon,Digital Cameras,Composite / USB,6.0,30 7,MOV / MPEG / QuickTime / MPEG-4 / H.264,4x,Fixed,"8714574563916, 8714574563824, 0013803133677, 0837654976531, 0876544701877, 0876544701914, 0846431032070, 0837654976524, 0837654974780, 0837654974773, 0876544701884, 8714574563848","-/+ 2 EV range, in 1/3 EV steps",Auto / Custom / Manual / Program / Scene,Auto / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,4 m,Built-in,5 - 20 mm,,64 mm,DCF / DPOF / JPEG,Digic 4,640x480 / 1600x1200 / 2816x2112 / 4000x2248 / 4000x3000,Optical,AV cable / Carrying strap / Charger / Hand strap / USB cable,,Auto / 80 / 100 / 200 / 400 / 800 / 1600,1/1600,MultiMediaCard / MultiMediaCard Plus / SD / SDHC / SDXC,Average / Center-weighted / Multi / Spot,Yes,15s (more than 51%),4x (more than 51%),Canon PowerShot A1200,4 out of 5,"Blink Detection
/ Face Detection
/ Smile Detection",Yes,12.1 MP (more than 57%),230000,"2.7""",LCD,2s / 10s,1/2.3,CCD,"Black & White / Fisheye / Foliage
/ Monochrome / Neutral / Retro / Saturation / Sepia / Vivid",,Write a review,320x240 / 640x480 / 1280x720,185 g,Automatic / Custom / Presets,"Artificial
/ Cloudy / Daylight / Sunny / Fluorescent / Outdoor / Tungsten",97 mm,,"Center
/ Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Single
/ Tracking",,,,4:3 / 16:9,,,,9.0,Yes,,,"013803133677, 837654976531, 876544701877, 876544701914, 846431032070, 837654976524, 837654974780, 837654974773, 876544701884",100%,,Optical,28 - 112 mm,Yes,,,"Rs.4,329 Show all prices »",,
,"Fujifilm FinePix S9600 digital camera prices, Shopping comparison for Fujifilm Fine Pix S 9600, Buy online in India - ShopMania",Yes,F/2.8-4.9,,Compact,Fujifilm,Digital Cameras Digital Cameras,Composite / USB,1.5,129 mm,AVI / MJPEG,2x,Folding,"0876544328289, 0876544694179, 0876544694162, 0876544694155, 0876544694148","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Auto / Custom / Manual / Scene / Shutter Priority,,,Built-in / External,6.2 - 66.7 mm,,93 mm,JPEG / RAW,,640x480 / 1600x1200 / 2048x1536 / 2592x1944,,Lens cap,,Auto / 80 / 100 / 200 / 400 / 800 / 1600,1/4000,XD,,,30s (more than 65%),10.7x (more than 88%),Fujifilm FinePix S9600 Fujifilm FinePix S9600,2 out of 5 2 out of 5,,Yes,9 MP,235000 (more than 68%),"2""",,10s,1/1.6,CCD,,,Write a review Write a review,320x240,645 g,Custom / Presets,Cloudy / Daylight / Sunny / Flash / Fluorescent / Incandescent / Shade,128 mm,,,,,,,,,Yes,,,,,"876544328289, 876544694179, 876544694162, 876544694155, 876544694148",100%,,Digital,28 - 300 mm,,,,,,
,"Nikon COOLPIX L28 digital camera prices, Shopping comparison for Nikon L 28, Buy online in India - ShopMania",,F/3.2-6.5,NiMH,Compact,Nikon,Digital Cameras,USB,0.9,29 mm,AVI / MJPEG,4x,Fixed,0018208263936,"-/+ 2 EV range, in 1/3 EV steps",Backlight Compensation / Beach / Museum / Night Portrait / Pet / Portrait / Snow / e-Portrait,Auto,4.30 m,,4.6 - 23 mm,,60 mm,JPEG,Expeed C2,,Digital,Carrying strap / USB cable,27 MB,Auto / 20 / 80 / 100 / 130 / 200 / 320 / 400 / 640 / 800 / 1600,1/2000,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,1s,5x (more than 61%),Nikon COOLPIX L28,0 out of 5,Panorama,Yes,20.1 MP (more than 96%),,"3"" (more than 62%)",LCD,10s,1/2.3,CCD,,,Write a review,1280x720,164 g,,Cloudy / Daylight / Sunny / Flash / Fluorescent / Incandescent,95 mm,,,,,,,,"Rs.5,275 - Shopclues.com Show all prices »",,,,,,018208263936,,,,26 - 130 mm,Yes,,,,,
,"Sony Cyber-shot DSC-W830 digital camera prices, Shopping comparison for Sony Cybershot DSC W 830, Buy online in India - ShopMania",Yes,F/4.5 / F/3.3-6.3 / F/3.5-6.3,Li-Ion,Compact,Sony,Digital Cameras,Composite / USB,0.8,"20,9",AVC / MP4 / MPEG-4 / H.264,32x,Fixed,"4905524972443, 4905524972467, 4905524972757, 4905524972429, 4905524972498, 4905524972436, 8427247084563, 3355830056411, 3355830056428, 0027242876972, 0027242876965, 4905524972559, 8427247084556, 4905524972450, 8427247084570, 8427247084587","-/+ 2 EV range, in 1/3 EV steps",Beach / Beauty / Fireworks / High Sensitivity / High key / Intelligent Auto / Landscape / Macro / Movie / Night / Night Portrait / Night Scene / Panorama / Pet / Portrait / Program / Scene / Snow / Soft Skin / 3D,,2.80 m,,6 - 27 mm / 4.5 - 36 mm,Yes,"55,5",DCF / DPOF / JPEG,Bionz,640x480 / 1920x1080 / 2592x1944 / 3648x2736 / 5152x2896 / 5152x3864,Optical,Carrying strap / USB cable,27 MB,Auto / 20 / 25 / 80 / 100 / 120 / 150 / 200 / 250 / 320 / 400 / 640 / 800 / 1250 / 1600 / 3200,1/1500,Memory Stick / Memory Stick Duo / Memory Stick Micro / Memory Stick PRO Duo / Memory Stick PRO-HG Duo / Memory Stick Pro / Memory Stick XC-HG Duo / SD / SDHC / SDXC / micro SD / Memory Stick Micro M2,Center-weighted / Spot,Yes,1/1600,8x (more than 81%),Sony Cyber-shot DSC-W830,0 out of 5,"Face Detection
/ Panorama",Yes,20 MP (more than 95%),230000,"2.7""",LCD,2s,1/2.3,CCD,,Yes,Write a review,1280x720,104 g,,Cloudy / Daylight / Sunny / Fine / Fluorescent / Incandescent,"96,8",,"Center
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Single
/ Tracking",,,,4:3 / 16:9,,"Rs.7,149 - Shopclues.com Show all prices »",,,,,,"027242876972, 027242876965",,,,25 - 200 mm,Yes,,,,,
,"Fujifilm SL260 digital camera prices, Shopping comparison for Fujifilm SL 260, Buy online in India - ShopMania",Yes,F/3.1-5.9,Li-Ion,,Fujifilm,Digital Cameras,Composite / HDMI / USB / mini HDMI,8.0,,AVI / MJPEG,6.7x,,4547410197372,"-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Custom / Manual / Program / Scene / Shutter Priority,Auto / Fill-in / Off / On / Red Eye Reduction / Slow Speed Sync,8 m,,4.3 - 111.8 mm,,,DCF / DPOF / JPEG,,640x480 / 1920x1080 / 2048x1360 / 2048x1536 / 3072x1728 / 3072x2048 / 3072x2304 / 4288x2416 / 4288x2864 / 4288x3216,,Charger / Lens cap,,Auto / 64 / 3200 / 6400,1/4000,SD / SDHC / SDXC,Average / Multi / Spot,Yes,,26x (more than 97%),Fujifilm SL260,0 out of 5,"Blink Detection
/ Face Detection
/ Smile Detection",Yes,14 MP (more than 67%),460000 (more than 68%),"3"" (more than 62%)",LCD,2s / 10s,1/2.3,CCD,,,Write a review,320x240 / 1280x720,510 g,Automatic,"Daylight / Sunny / Fine / Flash / Fluorescent / Incandescent / Shade / Sunny
/ Tungsten",,,,,,,,,,,,,,,,,,Electronic,24 - 624 mm,,,,"Rs.17,999 Show all prices »",,
,"Canon EOS 70D kit 18-135mm digital camera prices, Shopping comparison for Canon EOS 70D kit 18 135mm, Buy online in India - ShopMania",,F/3.5-5.6,Li-Ion,DSLR,Canon,Digital Cameras,HDMI / USB,7.0,79 mm,MOV / H.264,,Rotating,"4960999979892, 8714574610740, 8714574610764, 8714574610733, 0013803221633, 8714574610788, 4960999979915","-/+ 5 EV range, in 1/2 or 1/3 EV steps",,Auto / Off / On,12 m,,18 - 135 mm,Yes,106 mm,JPEG / RAW,Digic 5+,480x480 / 640x480 / 720x408 / 720x480 / 1280x1280 / 1696x1280 / 1824x1824 / 1920x1080 / 1920x1280 / 2432x1824 / 2432x2432 / 2736x1536 / 2736x1824 / 3248x2432 / 3468x2048 / 3468x2432 / 3648x2432 / 3648x3648 / 4104x2736 / 4864x3648 / 5472x3072 / 5472x3648,Optical,,,Auto / 20 / 25 / 50 / 100 / 200 / 400 / 800 / 1600 / 8000 / 12800 / 25600,1/8000,SD / SDHC / SDXC,Center-weighted / Multi / Partial / Spot,Yes,30s (more than 65%),,Canon EOS 70D kit 18-135mm,0 out of 5,,Yes,20 MP (more than 95%),1040000 (more than 94%),"3"" (more than 62%)",Clear View II LCD,2s,22.5x15.0mm,CMOS,,Yes,Write a review,,675 g,,Daylight / Sunny / Tungsten,145 mm,"-/+ 3 EV (2, 3, 5, 7 frames in 1/3, 1/2 EV steps)","Center
/ Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Phase Detect
/ Selective Single-point
/ Single
/ Touch
/ Tracking",Kit,,1.6x,1:1 / 3:2 / 4:3 / 16:9,Canon EF / Canon EF-S,"Rs.93,004 - Indiatimes.com Show all prices »",Yes,19.0,Yes,Yes,,013803221633,98%,0.95x,Optical,,Yes,,Yes,,,
,"Sony Cyber-shot DSC-H400 digital camera prices, Shopping comparison for Sony Cybershot DSC H 400, Buy online in India - ShopMania",,F/2.8-6.3 / F/3.4-6.5,Li-Ion,Compact,Sony,Digital Cameras,Composite / USB,0.7,103 mm,AVC / MPEG-4 / H.264,100x,Fixed,"4905524981650, 4905524981629, 0027242877092, 4905524981643","-/+ 2 EV range, in 1/3 EV steps",Beauty / Intelligent Auto / Movie / Panorama / Pet / Program / Scene,Auto / Off / On / Slow Speed Sync,8.80 m,,4.3 - 215 mm,Yes,93 mm,DCF / DPOF / JPEG / MPF,Bionz R,2592x1944 / 2720x1528 / 2736x1824 / 3648x2056 / 3648x2736 / 3888x2592 / 4864x3648 / 5152x2896 / 5472x3080 / 5472x3648,Optical,,55 MB,Auto / 20 / 80 / 100 / 200 / 300 / 400 / 640 / 800 / 1600 / 2000 / 3200,1/2000,Memory Stick / Memory Stick Duo / Memory Stick Micro / Memory Stick PRO Duo / Memory Stick PRO Duo High Speed / Memory Stick PRO-HG Duo / Memory Stick Pro / Memory Stick XC-HG Duo / SD / SDHC / SDXC / micro SD,Center-weighted / Multi / Spot,Yes,30s (more than 65%),63.3x (more than 99%),Sony Cyber-shot DSC-H400,0 out of 5,"Panorama
/ Sweep Panorama",,20 MP (more than 95%),460000 (more than 68%),"3"" (more than 62%)",LCD,2s / 10s,1/2.3,CCD,,Yes,Write a review,1280x720,628 g,,Cloudy / Daylight / Sunny / Flash,130 mm,,"Center
/ Contrast Detect
/ Face Detection
/ Multi-area
/ Selective Single-point
/ Tracking",,,,4:3 / 16:9,,"Rs.17,599 - Shopclues.com Show all prices »",,,,,,027242877092,100%,,Electronic,25 - 1550 mm,,,,,,
,"Sony DSC-RX1 digital camera prices, Shopping comparison for Sony DSC RX 1, Buy online in India - ShopMania",,F/2.0 / F/2.0-22.0,Li-Ion,Compact,Sony,Digital Cameras,Composite / USB / micro HDMI / mini HDMI,5.0,70 mm,AVCHD / MPEG-4,14x,Fixed,"0845251048261, 4905524919929, 4905524919417, 5013493227538, 0111516789010, 0027242863507, 0639767679855, 0639767684576, 0846431074407, 0846431074384, 0846431074391, 0689466658644, 0689466655810, 0616932797828","-/+ 3 EV range, in 1/3 EV steps",High Sensitivity / Sunset,Auto / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,6 m,,10.4 - 37.1 mm,,65 mm,DCF / DPOF / JPEG / RAW,Bionz,2640x1488 / 2640x1760 / 3936x2216 / 3936x2624 / 6000x3376 / 6000x4000,,Carrying strap / Lens cap / Power adapter / USB cable,,Auto / 100 / 200 / 400 / 800 / 1600 / 3200 / 12800 / 25600,1/4000,Memory Stick PRO Duo / Memory Stick PRO-HG Duo / SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,30s (more than 65%),1x,Sony DSC-RX1,0 out of 5,"Blink Detection
/ Face Detection
/ HDR
/ Panorama
/ Smile Detection
/ Sweep Panorama",,24.3 MP (more than 98%),1229000 (more than 99%),"3"" (more than 62%)",LCD,2s / 10s,35.8x23.8mm,CMOS,,,Write a review,,482 g,,"Artificial
/ Cloudy / Daylight / Sunny / Flash / Fluorescent",113 mm,,"Center
/ Contrast Detect
/ Face Detection
/ Multi-area
/ Selective Single-point
/ Single
/ Tracking",,,,3:2 / 16:9,,,Yes,25.0,Yes,,,"845251048261, 111516789010, 027242863507, 639767679855, 639767684576, 846431074407, 846431074384, 846431074391, 689466658644, 689466655810, 616932797828",,,,,Yes,,,"Rs.178,500 Show all prices »",,
,"Sony Cyber-shot DSC-WX350 digital camera prices, Shopping comparison for Sony Cybershot DSC WX 350, Buy online in India - ShopMania",,F/3.5-6.5,Li-Ion,Compact,Sony,Digital Cameras,HDMI / USB / micro HDMI / micro USB,10.0,"25,7",AVCHD / MP4,40x,Fixed,"4905524981070, 0845251073133, 0845251073140, 0027242877900, 4905524981179, 4905524981056, 4905524981094, 4905524981087, 0845251073225, 4905524981155, 0027242877917, 5013493248861","-/+ 2 EV range, in 1/3 EV steps",Backlight HDR / Beach / Beauty / High Sensitivity / High key / Intelligent Auto / Macro / Movie / Panorama / Pet / Portrait / Program / Scene / Snow / Soft Skin / Sunset,Auto / Off / On / Slow Speed Sync,4.30 m,,4.45 - 44.5 mm,Yes,"54,9",JPEG,,,Optical,Carrying strap / USB cable,,Auto / 20 / 25 / 80 / 100 / 200 / 400 / 640 / 800 / 1600 / 3200 / 6400 / 12800,1/1600,Memory Stick / Memory Stick Duo / Memory Stick Micro / Memory Stick PRO-HG Duo / Memory Stick Pro / Memory Stick XC-HG Duo / SD / SDHC / SDXC / micro SD,Center-weighted / Multi / Spot,Yes,4s,20x (more than 94%),Sony Cyber-shot DSC-WX350,0 out of 5,"Face Detection
/ HDR
/ Panorama
/ Sweep Panorama",Yes,18 MP (more than 90%),460000 (more than 68%),"3"" (more than 62%)",LCD,2s / 10s,1/2.3,BSI CMOS,Retro,,Write a review,1440x1080 / 1920x1080,137 g,,"Artificial
/ Cloudy / Daylight / Sunny / Flash","96,0",,"Center
/ Face Detection
/ Multi-area
/ Single
/ Tracking",,,,3:2 / 4:3 / 16:9,,"Rs.15,500 - Shopclues.com Show all prices »",,,,,,"845251073133, 845251073140, 027242877900, 845251073225, 027242877917",,,,25 - 500 mm,Yes,,Yes,,,
