<page title>,aperture range,audio formats,auto focus,camera resolution,digital zoom,focal length,image format,image stablizer,iso rating,lens type,manual focus,maximum shutter speed,minimum shutter speed,optical zoom,other focus features,self timer,video format,white balancing,color filter,conitnous shots,delete function,dust reduction,face detection,hdmi,image ratio wh,macro mode,max resolution,microphone,operating system,pictbridge,processor,sensor size,sensor type,shooting modes,tv out,usb cable,video resolution,built in flash,external flash,flash modes,metering,sync terminal,view finder,red eye reduction,supported languages,wifi,battery type,dimensions,flash range,memory card type,power supply,type,upgradable memory,weight,picture angle,internal memory
"Nikon D4 (Body Only) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,Linear PCM,"Yes, TTL Phase Detection",16.2 MP,,,"NEF (RAW), JPEG, NEF (RAW) JPEG, DCF 2.0, DPOF, EXIF 2.3",,12800 - 200,Nikon F Mount,Yes,1/8000 sec,30 sec,,Autofocus Fine Tune,"Yes, 2, 5 and 10 sec","MOV, H.264 / MPEG-4","Auto (2 Types), Incandescent, Fluorescent (7 Types), Direct Sunlight, Flash, Cloudy, Shade, Preset Manual (Upto 4 Values), Color Temperature (2500 K-10000 K), All with Fine-Tuning",,"Yes, Yes, 1-10 fps (Continuous Low-speed Mode), 11 fps (Continuous high-speed)",,"Yes, Image Sensor Cleaning, Image Dust Off Reference Data",Yes,"Yes, Type C Mini-pin HDMI","5:4, 3:2",Yes,4928 x 3280 Pixels,"Yes, Built-in Monaural",,Yes,,36.0 x 23.9,CMOS,,"Yes, Audio Output",Yes,1920 x 1080 pixels,,,,"Yes, TTL Exposure Metering, Center-weighted, Matrix, Spot",Yes,,Yes,23,,,,,,,,,,,
"Sony CyberShot DSC RX1 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/2 - F/22,,"Yes, Center Weighted AF",24.3 MP,2x,35 mm,"JPEG, RAW, RAW JPEG",,50 - 102400,Carl Zeiss Vario Sonnar T,Yes,,,,,"Yes, 2 and 10 sec","AVCHD, H.264","Auto, Daylight, Shade, Cloudy, Incandescent, Flash",,"Yes, 5 fps",Yes,,Yes,,,"Yes, 20 cm (W) 35 cm (T)",,,Windows 7,,,,,"Superior Auto, Intelligent Auto, Program Auto, Movie Mode, Panorama, Scene Selection, Picture Effect, Manual Exposure",,,1920 x 1080 pixels,Yes,,"Flash Off, Autoflash, Fill-flash, Slow Sync, Rear Sync, Wireless (with Optional Compliant Flash)",,,,Yes,19,,,113.3 (W) x 65.4 (H) x 69.6 (D) mm,"0.75 - 21.7 m (W), 43.4 m",,,Mirrorless,,"482 g (with Battery and Memory Stick), 453 g Weight (Body Only)",,
"Fujifilm FinePix S4500 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.1 (W) - F5.9 (T),,"Yes, Single, Continuous, TTL Contrast AF, AF Assist Illuminator",14.0 MP,6.7x 201x,4.3 - 129 mm (35 mm Equivalent to 24 - 720 mm),JPEG (Exif Ver 2.3),"Yes, CCD Shift Type",64 - 6400,Fujinon Lens,No,1/2000 sec,4 sec,30x,"Focal Length Multiplier (5.5x), Lens Constitution ( 11 groups 15 lenses )","Yes, 2 or 10 sec","H.264, Motion JPEG","White Balance Presets (6), Automatic scene recognition, Fine, Shade, Fluorescent light (Daylight), Fluorescent light (Warm White), Fluorescent light (Cool White), Incandescent light, Custom","Yes, Primary (RGB) Color filter","Yes, 8 fps",Yes,,Yes,,,"Yes, 7 cm 300 cm (W), 200 cm 300 cm (T)",,,,,,,,"Zoom Bracketing, Natural Light, Natural Light & with Flash, Portrait, Baby, Smile, Landscape, Sport, Night, Night (Tripod), Fireworks, Sunset, Snow, Beach, Party, Flower, Text",,,,"Yes, Pop-Up",No,"Auto, Forced Flash, Suppressed Flash, Slow Synchro, Red-eye Reduction Auto, Red-eye Reduction & Forced Flash, Suppressed Flash, Red-eye Reduction & Slow Synchro.","Yes, TTL 256-zones metering, Multi, Spot, Average",,,Yes,35,,,,"0.4 - 7.0 m (W), 2.5 - 3.6 m (T)",,,,,,,
"Nikon CoolPix S32 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.3 (W) - F5.9 (T),,"Yes, Contrast Detect (Center), Center, Face Detection",13.0 MP,4x,30-90 mm,,,125 - 1600,,No,1/2000 sec,4 sec,3x,,"Yes, 10 Sec","MPEG-4, H.264",,,,,,Yes,,,,,,,,,,,"Subject, Scene",,,,,,,"Yes, Multi, Center-Weighted, Spot",,,,,,,,,,,,,,,
"Nikon Coolpix L620 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.3 (W) - F/5.9 (T),LPCM Stereo,"Yes, Contrast Detect AF",18.1 MP,2x,4.5 - 63 mm (35 mm Equivalent to 25 - 350 mm),"JPEG, DCF, EXIF 2.3, DPOF",,125 - 3200,NIKKOR ED Lens,,1/4000 sec,1 sec,14x,,"Yes, 10 sec","MOV, H.264 / MPEG-4 AVC, iFrame, VGA","Auto, Cloudy, Daylight, Flash, Flurescent, Incandescent, Preset Manual",,"Yes, Continuous H, Continuous H 60, Continuous H 120, Continuous L, Multi-shot 16, Single, Top Continuous Shooting Speed at Full Resolution: Up to 6 Shots at Approx 10 Frames Per Second",Yes,,Yes,,,Yes,,,,,,,,"Exposure Mode: Programmed Auto, Scene Mode: Back Light, Beach, Black and White Copy, Close Up, Dusk/Dawn, Easy Panorama, Food, Landscape, Museum, Night Landscape, Night Portrait, Party/Indoor, Pet Portrait, Portrait, Snow, Sports, Sunset",,,1920 x 1080 pixels at 30 fps,,,,"Yes, Matrix, Center Weighted, Spot",,,Yes,33,,,,,,,,,,,
"Fujifilm FinePix JZ100 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/2.9 (W) - F/7.9 (T),,"Yes, TTL Contrast",14 MP,6.7x,4.5 - 36 mm (35 mm Equivalent to 25 - 200 mm),"JPEG, EXIF 2.3, DCF, DPOF",,100 - 3200,Fujinon,,1/2000 sec,8 sec,8x,,"Yes, 2 and 10 sec",AVI (Motion JPEG ),"Automatic Scene Recognition, Preset: Fine, Shade, Fluorescent Light (Daylight), Fluorescent Light (Warm White), Fluorescent Light (Cool White), Incandescent Light","Yes, Primary (RGB) Color Filter","Yes, 1.2 fps",,,Yes,,,"Yes, 5 cm 60 cm (W), 80 cm 1.2 m (T)",,,,,,,,"SR Auto, Auto, Program, Movie, Natural Light, Natural Light with Flash, Natural Light",,,1280 x 720 pixels at 30 fps,,,,,,,Yes,35,,,100.3 (W) x 55.9 (H) x 23.9 (D) mm,,,,Point & Shoot,,"112 g (Without Battery and Memory Card), 129 g (With Battery and Memory Card)",25 mm Wide angle,
"Fujifilm X-M1 (16-50 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),,"Yes, Contrast Detect, Multi-Area, Center, Tracking, Single, Continuous, Face Detection",16.3 MP,,16 - 50 mm (35 mm Equivalent to 24 - 75 mm),JPEG (Fine & Normal Quality Level ),"Yes, Optical Image Stabilization",200 - 6400,Fujifilm X,Yes,1/4000 sec,30 sec,,"No. Of Focus Points (49), Tilting Articulated LCD, Live View, Focal Length Multiplier (1.5x), No. Of Diaphragm Blades (7), Rounded diaphragm, Optics (Elements - 12, Groups - 10), Lens Min. Focus (0.4x), Lens Max. Magnification (0.15x), Stepper Motor, Internal Focus Method, Rotatory Zoom Method, Filter Thread (58 mm)","Yes, 2 or 10 sec",MOV/H.264,,"Yes, Primary (RGB) Color filter","Yes, 6 fps",Yes,"Yes, Sensor Cleaning system (Ultra Sonic Vibration)",Yes,"Yes, Mini HDMI, Type-C",,,4896 x 3264 Pixels,"Yes, Built-in Stereo",,"Yes, PictBridge, Exif Print",EXR Processor II,23.6 x 15.6 mm,X-Trans CMOS,"AE Bracketing, Exposure Compensation, Subject/Scene Mode, Manual Exposure Mode, Shutter Priority, Aperture Priority",,Yes,,,,,"Yes, Multi-segment, center-weighted, spot","Yes, 1/180 sec",,Yes,,Yes,,,,,,,,,,
"Sony CyberShot DSC WX80 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.3 (W) - F/6.3 (T),,"Yes, Center Weighted AF",16.2 MP,32x,4.5 - 36 mm (35 mm Equivalent to 25 - 200 mm),"JPEG, DCF, DPOF",,100 - 12800,Carl Zeiss Vario-Tessar 8,,1/1600 sec,4 sec,8x,,"Yes, 2 and 10 sec","AVCHD 2.0, MPEG-4 AVC","Auto, Daylight, Cloudy, Fluorescent, Incandescent, Flash, One Push, One Push Set",,"Yes, 10 Shots at 10 fps",Yes,,Yes,,"16:9, 4:3","Yes, 5 cm (W) 150 cm (T)",4608 x 3456 Pixels,,,,,1/2.3 inch,Exmor R CMOS,"Superior Auto, Intelligent Auto, Easy Shooting, Program Auto, Movie Mode, Panorama, Scene Selection, Picture Effect, 3D, Background Defocus, Intelligent Sweep Panorama",,,1920 x 1080 pixels,,,,,,,Yes,19,,,92.3 (W) x 52.5 (H) x 22.5 (D) mm,,SD / SDHC / SDXC / microSD / microSDHC / microSDXC / Stick Duo / Stick PRO Duo / Stick PRO Duo (High Speed) / Stick PRO HG Duo / Stick Micro / Stick Micro (Mark 2),,Point & Shoot,Yes,"124 g (with Battery and Meomry Card), 108 g (Body Only)",,48.0 MB
"Canon IXUS 265 HS Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.6 (W) - F7.0 (T),,"Yes, Contrast Detect, Multi-Area, Center, Single, Continuous, Face Detection",16 MP,4x,25 - 300 mm,JPEG ( Fine & Superfine JPEG Quality ),"Yes, Optical",100 - 3200,,Yes,1/2000 sec,15 Sec,12x,"1 cm Macro Focus Range, 9 Focus Points, 5 cm Normal Focus Range","Yes, 10 or 2 seconds, Custom",H.264,"5 White Balance Presets, Custom White Balance",,,,,Yes,,"1:1, 4:3, 3:2, 16:9",,4608 x 3456 Pixels,,,,DIGIC 4+,1/2.3,CMOS,,,,,,,,"Yes, Multi, Center-Weighted, Spot",,,,,,,,,,,,,,,
"Canon EOS M (EF-M 18-55 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.5 - F/5.6,,"Yes, Contrast Detect AF",18 MP,,,"JPEG, RAW, EXIF 2.3, DPOF",,100 - 25600,Canon EF-M Mount,Yes,1/4000 sec,60 sec,,,"Yes, 2 and 10 sec","MPEG-4, H.264","Auto, Daylight, Shade, Cloudy, Tungsten, White Fluorescent Light, Flash, Custom","Yes, Primary (RGB) Color Filter","Yes, 4.3 fps",,,Yes,,3:2,,5184 x 3456 Pixels,,"Windows 7, Windows Vista, Windows XP, Mac OS X 10.5 10.6",,,22.3 x 14.9 mm,CMOS,"Handheld Night Shot, Back Light Correction HDR, Sports Mode, Night Portrait, Close-up, Portrait Mode, Landscape",,,1280 x 720 pixels at 30 fps,,,,,,,Yes,25,,,,,,,,,,,
"Olympus SH50 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.0 - F/6.9,,"Yes, TTL Auto Focus",16 MP,4x,4.5 - 108 mm (35 mm Equivalent to 25 - 600 mm),"JPEG, DCF, EXIF 2.3, DPOF, PIM III",,125 - 6400,Olympus Lens,,1/2000 sec,1/4 sec,24x,,"Yes, 2 and 12 sec",QuickTime Motion JPEG,"Auto, Preset (Overcast, Sunlight, Tungsten, Flourescent 1)","Yes, Primary (RGB) Color Filter",,Yes,,Yes,"Yes, Micro HDMI (Type D)","4:3, 3:2, 16:9, 1:1","Yes, 3 cm",4608 x 3456 Pixels,"Yes, Stereo",,Yes,,1/2.3 inch,CMOS,"i-Auto, Programme Automatic, Advanced Movie, P Movie Clip, Panorama, Hand-held Starlight, Scene Modes, Magic Filter, Manual","Yes, Audio / Video Output (NTSC, PAL)",Yes,1920 x 1080 pixels at 30 fps,,,,,,,Yes,39,,,,,,,,,,25 mm Wide angle,
"Sony Nex VG900 (Body Only) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,"Dolby Digital 5.1ch, Dolby Digital 5.1Creator; Dolby Digital 2ch stereo","Yes, Contrast Detect, Focal Plane Phase Detect, Focus Points (25)",24.0 MP,2x,,"DCF Ver.2.0 compatible, Exif Ver.2.3 compatible, MPF Baseline compatible",,100 - 25600,Sony E-Mount,Yes,1/10000 sec,48 sec,,"Tracking Focus, Manual Focus Assist","Yes, 10 sec",,"Auto, Onepush, Outdoor, Indoor, WB Temp","Yes, Primary (RGB) Color filter","Yes, 3 fps",,"Yes, Charge protection coating on Filter","Yes, Auto, Child Priority, Adult Priority",,,,6000 x 4000 Pixels,,,,BIONZ Image Processor,35.8 x 23.9,Full-Frame Exmor HD CMOS,,,,,,,,"Yes, Multi-segment, touch spot, 99 Segment metering from CMOS image sensor",,,Yes,5,,,,,,,,,,,
"Nikon D5300 (AF-S 18-140 mm VR) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),LineaR PCM,"Yes, Contrast Detect, Phase Detect, Multi-Area, Center, Selective Single Point, Tracking, Single, Continuous, Face Detection, Live View",25 MP,,18 - 140 mm (35 mm Equivalent to 27 - 210 mm),"JPEG ( Fine, Normal & Basic Quality )",No,100 - 25600,Nikon F mount (with AF contacts),Yes,1/4000 sec,30 sec,,"Focal Length Multiplier (1.5x), No. Of Focus Points (39)","Yes, 2, 5, 10 or 20 sec","MPEG-4, H.264, MOV","Custom White Balance (1), White Balance Presets (12), Auto, incandescent, fluorescent (7 types), direct sunlight, flash, cloudy, shade, preset manual, all except preset manual with fine-tuning.",,"Yes, 5 fps, Continous low shooting mode: 1-4fps,Continous high shooting mode: 4.5fps",,"Yes, Image sensor cleaning, Image Dust Off reference data (optional Capture NX 2 software required)",,"Yes, HDMI Mini Type C",,,6000 x 4000 Pixels,"Yes, Built-in Stereo",,"Yes, PictBridge 1.0",Expeed 4,23.5 x 15.6 mm,CMOS,,"Yes, Analog Video Output (NTSC, PAL)",Yes,,"Yes, Pop-Up","Yes, Hot-shoe","Auto, On, Off, Red-eye, Slow sync, Rear curtain","Yes, Multi-Pattern, Center-Weighted, Spot","Yes, 1/200 sec",,,30,Yes,,,12.00 m (at ISO 100),,,,,,,
"Nikon D5200 (AF-S DX Nikkor 18-140mm ED VR) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),Linear PCM,"Yes, Contrast Detect, Phase Detect, Multi-Area, Selective Single Point, Tracking, Single, Continuous, Face Detection, Live View",24.7 MP,,18 - 140 mm (35 mm Equivalent to 27 - 210 mm),"JPEG, NEF (RAW), NEF (RAW) JPEG, EXIF 2.3, DCF 2.0, DPOF ( Fine, Normal, & Basic Quality )",No,100 - 25600,Nikon F mount (with AF contacts),Yes,1/4000 sec,30 sec,3x,"Filter Thread (67 mm), Internal Focus Method, Ultrasonic Motor Type, Max. Magnification (0.23x), Min. Focus (0.45m), Lens Construction (17 Elements & 12 Groups), No. of Diaphragm Blades (7), Lens Image Stabilization (VR), Focal Length Multiplier (1.5x), No. Of Focus Points (39), Eye Point (17.9 mm)","Yes, 2, 5, 10 or 20 sec","MOV, MPEG-4 / H.264","Auto, incandescent, fluorescent (7 types), direct sunlight, flash, cloudy, shade, preset manual, all except preset manual with fine-tuning","Yes, Primary (RGB) Color Filter","Yes, 3 fps",Yes,"Yes, Image sensor cleaning, Image Dust Off reference data (optional Capture NX 2 software required)",Yes,"Yes, HDMI Mini Type C",,,6000 x 4000 Pixels,"Yes, Built-in Stereo",,"Yes, PictBridge 1.0",Expeed 3,23.5 x 15.6 mm,CMOS,Auto modes (auto; auto (flash off)); programmed auto with flexible program (P); shutter-priority auto (S); aperture-priority auto (A); manual (M); scene modes (portrait; landscape; child; sports; close up; night portrait; night landscape; party/indoor; beach/snow; sunset; dusk/dawn; pet portrait; candlelight; blossom; autumn colors; food); special effects modes (night vision; color sketch; miniature effect; selective color; silhouette; high key; low key),"Yes, Analog Video Output (NTSC, PAL)",Yes,1920 x 1080 pixels at 30 fps,"Yes, Pop-Up","Yes, Hot-Shoe","Auto, auto with red-eye reduction, auto slow sync, auto slow sync with red-eye reduction, fill-flash, red-eye reduction, slow sync, slow sync with red-eye reduction, rear-curtain with slow sync, rear-curtain sync, off","Yes, Multi-Pattern, Center-Weighted, Spot","Yes, 1/200 sec",,Yes,26,Yes,,,,,,,,,,
"Sony CyberShot WX350 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 - F6.5,,Yes,18.2 MP,204x,4.3 - 86 mm,,,80 - 1600,Sony G,,1/1600 Sec,1 Sec,20x,"Auto Focus Illuminator: Auto / Off, Face Detection Mode: Off / On, Face Detection: Maximum 8 Faces","Yes, Yes, Off, 10 sec, 2 sec, Portrait 1, Portrait 2",,"Auto, Daylight, Cloudy, Incandescent, Fluorescent: Cool White, Fluorescent: Day White, Fluorescent: Daylight, Flash, Custom",,,,,Yes,,,,4896 x 2752 Pixels,,,,BIONZ X Image Processor,1/2.3 inch,Exmor R CMOS,"Superior Auto, Intelligent Auto, Program Auto, Movie Mode, Panorama, Scene Selection",,,,,,,"Yes, Light Metering (Multi Pattern, Center-weighted, Spot)",,,,,,,,,,,,,,,
"Canon PowerShot SX50 HS Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.4 (W) - F/6.5 (T),Linear PCM (Stereo),"Yes, TTL",12.1 MP,4x,4.3 - 215 mm (35 mm Equivalent to 24 - 1200 mm),"JPEG, EXIF 2.3, DCF, DPOF 1.1, RAW, RAW JPEG","Yes, Optical Image Stabilization",80 - 6400,,Yes,1/2000 sec,15 sec,50x,,"Yes, 2 and 10 sec","MOV (H.264), iFrame","Auto (Including Face Detection WB), Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Flash, Custom1, Custom 2, Multi-area WB Correction (In Smart Auto), White Balance Compensation","Yes, Primary (RGB) Color Filter","Yes, 2.2 fps (P Mode), 13 fps (High-speed Burst HQ Mode)",Yes,,Yes,"Yes, Mini HDMI",,"Yes, 0 50 cm (W), 30 cm 50 cm (T)",,"Yes, Stereo","Windows 7 SP1, Windows Vista SP2, Windows XP SP3, Mac OS X 10.6, Mac OS X 10.7",Yes,,,,"Smart Auto (58 Scenes Detected), Program AE, Shutter Priority AE, Aperture Priority AE, Manual, Custom 1, Custom 2, SCN, Creative Filters, Movie Digest, Movie","Yes, Audio / Video Output (NTSC, PAL)",Yes,1920 x 1080 pixels at 24 fps,,,,,,,Yes,30,,,,,,,,,,50x Ultrazoom With 24 Ultra Wide-angle,
"Panasonic Lumix DMC GF5W (14 mm & 14-42 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),AAC 2 ch,"Yes, Contrast Detect, Multi-Area, Selective Single Point, Tracking, Single, Continuous, Touch, Face Detection, Live View.",12.1 MP,2x 4x,14 mm & 14 - 42 mm,"JPEG ( Fine, Standard Quality )","Yes, Power Optical Image Stabilization",160 - 12800,Panasonic LUMIX G X VARIO,Yes,1/4000 sec,60 sec,,"Auto Focus Assist Light, Focal Length Multiplier (2x), No. Of Focus Points (23), Filter Diameter (37 mm), Lens Construction (9 elements in 8 groups (4 aspherical lenses , 2 ED lens)), Nano Surface Coating","Yes, 2 or 10 sec","MPEG-4, AVCHD, H.264","White Balance Presets (Auto, Daylight, Cloudy, Shade, Incandescent, Flash, White Set 1, White Set 2, Color Temperature Setting ), Custom White Balance (2)","Yes, Primary (RGBG) Color filter","Yes, 4 fps",Yes,"Yes, Supersonic wave filter",Yes,"Yes, Mini HDMI, Type-C",,,4000 x 3000 Pixels,"Yes, Built-in Stereo","Included Software (PHOTOfunSTUDIO 8.2 AE, SILKYPIX Developer Studio 3.1 SE, Super LoiloScope (trial), USB Driver )","Yes, PictBridge 1.0",Venus Engine FHD,17.3 x 13 mm,CMOS,"Creative Exposure Modes (Scene Guide: Clear Portrait, Silky Skin, Backlit Softness, Clear in Backlight, Relaxing Tone, Sweet Child's Face, Distinct Scenery, Bright Blue Sky, Romantic Sunset Glow, Vivid Sunset Glow, Glistening Water, Clear Nightscape, Cool Night Sky, Warm Glowing Nightscape, Artistic Nightscape, Glittering Illuminations, Clear Night Portrait, Soft Image of a Flower, Appetizing Food, Cute Dessert, Freeze Animal Motion, Clear Sports Shot, Monochrome; Creative Control: Expressive, Retro, High Key, Low Key, Sepia, Dynamic Monochrome, Impressive Art, High Dynamic, Cross Process, Toy Effect, Miniature Effect, One Point Color)","Yes, Analog Video Output (NTSC, PAL)",Yes,,,,,"Yes, Multi-Pattern, Center-Weighted, Spot","Yes, 1/160 sec",,Yes,7,,,,,,,,,,,
"Samsung WB350F Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F2.8 (W) - F5.9 (T),AAC,"Yes, Contrast Detect (Sensor)",16.3 MP,,4.1 - 86.1 mm (35 mm Equivalent to 23 - 483 mm),"JPEG (DCF), EXIF 2.21","Yes, Optical",80 - 3200,,Yes,1/2000 sec,16 Sec,21x,,"Yes, Off, 2 Sec, 10 Sec","MPEG4, AVC/H.264","Auto WB, Daylight, Cloudy, Fluorescent_H, Fluorescent_L, Tungsten, Custom, K",,,,,Yes,,,,,,,,,,,,,,,Yes,No,"Auto, Auto & Red-eye reduction, Fill-in flash, Slow sync, Flash Off, Red-eye fix","Yes, Multi, Spot, Center-weighted, Face Detection AE",,,,,,,,"0.3 - 4.1 m (W), 0.5 - 2.9 m (T)",,,,,,,
"Nikon CoolPix L28 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.2 - F/6.5,,"Yes, Contrast Detect AF",20.1 MP,4x,4.6 - 23 mm (35 mm Equivalent to 26 - 130 mm),"JPEG, EXIF 2.3, DCF, DPOF",,80 - 1600,NIKKOR Lens,,1/2000 sec,1 sec,5x,,"Yes, 10 sec",AVI (Motion-JPEG Compliant),"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Preset Manual",,"Yes, 6 Shots at 1.1 fps",Yes,,Yes,,,"Yes, 10 cm",,,,,,,,"Auto, Easy Auto, Scene (Portrait, Landscape, Sports, Night Portrait, Party / Indoor, Beach, Snow, Sunset, Dusk / Dawn, Night Landscape, Close-up, Food, Museum, Fireworks Show, Black and White Copy, Backlighting, Panorama, Pet Portrait), Smart Portrait",,,1280 x 720 pixels at 30 fps,,,,,,,Yes,32,,,94.5 (W) x 59.8 (H) x 29 (D) mm,,,,Point & Shoot,,164 g (with Battery and SD Memory Card),26 mm Wide-angle,
"Canon PowerShot S110 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/2.0 (W) - F/5.9 (T),Linear PCM (Stereo),"Yes, TTL",12.1 MP,4x,5.2 - 26 mm (35 mm Equivalent to 24 - 120 mm),"JPEG, EXIF 2.3, DCF, DPOF 1.1, RAW, RAW JPEG",,80 - 12800,,Yes,1/2000 sec,15 sec,5x,,"Yes, 2 and 10 sec","MOV (H.264), iFrame","Auto (Including Face Detection WB), Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Flash, Custom1, Custom 2, Multi-area WB Correction (In Smart Auto), White Balance Compensation","Yes, Primary (RGB) Color Filter","Yes, 2.1 fps (P Mode), 10 fps (High-speed Burst HQ Mode)",Yes,,Yes,"Yes, Mini HDMI",,"Yes, 3 50 cm (W), 30 cm 50 cm (T)",,"Yes, Stereo","Windows 7 SP1, Windows Vista SP2, Windows XP SP3, Mac OS X 10.6, Mac OS X 10.7",Yes,,,,"Smart Auto (58 Scenes Detected), Program AE, Shutter Priority AE, Aperture Priority AE, Manual, Custom 1, Custom 2, SCN, Creative Filters, Movie Digest, Movie","Yes, Audio / Video Output (NTSC, PAL)",Yes,1920 x 1080 pixels at 24 fps,,,,,,,Yes,30,,,98.8 (W) x 59 (H) x 26.9 (D) mm,,,,Point & Shoot,,"173 g (Camera Body Only), 198 g (with Battery and Memory Card)",5x Wide-angle,
"Olympus Stylus TG3 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F2.0 (W) - F4.9 (T),,"Yes, Contrast Detect, Multi-Area, Center, Tracking, Single, Continuous, Face Detection, Live View.",16 MP,4x,4.5 - 18 mm (35 mm Equivalent to 25 - 100 mm),JPEG,"Yes, Sensor Shift",100 - 6400,High Speed Lens,,1/2000 sec,4 sec,4x,"Normal Focus Range (10cm), Macro Focus Range (1cm), Focal Length Multiplier (5.5x)","Yes, 2 or 12 sec, custom","MOV/H.264, AVI / Motion JPEG","White Balance Presets (5), Custom White Balance",,,,,,,,,4608 x 3456 Pixels,,,,TruePic VII,1/2.3 inch (6.17 x 4.55 mm),BSI CMOS,,,,,,,,,,,,,,,,,,,,,,,
"Canon PowerShot SX60 HS Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.4 (W) - F6.5 (T),,"Yes, Contrast Detect, Multi-Area, Selective Single Point, Tracking, Single, Continuous, Face Detection, Live View",17.0 MP,4x,3.8 - 247 mm (35 mm Equivalent to 21 - 1365 mm),JPEG,"Yes, Optical Image Stabilization (Lens-shift type)",100 - 6400,Canon Zoom Lens 65x IS,Yes,1/2000 sec,15 sec,65x,"No. of Focus Points (9), Focal Length Multiplier (5.52x)","Yes, 2 or 10 sec, Custom","MPEG-4, H.264","White Balance Presets (7), Custom White Balance (2 slots)",,,,,Yes,,4:3,,4608 x 3072 Pixels,,,,DIGIC 6,6.17 x 4.55 mm,CMOS,"C1, C2, M, Av, Tv, P, Hybrid Auto, Auto, Creative Shot, Sports, SCN (Portrait, Smart Shutter, Handheld Night Scene, Low Light, Snow, Fireworks), Creative Filters(High Dynamic Range, Fish-eye Effect, Miniature Effect, Toy Camera Effect, Soft Focus, Monochrome, Super Vivid, Poster Effect), Movie (Standard, Manual (Movie), iFrame Movie, Super Slow Motion Movie)",,,,,,,"Yes, Evaluative, Center-weighted average, Spot",,,,,,,,,,,,,,,
"Nikon CoolPix S6800 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.3 (W) - F6.3 (T),,"Yes, Contrast Detect (sensor), Center, Selective Single Point, Tracking, Single, Continuous, Face Detection",16.0 MP,4x,25 - 300 mm,,"Yes, Optical",125 - 6400,,,1/2000 sec,4 sec,12x,,"Yes, 10 or 2 seconds","MPEG-4, H.264",,,,,,Yes,,,,,,,,,,,,,,,,,,"Yes, Multi, Center-Weighted, Spot",,,,,,,,,,,,,,,
