<page title>,camera type,color,display size,flash type,megapixels,optical sensor size,optical sensor type,returns policy,shooting modes,warranty labor,warranty parts,35mm equivalent focal length max,35mm equivalent focal length min,optical viewfinder type,contents,portsconnectors,power notes,actual weight,memory notes,physical dimensions,warranty details,audio input type,battery technology,digital video format,display form factor,display technology,flash memory form factor,light sensitivity,red eye reduction,shutter speed,still image format,video input type,battery run time max,digital zoom,optical zoom,focal length max,focal length min,special effects,compatibility notes,lens aperture,storage capacity,weight
"Buy Pentax WG-M1 Waterproof Shockproof Digital Camera, 14MP, Black Cameras - Digital - Point & Shoot 08273 today at PC Connection",,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon J3 Interchangable Lens Digital Camera, 14.2MP, White with Cameras - Digital - SLR 27638 today at PC Connection",Mirrorless system,White,3 in,Pop-up flash,14.2 megapixel(s),13.2 x 8.8mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Landscape Night landscape Portrait Close-up Night Portrait,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Fujifilm FinePix S8400 Digital Camera, 16MP, 30x Zoom, Black Cameras - Digital - Point & Shoot 16324446 today at PC Connection",Compact,Black,3 in,Pop-up flash,16.2 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Beach Flower Sports Pro low light Portrait Snow Night (tripod) Landscape Zoom bracketing Dynamic Range (HDR) Sunset Natural Light Party/Indoor Individual shutter 3D Baby Text Smile shot,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon J3 Interchangable Lens Digital Camera, 14.2MP, Red with 10 Cameras - Digital - SLR 27659 today at PC Connection",Mirrorless system,Red,3 in,Pop-up flash,14.2 megapixel(s),13.2 x 8.8mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Close-up Portrait Night landscape Night Portrait Landscape,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Pentax XG-1 Digital Camera Kit - Black Cameras - Digital - Point & Shoot 07988 today at PC Connection,Compact,Black,3 in,Pop-up flash,16 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Night Portrait Fireworks Show Party/Indoor Snow Handheld night scene Children Pet Sports Portrait Beauty face Landscape Multiple exposure Sunset,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Canon PowerShot S110 Digital Camera Kit, 12.1MP, 5x Zoom, Silver Cameras - Digital - Point & Shoot 6798B001 today at PC Connection",Point & Shoot camera,Silver,3 in,Built-in flash,12.1 megapixel(s),"1/1.7""",CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Smart shutter Snow My Colors Stitch assist Portrait,Call for Warranty,Call for Warranty,120 mm,24 mm,,"Camera, battery pack, battery charger, wrist strap, USB cable, CD, documentation","Mini HDMI
Video Out: NTSC/PAL",Battery: NB-5L Lithium-Ion,6.10 oz,SD memory card slot,"2.3""h x 3.9""w x 1.1""d",,,Lithium ion,H.264 MOV,Built-in,LCD TFT,,ISO 80 Auto mode,,15 - 1/2000 1 - 1/2000,,Digital camera,,4 X,5 X,26 mm,5.2 mm,Black & White Neutral Vivid Sepia,"The PowerShot S110 is equipped with built-in Wi-Fi for on-the-go convenience when you want to share what you've recorded with friends, family and the whole world. The camera makes it easy to connect directly to both iOS and Android devices, and upload images via the free Canon CameraWindow app. Using CANON iMAGE GATEWAY#, you can easily post your images to your favorite social networking sites to update friends and family while you're traveling or just out and about. Even without a mobile device, you can send images to a PC, share images between Wi-Fi enabled PowerShot cameras and you can even print in a snap by sending your images wirelessly to a Wi-Fi compatible printer.
Newly engineered specifically for the PowerShot S110, the camera's 24mm Wide-Angle 5x Optical Zoom lens with a focal length of 5.2-26.0mm (35mm film equivalent: 24-120mm) achieves f/2.0-f/5.9, giving the user exceptional versatility. The Wide-Angle lens gives your images a distinctive sweep and grandeur, capturing landscapes, cityscapes, tall buildings and wide groups of people with ease. The large f/2.0 aperture allows you to achieve shallow depth-of-field for creating portraits with beautiful, soft background blur, and incomparable Canon optical technology delivers a high performance lens enabling incredible images, even in low light.
The PowerShot S110 employs a Canon 12.1 Megapixel CMOS sensor, which delivers state-of-the-art imaging performance and is optimized for use in compact cameras. Utilizing a sophisticated light-capturing design, it provides high sensitivity for improved high ISO capture with reduced noise. It is also a high-speed design, capable of rapidly capturing and moving image data to the processor, enabling faster continuous shooting and faster autofocus.
The latest-generation Canon DIGIC 5 Image Processor works with the PowerShot S110's image sensor to bring phenomenal increases in processing speed and power, delivering incredible detail in more situations, without the need for artificial light sources. Improved noise reduction produces clearer images when shooting in low light at high ISO speeds. The faster processing speed results in faster continuous shooting capability while maintaining full image quality. With the power of the DIGIC 5 Image Processor, the PowerShot S110 can achieve higher ISO sensitivity and even perform advanced functions like lens correction, special scene modes and much more.
The PowerShot S110 gives you the power to create images with spectacular depth, detail and emotional resonance. The 12.1 Megapixel High-Sensitivity CMOS sensor works in concert with Canon's own latest-generation DIGIC 5 Image Processor to create the renowned Canon HS SYSTEM. With the Canon HS SYSTEM, you'll experience excellent tracking performance even in low light, and achieve gorgeous still image quality even at high ISO speeds all the way up to ISO 12800; beautiful low-light shots are possible with minimal noise and maximum detail in highlight and shadow areas.",,,
"Buy Vista Quest Action Camera 2.4"" LCD 1080P White Cameras - Digital - Point & Shoot HPAC100WHT today at PC Connection",,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Olympus Stylus SH-1 Digital Camera, 16MP, Black Cameras - Digital - Point & Shoot V107080BU000 today at PC Connection",Compact,Black,3 in,Pop-up flash,16 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Indoor Cuisine Night Portrait Beach/snow Landscape Night scene Self Portrait Fireworks Show Handheld starlight E-portrait Panorama assist Backlight correction HDR Documents Super Macro Sunset Sports Portrait,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Olympus Stylus Tough TG-850 Digital Camera, Silver Cameras - Digital - Point & Shoot V104150SU000 today at PC Connection",Compact,Silver,3 in,Built-in flash,16 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Underwater macro Sports E-portrait Portrait Backlight correction HDR Underwater wide2 Handheld starlight Panorama assist Underwater wide1 Documents Indoor Underwater snapshot Self Portrait Beach/snow Fireworks Show Sunset Cuisine Landscape Night Portrait,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Olympus Stylus SH-1 Digital Camera, 16MP, Silver Cameras - Digital - Point & Shoot V107080SU000 today at PC Connection",Compact,Silver,3 in,Pop-up flash,16 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Fireworks Show Beach/snow Cuisine Handheld starlight Documents Indoor Super Macro E-portrait Backlight correction HDR Sports Sunset Portrait Self Portrait Night scene Panorama assist Night Portrait Landscape,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Canon EOS-M Mirrorless Digital Camera with EF-M 22mm f 2 STM Cameras - Digital - SLR 6609B033 today at PC Connection,SLR camera,Black,3 in,,18 megapixel(s),14.9 x 22.3mm,3MOS,This product is subject to our return policy. Please see our complete return policy for details.,Night Portrait Portrait Close-up Landscape Handheld night shot Sports Backlight correction HDR,1 Year,1 Year,,,,"Camera Body, Lens, Body Cover, Battery, Battery Charger, Lens Cap, Neck Strap, Battery Cover, USB Cable, Software, Documentation",,,9.24 oz,,"2.62""h x 4.28""w x 1.27""",,,Lithium ion,,,LCD Touch screen,SDXC Card SDHC Card SD Card,,,,JPEG,Digital camera,,,,,,,,,,
Buy Olympus E-P5 PEN Mirrorless Digital Camera with 17mm f 1.8 Lens Cameras - Digital - SLR V204053SU000 today at PC Connection,Mirrorless system,Silver,3 in,Pop-up flash,16.1 megapixel(s),13.0 x 17.3mm,Live MOS,This product is subject to our return policy. Please see our complete return policy for details.,Macro converter Beach/snow Wide converter Low key Nature macro High key Underwater wide Fisheye converter 3D image E-portrait Documents Fireworks Show Sunset Underwater macro Panorama assist Portrait Night Portrait Night scene Sports Landscape Macro Children Landscape + Portrait Candle,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Canon PowerShot ELPH 135, 16MP, 8x Zoom, Black Cameras - Digital - Point & Shoot 9150B001 today at PC Connection",Point & Shoot camera,Black,2.7 in,Built-in flash,16 megapixel(s),"1/2.3""",CCD,This product is subject to our return policy. Please see our complete return policy for details.,Toy camera effect Snow Poster effect Portrait Auto mode Low light Fisheye effect Super vivid Miniature effect Fireworks Show,1 Year,1 Year,224 mm,28 mm,,"camera, battery pack, battery charger, wrist strap, documentation",,,4.50 oz,,"2.1""h x 3.7""w x 0.9""d",,,Lithium ion,,Built-in,LCD,SDHC Card SDXC Card SD Card,,,1 - 1/2000,,,,4 X,8 X,40 mm,5 mm,,"8x Optical Zoom helps ensure outstanding optical performance and versatility.
16.0 Megapixel sensor combined with the DIGIC 4+ Image Processor for outstanding performance.
Shoot 720p HD video with a dedicated movie button.
Smart AUTO intelligently selects the proper camera settings based on 32 predefined shooting situations.
Digital IS helps reduce the effect of camera shake and subject movement.
Scene Modes such as Fisheye Effect, Toy Camera Effect and Monochrome provide creative freedom to capture your photos.
ECO Mode helps reduce power consumption for longer battery life.
Help Button provides simple explanations and easy control of your settings.",,,
"Buy Olympus E-P5 PEN Mirrorless Digital Camera, Silver Cameras - Digital - SLR V204050SU000 today at PC Connection",Mirrorless system,Silver,3 in,Pop-up flash,16.1 megapixel(s),13.0 x 17.3mm,Live MOS,This product is subject to our return policy. Please see our complete return policy for details.,Portrait Beach/snow Night scene Low key Landscape + Portrait Landscape Panorama assist Underwater macro Candle Fisheye converter Fireworks Show E-portrait Wide converter Underwater wide Documents Night Portrait High key Macro Sports Sunset Children Macro converter Nature macro 3D image,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Sakar VS1527 Bridge Digital Camera, 16MP, 18x Zoom, Black Cameras - Digital - Point & Shoot VS1527-BLACK today at PC Connection",Compact,Black,3 in,Pop-up flash,16.1 megapixel(s),,,,,1 Year,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Olympus Stylus Tough TG-850 Digital Camera, Black Cameras - Digital - Point & Shoot V104150BU000 today at PC Connection",Compact,Black,3 in,Built-in flash,16 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Beach/snow Underwater snapshot Handheld starlight E-portrait Backlight correction HDR Documents Underwater wide1 Fireworks Show Underwater wide2 Cuisine Underwater macro Sunset Sports Self Portrait Portrait Panorama assist Night Portrait Landscape Indoor,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Olympus OM-D E-M10 Mirrorless Micro Four Thirds Digital Camera, Cameras - Digital - Point & Shoot V207020SU000 today at PC Connection",Mirrorless system,Silver,3 in,Pop-up flash,16.1 megapixel(s),"4/3""",Live MOS,This product is subject to our return policy. Please see our complete return policy for details.,Beach/snow Low key Documents Digital IS Wide converter E-portrait Handheld starlight Landscape Sunset Night scene Candle Night Portrait Nature macro Panorama assist Landscape + Portrait 3D image Underwater Children Portrait Sports Fireworks Show High key Macro converter Macro Fisheye converter,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Olympus Stylus Tough TG-850 Digital Camera, White Cameras - Digital - Point & Shoot V104150WU000 today at PC Connection",Compact,White,3 in,Built-in flash,16 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Portrait Night Portrait Beach/snow Panorama assist Backlight correction HDR Indoor Documents Underwater snapshot Landscape Fireworks Show E-portrait Handheld starlight Underwater wide2 Sports Self Portrait Sunset Cuisine Underwater wide1 Underwater macro,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Olympus OM-D E-M5 Micro Four Thirds Digital Camera with 14-42mm Cameras - Digital - SLR V204041BU000 today at PC Connection,Mirrorless system,Black,3 in,Detachable flash,16.1 megapixel(s),"4/3""",Live MOS,This product is subject to our return policy. Please see our complete return policy for details.,High key Beach/snow Portrait Night scene Wide converter Underwater wide Macro converter Panorama assist Fisheye converter Sunset Macro Night Portrait Landscape + Portrait Underwater macro Anti-shake Landscape Nature macro Children Fireworks Show E-portrait Sports Documents Low key 3D image Candle,1 Year,1 Year,84.00 mm,28.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Canon EOS Rebel T4i Digital Camera, EF-S 18-135mm IS STM Kit Cameras - Digital - SLR 6558B005 today at PC Connection",SLR camera,Black,3 in,Pop-up flash,18 megapixel(s),14.9 x 22.3mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Backlight correction HDR Close-up Portrait Handheld night shot Landscape Night snapshot Sports,1 Year,1 Year,,,Fixed eye-level pentamirror,"Camera, 18-135mm Lens, Eyecup, Camera Cover, Wide Strap, Battery Charger, Battery Pack, USB Cable, Software, Documentation",,,,,,,,Lithium ion,AVC MPEG-4 MOV H.264,Built-in,LCD,SDXC Card SD Card SDHC Card,,,,JPEG RAW,Digital camera,,,,,,,,,,
Buy Olympus OM-D E-M5 Micro Four Thirds Digital Camera with 12-50mm Cameras - Digital - SLR V204045BU000 today at PC Connection,Mirrorless system,Black,3 in,Detachable flash,16.1 megapixel(s),"4/3""",Live MOS,This product is subject to our return policy. Please see our complete return policy for details.,Beach/snow Landscape Underwater wide Wide converter Nature macro Low key Macro converter Sports High key Fireworks Show Fisheye converter Candle Children Portrait E-portrait Panorama assist 3D image Night scene Night Portrait Macro Sunset Documents Underwater macro Anti-shake Landscape + Portrait,1 Year,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Olympus STYLUS XZ-2 iHS Digital Camera, 12MP, 4x Zoom, Black Cameras - Digital - Point & Shoot V101020BU000 today at PC Connection",Compact,Black,3 in,Pop-up flash,12 megapixel(s),"1/1.7""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Multiple exposure Beach/snow Night Portrait Underwater wide E-portrait High dynamic Backlight correction HDR Documents Underwater macro Sunset Sports Portrait Panorama assist Landscape Fireworks Show,Call for Warranty,Call for Warranty,112.00 mm,28.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon J3 Interchangable Lens Digital Camera, 14.2MP, Beige with Cameras - Digital - SLR 27661 today at PC Connection",Mirrorless system,Beige,3 in,Pop-up flash,14.2 megapixel(s),13.2 x 8.8mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Night Portrait Landscape Night landscape Close-up Portrait,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Olympus E-PL5 Mirrorless Micro Four Thirds Digital Camera with Cameras - Digital - Point & Shoot V205041BU000 today at PC Connection,Mirrorless system,Black,3 in,Detachable flash,16.1 megapixel(s),13.0 x 17.3mm,Live MOS,This product is subject to our return policy. Please see our complete return policy for details.,Night Portrait Landscape E-portrait Beach/snow Portrait High key Macro converter Low key Night scene Panorama assist Sports Document Nature macro Fireworks Show Children Fisheye converter Landscape + Portrait,Call for Warranty,Call for Warranty,84.00 mm,28.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Fujifilm FinePix XP70 Camera, 16MP, 5X Zoom, Orange Cameras - Digital - Point & Shoot 16409662 today at PC Connection",Compact,Orange,2.7 in,Built-in flash,16.4 megapixel(s),"1/2.3""",CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Underwater macro Snow Dynamic Range (HDR) Landscape Sunset Text Flower Natural Light Sports Portrait Party/Indoor Beach Pro low light Underwater Night (tripod),Call for Warranty,Call for Warranty,140.00 mm,28.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
