<page title>,ac power adapter,additional zoom,approx resolution,aspect ratio,battery,builtin flash,builtin memory,burst rate,camera type,canon pixma pro1 pro10 or pro100 printer,colour,connectivity,digital point and shoot camera,digital zoom,display screen type,effective pixels,exposure modes,external flash connection,file formats,flash modes,focus range,image stabilization,iso sensitivity,lens,memory card type,metering method,operatingstorage temperature,optical zoom,remote control,screen size,self timer,sensor typesize,shutter,viewfinder type,warranty,white balance modes,1 star,2 star,3 star,4 star,5 star,dustproof,shockproof,waterproofing,aperture,dimensions,exposure compensation,exposure control,flash,lcd monitor,shooting modes,shutter speed,weight,dimensions wxhxd,angle of view,aperture max min,audio recording,autofocus,camera mount type,diaphragm blades,dimensions dxl,file size,filter thread,focal length,format compatibility,groupselements,maximum closeup magnification,minimum focus distance,tripod collar,video recording,video resolution,maximum aperture
SAMSUNG WB1100F BLACK SMART CAMERA EC-WB1100BPBCA,NA,NA,16MP,NA,SLB-10A,Yes,21MB,NA,Super Zoom,.,Black,"AV Output, USB 2.0, Wi-Fi",.,2x,LCD Rear Screen,16.2MP,Program AE,No,"JPEG, MP4","Auto, Auto & Red-eye reduction, Fill-in flash, Slow sync, Flash Off, Red-eye fix","Normal: 80cm -Infinity (Wide), 150cm-infinity(Tele), *Macro : 10cm-80cm (Wide), 150cm-350cm (Tele), *Auto Macro : 1cm-infinity (Wide), 150cm-infinity (Tele),*Super Macro : 1cm (Wide)",Yes,80-3200,25mm,SD/SDHC/SDXC,"Multi, Spot, Center-weighted, Face Detection AE","0 to 40C (32 to 104F),
Humidity: 5-85%",35x,via Smartphone,"3.0""","2 sec., 10 sec.",CCD,8 - 1/2000 sec.,TFT LCD Display,,"Auto WB, Daylight, Cloudy, Fluorescent_H, Fluorescent_L, Tungsten, Custom, K",,,,,,No,No,No,,,,,,,,,458.1 g (1.01 lb.),124.5 x 86.4 x 91.4 mm (4.9 x 3.4 x 3.6 in),,,,,,,,,,,,,,,,,,
"CANON POWERSHOT ELPH 135 BLACK 16MP 8X 2.7"" 9150B001",ACK-90,None,16MP,4:3,NB-11L/NB-11LH,Yes,No,0.8 shots/sec.; 3.3 shots/sec.,Zoom,.,Black,"AV Output, Audio Out",.,4x,TFT Colour LCD,16.0MP,"Manual Exposure, Program Shift, Safety Shift, AE Lock",No,JPEG,"Auto, Flash On, Slow Synchro, Flash Off","Auto: 0.4 in. (1 cm) - infinity (W, 4.3 ft. (1.3 m) - infinity (T); Normal: 2.0 in. (5 cm) - infinity (W), 4.3 ft. (1.3 m) - infinity (T); Macro: 0.4 in. - 1.6 ft. (1-50 cm) (W)",No,100-1600,,SD/SDHC/SDXC,"Evaluative, Center-weighted average, Spot",0 to 40C (32 to 104F),8x,No,"2.7""","2 Sec, 10 Sec, Custom","1/2.3"" CCD",15 sec - 1/2000 sec,LCD Display,,"Auto, Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Custom",,,,,,No,No,No,,,,,,,,,112g (3.95 oz.),95.2 x 54.3 x 22.1mm (3.75 x 2.14 x 0.87 in.),,,,,,,,,,,,,,,,,,
"SONY DSCWX350 BLACK 18.2MP 20X 3"" DSCWX350B",AC-UB10C / UB10D,No,18MP,"1:1, 3:2, 4:3, 16:9",NP-BX1,Yes,No,10 fps,Super Zoom,.,Black,"AV Output, Micro HDMI, USB 2.0, Wi-Fi, NFC",.,2x,LCD Rear Screen,18.2MP,"iAuto, Program Auto",None,JPEG,"�Auto, Flash On, Slow Synchro, Flash Off, Advanced Flash","W: 5cm (0.16 ft.) to Infinity, T: 200cm (6.56 ft.) to Infinity)�",Yes,80-12800,NA,"Memory Stick Duo, Memory Stick Pro Duo, Memory Stick PRO HG-Duo, SD/SDHC","Centre-weighted, Multi Pattern, Spot",NA,20x,Yes,"3.0""","Off, 2 Sec, 10 Sec, portrait1, portrait2","1/2.3"" CMOS",4-1/1600 sec,LCD Display,,"Auto, Daylight, Cloudy, Fluorescent, Incandescent, Flash, One Push, One Push Set",(0),(0),(0),(0),(1),No,No,No,,,,,,,,,137g (4.8 oz.),"96.0 x 54.9 x 25.7mm (3 7/8 x 2 1/4 x 1 1/16"")",,,,,,,,,,,,,,,,,,
"SONY DSC-W800 SILVER 20.1MP 5X WIDE ANGLE 2.7"" DSCW800S",AC-UB10C,NA,20MP,"4:3, 16:9",NP-BN,Yes,No,1 fps,Small & Easy,.,Silver,"AV Output, USB 2.0",.,10x,LCD Rear Screen,20.1MP,"iAuto, Program Auto",No,"JPEG, AVI","Auto, Flash On, Slow Synchro, Flash Off, Advanced Flash","W: 5cm (0.16 ft.) to Infinity, T: 60cm (1.96 ft.) to Infinity",Yes,100-3200,Sony,"Memory Stick Duo, Memory Stick Pro Duo, Memory Stick PRO HG-Duo, Memory Stick Micro, Memory Stick Micro (Mark2), Memory Stick XC-HG Duo, SD, SDHC, SDXC, microSD, microSDHC, microSDXC","Multi Pattern, Center Weighted, Spot",NA,5x,NA,"2.7""","Off, 2 Sec, 10 Sec, portrait1, portrait2","1/2.3"" Super HAD CCD",2 - 1/1500 sec.,LCD Display,,"Auto, Daylight, Cloudy,Fluorescent, Incandescent, Flash",,,,,,No,No,No,,,,,,,,,125g (4.7 oz.),50 x 22 x 54 mm (2 x 7/8 x 2 1/4 in.),,,,,,,,,,,,,,,,,,
"CANON POWERSHOT ELPH 340HS SILVER 16MP 12X 3"" WIFI 9347B001",ACK-90,None,16MP,"1:1, 3:2, 4:3, 16:9",NB-11L/NB-11LH,Yes,None,3.9 shots/sec.; 10.5 shots/sec.,Wi-Fi,.,Silver,HDMI connector (D-type),.,4x,LCD Rear Screen,16.0MP,"Manual, Exposure, Program Shift, Safety Shift, AE Lock",None,JPEG,"Auto, Flash On, Slow Synchro, Flash Off","Auto: 0.4 in. (1cm) - infinity (W), 3.3 ft. (1m) - infinity (T); Normal: 2.0 in. (5cm) - infinity (W), 3.3 ft. (1m) - infinity (T); Macro: 0.4 in. - 1.6 ft. (1-50cm) (W)",Yes,100-3200,4.5 (W) - 54.0 (T) mm (35mm film equivalent: 25-300mm),SD/SDHC/SDXC,"Evaluative, Center-weighted average, Spot",0 to 40C (32 to 104F),12x,NA,"3.0""","2 Sec, 10 Sec, Custom","1/2.3"" CMOS",15 sec. - 1/2000 sec.,LCD Display,,"Auto, Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Custom",,,,,,No,No,No,,,,,,,,,130g (4.59 oz.),99.7 x 57.6 x 22.4mm (3.93 x 2.27 x 0.88 in.),,,,,,,,,,,,,,,,,,
NIKON COOLPIX S6800 BLACK 16MP 12X 32181,EH-71P (Included); EH-62G (Sold Separately),None,16MP,NA,EN-EL19,Yes,25MB,9.4 fps,Small & Easy,.,Black,Micro USB; HDMI micro Connector (D),.,4x,LCD Screen,16.0MP,Programmed auto; Scene Auto Selector,No,JPEG; MOV,TTL Auto,W: 50cm to infinity; T: 1.5m to infinity; Macro: 2cm to infinity,No,125-6400,4.5-54.0mm (35mm equivalent: 25-300mm),SD/SDHC/SDXC,"Centre-weighted, Matrix, Spot",0 to 40C (32 to 104F),12x,No,"3.0""","2 Sec, 10 Sec","1/2.3"" CCD",4 sec - 1/4000 sec,LCD Display,,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Preset Manual",,,,,,No,No,No,,,,,,,,,145g (5.2 oz.),"96.8mm x 57.5mm x 22.9mm (
3.9 x 2.3 x 1 in.)",,,,,,,,,,,,,,,,,,
SONY DSC-RX1R 24MP FULLFRAME W/0 LP FLTR DSCRX1R,AC-UD11,Clear Image Zoom : 2x,24MP,(3:2),NP-BX1 3.6V,Yes,N/A,Up to 5 fps at 24 MP for up to 24 framesUp to 2.5 fps at 24 MP for up to 24 frames,Compact Digital Camera,.,Black,"HDMI (Type D micro), USB 2.0 Hi-speed (mass-storage, MTP)",.,9.1x,TFT Screen LCD Display,24.3MP,"P/A/S/M, MR1/2/3, Intelligent Auto, Scene Selection, Sweep Panorama, Movie",Hot Shoe,"JPEG, RAW, AVCHD Ver. 2.0 / MP4, Dolby Digital (AC-3) / MPEG-4 AAC-LC",Auto / Fill-flash / Slow Sync / Rear Sync / Off Wireless (using compatible external flash),"f=35mm [Still Image 16:9], f=37mm [Still Image 4:3], f=48mm [Movie 4:3], f=48mm (SteadyShot On), f=37mm (SteadyShot Off) [Movie 16:9], f=44mm (SteadyShot On), f=45mm (SteadyShot Off)",Yes,100-25600,"Carl Zeiss Sonnar T* 35mm F2 prime lens
Advanced aspherical (AA)",Memory Stick PRO Duo/Pro-HG Duo/PRO-HG HX Duo media - SD/SDH/SDXC,"Center-weighted, Multi-segment, Spot",Not stated by Manufacturer,None,"Yes, via RM-VPR1","3.0""","2 Sec, 10 Sec",35mm full-frame Exmor CMOS Sensor,30-1/4000 sec,LCD Display,1 year warranty,"Auto, Daylight, Shade, Cloudy, Incandescent, Fluor (Warm White), Fluor (Cool White), Fluor (Day White), Fluor (Daylight), Flash, C. Temp., Filter, Custom",,,,,,N/A,Not stated by Manufacturer,Not stated by Manufacturer,9-bladed circular aperture,,,,Built-in Flash GN6.0,"3.0 type Xtra Fine LCD Xtra Fine LCD with WhiteMagic
1,229k dots",,,,,,,,,,,,,,,,,,,,,,
FUJI FINEPIX X100S 16.3MP 23MM F2 APS-C 600012607,N/A,N/A,16MP,"1:1, 3:2, 16:9",NP-95,Yes,N/A,Up to 6 fps for up to 31 frames,Advanced,.,Black/Silver,"HDMI C, USB 2.0",.,N/A,LCD Screen,16.3MP,"Modes: Aperture Priority, Manual, Program, Shutter Priority
Compensation: -2 EV to +2 EV (in .3 EV steps)",Hot Shoe,"JPEG, RAW","Auto
Auto/Red-eye Reduction
Flash On w/ Red-eye Reduction
Forced On
Off
Slow Sync
Slow Sync./Red-eye Reduction","Normal: 1.64' (50 cm) - Infinity
Macro: 3.94"" (10 cm) - 6.56' (2 m)",N/A,200-6400 (Custom Function: 100-25600),"8 elements in 6 groups
1 Aspheric
EFL: 23 mm (35 mm equivalent: 35 mm)
Aperture: f/2 to f/16",SD/SDHC/SDXC,"Multi, Spot, TTL 256-zones","0 to 40C (32 to 104F)
Humidity: 10-80%",,N/A,"2.8""","2 Sec, 10 Sec","23.6 x 15.8"" CMOS","Type: Mechanical
Speed: 30 - 1/4000 sec","Optical, Electronic, LCD Display",2 year warranty,"Auto, Custom, Fluorescent (Day White), Fluorescent (Natural White), Fluorescent (White), Incandescent, Kelvin, Shade, Underwater",(0),(0),(0),(0),(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PANASONIC DMCZS25K BLACK 16.1MP 20X 3"" DMCZS25K",110-240V AC,40x,16MP,"1:1, 3:2, 4:3, 16:9",Rechargeable Lithium Ion Battery Pack,Yes,90MB,"Up to 5 fps at 16.1 MP for up to 100 frames
Up to 10 fps at 3 MP",Super Zoom,.,Black,"AV Output, HDMI C, USB 2.0",.,4x,LCD Rear Screen,16.1MP,"Modes: Aperture Priority, Manual, Programmed Auto, Shutter Priority
Compensation: -3 EV to +3 EV (in 1/3 EV steps)",None,"JPEG, MPO","Auto
Auto/Red-eye Reduction
Forced On
Off
Slow Sync./Red-eye Reduction","Wide: 19.69"" (50 cm) - Infinity
Telephoto: 78.74"" (200 cm) - Infinity
Wide Macro: 1.18"" (3 cm) - Infinity
Tele Macro: 39.37"" (100 cm) - Infinity",Yes,100-6400,"Leica DC Vario-Elmar, 12 elements in 10 groups
3 Aspheric, 2 ED
EFL: 4.3-86 mm (35 mm equivalent: 24-480 mm)
Aperture: f/3.3 (W) - 6.4 (T) to f/8.0",SD/SDHC/SDXC,"Center-weighted, Multi, Spot",N/A,20x,N/A,"3.0""","2 Sec, 10 Sec","1/2.33"" MOS",4-1/2000 sec,LCD Display,1 year warranty,"Auto, Cloudy, Custom, Daylight, Incandescent, Manual, Preset Manual, Shade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SONY DSC-RX100M3 20.1MP WIDE ANGLE 2.9X 1"" CMOS DSCRX100M3",Yes,NA,20MP,3:2,NP-BX1,Yes,No,2.9 to 10 fps,Advanced,.,Black,"Multi/Micro USB, Hi-Speed USB (2.0), micro HDMI",.,11x,Xtra Fine TFT LCD,20.1MP,"Superior Auto, Intelligent Auto, Program Auto (Program shift available), Shutter Priority, Aperture Priority, Manual, Scene Selection, Movie, Sweep Shooting",No,"Still: JPEG, RAW; Movie: XAVCS, AVCHD, MP4",Auto / Flash On / Slow Synchro / Rear Sync / Flash Off,W: 5 cm to infinity; T: 30 cm to infinity,Yes,125-25600,10 elements in 9 groups (9 aspheric elements including AA lens),"Memory Stick Duo/PRO Duo/PRO Duo (High Speed)/Pro-HG Duo,/XC-HG Duo; Memory Stick Micro/Micro Mark2; SD/SDHC/SDXC, microSD/microSDHC/microSDXC","Multi-segment, Center weighted, Spot",NA,2.9x (during movie recording),NFC or RM-VPR1 (Sold Separately),"3.0""","2 Sec, 10 Sec","1.0"" Exmor R CMOS Sensor (13.2 X 8.8mm)",30-1/2000 sec,"0.39"" Electronic Viewfinder",,"Auto, Daylight, Shade, Cloudy, Incandescent, Fluorescent, Flash, C. Temp., Filter, Custom",,,,,,No,No,No,,,,,,,,,263 g (9.3 oz.),101.6 x 58.1 x 41.0 mm (4 x 2 3/8 x 1 5/8 in.),,,,,,,,,,,,,,,,,,
"CANON POWERSHOT SX600HS BLACK 16MP 18X 3"" 9340B001",ACK-40,None,16MP,"16:9, 3:2, 4:3, 1:1",NB-6L/NB-6LH,Yes,No,3.9 shots/sec.; 10.5 shots/sec.,Wi-Fi,.,Black,HDMI connector (D-type),.,4x,TFT Colour,16.0MP,"Manual Exposure, Program Shift, Safety Shift, AE Lock",None,JPEG,"Auto, Flash On, Slow Synchro, Flash Off","Normal/Auto: 2.0 in. (5cm) - infinity (W), 3.3 ft. (1m) - infinity (T); Macro: 2.0 in. - 1.6 ft. (5-50cm) (W), 4.6 ft. (1.4m) - infinity (T)",Yes,100-3200,4.5 (W) - 81.0 (T) mm (35mm film equivalent: 25-450mm),SD/SDHC/SDXC,"Evaluative, Center-weighted average, Spot",0-40C (32-104F),18x,None,"3.0""","2 Sec., 10 Sec., Custom","1/2.3"" CMOS",15-1/2000 sec.,LCD Display,,"Auto, Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Custom",,,,,,No,No,No,,,,,,,,,164g (5.78 oz.),103.8 x 61.0 x 26.0mm (4.09 x 2.40 x 1.02 in.),,,,,,,,,,,,,,,,,,
"NIKON COOLPIX S3600 BLUE 20MP 8X 2.7"" 32185",EH-70P (Included); EH-62G (Sold Separately),None,20MP,NA,EN-EL19,Yes,25MB,1.1 fps,Small & Easy,.,Blue,"AV Output, USB",.,4x,LCD Screen,20.1MP,Programmed auto,No,JPEG; AVI,TTL Auto,W: 50cm to infinity; T: 1.5m to infinity; Macro: 2cm to infinity,No,80-3200,4.5-36.0mm (35mm equivalent: 25�200 mm lens),SD/SDHC/SDXC,"Centre-weighted, Matrix, Spot",0 to 40C (32 to 104F),8x,No,"2.7""","2 Sec, 10 Sec","1/2.3"" CCD",4 sec - 1/1500 sec,LCD Display,,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, White Balance Preset",,,,,,No,No,No,,,,,,,,,"125g (
4.5 oz.)","97.1 x 57.9 x 19.9mm (3.9 x 2.3 x 0.8 in.)
(19.9 mm)",,,,,,,,,,,,,,,,,,
"FUJIFILM XQ1 BLACK 12MP 4X 3.0""LCD 600013201",AC-5VT,None,12MP,NA,NP-48 Li-ion Battery,Yes,66MB,3 to 12 fps,Small & Easy,.,Black,USB 2.0 High-Speed; HDMI Micro connector,.,4x,TFT colour LCD monitor,12MP,Programmed AE / Aperture Priority AE / Shutter Speed Priority AE / Manual exposure,None,"JPEG, RAW; MOV",Red-eye removal OFF: Auto / Forced Flash / Suppressed Flash / Slow Synchro.; Red-eye removal ON: Red-eye Reduction Auto / Red-eye Reduction & Forced Flash / Suppressed Flash / Red-eye Reduction & Slow Synchro. (* Red-eye removal is active when Face Detection is set to ON.),"Normal: Wide : Approx. 50cm / 1.6 ft. to infinity, Telephoto : Approx. 80cm / 2.6 ft. to infinity; Macro: Wide : Approx. 3cm - 3.0m / 1.1 in. - 9.8 ft., Telephoto : Approx. 50cm - 3.0m / 1.6 ft. - 9.8 ft.",Lens Shift type,100-12800,6 Groups/7 Lenses,SD / SDHC / SDXC,TTL 256-zone metering / Multi / Spot / Average,0 to 40 degreesC,4x,NA,3.0 inch,"2 Sec, 10 Sec","2/3"" X-Trans CMOS II",30 sec. to 1/4000 sec.,NA,,"Automatic scene recognition; Custom / Colour temperature selection (K); Preset : Fine, Shade, Fluorescent light (Daylight), Fluorescent light (Warm White), Fluorescent light (Cool White), Incandescent light, Underwater, Custom, Colour temperature selection",,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FUJIFILM X30 BLACK 12MP 4X 3.0""LCD 600013935",AC-5VT,None,12MP,"1:1, 3:2, 4:3, 16:9",NP-95,Manual Pop-up,55MB,"3 fps, 6 fps, 9 fps, 12 fps",Advanced,.,Black,"HDMI D, USB 2.0, Stereo Mini Connector, Wi-Fi",.,2x,Tilt LCD,12.0MP,"Programmed AE, Aperture Priority AE, Shutter Priority AE, Manual exposure",Yes,"JPEG, RAW, MOV","Auto, Forced Flash, Slow Synchro., Commander, Suppressed Flash, Red-eye Reduction Auto, Red-eye Reduction & Forced Flash, Red-eye Reduction & Slow Synchro.","Normal : Wide: 50cm (1.6 ft.) to infinity, Telephoto: 80cm (2.6 ft.) to infinity; Macro: Wide: 10cm - 3.0m (3.9 in. - 9.8 ft.), Telephoto: 50cm -3.0m (1.6 ft. - 9.8 ft.); Super Macro: 1.0cm - 1.0m (0.4 in. - 3.3 ft.)",Lens shift,100-12800,"9 groups, 11 elements (3 aspherical)",SD/SDHC/SDXC,"TTL 256-zone metering, Multi, Spot, Average","0 to 40C (32 to 104F)
Humidity: 10-80%",4x,RR-90 (Sold Separately),"3.0""","2 Sec, 10 Sec","2/3"" CMOS",30-1/4000 sec,"0.39"" OLED",,"Automatic scene recognition, Fine, Shade, Fluorescent light (Daylight), Fluorescent light (Warm White),
Fluorescent light (Cool White), Incandescent light, Underwater, Custom, Color temperature selection",,,,,,No,No,No,,,,,,,,,423g / 14.9 oz. (including battery and memory card); 383g / 13.5 oz. (excluding battery and memory card),118.7 x 71.6 x 60.3 mm (4.7 x 2.8 x 2.4 in.),,,,,,,,,,,,,,,,,,
"OLYMPUS SH-1 SILVER 16MP 24X 3"" 60P FULLHD V107080SU000",F-2AC,2x,16MP,3:2,LI-92B,Yes,37MB,2.5 fps; 11.5 fps; 20 fps; 60 fps,Super Zoom,.,Silver,"USB Connector, DC Jack, AV Output, HDMI Type D",.,4x,LCD Rear Screen,16.0MP,"Intelligent Auto (iAUTO), Program Auto (P), Manual (M), Art Filters (11), Scene Modes (16), Hand-Held Starlight, Panorama, Photo Story, Advanced Movie",No,Still: JPEG; Video: MOV/H.264,"Auto, Red Eye Reduction, Fill-in, Off","Wide: 10cm/3.9in to infinity; Tele: 40cm/15.7in to infinity; Super Macro Mode: 3cm/1.2in to infinity, focal length fixed to 25mm (equiv)",Yes,100-6400,4.5 - 108mm (35mm equivalent: 25 - 600mm),"SD, SDHC, SDXC",NA,NA,24x,via Wi-Fi from mobile device,"3.0""","2 sec, 12 sec, Custom","1/2.3"" BSI CMOS",30-1/2000 sec,LCD Display,,"Auto, One-touch, Cloudy, Sunny, Incandescent, Fluorescent",,,,,,No,No,No,,,,,,,,,271 g (9.5 oz.),108.8 x 63.2 x 42.4mm (4.3 x 2.5 x 1.7 in.),,,,,,,,,,,,,,,,,,
"RICOH WG-4 LIME 16MP 4X WIDE ANGLE 3"" RUGGED 08587",Optional AC adapter kit,NA,16MP,"1:1, 16:9",Rechargeable lithium-ion battery D-LI92,Yes,70MB,NA,Waterproof,.,Black,"USB2.0 (Hi-Speed): USB/AV terminal, HDMI terminal (Type D)",.,7.2x,LCD,16MP,NA,No,NA,Flash-on and Flash-off modes. Red-eye compensation function employs a pre-discharge,Standard: 0.4m - infinity / 1.31 ft. - infinity(entire zoom range); Macro:0.1 - 0.5m / 0.33 - 1.64ft. (entire zoom range); 1cm Macro: 0.01 - 0.3m / 0.03 - 0.98ft. (Mid-zoom to telephoto);,Yes,125 - 6400,"RICOH lens, 9 elements in 7 groups (4 aspherical elements)",SD/SDHC/SDXC,"Multi-segment, Center-weighted, Spot AE",NA,4x,Yes,"3.0""",Yes,"1/2.3"" CMOS","4 - 1/4,000 sec.",Display,,"Auto, Daylight, Shade,Tungsten light, Fluorescent light(D:Daylight Color, N:Daylight White, W:White Light), Manual",,,,,,Yes,Yes,Yes,,,,,,,,,209g (7.4 oz.),125 x 64.5 x 32mm (4.9 x 2.5 x 1.3 in.),,,,,,,,,,,,,,,,,,
"NIKON COOLPIX S2800 BLACK 20.1MP 5X 3"" 32188",EH-70P (Included); EH-62G (Sold Separately),None,20MP,NA,EN-EL19,Yes,25.9MB,1.1 fps,Small & Easy,.,Black,"AV Output, USB",.,4x,LCD Screen,20.1MP,Programmed auto,No,JPEG; AVI,TTL Auto,W: 50cm to infinity; T: 80cm to infinity; Macro: 10cm to infinity,No,80-3200,4.6-23.0mm (35mm equivalent: 26-130mm),SD/SDHC/SDXC,"Centre-weighted, Matrix, Spot",0 to 40C (32 to 104F),5x,No,"2.7""","2 Sec, 10 Sec","1/2.3"" CCD",4 sec - 1/2000 sec,LCD Display,,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Preset Manual",,,,,,No,No,No,,,,,,,,,120g (4.23 oz.),93.8 x 58.4 x19.8mm (3.69 x 2.30 x 0.78 in.),,,,,,,,,,,,,,,,,,
"PANASONIC DMCLZ40K BLACK 20MP 42X 3"" CCD DMCLZ40K",AC Adaptor (Input: 110 - 240 V AC) (Included),66.3x - 105.0x,20MP,"4:3, 3:2, 16:9, 1:1","Li-ion Battery Pack (3.6V, 1250 mAh, 4.5 Wh) (Included)",Yes,80MB,1.1 to 3 fps,Super Zoom,.,Black,"AV Output (NTSC), USB (AV/USB Multi)",.,4x,TFT Screen LCD Display,20MP,"Program AE, Manual",None,"JPEG, QuickTime Motion JPEG","Auto, Auto/Red-eye Reduction, Forced On, Slow Sync./Red-eye Reduction, Forced Off",Normal: Wide 30 cm - infinity / Tele 160 cm - infinity; AF Macro / Intelligent Auto / Motion Picture: Wide 1 cm - infinity / Tele 160 cm - infinity,Yes,100-6400,12 elements in 9 groups (3 Aspherical Lenses / 6 Aspherical surfaces / 2 ED Lenses),SD/SDHC/SDXC,Intelligent Multiple / Center Weighted / Spot,NA,42x,NA,"3.0""","2 Sec, 10 Sec","1/2.33"" CCD",60 - 1/1500 sec,LCD Display,,Auto / Daylight / Cloudy / Shade / Incandescent / White Set / White Balance Adjustment (Except Auto),,,,,,No,No,No,,,,,,,,,498g (1.10 lbs.),126.4 x 86.6 x 94.2 mm (4.98 x 3.41 x 3.71 inch),,,,,,,,,,,,,,,,,,
"HASSELBLAD STELLAR SLV, PADOUK WOOD GRIP 3012636","3.6 V AC Adaptor AC-UD10/UD11, 5V",N/A,20MP,16:9; 4:3,NP-BX1,Yes,No,N/A,Advanced,.,Silver w/ Padouk Wood Grip,"HDMI micro jack, Micro USB (USB2.0)",.,N/A,TFT LCD,20.2MP,"Automatic exposure, Aperture priority, Shutter priority, Manual exposure, Scene Selection (13 modes)",No,"Still: RAW, JPEG; Video: AVCHD, MPEG-4 AVC/H.264",N/A,N/A,Yes,N/A,Carl Zeiss Vario-Sonnar T*,"Memory Stick Duo media, Memory Stick Micro media, SD cards, microSD memory cards",N/A,Operating: 0 C to 40 C (32 F to 104 F); Storage: -20 C to 60 C (-4 F to 140 F),3.6x,N/A,"3.0""",N/A,13.2 x 8.8 mm CMOS Sensor,N/A,N/A,Canadian Warranty: Two Years Parts & Labour,"Automatic, Daylight, Shade, Cloudy,Incandescent, Fluorescent (Warm White/ Cool White/Day White/Daylight), Flash, Color temperature/Color filter, Custom",,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIKON COOLPIX S6800 RED 16MP 12X 32182,EH-71P (Included); EH-62G (Sold Separately),None,16MP,NA,EN-EL19,Yes,25MB,9.4 fps,Small & Easy,.,Red,Micro USB; HDMI micro Connector (D),.,4x,LCD Screen,16.0MP,Programmed auto; Scene Auto Selector,No,JPEG; MOV,TTL Auto,W: 50cm to infinity; T: 1.5m to infinity; Macro: 2cm to infinity,No,125-6400,4.5-54.0mm (35mm equivalent: 25-300mm),SD/SDHC/SDXC,"Centre-weighted, Matrix, Spot",0 to 40C (32 to 104F),12x,No,"3.0""","2 Sec, 10 Sec","1/2.3"" CCD",4 sec - 1/4000 sec,LCD Display,,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Preset Manual",,,,,,No,No,No,,,,,,,,,145g (5.2 oz.),"96.8mm x 57.5mm x 22.9mm (
3.9 x 2.3 x 1 in.)",,,,,,,,,,,,,,,,,,
"FUJIFILM XQ1 SILVER 12MP 4X 3.0""LCD 600013160",AC-5VT,None,12MP,NA,NP-48 Li-ion Battery,Yes,66MB,3 to 12 fps,Small & Easy,.,Silver,USB 2.0 High-Speed; HDMI Micro connector,.,4x,TFT colour LCD monitor,12MP,Programmed AE / Aperture Priority AE / Shutter Speed Priority AE / Manual exposure,None,"JPEG, RAW; MOV",Red-eye removal OFF: Auto / Forced Flash / Suppressed Flash / Slow Synchro.; Red-eye removal ON: Red-eye Reduction Auto / Red-eye Reduction & Forced Flash / Suppressed Flash / Red-eye Reduction & Slow Synchro. (* Red-eye removal is active when Face Detection is set to ON.),"Normal: Wide : Approx. 50cm / 1.6 ft. to infinity, Telephoto : Approx. 80cm / 2.6 ft. to infinity; Macro: Wide : Approx. 3cm - 3.0m / 1.1 in. - 9.8 ft., Telephoto : Approx. 50cm - 3.0m / 1.6 ft. - 9.8 ft.",Lens Shift type,100-12800,6 Groups/7 Lenses,SD / SDHC / SDXC,TTL 256-zone metering / Multi / Spot / Average,0 to 40 degreesC,4x,NA,3.0 inch,"2 Sec, 10 Sec","2/3"" X-Trans CMOS II",30 sec. to 1/4000 sec.,NA,,"Automatic scene recognition; Custom / Colour temperature selection (K); Preset : Fine, Shade, Fluorescent light (Daylight), Fluorescent light (Warm White), Fluorescent light (Cool White), Incandescent light, Underwater, Custom, Colour temperature selection",,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
