<page title>,additional features,brand,connectivity system req,dimension,display,flash,general features,images video,lens,media software,optical sensor resolution in megapixel,other features,other sellers,pixels,power source,see full specifications,sensor,sensor type,shopping experience,shutter speed,site usability,zoom,aperture range,audio video interface ntscpal,bangalore,bluetooth,color,continuous shots,digital zoom,external memory,face detection,gps,hdmi,image format,image stabilizer,iso rating,metering,optical sensor resolution in megapixel,optical zoom,red eye reduction,screen size,self timer,shooting modes,usb,video display resolution,video format,auto focus,built in flash,display type,flash modes,flash range,focal length,image display resolution,lens type,maximum shutter speed,memory card type,microphone,minimum shutter speed,sensor size,sensor type,white balancing,color filter,gadgetsguru,macro mode exposure mode,supplied battery,sync terminal,announced,brand,dimensions,status,viewfinder,weight,ac adaptor,dust reduction,other resolution,other zoom type,amazon,manual focus,audio formats,delete function,exposure compensation,inbuilt memory,supported aspect ratio,supported languages,upgradeable memory,usb charge,additional display features,flipkart,external flash,infibeam,pictbridge,picture angle,kaunsa,ebay,snapdeal,indiatimes,shopclues,wifi,maniacstore,seventymm,bitfang,naaptol
Samsung NX mini Smart Camera With 9-27 mm Lens Price in India with Offers & Full Specifications | PriceDekho.com,,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad Chennai Mumbai Delhi Pune,,Black,,,NA,NA,NA,NA,,,,NA,,,,3 Inches,,,USB 1.1,1920 x 1080 pixels (Full HD) @ 30 fps,,,,TFT LCD,,,,,,30 sec,,,30 sec,,,,,,,,,"2014, August",Samsung,,Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon Coolpix L26 Point & Shoot Digital Camera Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com",Recording Time (With Full Batttery): 30 - 40 mints,,,,,,,,,,,,,,,,,,,,,,f/3.2 - f/6.5,A/V Output (NTSC or PAL),,No,Black,Up to 4 Images at 1.2 fps,4x,NA,Yes,No,No,JPEG,,Auto (Auto Gain ISO 80-1600),"256-Segment Matrix, Center-Weighted, Spot",,5x,Yes,3 Inches,Yes,"Auto, Backlighting, Beach, Black & White Copy, Close-Up, Dawn, Dusk, Easy Auto, Fireworks Show, Food, Indoor, Landscape, Museum, Night Landscape, Night Portrait, Panorama Assist, Party, Pet Portrait), Scene (Portrait, Smart Portrait, Snow, Sports, Sunset",USB Hi-Speed,NA,AVI Motion JPEG,Contrast Detection AF,Yes,TFT LCD,,"(ISO Auto) : Wide : 0.5 - 3.6m, Telephoto : 0.8 - 1.7m",4.6 - 23 mm (angle of view Equivalent to that of 26 - 130 mm lens in 35 mm [135]),230000 dots,Nikkor Lens,,"SD, SDHC, SDXC",,,1/2.3 Inches,CCD Sensor,,,,10 cm,,,,Nikon,3.78 x 2.35 x 1.13 Inches,Available,,164 gms,,,,,,,,,,20 MB,16:09,27 Languages,Yes,,,,,,,28 mm Wide Angle,,,,,,,,,,
"Sony Cybershot DSC-H300 Price in India with Offers, Reviews & Full Specifications | PriceDekho.com",,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,Yes,NA,NA,NA,,,"Auto / 80 / 100 / 200 / 400 / 800 / 1600 / 3200 / 6400 Auto (ISO 80-800), Sport Continuous Mode (ISO 400-3200)",NA,20.1 MP,35x,Yes,3 Inches,"2 sec, 10 sec",,NA,NA,,Yes,,Clear Photo TFT LCD,,,25 - 875 mm,460800 dots,Sony Lens,1/1500 sec,"SD, SDHC, SDXC",Yes,30 sec,1/2.3 Inches,CCD Sensor,,,,,,,"2014, February",Sony,127.5 x 89.0 x 91.7 mm,Available,Eye-level Pentamirror,NA,,NA,NA,NA,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,
Fujifilm FinePix S8500 Price in India with Offers & Full Specifications | PriceDekho.com,,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad Chennai Mumbai Delhi Pune,,Black,,,Yes,Yes,NA,Yes; HDMI Mini Connector,,Lens Shift Type,,"Average, Multi, Spot, TTL 256-Zones",,,,3 Inches,"2 sec, 10 sec Delay",,USB 2.0,1920 x 1080 pixels (Full HD) @ 30 fps,,,,TFT LCD,,,,,,,,,,1/2.3 Inches,CMOS Sensor,,,,,,,,,,,,,,,,,Snapdeal Infibeam Flipkart Indiatimes Homeshop18,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon Coolpix S4000 Price in India with Offers, Reviews & Full Specifications | PriceDekho.com",,,,,,,,,,,,,,,,,,,,,,,TTL,,Hyderabad Chennai Mumbai Delhi Pune,No,Black,Up to 3 Shots at 0.9 fps,12x,NA,NA,NA,NA,Compressed JPEG (EXIF),,"Auto (Auto Gain ISO 80-1600), Fixed range Auto (ISO 80-400 / ISO 80-800), Manual Selection (ISO 80 / 100 / 200 / 400 / 800 / 1600 / 3200)","256-Segment Matrix, Center-Weighted, Spot",12 MP,4x,,3 Inches,"2 sec, 10 sec",,USB 2.0,"1280 x 720 pixels (HD) @ 30 fps , 320 x 240 (QVGA) @ 15 fps , 640 x 480 (VGA) @ 30 fps",AVI,,,,,,,,,,,,,1/2.3 Inches,CCD Sensor,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Manual",,Infibeam Kaunsa Snapdeal,,Rechargeable Li-ion Battery (EN-EL10),,,,,,,,AC Adaptor EH-62D (optional),NA,NA,NA,,,,,,,,"24 Languages (Arabic, Chinese, Czech, Danish, Dutch, English, Finnish, French, German, Greek, Hungarian, Indonesian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Romanian, Russian, Spanish, Swedish, Thai, Turkish, Ukrainian)",,,,,,,,,,,,,,,,,,
"Sony Cyber-shot DSC-H90 Point & Shoot Digital Camera Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","16.4 Total MP, 26 - 416 mm (SteadyShot Active), 32 - 672 mm (SteadyShot Active), 360 Sweep Panorama, 4 Picture Effect Modes, 5 Steps Brightness Setting, 64x Precision Digital Zoom, 8 Max Number of Detectable Faces, Adult Priority, Advanced Sports Shooting, Auto Focus Illuminator, Auto Macro, BIONZ Imaging Processor, Beach, Child Priority, Dynamic Range Optimiser: Standard, Face Detection Mode: iAuto, Fireworks, Focal Length (35 mm Eqalent) Movie 4:3 - 31 - 496 mm (SteadyShot Standard), Gourmet, Intelligent Auto Mode, Landscape, Manual (30(76.2 cms) - 1/1600), Movie Focal Length (35 mm Equalent (16:9)): 25 - 400 mm (SteadyShot Standard), Night Portrait, Night Scene, Off, Other Features: Smile Shutter, Partial Colour, Pet, Picture Effects: Toy Camera, Plus, Pop Colour, Program Auto (1(2.54 cms) - 1/1600), Scene Mode: High Sensitivity, Shutter Speed: iAuto (2(5.08 cms) - 1/1600), Snow, Soft High-key, Soft Skin, Soft Snap, Still Focal Length: 35 mm Equalent to 26 - 416 mm",,,,,,,,,,,,,,,,,,,,,,,A/V Output (NTSC or PAL),Hyderabad Chennai Mumbai Delhi Pune,No,Black,Up to 1 fps,64x,Yes,Yes,NA,NA,"JPEG (DCF, DPOF)",,Auto / 100 / 200 / 400 / 800 / 1600 / 3200,"Center-Weighted, Multi Pattern, Spot",,16x,Yes,3 Inches,"2 sec, 10 sec","Easy Shooting, Intelligent Auto, Manual Exposure, Movie, Panorama, Picture Effect, Program Auto, Scene Election",USB Hi-Speed,1280 x 720 pixels (HD) @ 30 fps,MP4,Contrast Detection AF,Yes,Clear Photo TFT LCD,"Auto, Slow Sync Flash","(ISO) : Wide : 0.3 - 3.7m, Telephoto : 1.2 - 2.1m, (ISO 3200) : Wide : 7.3m, Telephoto : 4.1m",4.28 - 68.48 mm (35 mm Equivalent to 24 - 384 mm),460800 dots,Sony G Lens,1/1600 sec,"Memory Stick Duo, Memory Stick PRO Duo, Memory Stick PRO HG Duo, Memory Stick micro, Memory Stick micro (Mark2), SD, SDHC, SDXC, microSD, microSDHC",Monaural Microphone,30 sec,1/2.3 Inches,Super HAD CCD Sensor,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, One Push, One Push Set",Primary (RGB) Color Filter,,"5 cm (W), 120 cm (T), Minimum iAuto AF : 5 cm (W), 120 cm (T)",,,,,,,,,,,,,,,MP3,Yes,,,,,Yes,,,,,,,29.8 mm Wide Angle,Maniacstore Indiatimes Discountsvu Naaptol,,,,,,,,,
"Nikon D3200 DSLR VR Kit AF-S18-55mm Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com",,,,,,,,,,,,,,,,,,,,,,,f/3.5 - f/5.6,,,,Black,Up to 4 fps,,Yes,Yes,No,Yes,"JPEG (NEF (RAW), NEF (RAW + JPEG, DCF 2.0, DPOF, EXIF 2.3)",,,"3D Color Matrix II (Type G and D Lenses), Center-Weighted, Color Matrix II (Other CPU Lenses), Spot",,,,3 Inches,,"Auto, Scene, Scene Auto Selector",USB 2.0 Hi-Speed,1920 x 1080 pixels (Full HD) @ 30 fps,"H.264, MOV, MPEG-4",Yes,Yes,TFT LCD,"Auto, Slow Sync Flash",,18 - 55 mm (35 mm Equivalent to 27 - 82.5 mm),921000 dots,Nikkor Lens,1/4000 sec,"SD, SDHC, SDXC",Monaural Microphone,30 sec,23.2 x 15.4 mm,CMOS Sensor,,,,,Li-ion Battery (EN-EL14),Yes,"2013, March",Nikon,125 x 96 x 76.5 mm,Available,Eye-level Pentamirror,505 gms,AC Adaptor EH-5b,Yes,,,,,Linear PCM,,,,,26 Languages,Yes,Yes,,,Yes,,Yes,,,,,,,Yes,,,,
Panasonic Lumix DMC-S2 Point & Shoot Digital Camera Black Price in India with Offers & Full Specifications | PriceDekho.com,,,,,,,,,,,,,,,,,,,,,,,,A/V Output (NTSC or PAL),Hyderabad Chennai Mumbai Delhi Pune,No,NA,Up to 1.5 fps,4x,NA,NA,NA,NA,,,"100 / 200 / 400 / 800 / 1600, High Sensitivity Mode (ISO 1600-6400)",NA,,4x,Yes,2.7 Inches,"2 sec, 10 sec","Intelligent Auto, Motion Picture, Normal Picture, SCN",Yes,1280 x 720 pixels (HD) @ 30 fps,,,Yes,TFT LCD,"Auto, Forced, Slow Sync Flash","(I.ISO) : Wide : 0.4 - 3.3m, Telephoto : 1.0 - 1.6m",5 - 20 mm (35 mm Equivalent to 28 - 112 mm),230000 dots,Lumix DC Vario,1/1600 sec,"SD, SDHC, SDXC",Monaural Microphone,8 sec,1/2.33 Inches,CCD Sensor,"Auto, Cloudy, Daylight, Incandescent, Shade, White Set",Primary (RGB) Color Filter,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,,Bitfang Indiatimes,,,,,,,,,
"Sony CyberShot DSC-WX200 Point & Shoot Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","150 cm (T), 18.9 MP Gross Pixels, 4:3 Aspect Ratio f=25 - 250 mm, 5 Steps Brightness Setting, 60i with Optical SteadyShot, Auto Focus Illuminator (Auto/Off), Auto Macro, BIONZ Imaging Processor, Built-in WiFi, Clear Image Zoom: 18 M 20x / 10 M 26x / 5 M 37x / VGA 153x / 13 M (16:9 Aspect Ratio) 20x / 2 M (16:9 Aspect Ratio) 51x, Exposure Compensation: +/- 2.0 EV in increments of 1/3 EV, Face Detection Mode (Auto / Off / Child Priority , Focal Length (35 mm Conversion): Still Image 16:9 Aspect Ratio f=27.5 - 275 mm, Focus Range (Program Auto): 5 cm (W), Full HD Movie 1920 x 1080, High-speed Auto Focus, Movie 16:9 Aspect Ratio f=27.5 - 275 mm (SteadyShot Standard), Movie 4:3 Aspect Ratio f=33.5 - 335 mm (SteadyShot Standard), Movie: 40x, Precision Digital Zoom Still Image: 18 M 40x / 10 M 53x / 5 M 75x / VGA 153x / 13 M (16:9 Aspect Ratio) 40x / 2 M (16:9 Aspect Ratio) 102x, Ultra Compact and High Zoom, f=27.5 - 385 mm (SteadyShot Active), f=33.5 - 469 mm (SteadyShot Active)",,,,,,,,,,,,,,,,,,,,,,f/3.3 - f/8.0 (W),V Output,Hyderabad Chennai Mumbai Delhi Pune,,Black,Up to 10 Shots at 10 fps,40x,Yes,Yes,No,Yes,"JPEG (DCF, DPOF)",,Auto / 100 / 200 / 400 / 800 / 1600 / 3200 / 6400 / 12800,"Center-Weighted, Multi Pattern, Spot",,10x,Yes,2.7 Inches,"2 sec, 10 sec","3D, Background Defocus, Easy Shooting, Intelligent Auto, Intelligent Sweep Panorama, Movie Mode, Panorama, Picture Effect, Program Auto, Scene Selection, Superior Auto",USB Hi-Speed,1920 x 1080 pixels (Full HD),"AVC, H.264, MPEG-4",Center Weighted AF,Yes,Clear Photo TFT LCD,"Advanced, Auto, Slow Sync Flash","Wide : 0.2 - 3.7m, Telephoto : 1.5m - 2.2m",4.45 - 44.5 mm (35 mm Equivalent to 25 - 250 mm),460800 dots,Sony G Lens,1/1600 sec,"SD, SDHC, Stick Duo, Stick PRO Duo, Stick PRO Duo (High Speed), Stick PRO HG Duo, Stick micro, Stick micro (Mark 2), micro SDHC, microSD",Stereo Microphone,4 sec,1/2.3 Inches,Exmor R CMOS Sensor,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, One Push, One Push Set, Underwater",Primary (RGB) Color Filter,,5 cm (W) - 150 cm (T),"DC Output 5v, 70 mAh Battery",,,Sony,135.5 x 106.5 x 76 mm,Available,,121 gms,"AC Adaptor (Input : 100 - 240v AC), 50-60Hz",,,,,,,Yes,2.0 EV in increments of 1/3 EV,48 MB,"16:9, 4:3",19 Languages,Yes,,,,,,,,,,,,,,Flipkart Ebay Kaunsa Homeshop18,,,
"Canon PowerShot SX160 IS Point & Shoot Digital Camera Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","1 Double-sided Aspherical Lens, 1 UD Lens, 1-point AF (Fixed to Centre), 100% LCD Coverage, 140 Number of Shots (CIPA Compliant), 30 min Move Recording Time, 32x Zoom Plus, AF Assist Beam, AF Frame: Face AiAF, AF Point Selection Size (Normal, AF System / Points (Face Detection, Brightness (Adjustable to One of), Center, Creative Filters (Fish-eye Effect, DIGIC 4 Imaging Processor, Enhanced i-Contrast for Automatic Dynamic Range Correction, Exposure Compensation: 2 EV in increments of 1/3 EV, FaceSelf Timer, Fireworks), Focus Control System: Continuous AF, Intelligent IS, Iris Aperture Type, Lens Construction: 11 Elements in 9 Groups, Live View Control, Low Light (4.0 MP), Manual Focus, Min Focusing Range: 1 cm (W) - 60 m (T), Miniature Effect, Monochrome, On and Off AE Lock, On and Off AF Lock, Poster Effect), Scene Mode (Portrait, Servo AF / Servo AE, Shutter Speed: 1 - 1/3200 secs, Small)), Snow, Super Vivid, TTL White Balance, Toy Camera Effect, Tracking AF, iFrame Movie: 1280 x 720",,,,,,,,,,,,,,,,,,,,,,f/3.5 (W) - f/5.9 (T),A/V Output (NTSC or PAL),,No,Black,"Up to 8 fps (In Program Mode), 2.8 fps (In Low Light Mode)",4x,NA,Yes,No,Yes; HDMI Mini Connector,"JPEG (EXIF 2.3, DCF, DPOF 1.1)",Lens Shift Type,Auto / ISO (100 -1600),"Center-Weighted Average, Evaluative, Spot",16 MP,16x,Yes,3 Inches,"2 sec, 10 sec","Aperture Priority Ae, Creative Filters, Discreet, Live View Control, Manual, Movie, Program Ae, SCN, Shutter Priority Ae, Smart Auto (32 Scenes Detected)",USB Hi-Speed,1280 x 720 pixels (HD),"H.264, MOV, iFrame",,Yes,TFT LCD,"Auto, Slow Sync Flash","Wide : 0.5 - 3.0m, Telephoto : 0.6 - 2.0m",5 - 80 mm (35 mm Equivalent to 28 - 448 mm),230000 dots,,1/3200 sec,"SD, SDHC, SDXC",Stereo Microphone,15 sec,1/2.3 Inches,CCD Sensor,"Auto, Cloudy, Custom, Daylight, Fluorescent, Fluorescent-H, Tungsten",Primary (RGB) Color Filter,,1 - 50 cm (W),,,,Canon,4.37 x 2.85 x 1.74 Inches,Available,,243 gms,,NA,NA,NA,,Yes,,Yes,,,"16:9, 3:2, 4:3, 1:1",30 Languages,Yes,,,,Yes,,Yes,28 mm Wide Angle,,,,,,,,,,
"Nikon D800E SLR Body Only Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Adjustment, 0.7 x Viewfinder Magnification, 1.2x (30 x 20): 97 % Horizontal and 97 % Vertical, 17 mm Eyepoint, 5:4 (30 x 24): 97 % Horizontal and 97 % Vertical, AI-P NIKKOR Lenses, Center Weighted, Compatible Lenses: AF NIKKOR Lenses (Type G and D Lenses), Continuous High Speed, Continuous Low Speed, DX (24 x 16): 97 % Horizontal and 97 % Vertical, DX Lenses, Depth-of-field Preview, Dual Card Slots, Electronically Controlled, Flash Sync Speed: 1/250 secs, Focusing Screen: Type B BriteView Clear Matte Mark VIII Screen with AF Area Brackets and Framing Grid, Landscape, Lens Aperture: Instant Return, Matrix or Center, Metering Method: Matrix, Mirror Up, Monochrome, Neutral, Nikon F Lens Mount, Picture Control System: Standard, Portrait, Quick Return Reflex Mirror, Quiet Shutter-release, Release Mode: Single Frame, Self-timer, Spot, Vivid, X NIKKOR Lenses, viewfinder Frame Coverage: FX (36 x 24): 100 % Horizontal and 100 % Vertical",,,,,,,,,,,,,,,,,,,,,,,Audio Output,Hyderabad Chennai Mumbai Delhi Pune,No,NA,"Up to 1-4 fps (Continuous Low-Speed), 4 fps (Continuous High-Speed)",,NA,Yes,NA,Yes; HDMI Mini Connector (Type C),"JPEG (NEF (RAW), NEF (RAW + JPEG, DCF 2.0, DPOF, EXIF 2.3)",,100,TTL Exposure,,,Yes,3.2 Inches,"2, 5, 10 & 20 sec",,USB 3.0 Super Speed,1920 x 1080 pixels (Full HD) @ 30 fps,"H.264, MOV, MPEG-4",TTL Phase Detection,Yes,TFT LCD,"Auto, Front Curtain Sync, Rear Curtain Sync, Slow Sync Flash",12m,,921000 dots,Nikon F Lens,1/8000 sec,"SD, SDHC, SDXC (UHS-I), Compact Flash (Type I) Compliant with UDMA",,30 sec,35.9 x 24.0 mm,CMOS Sensor,"All With Fine-Tuning, Auto, Cloudy, Color Temperature, Direct Sunlight, Flash, Fluorescent, Incandescent, Manual Can Be Stored), Shade",,,,Rechargeable Li-ion Battery (EN-EL15),Yes,,Nikon,,Available,Eye-level Pentaprism,,AC Adaptor EH-5b,,,,,Yes,,,,,,,Yes,,,,Yes,,Yes,35.9 x 24.0 mm,,Amazon Bitfang Flipkart Homeshop18,,,,,,,,
Canon EOS 1200D DSLR Kit EF-S18-55mm IS II Black Price in India with Offers & Full Specifications | PriceDekho.com,,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad Chennai Mumbai Delhi Pune,,Black,,,Yes,Yes,NA,Yes,,,,"63-zone TTL Full Aperture, Center-Weighted Average , Evaluative, Partial, Spot",,,,3 Inches,,,USB 2.0,NA,,,,,,,,,,,,,,,,,,,,,,,,142.6 x 104 x 80.9 mm,,,435 gms,,,,,,,,,,,,,,,,,,,,,,Snapdeal Amazon Infibeam Flipkart,,,,,,,,
"Nikon Coolpix S5200 Point & Shoot Digital Camera Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","16.79 Million Totalpixels, 5-level Brightness Adjustment, Autofocus (AF): Contrast-detect AF, BSS, Built-in Wi-Fi, Center, Construction: 5 Elements in 5 Groups, Continuous H (Images are Captured Continuously at Rate of About 10 fps), Continuous H:120 fps (50 Frames are Captured at Speed of About 1/125 sec or Faster), Continuous H:60 fps (25 Frames are Captured at Speed of About 1/60 sec or Faster), Continuous L (upto 6 Images are Captured Continuously at Rate of upto About 2 fps), Continuous Shooting (Single (Default Setting), Focus Range: 50 cm (W) - 1 m (T), Focus-area Selection (Face Priority, Frame Coverage (Playback Mode): 99% Horizontal and 99% Vertical (Compared to Actual Picture), Frame Coverage (Shooting Mode): 99% Horizontal and 99% Vertical (Compared to Actual Picture), Manual with 99 Focus Areas, Motion Blur Reduction Detection (Still Pictures), Pre-shooting Cache (Frame Rate: upto 18 fps / Number of Frames: upto 5 Frames), Subject Tracking, Target Finding AF)",,,,,,,,,,,,,,,,,,,,,,f/3.5 - f/6.5,A/V Output (NTSC or PAL),,,Black,Up to 10 fps,4x,Yes,Yes,No,Yes,"JPEG (MPO, DCF, EXIF 2.3, DPOF, MPF)",,ISO 125-1600 / ISO 3200 (Auto Mode),"Center-Weighted, Matrix, Spot",,6x,Yes,3 Inches,"2 sec, 10 sec","Auto, Aperture, Scene, Manual (Portrait, Landscape, Child, Sports, Close-Up, Night Portrait, Night Landscape, Party/indoor, Beach/Snow, Sunset, Dusk/Dawn, Pet portrait, Candlelight, Blossom, Autumn Colors, Food, Silhouette, High Key, Low Key), Program, Shutter Priority",USB Hi-Speed,1920 x 1080 pixels (Full HD) @ 30 fps,"AVC, H.264, MOV, MPEG-4",TTL Auto Focus,Yes,TFT LCD Touchscreen,"Auto, Fill-in, Rear-Curtain Sync, Slow Sync Flash","Wide : 0.5 - 4.0m, Telephoto : 1.0m - 2.0m",4.6 - 27.6 mm (35 mm Equivalent to 26 - 156 mm),460000 dots,Nikkor Lens,1/2000 sec,"SD, SDHC, SDXC",Stereo Microphone,1 sec,1/2.3 Inches,CMOS Sensor,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Manual",,,5 cm,,,,Nikon,3.85 x 2.3 x 0.84 Inches,Available,,146 gms,,,,,,Yes,"AAC, WAV",Yes,,25 MB,"16:9, 4:3",31 Languages,Yes,,Anti-reflection Coating,,,,,,,,,,,,,,,
"Nikon Coolpix L24 Point & Shoot Digital Camera Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com",,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad Chennai Mumbai Delhi Pune,No,NA,Up to 3 Shots at 0.7 fps,4x,NA,NA,NA,NA,JPEG (EXIF),"Electronic VR, BSS (Best Shot Selector)",Auto (Auto Gain ISO 80-1600),"256-Segment Matrix, Center-Weighted, Spot",14 MP,3.6x,Yes,3 Inches,10 sec,"Auto, Easy Auto, Movie, Scene, Smart Portrait",Yes,640 x 480 pixels (VGA),AVI,,Yes,,"Auto, Fill-in, Slow Sync Flash",,,230000 dots,,,,,,,,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Manual",,,,Rechargeable (Ni-MH) Battery (EN-MH2),,,,,,,,AC Adaptor EH-65A (optional),NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fujifilm FinePix X20 Mirrorless Price in India with Offers, Reviews & Full Specifications | PriceDekho.com",,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,2x,Yes,Yes,NA,Yes; HDMI Mini Connector,,,,"Average, Multi, Spot, TTL 256-Zones",,4x,,2.8 Inches,,,USB 2.0 Hi-Speed,1920 x 1080 pixels (Full HD) @ 60 fps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic Lumix DMC-FP5 Point & Shoot Digital Camera Black Price in India with Offers & Full Specifications | PriceDekho.com,,,,,,,,,,,,,,,,,,,,,,,f/3.5 - f/5.9,A/V Output,Hyderabad Chennai Mumbai Delhi Pune,No,Black,Up to 5.5 fps,4x,NA,Yes,NA,NA,,Optical (Mega O.I.S.),"100 / 200 / 400 / 800 / 1600, High Sensitivity Mode (ISO 1600-6400)",NA,,4x,Yes,3 Inches,"2 sec, 10 sec",Frame Movie,USB 2.0 Hi-Speed,1280 x 720 pixels (HD) @ 30 fps,,Yes,Yes,TFT Touchscreen,"Auto, Forced, Slow Sync Flash","(ISO Auto) : Wide : 0.3 - 4.9m, Telephoto : 0.5 - 2.9m",6.3 - 25.2 mm (35 mm Equivalent to 35 - 140 mm),230000 dots,Lumix DC Vario,1/1600 sec,"SD, SDHC, SDXC",Monaural Microphone,8 sec,1/2.33 Inches,CCD Sensor,"Auto, Cloudy, Daylight, Incandescent, Shade, White Set",Primary Color,,"10 cm - Infinity (W), 50 cm - Infinity (T)",,,,Panasonic,3.98 x 2.32 x 0.72 Inches,Available,,141 gms,,,,,,,,,,70 MB,,,,,,,,,Yes,,,,,,,,,,,
Sony Cybershot DSC TX55 Price in India with Offers & Full Specifications | PriceDekho.com,,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad Chennai Mumbai Delhi Pune,No,NA,Up to 10 fps,20x,NA,Yes,NA,Yes,"JPEG (DCF, DPOF)",Optical,Auto / 100 / 200 / 400 / 800 / 1600 / 3200,"Centre-Weighted, Multi Pattern, Spot",,5x,Yes,3.3 Inches,"2 sec, 10 sec, Potrait 1, Potrait 2",,USB 2.0,1920 x 1080 pixels (Full HD) @ 60 fps,"AVCHD, AVI, MPEG-4",Yes,Yes,,"Auto, Slow Sync Flash","(ISO Auto) : Wide : 0.08 - 3.7m, Telephoto : 0.6 - 2.6m, (ISO 3200) : Wide : 5.2m, Telephoto : 3.7m",4.7 - 23.5 mm (35 mm Equivalent to 26 - 130 mm),1229760 dots,Carl Zeiss Vario-Tessar,1/1600 sec,,,4 sec,1/2.3 Inches,Exmor R CMOS Sensor,"Auto, Cloudy, Daylight, Flash, Fluorescent-1, Fluorescent-2, Fluorescent-3, Incandescent, One Push, One Push Set",,,"3 cm - Infinity (W), 60 cm - Infinity (T)",,,,,,,,,,,,,,,,,,,,,,,,,,,,26 mm Wide Angle,,,,,,,,Indiatimes Gadgetsguru Discountsvu Kaunsa,,
Fujifilm FinePix S4000 Price in India with Offers & Full Specifications | PriceDekho.com,,,,,,,,,,,,,,,,,,,,,,,,A/V Output,Hyderabad Chennai Mumbai Delhi Pune,No,Black,Up to 1.2 fps (TOP-3),6.7x,Yes,Yes,NA,Yes,JPEG,,Auto / Standard Output Sensitivity (ISO 64 / 100 / 200 / 400 / 800 / 1600 / 3200 / 6400),"Average, Multi, Spot, TTL 256-Zones",14.0,30x,Yes,3 Inches,"2 sec, 10 sec",,Yes,1280 x 720 pixels (HD) @ 30 fps,AVI Motion JPEG,Yes,Yes,,"Auto, Forced, Slow Sync, Suppressed Flash","(ISO Auto) : Normal : Wide: 40cm - 7.0m / 1.3ft - 22.9ft, Telephoto: 2.5m - 3.6m/8.2ft - 11.8ftmacro : Wide: 30 cm - 3.0m/1ft - 9.8ft, Telephoto: 2.0m - 3.0m/6.5ft - 9.8ft",4.3 - 129 mm (35 mm Equivalent to 24 - 720 mm),460000 dots,,1/2000 sec,,,8 sec,1/2.3 Inches,CCD Sensor,"Automatic Scene Recognition, Custom, Fine, Fluorescent (D: Daylight Color, Incandescent, N: Daylight White, Shade, W: Cool White)",Primary Color,,Yes,,,,,,,,,,NA,NA,NA,,,WAV,,,,,,,,,,,,,,Gadgetsguru Snapdeal Bitfang Naaptol,,,,,,,,,
"Nikon Coolpix S3600 Point & Shoot Price in India with Offers, Reviews & Full Specifications | PriceDekho.com",,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad Chennai Mumbai Delhi Pune,,Black,,4x,Yes,NA,NA,NA,"JPEG (DCF, EXIF 2.3, DPOF)",,ISO 80-1600,"Center-Weighted, Multi, Spot",,16x,,2.7 Inches,"2 sec, 10 sec",,USB Hi-Speed,NA,AVI,Contrast Detection AF,,TFT LCD,,,4.5 - 36 mm (35 mm Equivalent to 25 - 200 mm),230000 Dots,Nikkor Lens,1/1500 sec,"SD, SDHC, SDXC",,1 sec,1/2.3 Inches,CCD Sensor,,,,2 cm,NA,,"2014, March",Nikon,3.82 x 2.28 x 0.78 Inches,Available,,125 gms,AC Adaptor EH-70P,,,,Ebay Snapdeal Shopclues Indiatimes Flipkart Homeshop18,,WAV,,,25 MB,"16:9, 1:1",,Yes,,,,,,,,,,,,,,,,,
Sony Cybershot QX100 Price in India with Offers & Full Specifications | PriceDekho.com,,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad Chennai Mumbai Delhi Pune,,Black,,,Yes,Yes,NA,NA,,,,Multi,,,,1 Inches,,,USB 2.0 Hi-Speed,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flipkart Naaptol Homeshop18,,,,,,,
